2025-06-03 10:33:24.478134
0.01723" REYEZ="0.63652" RPUPILD="0.00261" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.25411" FPOGY="-0.40921" FPOGS="3104.92114" FPOGD="0.25464" FPOGID="4921" FPOGV="1" LPOGX="0.38204" LPOGY="-0.39413" LPOGV="1" RPOGX="0.13529" RPOGY="-0.41999" RPOGV="1" BPOGX="0.25867" BPOGY="-0.40706" BPOGV="1" LPCX="0.28604" LPCY="0.53455" LPD="14.24149" LPS="0.96740" LPV="1" RPCX="0.58349" RPCY="0.57564" RPD="14.02384" RPS="0.96740" RPV="1" LEYEX="-0.05093" LEYEY="-0.00915" LEYEZ="0.63245" LPUPILD="0.00267" LPUPILV="1" REYEX="0.02148" REYEY="-0.01723" REYEZ="0.63652" RPUPILD="0.00263" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.31228" FPOGY="-0.27248" FPOGS="3106.04663" FPOGD="0.04688" FPOGID="4925" FPOGV="1" LPOGX="0.42660" LPOGY="-0.20920" LPOGV="1" RPOGX="0.18249" RPOGY="-0.27916" RPOGV="1" BPOGX="0.30455" BPOGY="-0.24418" BPOGV="1" LPCX="0.28304" LPCY="0.54049" LPD="14.82699" LPS="0.96740" LPV="1" RPCX="0.58088" RPCY="0.57810" RPD="14.59769" RPS="0.96740" RPV="1" LEYEX="-0.05265" LEYEY="-0.00990" LEYEZ="0.64070" LPUPILD="0.00343" LPUPILV="1" REYEX="0.02092" REYEY="-0.01773" REYEZ="0.64586" RPUPILD="0.00264" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.31191" FPOGY="-0.26914" FPOGS="3106.04663" FPOGD="0.05347" FPOGID="4925" FPOGV="1" LPOGX="0.42092" LPOGY="-0.21219" LPOGV="1" RPOGX="0.19692" RPOGY="-0.27254" RPOGV="1" BPOGX="0.30892" BPOGY="-0.24236" BPOGV="1" LPCX="0.28295" LPCY="0.54073" LPD="15.20463" LPS="0.96740" LPV="1" RPCX="0.58088" RPCY="0.57810" RPD="14.59769" RPS="0.96740" RPV="1" LEYEX="-0.05265" LEYEY="-0.00990" LEYEZ="0.64070" LPUPILD="0.00345" LPUPILV="1" REYEX="0.02092" REYEY="-0.01773" REYEZ="0.64586" RPUPILD="0.00264" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.31161" FPOGY="-0.26646" FPOGS="3106.04663" FPOGD="0.06055" FPOGID="4925" FPOGV="1" LPOGX="0.42092" LPOGY="-0.21219" LPOGV="1" RPOGX="0.19692" RPOGY="-0.27254" RPOGV="1" BPOGX="0.30892" BPOGY="-0.24236" BPOGV="1" LPCX="0.28297" LPCY="0.54079" LPD="15.21716" LPS="0.96740" LPV="1" RPCX="0.58088" RPCY="0.57810" RPD="14.59769" RPS="0.96740" RPV="1" LEYEX="-0.05251" LEYEY="-0.00985" LEYEZ="0.63778" LPUPILD="0.00344" LPUPILV="1" REYEX="0.02092" REYEY="-0.01773" REYEZ="0.64586" RPUPILD="0.00264" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.31249" FPOGY="-0.26434" FPOGS="3106.04663" FPOGD="0.06689" FPOGID="4925" FPOGV="1" LPOGX="0.44856" LPOGY="-0.20907" LPOGV="1" RPOGX="0.19407" RPOGY="-0.27711" RPOGV="1" BPOGX="0.32132" BPOGY="-0.24309" BPOGV="1" LPCX="0.28337" LPCY="0.54073" LPD="15.12001" LPS="0.96740" LPV="1" RPCX="0.58079" RPCY="0.57824" RPD="14.49843" RPS="0.96740" RPV="1" LEYEX="-0.05251" LEYEY="-0.00985" LEYEZ="0.63778" LPUPILD="0.00343" LPUPILV="1" REYEX="0.02092" REYEY="-0.01773" REYEZ="0.64586" RPUPILD="0.00260" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.31322" FPOGY="-0.26219" FPOGS="3106.04663" FPOGD="0.07373" FPOGID="4925" FPOGV="1" LPOGX="0.45150" LPOGY="-0.19963" LPOGV="1" RPOGX="0.19107" RPOGY="-0.27745" RPOGV="1" BPOGX="0.32128" BPOGY="-0.23854" BPOGV="1" LPCX="0.28318" LPCY="0.54116" LPD="15.64477" LPS="0.96740" LPV="1" RPCX="0.58079" RPCY="0.57824" RPD="14.49843" RPS="0.96740" RPV="1" LEYEX="-0.05251" LEYEY="-0.00985" LEYEZ="0.63778" LPUPILD="0.00348" LPUPILV="1" REYEX="0.02092" REYEY="-0.01773" REYEZ="0.64586" RPUPILD="0.00260" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.31378" FPOGY="-0.26077" FPOGS="3106.04663" FPOGD="0.08057" FPOGID="4925" FPOGV="1" LPOGX="0.45150" LPOGY="-0.19963" LPOGV="1" RPOGX="0.18944" RPOGY="-0.28791" RPOGV="1" BPOGX="0.32047" BPOGY="-0.24377" BPOGV="1" LPCX="0.28295" LPCY="0.54122" LPD="15.10244" LPS="0.96740" LPV="1" RPCX="0.58079" RPCY="0.57824" RPD="14.49843" RPS="0.97459" RPV="1" LEYEX="-0.05305" LEYEY="-0.01000" LEYEZ="0.64434" LPUPILD="0.00358" LPUPILV="1" REYEX="0.02140" REYEY="-0.01818" REYEZ="0.66226" RPUPILD="0.00260" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.31393" FPOGY="-0.25993" FPOGS="3106.04663" FPOGD="0.08691" FPOGID="4925" FPOGV="1" LPOGX="0.44716" LPOGY="-0.19948" LPOGV="1" RPOGX="0.18474" RPOGY="-0.29849" RPOGV="1" BPOGX="0.31595" BPOGY="-0.24898" BPOGV="1" LPCX="0.28302" LPCY="0.54104" LPD="15.42389" LPS="0.97459" LPV="1" RPCX="0.58072" RPCY="0.57820" RPD="14.48927" RPS="0.98178" RPV="1" LEYEX="-0.05305" LEYEY="-0.01000" LEYEZ="0.64434" LPUPILD="0.00348" LPUPILV="1" REYEX="0.02140" REYEY="-0.01818" REYEZ="0.66226" RPUPILD="0.00263" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.31355" FPOGY="-0.25930" FPOGS="3106.04663" FPOGD="0.09375" FPOGID="4925" FPOGV="1" LPOGX="0.43596" LPOGY="-0.20231" LPOGV="1" RPOGX="0.18028" RPOGY="-0.29868" RPOGV="1" BPOGX="0.30812" BPOGY="-0.25050" BPOGV="1" LPCX="0.28302" LPCY="0.54104" LPD="15.42389" LPS="0.98178" LPV="1" RPCX="0.58072" RPCY="0.57820" RPD="14.48927" RPS="0.98897" RPV="1" LEYEX="-0.05305" LEYEY="-0.01000" LEYEZ="0.64434" LPUPILD="0.00348" LPUPILV="1" REYEX="0.02140" REYEY="-0.01818" REYEZ="0.66226" RPUPILD="0.00263" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
