2025-06-04 15:28:11.370973
EYEZ="0.60101" RPUPILD="0.00377" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="24" />
<REC FPOGX="1.09786" FPOGY="0.38096" FPOGS="4912.52832" FPOGD="0.02539" FPOGID="10651" FPOGV="1" LPOGX="1.22112" LPOGY="0.49554" LPOGV="1" RPOGX="0.96503" RPOGY="0.26169" RPOGV="1" BPOGX="1.09308" BPOGY="0.37861" BPOGV="1" LPCX="0.27999" LPCY="0.35186" LPD="21.60374" LPS="0.92267" LPV="1" RPCX="0.57846" RPCY="0.40440" RPD="21.67951" RPS="0.91688" RPV="1" LEYEX="-0.05554" LEYEY="0.02778" LEYEZ="0.63744" LPUPILD="0.00382" LPUPILV="1" REYEX="0.01649" REYEY="0.01632" REYEZ="0.60101" RPUPILD="0.00379" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="24" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="1.07459" FPOGY="0.38888" FPOGS="4913.42529" FPOGD="0.03369" FPOGID="10654" FPOGV="1" LPOGX="1.18067" LPOGY="0.51941" LPOGV="1" RPOGX="0.99056" RPOGY="0.23247" RPOGV="1" BPOGX="1.08561" BPOGY="0.37594" BPOGV="1" LPCX="0.27598" LPCY="0.35248" LPD="22.42179" LPS="0.94103" LPV="1" RPCX="0.57520" RPCY="0.40392" RPD="21.55163" RPS="0.94103" RPV="1" LEYEX="-0.05707" LEYEY="0.02801" LEYEZ="0.64506" LPUPILD="0.00379" LPUPILV="1" REYEX="0.01668" REYEY="0.01735" REYEZ="0.63729" RPUPILD="0.00367" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="24" />
<REC FPOGX="1.07770" FPOGY="0.38697" FPOGS="4913.42529" FPOGD="0.04053" FPOGID="10654" FPOGV="1" LPOGX="1.21374" LPOGY="0.51553" LPOGV="1" RPOGX="0.97905" RPOGY="0.23550" RPOGV="1" BPOGX="1.09639" BPOGY="0.37552" BPOGV="1" LPCX="0.27597" LPCY="0.35247" LPD="22.42943" LPS="0.94103" LPV="1" RPCX="0.57516" RPCY="0.40392" RPD="21.57620" RPS="0.94103" RPV="1" LEYEX="-0.05707" LEYEY="0.02801" LEYEZ="0.64506" LPUPILD="0.00379" LPUPILV="1" REYEX="0.01668" REYEY="0.01735" REYEZ="0.63729" RPUPILD="0.00366" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="24" />
<REC FPOGX="1.08073" FPOGY="0.38451" FPOGS="4913.42529" FPOGD="0.04736" FPOGID="10654" FPOGV="1" LPOGX="1.21755" LPOGY="0.51074" LPOGV="1" RPOGX="0.98635" RPOGY="0.22390" RPOGV="1" BPOGX="1.10195" BPOGY="0.36732" BPOGV="1" LPCX="0.27594" LPCY="0.35244" LPD="22.50654" LPS="0.94806" LPV="1" RPCX="0.57508" RPCY="0.40401" RPD="21.68698" RPS="0.95449" RPV="1" LEYEX="-0.05807" LEYEY="0.02853" LEYEZ="0.65576" LPUPILD="0.00378" LPUPILV="1" REYEX="0.01665" REYEY="0.01742" REYEZ="0.63802" RPUPILD="0.00366" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="24" />
<REC FPOGX="1.08459" FPOGY="0.38446" FPOGS="4913.42529" FPOGD="0.05371" FPOGID="10654" FPOGV="1" LPOGX="1.23954" LPOGY="0.50685" LPOGV="1" RPOGX="0.99128" RPOGY="0.26128" RPOGV="1" BPOGX="1.11541" BPOGY="0.38407" BPOGV="1" LPCX="0.27589" LPCY="0.35235" LPD="22.43528" LPS="0.96152" LPV="1" RPCX="0.57497" RPCY="0.40373" RPD="21.62894" RPS="0.96795" RPV="1" LEYEX="-0.05807" LEYEY="0.02853" LEYEZ="0.65576" LPUPILD="0.00378" LPUPILV="1" REYEX="0.01665" REYEY="0.01742" REYEZ="0.63802" RPUPILD="0.00366" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="24" />
<REC FPOGX="1.09016" FPOGY="0.38462" FPOGS="4913.42529" FPOGD="0.06055" FPOGID="10654" FPOGV="1" LPOGX="1.24658" LPOGY="0.48347" LPOGV="1" RPOGX="1.03404" RPOGY="0.28853" RPOGV="1" BPOGX="1.14031" BPOGY="0.38600" BPOGV="1" LPCX="0.27582" LPCY="0.35232" LPD="22.53152" LPS="0.97498" LPV="1" RPCX="0.57492" RPCY="0.40356" RPD="21.42713" RPS="0.98141" RPV="1" LEYEX="-0.05807" LEYEY="0.02853" LEYEZ="0.65576" LPUPILD="0.00380" LPUPILV="1" REYEX="0.01665" REYEY="0.01742" REYEZ="0.63802" RPUPILD="0.00367" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="24" />
<REC FPOGX="1.09473" FPOGY="0.38473" FPOGS="4913.42529" FPOGD="0.06738" FPOGID="10654" FPOGV="1" LPOGX="1.24667" LPOGY="0.48337" LPOGV="1" RPOGX="1.03413" RPOGY="0.28842" RPOGV="1" BPOGX="1.14040" BPOGY="0.38589" BPOGV="1" LPCX="0.27586" LPCY="0.35223" LPD="22.45024" LPS="0.97513" LPV="1" RPCX="0.57491" RPCY="0.40356" RPD="21.67986" RPS="0.98156" RPV="1" LEYEX="-0.05503" LEYEY="0.02699" LEYEZ="0.62040" LPUPILD="0.00379" LPUPILV="1" REYEX="0.01693" REYEY="0.01781" REYEZ="0.64870" RPUPILD="0.00367" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="24" />
<REC FPOGX="1.09780" FPOGY="0.38459" FPOGS="4913.42529" FPOGD="0.07373" FPOGID="10654" FPOGV="1" LPOGX="1.24423" LPOGY="0.47605" LPOGV="1" RPOGX="1.01908" RPOGY="0.29007" RPOGV="1" BPOGX="1.13165" BPOGY="0.38306" BPOGV="1" LPCX="0.27575" LPCY="0.35223" LPD="22.29002" LPS="0.96825" LPV="1" RPCX="0.57482" RPCY="0.40349" RPD="21.56891" RPS="0.96825" RPV="1" LEYEX="-0.05503" LEYEY="0.02699" LEYEZ="0.62040" LPUPILD="0.00387" LPUPILV="1" REYEX="0.01693" REYEY="0.01781" REYEZ="0.64870" RPUPILD="0.00370" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="24" />
<REC FPOGX="1.09913" FPOGY="0.38482" FPOGS="4913.42529" FPOGD="0.08057" FPOGID="10654" FPOGV="1" LPOGX="1.22370" LPOGY="0.48171" LPOGV="1" RPOGX="1.00643" RPOGY="0.29345" RPOGV="1" BPOGX="1.11507" BPOGY="0.38758" BPOGV="1" LPCX="0.27567" LPCY="0.35223" LPD="22.21558" LPS="0.95493" LPV="1" RPCX="0.57481" RPCY="0.40353" RPD="21.70735" RPS="0.95493" RPV="1" LEYEX="-0.05503" LEYEY="0.02699" LEYEZ="0.62040" LPUPILD="0.00389" LPUPILV="1" REYEX="0.01693" REYEY="0.01781" REYEZ="0.64870" RPUPILD="0.00368" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="24" />
