2025-05-27 12:13:27.412385
" REYEZ="0.69335" RPUPILD="0.00507" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.79664" FPOGY="0.08780" FPOGS="7326.43262" FPOGD="0.14697" FPOGID="20459" FPOGV="1" LPOGX="0.79666" LPOGY="0.14313" LPOGV="1" RPOGX="0.82271" RPOGY="0.00799" RPOGV="1" BPOGX="0.80969" BPOGY="0.07556" BPOGV="1" LPCX="0.30473" LPCY="0.90035" LPD="25.58661" LPS="1.16580" LPV="1" RPCX="0.56737" RPCY="0.89773" RPD="23.47728" RPS="1.16580" RPV="1" LEYEX="-0.05231" LEYEY="-0.08666" LEYEZ="0.69272" LPUPILD="0.00485" LPUPILV="1" REYEX="0.01690" REYEY="-0.08632" REYEZ="0.69335" RPUPILD="0.00509" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.41072" FPOGY="0.08761" FPOGS="7327.41748" FPOGD="0.07324" FPOGID="20463" FPOGV="1" LPOGX="0.49054" LPOGY="0.16564" LPOGV="1" RPOGX="0.51890" RPOGY="0.03978" RPOGV="1" BPOGX="0.50472" BPOGY="0.10271" BPOGV="1" LPCX="0.30120" LPCY="0.90169" LPD="25.30868" LPS="1.15771" LPV="1" RPCX="0.56322" RPCY="0.89894" RPD="25.39524" RPS="1.16687" RPV="1" LEYEX="-0.05231" LEYEY="-0.08675" LEYEZ="0.69136" LPUPILD="0.00502" LPUPILV="1" REYEX="0.01674" REYEY="-0.08734" REYEZ="0.69985" RPUPILD="0.00503" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.41795" FPOGY="0.08884" FPOGS="7327.41748" FPOGD="0.08008" FPOGID="20463" FPOGV="1" LPOGX="0.49070" LPOGY="0.16644" LPOGV="1" RPOGX="0.51883" RPOGY="0.04074" RPOGV="1" BPOGX="0.50477" BPOGY="0.10359" BPOGV="1" LPCX="0.30118" LPCY="0.90170" LPD="25.32979" LPS="1.15664" LPV="1" RPCX="0.56322" RPCY="0.89895" RPD="25.43686" RPS="1.16580" RPV="1" LEYEX="-0.05231" LEYEY="-0.08675" LEYEZ="0.69136" LPUPILD="0.00504" LPUPILV="1" REYEX="0.01701" REYEY="-0.08819" REYEZ="0.70666" RPUPILD="0.00503" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.45442" FPOGY="0.08972" FPOGS="7327.41748" FPOGD="0.08008" FPOGID="20463" FPOGV="0" LPOGX="0.51778" LPOGY="0.14857" LPOGV="1" RPOGX="0.51813" RPOGY="0.02733" RPOGV="1" BPOGX="0.51796" BPOGY="0.08795" BPOGV="1" LPCX="0.30116" LPCY="0.90166" LPD="25.45798" LPS="1.16580" LPV="1" RPCX="0.56322" RPCY="0.89892" RPD="25.38972" RPS="1.16580" RPV="1" LEYEX="-0.05231" LEYEY="-0.08675" LEYEZ="0.69136" LPUPILD="0.00503" LPUPILV="1" REYEX="0.01701" REYEY="-0.08819" REYEZ="0.70666" RPUPILD="0.00502" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.47644" FPOGY="0.08794" FPOGS="7327.41748" FPOGD="0.08008" FPOGID="20463" FPOGV="0" LPOGX="0.48230" LPOGY="0.14687" LPOGV="1" RPOGX="0.51460" RPOGY="0.02545" RPOGV="1" BPOGX="0.49845" BPOGY="0.08616" BPOGV="1" LPCX="0.30112" LPCY="0.90165" LPD="25.36268" LPS="1.16580" LPV="1" RPCX="0.56323" RPCY="0.89891" RPD="25.35229" RPS="1.16580" RPV="1" LEYEX="-0.05231" LEYEY="-0.08675" LEYEZ="0.69136" LPUPILD="0.00502" LPUPILV="1" REYEX="0.01701" REYEY="-0.08819" REYEZ="0.70666" RPUPILD="0.00503" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.48360" FPOGY="0.08450" FPOGS="7327.41748" FPOGD="0.08008" FPOGID="20463" FPOGV="0" LPOGX="0.48065" LPOGY="0.13909" LPOGV="1" RPOGX="0.51524" RPOGY="0.01615" RPOGV="1" BPOGX="0.49794" BPOGY="0.07762" BPOGV="1" LPCX="0.30114" LPCY="0.90161" LPD="25.50525" LPS="1.17604" LPV="1" RPCX="0.56326" RPCY="0.89894" RPD="25.36984" RPS="1.17604" RPV="1" LEYEX="-0.05503" LEYEY="-0.09112" LEYEZ="0.72662" LPUPILD="0.00502" LPUPILV="1" REYEX="0.01701" REYEY="-0.08819" REYEZ="0.70666" RPUPILD="0.00500" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.48860" FPOGY="0.08173" FPOGS="7327.50439" FPOGD="0.02051" FPOGID="20464" FPOGV="1" LPOGX="0.47774" LPOGY="0.13777" LPOGV="1" RPOGX="0.52942" RPOGY="0.00905" RPOGV="1" BPOGX="0.50358" BPOGY="0.07341" BPOGV="1" LPCX="0.30114" LPCY="0.90161" LPD="25.63430" LPS="1.18628" LPV="1" RPCX="0.56333" RPCY="0.89895" RPD="25.34889" RPS="1.18628" RPV="1" LEYEX="-0.05503" LEYEY="-0.09112" LEYEZ="0.72662" LPUPILD="0.00503" LPUPILV="1" REYEX="0.01701" REYEY="-0.08819" REYEZ="0.70666" RPUPILD="0.00502" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.49172" FPOGY="0.07634" FPOGS="7327.50439" FPOGD="0.02686" FPOGID="20464" FPOGV="1" LPOGX="0.51609" LPOGY="0.11244" LPOGV="1" RPOGX="0.49233" RPOGY="-0.00289" RPOGV="1" BPOGX="0.50421" BPOGY="0.05478" BPOGV="1" LPCX="0.30109" LPCY="0.90156" LPD="25.57580" LPS="1.19652" LPV="1" RPCX="0.56333" RPCY="0.89895" RPD="25.34889" RPS="1.19652" RPV="1" LEYEX="-0.05503" LEYEY="-0.09112" LEYEZ="0.72662" LPUPILD="0.00502" LPUPILV="1" REYEX="0.01701" REYEY="-0.08819" REYEZ="0.70666" RPUPILD="0.00502" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.49373" FPOGY="0.07131" FPOGS="7327.50439" FPOGD="0.03320" FPOGID="20464" FPOGV="1" LPOGX="0.51476" LPOGY="0.10451" LPOGV="1" RPOGX="0.49277" RPOGY="-0.01221" RPOGV="1" BPOGX="0.50376" BPOGY="0.04615" BPOGV="1" LPCX="0.30111" LPCY="0.90156" LPD="25.58573" LPS="1.20675" LPV="1" RPCX="0.56333" RPCY="0.89895" RPD="25.34889" RPS="1.20675" RPV="1" LEYEX="-0.05503" LEYEY="-0.09112" LEYEZ="0.72662" LPUPILD="0.00502" LPUPILV="1" REYEX="0.01701" REYEY="-0.08819" REYEZ="0.70666" RPUPILD="0.00502" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
