2025-05-28 16:27:05.457062
90" REYEZ="0.72853" RPUPILD="0.00539" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.75974" FPOGY="0.01344" FPOGS="1370.27783" FPOGD="0.45605" FPOGID="4406" FPOGV="1" LPOGX="0.75630" LPOGY="0.00563" LPOGV="1" RPOGX="0.76417" RPOGY="-0.06879" RPOGV="1" BPOGX="0.76023" BPOGY="-0.03158" BPOGV="1" LPCX="0.27503" LPCY="0.78484" LPD="25.91693" LPS="1.27925" LPV="1" RPCX="0.53064" RPCY="0.78894" RPD="24.77551" RPS="1.26716" RPV="1" LEYEX="-0.06248" LEYEY="-0.06465" LEYEZ="0.72074" LPUPILD="0.00507" LPUPILV="1" REYEX="0.00760" REYEY="-0.06595" REYEZ="0.72431" RPUPILD="0.00551" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.75923" FPOGY="0.01328" FPOGS="1370.27783" FPOGD="0.46252" FPOGID="4406" FPOGV="1" LPOGX="0.75500" LPOGY="0.02601" LPOGV="1" RPOGX="0.75598" RPOGY="-0.03828" RPOGV="1" BPOGX="0.75549" BPOGY="-0.00614" BPOGV="1" LPCX="0.27498" LPCY="0.78483" LPD="25.89193" LPS="1.25534" LPV="1" RPCX="0.53058" RPCY="0.78887" RPD="24.75120" RPS="1.23278" RPV="1" LEYEX="-0.06242" LEYEY="-0.06448" LEYEZ="0.71884" LPUPILD="0.00507" LPUPILV="1" REYEX="0.00738" REYEY="-0.06444" REYEZ="0.70828" RPUPILD="0.00555" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.75848" FPOGY="0.01367" FPOGS="1370.27783" FPOGD="0.46899" FPOGID="4406" FPOGV="1" LPOGX="0.74245" LPOGY="0.05535" LPOGV="1" RPOGX="0.73407" RPOGY="-0.01976" RPOGV="1" BPOGX="0.73826" BPOGY="0.01779" BPOGV="1" LPCX="0.27486" LPCY="0.78488" LPD="25.77782" LPS="1.23278" LPV="1" RPCX="0.53043" RPCY="0.78897" RPD="24.89118" RPS="1.22230" RPV="1" LEYEX="-0.06242" LEYEY="-0.06448" LEYEZ="0.71884" LPUPILD="0.00510" LPUPILV="1" REYEX="0.00738" REYEY="-0.06444" REYEZ="0.70828" RPUPILD="0.00553" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.75823" FPOGY="0.01438" FPOGS="1370.27783" FPOGD="0.47571" FPOGID="4406" FPOGV="1" LPOGX="0.76250" LPOGY="0.06478" LPOGV="1" RPOGX="0.76200" RPOGY="-0.01814" RPOGV="1" BPOGX="0.76225" BPOGY="0.02332" BPOGV="1" LPCX="0.27470" LPCY="0.78484" LPD="25.94391" LPS="1.22230" LPV="1" RPCX="0.53046" RPCY="0.78899" RPD="24.82387" RPS="1.21183" RPV="1" LEYEX="-0.06242" LEYEY="-0.06448" LEYEZ="0.71884" LPUPILD="0.00507" LPUPILV="1" REYEX="0.00738" REYEY="-0.06444" REYEZ="0.70828" RPUPILD="0.00559" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.75794" FPOGY="0.01537" FPOGS="1370.27783" FPOGD="0.48242" FPOGID="4406" FPOGV="1" LPOGX="0.76122" LPOGY="0.08226" LPOGV="1" RPOGX="0.75946" RPOGY="-0.00906" RPOGV="1" BPOGX="0.76034" BPOGY="0.03660" BPOGV="1" LPCX="0.27468" LPCY="0.78487" LPD="25.97446" LPS="1.20159" LPV="1" RPCX="0.53034" RPCY="0.78897" RPD="24.97001" RPS="1.20159" RPV="1" LEYEX="-0.06094" LEYEY="-0.06290" LEYEZ="0.70125" LPUPILD="0.00507" LPUPILV="1" REYEX="0.00745" REYEY="-0.06553" REYEZ="0.72036" RPUPILD="0.00552" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.75762" FPOGY="0.01594" FPOGS="1370.27783" FPOGD="0.48938" FPOGID="4406" FPOGV="1" LPOGX="0.77621" LPOGY="0.10196" LPOGV="1" RPOGX="0.73322" RPOGY="0.01050" RPOGV="1" BPOGX="0.75471" BPOGY="0.05623" BPOGV="1" LPCX="0.27488" LPCY="0.78498" LPD="25.66837" LPS="1.19135" LPV="1" RPCX="0.53047" RPCY="0.78896" RPD="24.78635" RPS="1.20183" RPV="1" LEYEX="-0.06094" LEYEY="-0.06290" LEYEZ="0.70125" LPUPILD="0.00511" LPUPILV="1" REYEX="0.00745" REYEY="-0.06553" REYEZ="0.72036" RPUPILD="0.00554" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.75864" FPOGY="0.01727" FPOGS="1370.27783" FPOGD="0.49622" FPOGID="4406" FPOGV="1" LPOGX="0.82524" LPOGY="0.09473" LPOGV="1" RPOGX="0.81756" RPOGY="0.00858" RPOGV="1" BPOGX="0.82140" BPOGY="0.05165" BPOGV="1" LPCX="0.27550" LPCY="0.78491" LPD="25.79021" LPS="1.19159" LPV="1" RPCX="0.53108" RPCY="0.78905" RPD="25.17718" RPS="1.20207" RPV="1" LEYEX="-0.06094" LEYEY="-0.06290" LEYEZ="0.70125" LPUPILD="0.00512" LPUPILV="1" REYEX="0.00745" REYEY="-0.06553" REYEZ="0.72036" RPUPILD="0.00554" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.75969" FPOGY="0.01848" FPOGS="1370.27783" FPOGD="0.50281" FPOGID="4406" FPOGV="1" LPOGX="0.82527" LPOGY="0.09452" LPOGV="1" RPOGX="0.81763" RPOGY="0.00837" RPOGV="1" BPOGX="0.82145" BPOGY="0.05145" BPOGV="1" LPCX="0.27582" LPCY="0.78494" LPD="25.78464" LPS="1.19183" LPV="1" RPCX="0.53132" RPCY="0.78904" RPD="25.11401" RPS="1.20230" RPV="1" LEYEX="-0.05994" LEYEY="-0.06229" LEYEZ="0.69328" LPUPILD="0.00509" LPUPILV="1" REYEX="0.00780" REYEY="-0.06671" REYEZ="0.73270" RPUPILD="0.00551" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.76142" FPOGY="0.01946" FPOGS="1370.27783" FPOGD="0.50964" FPOGID="4406" FPOGV="1" LPOGX="0.85925" LPOGY="0.09337" LPOGV="1" RPOGX="0.82570" RPOGY="0.00549" RPOGV="1" BPOGX="0.84247" BPOGY="0.04943" BPOGV="1" LPCX="0.27674" LPCY="0.78506" LPD="26.09114" LPS="1.20230" LPV="1" RPCX="0.53209" RPCY="0.78909" RPD="24.90552" RPS="1.20230" RPV="1" LEYEX="-0.05994" LEYEY="-0.06229" LEYEZ="0.69328" LPUPILD="0.00509" LPUPILV="1" REYEX="0.00780" REYEY="-0.06671" REYEZ="0.73270" RPUPILD="0.00549" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.76290" FPOGY="0.02039" FPOGS="1370.27783" FPOGD="0.51624" FPOGID="4406" FPOGV="1" LPOGX="0.85265" LPOGY="0.10869" LPOGV="1" RPOGX="0.81449" RPOGY="0.00719" RPOGV="1" BPOGX="0.83357" BPOGY="0.05794" BPOGV="1" LPCX="0.27677" LPCY="0.78500" LPD="25.90700" LPS="1.20230" LPV="1" RPCX="0.53196" RPCY="0.78910" RPD="24.71495" RPS="1.20230" RPV="1" LEYEX="-0.05994" LEYEY="-0.06229" LEYEZ="0.69328" LPUPILD="0.00511" LPUPILV="1" REYEX="0.00780" REYEY="-0.06671" REYEZ="0.73270" RPUPILD="0.00550" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.76445" FPOGY="0.02095" FPOGS="1370.27783" FPOGD="0.52295" FPOGID="4406" FPOGV="1" LPOGX="0.85401" LPOGY="0.10009" LPOGV="1" RPOGX="0.81747" RPOGY="-0.00170" RPOGV="1" BPOGX="0.83574" BPOGY="0.04920" BPOGV="1" LPCX="0.27679" LPCY="0.78501" LPD="25.93734" LPS="1.21254" LPV="1" RPCX="0.53194" RPCY="0.78902" RPD="24.80099" RPS="1.21254" RPV="1" LEYEX="-0.06269" LEYEY="-0.06520" LEYEZ="0.72568" LPUPILD="0.00509" LPUPILV="1" REYEX="0.00780" REYEY="-0.06671" REYEZ="0.73270" RPUPILD="0.00553" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.79423" FPOGY="0.03182" FPOGS="1370.27783" FPOGD="0.52295" FPOGID="4406" FPOGV="0" LPOGX="0.83613" LPOGY="0.07680" LPOGV="1" RPOGX="0.85354" RPOGY="-0.02502" RPOGV="1" BPOGX="0.84483" BPOGY="0.02589" BPOGV="1" LPCX="0.27667" LPCY="0.78501" LPD="26.00623" LPS="1.22278" LPV="1" RPCX="0.53187" RPCY="0.78906" RPD="24.97310" RPS="1.22278" RPV="1" LEYEX="-0.06269" LEYEY="-0.06520" LEYEZ="0.72568" LPUPILD="0.00514" LPUPILV="1" REYEX="0.00780" REYEY="-0.06671" REYEZ="0.73270" RPUPILD="0.00553" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.82132" FPOGY="0.03453" FPOGS="1370.27783" FPOGD="0.52295" FPOGID="4406" FPOGV="0" LPOGX="0.84039" LPOGY="0.09443" LPOGV="1" RPOGX="0.85644" RPOGY="-0.01992" RPOGV="1" BPOGX="0.84841" BPOGY="0.03725" BPOGV="1" LPCX="0.27659" LPCY="0.78501" LPD="26.01406" LPS="1.23302" LPV="1" RPCX="0.53186" RPCY="0.78915" RPD="24.87606" RPS="1.23302" RPV="1" LEYEX="-0.06269" LEYEY="-0.06520" LEYEZ="0.72568" LPUPILD="0.00509" LPUPILV="1" REYEX="0.00780" REYEY="-0.06671" REYEZ="0.73270" RPUPILD="0.00551" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.83035" FPOGY="0.03544" FPOGS="1370.27783" FPOGD="0.52295" FPOGID="4406" FPOGV="0" LPOGX="0.84039" LPOGY="0.09443" LPOGV="1" RPOGX="0.85644" RPOGY="-0.01992" RPOGV="1" BPOGX="0.84841" BPOGY="0.03725" BPOGV="1" LPCX="0.27657" LPCY="0.78500" LPD="26.05390" LPS="1.23302" LPV="1" RPCX="0.53192" RPCY="0.78919" RPD="24.85652" RPS="1.23302" RPV="1" LEYEX="-0.05994" LEYEY="-0.06229" LEYEZ="0.69328" LPUPILD="0.00508" LPUPILV="1" REYEX="0.00780" REYEY="-0.06671" REYEZ="0.73270" RPUPILD="0.00549" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.83243" FPOGY="0.03644" FPOGS="1370.80762" FPOGD="0.01990" FPOGID="4407" FPOGV="1" LPOGX="0.82834" LPOGY="0.09618" LPOGV="1" RPOGX="0.84897" RPOGY="-0.01726" RPOGV="1" BPOGX="0.83865" BPOGY="0.03946" BPOGV="1" LPCX="0.27653" LPCY="0.78499" LPD="26.04791" LPS="1.22278" LPV="1" RPCX="0.53176" RPCY="0.78921" RPD="24.93958" RPS="1.22278" RPV="1" LEYEX="-0.05994" LEYEY="-0.06229" LEYEZ="0.69328" LPUPILD="0.00506" LPUPILV="1" REYEX="0.00780" REYEY="-0.06671" REYEZ="0.73270" RPUPILD="0.00547" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.83263" FPOGY="0.03796" FPOGS="1370.80762" FPOGD="0.02661" FPOGID="4407" FPOGV="1" LPOGX="0.82444" LPOGY="0.10588" LPOGV="1" RPOGX="0.84243" RPOGY="-0.01781" RPOGV="1" BPOGX="0.83343" BPOGY="0.04403" BPOGV="1" LPCX="0.27657" LPCY="0.78501" LPD="25.99846" LPS="1.21254" LPV="1" RPCX="0.53181" RPCY="0.78912" RPD="24.92168" RPS="1.21254" RPV="1" LEYEX="-0.05994" LEYEY="-0.06229" LEYEZ="0.69328" LPUPILD="0.00508" LPUPILV="1" REYEX="0.00780" REYEY="-0.06671" REYEZ="0.73270" RPUPILD="0.00552" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.83241" FPOGY="0.04043" FPOGS="1370.80762" FPOGD="0.03333" FPOGID="4407" FPOGV="1" LPOGX="0.82331" LPOGY="0.11436" LPOGV="1" RPOGX="0.83927" RPOGY="-0.00882" RPOGV="1" BPOGX="0.83129" BPOGY="0.05277" BPOGV="1" LPCX="0.27659" LPCY="0.78504" LPD="25.85029" LPS="1.20230" LPV="1" RPCX="0.53177" RPCY="0.78911" RPD="25.00954" RPS="1.20230" RPV="1" LEYEX="-0.05994" LEYEY="-0.06229" LEYEZ="0.69328" LPUPILD="0.00509" LPUPILV="1" REYEX="0.00780" REYEY="-0.06671" REYEZ="0.73270" RPUPILD="0.00551" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.83202" FPOGY="0.04239" FPOGS="1370.80762" FPOGD="0.04041" FPOGID="4407" FPOGV="1" LPOGX="0.82329" LPOGY="0.11180" LPOGV="1" RPOGX="0.83609" RPOGY="-0.00349" RPOGV="1" BPOGX="0.82969" BPOGY="0.05415" BPOGV="1" LPCX="0.27646" LPCY="0.78501" LPD="25.95435" LPS="1.20230" LPV="1" RPCX="0.53174" RPCY="0.78914" RPD="24.89664" RPS="1.20230" RPV="1" LEYEX="-0.05994" LEYEY="-0.06229" LEYEZ="0.69328" LPUPILD="0.00510" LPUPILV="1" REYEX="0.00780" REYEY="-0.06671" REYEZ="0.73270" RPUPILD="0.00552" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.83180" FPOGY="0.04343" FPOGS="1370.80762" FPOGD="0.04675" FPOGID="4407" FPOGV="1" LPOGX="0.82147" LPOGY="0.11114" LPOGV="1" RPOGX="0.83905" RPOGY="-0.00979" RPOGV="1" BPOGX="0.83026" BPOGY="0.05067" BPOGV="1" LPCX="0.27648" LPCY="0.78502" LPD="25.90628" LPS="1.20230" LPV="1" RPCX="0.53173" RPCY="0.78914" RPD="24.88225" RPS="1.20230" RPV="1" LEYEX="-0.05994" LEYEY="-0.06229" LEYEZ="0.69328" LPUPILD="0.00509" LPUPILV="1" REYEX="0.00780" REYEY="-0.06671" REYEZ="0.73270" RPUPILD="0.00554" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.83163" FPOGY="0.04423" FPOGS="1370.80762" FPOGD="0.05371" FPOGID="4407" FPOGV="1" LPOGX="0.82147" LPOGY="0.11114" LPOGV="1" RPOGX="0.83905" RPOGY="-0.00979" RPOGV="1" BPOGX="0.83026" BPOGY="0.05067" BPOGV="1" LPCX="0.27647" LPCY="0.78501" LPD="25.96695" LPS="1.20230" LPV="1" RPCX="0.53173" RPCY="0.78924" RPD="24.79775" RPS="1.20230" RPV="1" LEYEX="-0.05994" LEYEY="-0.06229" LEYEZ="0.69328" LPUPILD="0.00507" LPUPILV="1" REYEX="0.00780" REYEY="-0.06671" REYEZ="0.73270" RPUPILD="0.00551" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.83104" FPOGY="0.04526" FPOGS="1370.80762" FPOGD="0.06006" FPOGID="4407" FPOGV="1" LPOGX="0.82055" LPOGY="0.11089" LPOGV="1" RPOGX="0.83094" RPOGY="-0.00175" RPOGV="1" BPOGX="0.82575" BPOGY="0.05457" BPOGV="1" LPCX="0.27646" LPCY="0.78502" LPD="25.95325" LPS="1.20230" LPV="1" RPCX="0.53174" RPCY="0.78919" RPD="24.89352" RPS="1.20230" RPV="1" LEYEX="-0.05994" LEYEY="-0.06229" LEYEZ="0.69328" LPUPILD="0.00510" LPUPILV="1" REYEX="0.00780" REYEY="-0.06671" REYEZ="0.73270" RPUPILD="0.00552" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
