2025-05-27 11:40:34.723024
284" REYEZ="0.60649" RPUPILD="0.00500" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="1.09141" FPOGY="0.45464" FPOGS="5353.50879" FPOGD="0.38135" FPOGID="15085" FPOGV="1" LPOGX="1.17308" LPOGY="0.54111" LPOGV="1" RPOGX="0.99464" RPOGY="0.35410" RPOGV="1" BPOGX="1.08386" BPOGY="0.44760" BPOGV="1" LPCX="0.22744" LPCY="0.66467" LPD="24.02384" LPS="0.90922" LPV="1" RPCX="0.50183" RPCY="0.67005" RPD="26.29757" RPS="0.90922" RPV="1" LEYEX="-0.06883" LEYEY="-0.03361" LEYEZ="0.64199" LPUPILD="0.00454" LPUPILV="1" REYEX="-0.00136" REYEY="-0.03284" REYEZ="0.60649" RPUPILD="0.00501" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="1.02154" FPOGY="0.39076" FPOGS="5354.77490" FPOGD="0.02637" FPOGID="15087" FPOGV="1" LPOGX="1.09432" LPOGY="0.41138" LPOGV="1" RPOGX="0.92145" RPOGY="0.32397" RPOGV="1" BPOGX="1.00788" BPOGY="0.36768" BPOGV="1" LPCX="0.22653" LPCY="0.66289" LPD="24.82727" LPS="0.96603" LPV="1" RPCX="0.50124" RPCY="0.66857" RPD="26.87648" RPS="0.96603" RPV="1" LEYEX="-0.07089" LEYEY="-0.03439" LEYEZ="0.66158" LPUPILD="0.00478" LPUPILV="1" REYEX="-0.00116" REYEY="-0.03337" REYEZ="0.61976" RPUPILD="0.00521" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="1.01978" FPOGY="0.38602" FPOGS="5354.77490" FPOGD="0.03320" FPOGID="15087" FPOGV="1" LPOGX="1.09718" LPOGY="0.40603" LPOGV="1" RPOGX="0.92479" RPOGY="0.31864" RPOGV="1" BPOGX="1.01099" BPOGY="0.36234" BPOGV="1" LPCX="0.22653" LPCY="0.66295" LPD="24.75182" LPS="0.97305" LPV="1" RPCX="0.50125" RPCY="0.66857" RPD="26.87878" RPS="0.97305" RPV="1" LEYEX="-0.07089" LEYEY="-0.03439" LEYEZ="0.66158" LPUPILD="0.00476" LPUPILV="1" REYEX="-0.00116" REYEY="-0.03337" REYEZ="0.61976" RPUPILD="0.00521" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="1.01868" FPOGY="0.38323" FPOGS="5354.77490" FPOGD="0.04004" FPOGID="15087" FPOGV="1" LPOGX="1.10451" LPOGY="0.41138" LPOGV="1" RPOGX="0.91967" RPOGY="0.32156" RPOGV="1" BPOGX="1.01209" BPOGY="0.36647" BPOGV="1" LPCX="0.22657" LPCY="0.66287" LPD="24.91247" LPS="0.97305" LPV="1" RPCX="0.50125" RPCY="0.66852" RPD="26.93259" RPS="0.97305" RPV="1" LEYEX="-0.07089" LEYEY="-0.03439" LEYEZ="0.66158" LPUPILD="0.00475" LPUPILV="1" REYEX="-0.00116" REYEY="-0.03337" REYEZ="0.61976" RPUPILD="0.00522" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="1.01726" FPOGY="0.38006" FPOGS="5354.77490" FPOGD="0.04688" FPOGID="15087" FPOGV="1" LPOGX="1.10013" LPOGY="0.39975" LPOGV="1" RPOGX="0.91454" RPOGY="0.31595" RPOGV="1" BPOGX="1.00733" BPOGY="0.35785" BPOGV="1" LPCX="0.22649" LPCY="0.66287" LPD="24.84017" LPS="0.97305" LPV="1" RPCX="0.50122" RPCY="0.66848" RPD="26.88057" RPS="0.97305" RPV="1" LEYEX="-0.07089" LEYEY="-0.03439" LEYEZ="0.66158" LPUPILD="0.00472" LPUPILV="1" REYEX="-0.00116" REYEY="-0.03337" REYEZ="0.61976" RPUPILD="0.00522" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="1.01616" FPOGY="0.37759" FPOGS="5354.77490" FPOGD="0.05371" FPOGID="15087" FPOGV="1" LPOGX="1.10013" LPOGY="0.39975" LPOGV="1" RPOGX="0.91454" RPOGY="0.31595" RPOGV="1" BPOGX="1.00733" BPOGY="0.35785" BPOGV="1" LPCX="0.22649" LPCY="0.66287" LPD="24.84017" LPS="0.97305" LPV="1" RPCX="0.50124" RPCY="0.66854" RPD="26.86002" RPS="0.97305" RPV="1" LEYEX="-0.07089" LEYEY="-0.03439" LEYEZ="0.66158" LPUPILD="0.00472" LPUPILV="1" REYEX="-0.00116" REYEY="-0.03337" REYEZ="0.61976" RPUPILD="0.00522" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="1.01537" FPOGY="0.37559" FPOGS="5354.77490" FPOGD="0.06055" FPOGID="15087" FPOGV="1" LPOGX="1.09883" LPOGY="0.39363" LPOGV="1" RPOGX="0.91765" RPOGY="0.32162" RPOGV="1" BPOGX="1.00824" BPOGY="0.35763" BPOGV="1" LPCX="0.22651" LPCY="0.66287" LPD="24.91547" LPS="0.97305" LPV="1" RPCX="0.50122" RPCY="0.66853" RPD="26.84982" RPS="0.97305" RPV="1" LEYEX="-0.07089" LEYEY="-0.03439" LEYEZ="0.66158" LPUPILD="0.00472" LPUPILV="1" REYEX="-0.00116" REYEY="-0.03337" REYEZ="0.61976" RPUPILD="0.00523" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="1.01447" FPOGY="0.37279" FPOGS="5354.77490" FPOGD="0.06689" FPOGID="15087" FPOGV="1" LPOGX="1.10274" LPOGY="0.37245" LPOGV="1" RPOGX="0.90836" RPOGY="0.31705" RPOGV="1" BPOGX="1.00555" BPOGY="0.34475" BPOGV="1" LPCX="0.22652" LPCY="0.66275" LPD="24.89852" LPS="0.97305" LPV="1" RPCX="0.50112" RPCY="0.66843" RPD="26.87404" RPS="0.97305" RPV="1" LEYEX="-0.07089" LEYEY="-0.03439" LEYEZ="0.66158" LPUPILD="0.00477" LPUPILV="1" REYEX="-0.00116" REYEY="-0.03337" REYEZ="0.61976" RPUPILD="0.00520" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="1.01373" FPOGY="0.37045" FPOGS="5354.77490" FPOGD="0.07520" FPOGID="15087" FPOGV="1" LPOGX="1.10274" LPOGY="0.37245" LPOGV="1" RPOGX="0.90836" RPOGY="0.31705" RPOGV="1" BPOGX="1.00555" BPOGY="0.34475" BPOGV="1" LPCX="0.22650" LPCY="0.66276" LPD="24.82079" LPS="0.97305" LPV="1" RPCX="0.50113" RPCY="0.66851" RPD="26.86731" RPS="0.97305" RPV="1" LEYEX="-0.07089" LEYEY="-0.03439" LEYEZ="0.66158" LPUPILD="0.00478" LPUPILV="1" REYEX="-0.00116" REYEY="-0.03337" REYEZ="0.61976" RPUPILD="0.00521" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
