2025-05-27 11:47:37.378405
EY="-0.06075" LEYEZ="0.70557" LPUPILD="0.00557" LPUPILV="1" REYEX="0.03073" REYEY="-0.06333" REYEZ="0.68540" RPUPILD="0.00549" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="29" />
<REC FPOGX="0.95994" FPOGY="0.34912" FPOGS="5776.50732" FPOGD="0.04004" FPOGID="16556" FPOGV="1" LPOGX="1.07244" LPOGY="0.41175" LPOGV="1" RPOGX="0.87889" RPOGY="0.25233" RPOGV="1" BPOGX="0.97567" BPOGY="0.33204" BPOGV="1" LPCX="0.37312" LPCY="0.77474" LPD="25.92172" LPS="1.12996" LPV="1" RPCX="0.62200" RPCY="0.79527" RPD="25.29418" RPS="1.13804" RPV="1" LEYEX="-0.03734" LEYEY="-0.06361" LEYEZ="0.73883" LPUPILD="0.00557" LPUPILV="1" REYEX="0.03073" REYEY="-0.06333" REYEZ="0.68540" RPUPILD="0.00545" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="29" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.76420" FPOGY="0.29507" FPOGS="5777.42432" FPOGD="0.02734" FPOGID="16560" FPOGV="1" LPOGX="0.86865" LPOGY="0.31957" LPOGV="1" RPOGX="0.67269" RPOGY="0.23326" RPOGV="1" BPOGX="0.77067" BPOGY="0.27641" BPOGV="1" LPCX="0.36795" LPCY="0.77418" LPD="27.29174" LPS="1.17793" LPV="1" RPCX="0.61676" RPCY="0.79502" RPD="27.80930" RPS="1.18602" RPV="1" LEYEX="-0.03578" LEYEY="-0.05965" LEYEZ="0.69456" LPUPILD="0.00557" LPUPILV="1" REYEX="0.03064" REYEY="-0.06437" REYEZ="0.69721" RPUPILD="0.00564" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="30" />
<REC FPOGX="0.76577" FPOGY="0.29978" FPOGS="5777.42432" FPOGD="0.03418" FPOGID="16560" FPOGV="1" LPOGX="0.86942" LPOGY="0.39321" LPOGV="1" RPOGX="0.67780" RPOGY="0.25347" RPOGV="1" BPOGX="0.77361" BPOGY="0.32334" BPOGV="1" LPCX="0.36797" LPCY="0.77413" LPD="27.31871" LPS="1.17578" LPV="1" RPCX="0.61682" RPCY="0.79500" RPD="28.00101" RPS="1.16662" RPV="1" LEYEX="-0.03578" LEYEY="-0.05965" LEYEZ="0.69456" LPUPILD="0.00558" LPUPILV="1" REYEX="0.03064" REYEY="-0.06437" REYEZ="0.69721" RPUPILD="0.00565" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="30" />
<REC FPOGX="0.76598" FPOGY="0.30008" FPOGS="5777.42432" FPOGD="0.04053" FPOGID="16560" FPOGV="1" LPOGX="0.86608" LPOGY="0.34322" LPOGV="1" RPOGX="0.66834" RPOGY="0.26057" RPOGV="1" BPOGX="0.76721" BPOGY="0.30190" BPOGV="1" LPCX="0.36797" LPCY="0.77413" LPD="27.31871" LPS="1.15638" LPV="1" RPCX="0.61681" RPCY="0.79499" RPD="27.84156" RPS="1.14721" RPV="1" LEYEX="-0.03578" LEYEY="-0.05965" LEYEZ="0.69456" LPUPILD="0.00558" LPUPILV="1" REYEX="0.03064" REYEY="-0.06437" REYEZ="0.69721" RPUPILD="0.00566" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="30" />
<REC FPOGX="0.76593" FPOGY="0.30110" FPOGS="5777.42432" FPOGD="0.04736" FPOGID="16560" FPOGV="1" LPOGX="0.86469" LPOGY="0.34929" LPOGV="1" RPOGX="0.66660" RPOGY="0.26707" RPOGV="1" BPOGX="0.76564" BPOGY="0.30818" BPOGV="1" LPCX="0.36798" LPCY="0.77407" LPD="27.30510" LPS="1.14721" LPV="1" RPCX="0.61679" RPCY="0.79495" RPD="27.94361" RPS="1.13805" RPV="1" LEYEX="-0.03775" LEYEY="-0.06302" LEYEZ="0.73382" LPUPILD="0.00561" LPUPILV="1" REYEX="0.03064" REYEY="-0.06437" REYEZ="0.69721" RPUPILD="0.00563" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="30" />
<REC FPOGX="0.76431" FPOGY="0.30309" FPOGS="5777.42432" FPOGD="0.05420" FPOGID="16560" FPOGV="1" LPOGX="0.86769" LPOGY="0.38327" LPOGV="1" RPOGX="0.63488" RPOGY="0.25482" RPOGV="1" BPOGX="0.75129" BPOGY="0.31905" BPOGV="1" LPCX="0.36797" LPCY="0.77396" LPD="27.22624" LPS="1.14828" LPV="1" RPCX="0.61681" RPCY="0.79495" RPD="27.97486" RPS="1.14828" RPV="1" LEYEX="-0.03775" LEYEY="-0.06302" LEYEZ="0.73382" LPUPILD="0.00566" LPUPILV="1" REYEX="0.03064" REYEY="-0.06437" REYEZ="0.69721" RPUPILD="0.00565" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="30" />
<REC FPOGX="0.76239" FPOGY="0.30377" FPOGS="5777.42432" FPOGD="0.06055" FPOGID="16560" FPOGV="1" LPOGX="0.86313" LPOGY="0.37233" LPOGV="1" RPOGX="0.62711" RPOGY="0.24739" RPOGV="1" BPOGX="0.74512" BPOGY="0.30986" BPOGV="1" LPCX="0.36798" LPCY="0.77394" LPD="27.23169" LPS="1.15852" LPV="1" RPCX="0.61684" RPCY="0.79491" RPD="27.98204" RPS="1.15852" RPV="1" LEYEX="-0.03775" LEYEY="-0.06302" LEYEZ="0.73382" LPUPILD="0.00565" LPUPILV="1" REYEX="0.03064" REYEY="-0.06437" REYEZ="0.69721" RPUPILD="0.00565" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="30" />
<REC FPOGX="0.76090" FPOGY="0.30396" FPOGS="5777.42432" FPOGD="0.06738" FPOGID="16560" FPOGV="1" LPOGX="0.86466" LPOGY="0.36582" LPOGV="1" RPOGX="0.62745" RPOGY="0.24585" RPOGV="1" BPOGX="0.74605" BPOGY="0.30584" BPOGV="1" LPCX="0.36794" LPCY="0.77394" LPD="27.33145" LPS="1.16876" LPV="1" RPCX="0.61686" RPCY="0.79492" RPD="27.95673" RPS="1.16067" RPV="1" LEYEX="-0.03725" LEYEY="-0.06212" LEYEZ="0.72406" LPUPILD="0.00566" LPUPILV="1" REYEX="0.02909" REYEY="-0.06103" REYEZ="0.66104" RPUPILD="0.00566" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="30" />
<REC FPOGX="0.75998" FPOGY="0.30401" FPOGS="5777.42432" FPOGD="0.07373" FPOGID="16560" FPOGV="1" LPOGX="0.86548" LPOGY="0.36324" LPOGV="1" RPOGX="0.63426" RPOGY="0.24594" RPOGV="1" BPOGX="0.74987" BPOGY="0.30459" BPOGV="1" LPCX="0.36792" LPCY="0.77385" LPD="27.47188" LPS="1.16067" LPV="1" RPCX="0.61685" RPCY="0.79486" RPD="28.01139" RPS="1.15258" RPV="1" LEYEX="-0.03725" LEYEY="-0.06212" LEYEZ="0.72406" LPUPILD="0.00562" LPUPILV="1" REYEX="0.02909" REYEY="-0.06103" REYEZ="0.66104" RPUPILD="0.00567" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="30" />
