2025-05-27 11:21:09.184898
 REYEZ="0.51221" RPUPILD="0.00441" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="18" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.72458" FPOGY="0.10123" FPOGS="4189.07715" FPOGD="0.18018" FPOGID="11541" FPOGV="1" LPOGX="0.80995" LPOGY="0.16148" LPOGV="1" RPOGX="0.80904" RPOGY="0.06648" RPOGV="1" BPOGX="0.80950" BPOGY="0.11398" BPOGV="1" LPCX="0.08983" LPCY="0.42025" LPD="26.00107" LPS="0.59341" LPV="1" RPCX="0.39875" RPCY="0.41465" RPD="26.64417" RPS="0.59341" RPV="1" LEYEX="-0.07817" LEYEY="0.01016" LEYEZ="0.49284" LPUPILD="0.00448" LPUPILV="1" REYEX="-0.02080" REYEY="0.01110" REYEZ="0.49831" RPUPILD="0.00452" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.72754" FPOGY="0.10153" FPOGS="4189.07715" FPOGD="0.18652" FPOGID="11541" FPOGV="1" LPOGX="0.81046" LPOGY="0.15754" LPOGV="1" RPOGX="0.81048" RPOGY="0.06236" RPOGV="1" BPOGX="0.81047" BPOGY="0.10995" BPOGV="1" LPCX="0.09046" LPCY="0.42013" LPD="26.62353" LPS="0.59588" LPV="1" RPCX="0.39914" RPCY="0.41429" RPD="25.59839" RPS="0.59588" RPV="1" LEYEX="-0.07945" LEYEY="0.01036" LEYEZ="0.50207" LPUPILD="0.00443" LPUPILV="1" REYEX="-0.02064" REYEY="0.01113" REYEZ="0.49786" RPUPILD="0.00464" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.73057" FPOGY="0.10120" FPOGS="4189.07715" FPOGD="0.19336" FPOGID="11541" FPOGV="1" LPOGX="0.83136" LPOGY="0.13972" LPOGV="1" RPOGX="0.80572" RPOGY="0.04379" RPOGV="1" BPOGX="0.81854" BPOGY="0.09175" BPOGV="1" LPCX="0.09043" LPCY="0.42014" LPD="25.67643" LPS="0.59835" LPV="1" RPCX="0.39910" RPCY="0.41439" RPD="25.71739" RPS="0.59835" RPV="1" LEYEX="-0.07945" LEYEY="0.01036" LEYEZ="0.50207" LPUPILD="0.00460" LPUPILV="1" REYEX="-0.02064" REYEY="0.01113" REYEZ="0.49786" RPUPILD="0.00475" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.76217" FPOGY="0.10504" FPOGS="4189.07715" FPOGD="0.19336" FPOGID="11541" FPOGV="0" LPOGX="0.81078" LPOGY="0.13991" LPOGV="1" RPOGX="0.82212" RPOGY="0.06500" RPOGV="1" BPOGX="0.81645" BPOGY="0.10245" BPOGV="1" LPCX="0.09057" LPCY="0.42016" LPD="25.89527" LPS="0.60082" LPV="1" RPCX="0.39950" RPCY="0.41414" RPD="25.88166" RPS="0.60082" RPV="1" LEYEX="-0.07945" LEYEY="0.01036" LEYEZ="0.50207" LPUPILD="0.00452" LPUPILV="1" REYEX="-0.02064" REYEY="0.01113" REYEZ="0.49786" RPUPILD="0.00466" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.78812" FPOGY="0.10764" FPOGS="4189.07715" FPOGD="0.19336" FPOGID="11541" FPOGV="0" LPOGX="0.81031" LPOGY="0.14363" LPOGV="1" RPOGX="0.81782" RPOGY="0.07686" RPOGV="1" BPOGX="0.81407" BPOGY="0.11024" BPOGV="1" LPCX="0.09059" LPCY="0.42016" LPD="25.93322" LPS="0.59851" LPV="1" RPCX="0.39976" RPCY="0.41402" RPD="26.39706" RPS="0.59362" RPV="1" LEYEX="-0.07712" LEYEY="0.01006" LEYEZ="0.48785" LPUPILD="0.00452" LPUPILV="1" REYEX="-0.02064" REYEY="0.01113" REYEZ="0.49786" RPUPILD="0.00458" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.79814" FPOGY="0.11848" FPOGS="4189.07715" FPOGD="0.19336" FPOGID="11541" FPOGV="0" LPOGX="0.81817" LPOGY="0.17821" LPOGV="1" RPOGX="0.81820" RPOGY="0.10210" RPOGV="1" BPOGX="0.81818" BPOGY="0.14016" BPOGV="1" LPCX="0.09118" LPCY="0.42001" LPD="26.03584" LPS="0.58883" LPV="1" RPCX="0.40003" RPCY="0.41386" RPD="26.37940" RPS="0.58394" RPV="1" LEYEX="-0.07712" LEYEY="0.01006" LEYEZ="0.48785" LPUPILD="0.00448" LPUPILV="1" REYEX="-0.02064" REYEY="0.01113" REYEZ="0.49786" RPUPILD="0.00459" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.79955" FPOGY="0.12660" FPOGS="4189.27734" FPOGD="0.02051" FPOGID="11542" FPOGV="1" LPOGX="0.80406" LPOGY="0.18146" LPOGV="1" RPOGX="0.80348" RPOGY="0.12048" RPOGV="1" BPOGX="0.80377" BPOGY="0.15097" BPOGV="1" LPCX="0.09116" LPCY="0.41972" LPD="25.32926" LPS="0.57916" LPV="1" RPCX="0.40000" RPCY="0.41387" RPD="26.41234" RPS="0.57426" RPV="1" LEYEX="-0.07712" LEYEY="0.01006" LEYEZ="0.48785" LPUPILD="0.00451" LPUPILV="1" REYEX="-0.02064" REYEY="0.01113" REYEZ="0.49786" RPUPILD="0.00477" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.79976" FPOGY="0.13421" FPOGS="4189.27734" FPOGD="0.02686" FPOGID="11542" FPOGV="1" LPOGX="0.80213" LPOGY="0.19686" LPOGV="1" RPOGX="0.79912" RPOGY="0.13241" RPOGV="1" BPOGX="0.80063" BPOGY="0.16464" BPOGV="1" LPCX="0.09152" LPCY="0.41946" LPD="25.80440" LPS="0.56948" LPV="1" RPCX="0.40038" RPCY="0.41396" RPD="25.60695" RPS="0.56695" RPV="1" LEYEX="-0.07675" LEYEY="0.01014" LEYEZ="0.48643" LPUPILD="0.00439" LPUPILV="1" REYEX="-0.02035" REYEY="0.01123" REYEZ="0.49730" RPUPILD="0.00476" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.80092" FPOGY="0.13714" FPOGS="4189.27734" FPOGD="0.03369" FPOGID="11542" FPOGV="1" LPOGX="0.80417" LPOGY="0.19065" LPOGV="1" RPOGX="0.80922" RPOGY="0.11295" RPOGV="1" BPOGX="0.80669" BPOGY="0.15180" BPOGV="1" LPCX="0.09156" LPCY="0.41950" LPD="25.65212" LPS="0.56695" LPV="1" RPCX="0.40078" RPCY="0.41349" RPD="25.99975" RPS="0.56931" RPV="1" LEYEX="-0.07675" LEYEY="0.01014" LEYEZ="0.48643" LPUPILD="0.00453" LPUPILV="1" REYEX="-0.02035" REYEY="0.01123" REYEZ="0.49730" RPUPILD="0.00456" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.80067" FPOGY="0.13747" FPOGS="4189.27734" FPOGD="0.04004" FPOGID="11542" FPOGV="1" LPOGX="0.81509" LPOGY="0.17674" LPOGV="1" RPOGX="0.78320" RPOGY="0.10209" RPOGV="1" BPOGX="0.79915" BPOGY="0.13942" BPOGV="1" LPCX="0.09188" LPCY="0.41925" LPD="25.71784" LPS="0.56931" LPV="1" RPCX="0.40069" RPCY="0.41359" RPD="26.17430" RPS="0.57168" RPV="1" LEYEX="-0.07675" LEYEY="0.01014" LEYEZ="0.48643" LPUPILD="0.00454" LPUPILV="1" REYEX="-0.02035" REYEY="0.01123" REYEZ="0.49730" RPUPILD="0.00467" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.80071" FPOGY="0.13674" FPOGS="4189.27734" FPOGD="0.04639" FPOGID="11542" FPOGV="1" LPOGX="0.81613" LPOGY="0.16910" LPOGV="1" RPOGX="0.78584" RPOGY="0.09427" RPOGV="1" BPOGX="0.80098" BPOGY="0.13168" BPOGV="1" LPCX="0.09217" LPCY="0.41921" LPD="26.01211" LPS="0.57399" LPV="1" RPCX="0.40131" RPCY="0.41337" RPD="26.53157" RPS="0.57636" RPV="1" LEYEX="-0.07789" LEYEY="0.01034" LEYEZ="0.49434" LPUPILD="0.00440" LPUPILV="1" REYEX="-0.01997" REYEY="0.01114" REYEZ="0.49165" RPUPILD="0.00461" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
