2025-05-27 11:27:24.961974
8" REYEZ="0.50632" RPUPILD="0.00447" RPUPILV="1" BKID="895" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="4563.66504" FPOGD="0.23438" FPOGID="12869" FPOGV="0" LPOGX="0.74258" LPOGY="0.00016" LPOGV="0" RPOGX="0.70162" RPOGY="-0.33065" RPOGV="0" BPOGX="0.74258" BPOGY="0.00016" BPOGV="0" LPCX="0.27142" LPCY="0.48033" LPD="17.08030" LPS="0.67304" LPV="0" RPCX="0.56305" RPCY="0.47569" RPD="21.73502" RPS="0.67304" RPV="0" LEYEX="-0.18306" LEYEY="0.00254" LEYEZ="2.11579" LPUPILD="0.00425" LPUPILV="0" REYEX="0.01093" REYEY="0.00118" REYEZ="0.50632" RPUPILD="0.00447" RPUPILV="1" BKID="895" BKDUR="0.00000" BKPMIN="13" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.89406" FPOGY="-0.30588" FPOGS="4564.88428" FPOGD="0.13428" FPOGID="12872" FPOGV="0" LPOGX="0.91536" LPOGY="-0.22723" LPOGV="1" RPOGX="0.91086" RPOGY="-0.34654" RPOGV="1" BPOGX="0.91311" BPOGY="-0.28688" BPOGV="1" LPCX="0.31953" LPCY="0.49192" LPD="22.11996" LPS="0.61187" LPV="1" RPCX="0.61557" RPCY="0.49118" RPD="22.12094" RPS="0.60916" RPV="1" LEYEX="-0.03572" LEYEY="-0.00132" LEYEZ="0.50111" LPUPILD="0.00430" LPUPILV="1" REYEX="0.01784" REYEY="0.00053" REYEZ="0.50426" RPUPILD="0.00442" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.89812" FPOGY="-0.29812" FPOGS="4565.02539" FPOGD="0.02002" FPOGID="12873" FPOGV="1" LPOGX="0.91349" LPOGY="-0.21516" LPOGV="1" RPOGX="0.90712" RPOGY="-0.33449" RPOGV="1" BPOGX="0.91030" BPOGY="-0.27482" BPOGV="1" LPCX="0.31975" LPCY="0.49259" LPD="22.22962" LPS="0.60651" LPV="1" RPCX="0.61574" RPCY="0.49144" RPD="22.20761" RPS="0.60380" RPV="1" LEYEX="-0.03539" LEYEY="-0.00165" LEYEZ="0.49860" LPUPILD="0.00430" LPUPILV="1" REYEX="0.01784" REYEY="0.00053" REYEZ="0.50426" RPUPILD="0.00437" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.90081" FPOGY="-0.28977" FPOGS="4565.02539" FPOGD="0.02637" FPOGID="12873" FPOGV="1" LPOGX="0.89952" LPOGY="-0.15947" LPOGV="1" RPOGX="0.92366" RPOGY="-0.35327" RPOGV="1" BPOGX="0.91159" BPOGY="-0.25637" BPOGV="1" LPCX="0.32007" LPCY="0.49378" LPD="22.01320" LPS="0.60380" LPV="1" RPCX="0.61596" RPCY="0.49188" RPD="22.00829" RPS="0.60380" RPV="1" LEYEX="-0.03539" LEYEY="-0.00165" LEYEZ="0.49860" LPUPILD="0.00430" LPUPILV="1" REYEX="0.01784" REYEY="0.00053" REYEZ="0.50426" RPUPILD="0.00437" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.90320" FPOGY="-0.28243" FPOGS="4565.02539" FPOGD="0.03320" FPOGID="12873" FPOGV="1" LPOGX="0.90188" LPOGY="-0.15268" LPOGV="1" RPOGX="0.92834" RPOGY="-0.33881" RPOGV="1" BPOGX="0.91511" BPOGY="-0.24574" BPOGV="1" LPCX="0.32018" LPCY="0.49449" LPD="21.93671" LPS="0.60380" LPV="1" RPCX="0.61609" RPCY="0.49196" RPD="22.08988" RPS="0.60380" RPV="1" LEYEX="-0.03539" LEYEY="-0.00165" LEYEZ="0.49860" LPUPILD="0.00431" LPUPILV="1" REYEX="0.01784" REYEY="0.00053" REYEZ="0.50426" RPUPILD="0.00440" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.90524" FPOGY="-0.27846" FPOGS="4565.02539" FPOGD="0.03955" FPOGID="12873" FPOGV="1" LPOGX="0.90276" LPOGY="-0.15836" LPOGV="1" RPOGX="0.93225" RPOGY="-0.35086" RPOGV="1" BPOGX="0.91751" BPOGY="-0.25461" BPOGV="1" LPCX="0.32034" LPCY="0.49537" LPD="22.02594" LPS="0.60645" LPV="1" RPCX="0.61614" RPCY="0.49238" RPD="22.11218" RPS="0.60916" RPV="1" LEYEX="-0.03647" LEYEY="-0.00213" LEYEZ="0.51539" LPUPILD="0.00429" LPUPILV="1" REYEX="0.01784" REYEY="0.00053" REYEZ="0.50426" RPUPILD="0.00437" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.90709" FPOGY="-0.27636" FPOGS="4565.02539" FPOGD="0.04688" FPOGID="12873" FPOGV="1" LPOGX="0.91540" LPOGY="-0.17108" LPOGV="1" RPOGX="0.92472" RPOGY="-0.35234" RPOGV="1" BPOGX="0.92006" BPOGY="-0.26171" BPOGV="1" LPCX="0.32045" LPCY="0.49671" LPD="21.88638" LPS="0.61181" LPV="1" RPCX="0.61629" RPCY="0.49281" RPD="22.08642" RPS="0.61452" RPV="1" LEYEX="-0.03647" LEYEY="-0.00213" LEYEZ="0.51539" LPUPILD="0.00429" LPUPILV="1" REYEX="0.01784" REYEY="0.00053" REYEZ="0.50426" RPUPILD="0.00438" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.90827" FPOGY="-0.27679" FPOGS="4565.02539" FPOGD="0.05371" FPOGID="12873" FPOGV="1" LPOGX="0.90495" LPOGY="-0.18527" LPOGV="1" RPOGX="0.93042" RPOGY="-0.37510" RPOGV="1" BPOGX="0.91769" BPOGY="-0.28019" BPOGV="1" LPCX="0.32047" LPCY="0.49741" LPD="21.82147" LPS="0.61717" LPV="1" RPCX="0.61626" RPCY="0.49299" RPD="21.93283" RPS="0.61988" RPV="1" LEYEX="-0.03647" LEYEY="-0.00213" LEYEZ="0.51539" LPUPILD="0.00431" LPUPILV="1" REYEX="0.01784" REYEY="0.00053" REYEZ="0.50426" RPUPILD="0.00438" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.90926" FPOGY="-0.27742" FPOGS="4565.02539" FPOGD="0.06055" FPOGID="12873" FPOGV="1" LPOGX="0.90585" LPOGY="-0.19112" LPOGV="1" RPOGX="0.93042" RPOGY="-0.37510" RPOGV="1" BPOGX="0.91813" BPOGY="-0.28311" BPOGV="1" LPCX="0.32065" LPCY="0.49827" LPD="21.87336" LPS="0.61988" LPV="1" RPCX="0.61630" RPCY="0.49329" RPD="22.00535" RPS="0.61988" RPV="1" LEYEX="-0.03526" LEYEY="-0.00251" LEYEZ="0.49886" LPUPILD="0.00425" LPUPILV="1" REYEX="0.01784" REYEY="0.00053" REYEZ="0.50426" RPUPILD="0.00440" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
