2025-05-28 14:47:27.513052
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.94515" FPOGY="0.35894" FPOGS="2908.08911" FPOGD="0.07397" FPOGID="6043" FPOGV="1" LPOGX="0.94920" LPOGY="0.50138" LPOGV="1" RPOGX="0.98171" RPOGY="0.29476" RPOGV="1" BPOGX="0.96545" BPOGY="0.39807" BPOGV="1" LPCX="0.29831" LPCY="0.65626" LPD="21.91027" LPS="0.85458" LPV="1" RPCX="0.55167" RPCY="0.66213" RPD="22.68852" RPS="0.84934" RPV="1" LEYEX="-0.04746" LEYEY="-0.03016" LEYEZ="0.60286" LPUPILD="0.00443" LPUPILV="1" REYEX="0.00862" REYEY="-0.02619" REYEZ="0.50239" RPUPILD="0.00487" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.94683" FPOGY="0.36178" FPOGS="2908.08911" FPOGD="0.08081" FPOGID="6043" FPOGV="1" LPOGX="0.94916" LPOGY="0.50147" LPOGV="1" RPOGX="0.98481" RPOGY="0.29021" RPOGV="1" BPOGX="0.96699" BPOGY="0.39584" BPOGV="1" LPCX="0.29793" LPCY="0.65632" LPD="22.16334" LPS="0.85446" LPV="1" RPCX="0.55168" RPCY="0.66199" RPD="23.00353" RPS="0.85446" RPV="1" LEYEX="-0.04869" LEYEY="-0.03076" LEYEZ="0.61499" LPUPILD="0.00445" LPUPILV="1" REYEX="0.01031" REYEY="-0.03195" REYEZ="0.61387" RPUPILD="0.00477" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.94934" FPOGY="0.36216" FPOGS="2908.08911" FPOGD="0.08691" FPOGID="6043" FPOGV="1" LPOGX="0.96936" LPOGY="0.47938" LPOGV="1" RPOGX="0.99434" RPOGY="0.25487" RPOGV="1" BPOGX="0.98185" BPOGY="0.36713" BPOGV="1" LPCX="0.29754" LPCY="0.65623" LPD="22.01219" LPS="0.85446" LPV="1" RPCX="0.55093" RPCY="0.66164" RPD="22.15724" RPS="0.85970" RPV="1" LEYEX="-0.04869" LEYEY="-0.03076" LEYEZ="0.61499" LPUPILD="0.00443" LPUPILV="1" REYEX="0.01031" REYEY="-0.03195" REYEZ="0.61387" RPUPILD="0.00505" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.95001" FPOGY="0.36325" FPOGS="2908.08911" FPOGD="0.09375" FPOGID="6043" FPOGV="1" LPOGX="0.93447" LPOGY="0.46991" LPOGV="1" RPOGX="0.98436" RPOGY="0.28713" RPOGV="1" BPOGX="0.95942" BPOGY="0.37852" BPOGV="1" LPCX="0.29724" LPCY="0.65619" LPD="22.20787" LPS="0.85970" LPV="1" RPCX="0.55070" RPCY="0.66175" RPD="22.49927" RPS="0.86494" RPV="1" LEYEX="-0.04869" LEYEY="-0.03076" LEYEZ="0.61499" LPUPILD="0.00443" LPUPILV="1" REYEX="0.01031" REYEY="-0.03195" REYEZ="0.61387" RPUPILD="0.00491" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.95074" FPOGY="0.36394" FPOGS="2908.08911" FPOGD="0.10034" FPOGID="6043" FPOGV="1" LPOGX="0.93595" LPOGY="0.46598" LPOGV="1" RPOGX="0.98749" RPOGY="0.28251" RPOGV="1" BPOGX="0.96172" BPOGY="0.37425" BPOGV="1" LPCX="0.29692" LPCY="0.65616" LPD="21.98729" LPS="0.86494" LPV="1" RPCX="0.55051" RPCY="0.66159" RPD="22.76422" RPS="0.87017" RPV="1" LEYEX="-0.04820" LEYEY="-0.03028" LEYEZ="0.60532" LPUPILD="0.00440" LPUPILV="1" REYEX="0.00999" REYEY="-0.03173" REYEZ="0.61146" RPUPILD="0.00483" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.95154" FPOGY="0.36488" FPOGS="2908.08911" FPOGD="0.10693" FPOGID="6043" FPOGV="1" LPOGX="0.94133" LPOGY="0.44946" LPOGV="1" RPOGX="0.98733" RPOGY="0.31047" RPOGV="1" BPOGX="0.96433" BPOGY="0.37997" BPOGV="1" LPCX="0.29643" LPCY="0.65620" LPD="22.21556" LPS="0.87017" LPV="1" RPCX="0.54987" RPCY="0.66143" RPD="22.67799" RPS="0.87017" RPV="1" LEYEX="-0.04820" LEYEY="-0.03028" LEYEZ="0.60532" LPUPILD="0.00442" LPUPILV="1" REYEX="0.00999" REYEY="-0.03173" REYEZ="0.61146" RPUPILD="0.00486" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.95300" FPOGY="0.36577" FPOGS="2908.08911" FPOGD="0.11377" FPOGID="6043" FPOGV="1" LPOGX="0.96895" LPOGY="0.46191" LPOGV="1" RPOGX="0.98684" RPOGY="0.30006" RPOGV="1" BPOGX="0.97790" BPOGY="0.38098" BPOGV="1" LPCX="0.29612" LPCY="0.65614" LPD="22.03786" LPS="0.87017" LPV="1" RPCX="0.54976" RPCY="0.66130" RPD="22.40757" RPS="0.87017" RPV="1" LEYEX="-0.04820" LEYEY="-0.03028" LEYEZ="0.60532" LPUPILD="0.00443" LPUPILV="1" REYEX="0.00999" REYEY="-0.03173" REYEZ="0.61146" RPUPILD="0.00482" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.95423" FPOGY="0.36669" FPOGS="2908.08911" FPOGD="0.12036" FPOGID="6043" FPOGV="1" LPOGX="0.96895" LPOGY="0.46191" LPOGV="1" RPOGX="0.98370" RPOGY="0.30458" RPOGV="1" BPOGX="0.97633" BPOGY="0.38324" BPOGV="1" LPCX="0.29586" LPCY="0.65619" LPD="22.15714" LPS="0.87017" LPV="1" RPCX="0.54940" RPCY="0.66126" RPD="22.71950" RPS="0.86494" RPV="1" LEYEX="-0.04871" LEYEY="-0.03043" LEYEZ="0.60829" LPUPILD="0.00444" LPUPILV="1" REYEX="0.00952" REYEY="-0.03088" REYEZ="0.59584" RPUPILD="0.00490" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.95476" FPOGY="0.36665" FPOGS="2908.08911" FPOGD="0.12720" FPOGID="6043" FPOGV="1" LPOGX="0.96031" LPOGY="0.45761" LPOGV="1" RPOGX="0.96931" RPOGY="0.27421" RPOGV="1" BPOGX="0.96481" BPOGY="0.36591" BPOGV="1" LPCX="0.29526" LPCY="0.65619" LPD="22.09585" LPS="0.86494" LPV="1" RPCX="0.54848" RPCY="0.66160" RPD="22.90658" RPS="0.85970" RPV="1" LEYEX="-0.04871" LEYEY="-0.03043" LEYEZ="0.60829" LPUPILD="0.00444" LPUPILV="1" REYEX="0.00952" REYEY="-0.03088" REYEZ="0.59584" RPUPILD="0.00502" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.95494" FPOGY="0.36739" FPOGS="2908.08911" FPOGD="0.13379" FPOGID="6043" FPOGV="1" LPOGX="0.93409" LPOGY="0.48846" LPOGV="1" RPOGX="0.98293" RPOGY="0.27579" RPOGV="1" BPOGX="0.95851" BPOGY="0.38213" BPOGV="1" LPCX="0.29492" LPCY="0.65618" LPD="22.15278" LPS="0.85970" LPV="1" RPCX="0.54826" RPCY="0.66142" RPD="23.15910" RPS="0.85446" RPV="1" LEYEX="-0.04871" LEYEY="-0.03043" LEYEZ="0.60829" LPUPILD="0.00443" LPUPILV="1" REYEX="0.00952" REYEY="-0.03088" REYEZ="0.59584" RPUPILD="0.00491" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.95515" FPOGY="0.36803" FPOGS="2908.08911" FPOGD="0.14038" FPOGID="6043" FPOGV="1" LPOGX="0.93261" LPOGY="0.49227" LPOGV="1" RPOGX="0.98643" RPOGY="0.27055" RPOGV="1" BPOGX="0.95952" BPOGY="0.38141" BPOGV="1" LPCX="0.29460" LPCY="0.65625" LPD="22.21022" LPS="0.85446" LPV="1" RPCX="0.54851" RPCY="0.66083" RPD="22.75319" RPS="0.86025" RPV="1" LEYEX="-0.04929" LEYEY="-0.03062" LEYEZ="0.61213" LPUPILD="0.00439" LPUPILV="1" REYEX="0.00975" REYEY="-0.03250" REYEZ="0.62797" RPUPILD="0.00476" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
