2025-05-28 12:42:36.230821
-0.23448" LEYEZ="2.47538" LPUPILD="0.00463" LPUPILV="0" REYEX="0.01535" REYEY="-0.05386" REYEZ="0.54902" RPUPILD="0.00497" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="1.08914" FPOGY="0.37642" FPOGS="3142.48193" FPOGD="0.13257" FPOGID="8191" FPOGV="1" LPOGX="1.13626" LPOGY="0.42287" LPOGV="1" RPOGX="1.02465" RPOGY="0.29114" RPOGV="1" BPOGX="1.08045" BPOGY="0.35700" BPOGV="1" LPCX="0.30816" LPCY="0.80039" LPD="24.01811" LPS="0.74373" LPV="1" RPCX="0.58209" RPCY="0.81098" RPD="25.28877" RPS="0.74373" RPV="1" LEYEX="-0.18548" LEYEY="-0.23448" LEYEZ="2.47538" LPUPILD="0.00464" LPUPILV="0" REYEX="0.01535" REYEY="-0.05386" REYEZ="0.54902" RPUPILD="0.00503" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="1.07068" FPOGY="0.39466" FPOGS="3143.24414" FPOGD="0.27515" FPOGID="8193" FPOGV="1" LPOGX="1.12243" LPOGY="0.46836" LPOGV="1" RPOGX="1.03033" RPOGY="0.32755" RPOGV="1" BPOGX="1.07638" BPOGY="0.39796" BPOGV="1" LPCX="0.30865" LPCY="0.80057" LPD="24.28290" LPS="0.73020" LPV="1" RPCX="0.58333" RPCY="0.81119" RPD="25.40002" RPS="0.73020" RPV="1" LEYEX="-0.18617" LEYEY="-0.23645" LEYEZ="2.49421" LPUPILD="0.00475" LPUPILV="0" REYEX="0.01495" REYEY="-0.05181" REYEZ="0.52769" RPUPILD="0.00503" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="1.07081" FPOGY="0.39473" FPOGS="3143.24414" FPOGD="0.28125" FPOGID="8193" FPOGV="1" LPOGX="1.12243" LPOGY="0.46836" LPOGV="1" RPOGX="1.03033" RPOGY="0.32755" RPOGV="1" BPOGX="1.07638" BPOGY="0.39796" BPOGV="1" LPCX="0.30873" LPCY="0.80062" LPD="24.44117" LPS="0.73020" LPV="1" RPCX="0.58328" RPCY="0.81117" RPD="25.35519" RPS="0.73020" RPV="1" LEYEX="-0.18544" LEYEY="-0.23536" LEYEZ="2.48468" LPUPILD="0.00477" LPUPILV="0" REYEX="0.01495" REYEY="-0.05181" REYEZ="0.52769" RPUPILD="0.00500" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="1.07071" FPOGY="0.39493" FPOGS="3143.24414" FPOGD="0.28784" FPOGID="8193" FPOGV="1" LPOGX="1.12362" LPOGY="0.47992" LPOGV="1" RPOGX="1.00869" RPOGY="0.32705" RPOGV="1" BPOGX="1.06615" BPOGY="0.40349" BPOGV="1" LPCX="0.30877" LPCY="0.80062" LPD="24.51533" LPS="0.73020" LPV="1" RPCX="0.58341" RPCY="0.81128" RPD="25.51884" RPS="0.73020" RPV="1" LEYEX="-0.18544" LEYEY="-0.23536" LEYEZ="2.48468" LPUPILD="0.00475" LPUPILV="0" REYEX="0.01495" REYEY="-0.05181" REYEZ="0.52769" RPUPILD="0.00498" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="1.07063" FPOGY="0.39511" FPOGS="3143.24414" FPOGD="0.29517" FPOGID="8193" FPOGV="1" LPOGX="1.12402" LPOGY="0.47896" LPOGV="1" RPOGX="1.01082" RPOGY="0.32702" RPOGV="1" BPOGX="1.06742" BPOGY="0.40299" BPOGV="1" LPCX="0.30874" LPCY="0.80058" LPD="24.47140" LPS="0.73020" LPV="1" RPCX="0.58335" RPCY="0.81121" RPD="25.52772" RPS="0.73020" RPV="1" LEYEX="-0.18544" LEYEY="-0.23536" LEYEZ="2.48468" LPUPILD="0.00476" LPUPILV="0" REYEX="0.01495" REYEY="-0.05181" REYEZ="0.52769" RPUPILD="0.00498" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="1.07054" FPOGY="0.39531" FPOGS="3143.24414" FPOGD="0.30176" FPOGID="8193" FPOGV="1" LPOGX="1.12402" LPOGY="0.47896" LPOGV="1" RPOGX="1.00848" RPOGY="0.33013" RPOGV="1" BPOGX="1.06625" BPOGY="0.40454" BPOGV="1" LPCX="0.30874" LPCY="0.80058" LPD="24.47140" LPS="0.73020" LPV="1" RPCX="0.58346" RPCY="0.81113" RPD="25.35893" RPS="0.72706" RPV="1" LEYEX="-0.18544" LEYEY="-0.23536" LEYEZ="2.48468" LPUPILD="0.00476" LPUPILV="0" REYEX="0.01480" REYEY="-0.05109" REYEZ="0.52078" RPUPILD="0.00493" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="1.07046" FPOGY="0.39544" FPOGS="3143.24414" FPOGD="0.30884" FPOGID="8193" FPOGV="1" LPOGX="1.12605" LPOGY="0.47368" LPOGV="1" RPOGX="1.00780" RPOGY="0.32893" RPOGV="1" BPOGX="1.06692" BPOGY="0.40130" BPOGV="1" LPCX="0.30893" LPCY="0.80044" LPD="24.46289" LPS="0.72706" LPV="1" RPCX="0.58352" RPCY="0.81124" RPD="25.49651" RPS="0.72393" RPV="1" LEYEX="-0.18544" LEYEY="-0.23536" LEYEZ="2.48468" LPUPILD="0.00468" LPUPILV="0" REYEX="0.01480" REYEY="-0.05109" REYEZ="0.52078" RPUPILD="0.00495" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="1.07037" FPOGY="0.39558" FPOGS="3143.24414" FPOGD="0.31592" FPOGID="8193" FPOGV="1" LPOGX="1.12726" LPOGY="0.47441" LPOGV="1" RPOGX="1.00440" RPOGY="0.32991" RPOGV="1" BPOGX="1.06583" BPOGY="0.40216" BPOGV="1" LPCX="0.30900" LPCY="0.80041" LPD="24.51205" LPS="0.72393" LPV="1" RPCX="0.58352" RPCY="0.81108" RPD="25.42657" RPS="0.72079" RPV="1" LEYEX="-0.18544" LEYEY="-0.23536" LEYEZ="2.48468" LPUPILD="0.00464" LPUPILV="0" REYEX="0.01480" REYEY="-0.05109" REYEZ="0.52078" RPUPILD="0.00495" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="1.07036" FPOGY="0.39573" FPOGS="3143.24414" FPOGD="0.32202" FPOGID="8193" FPOGV="1" LPOGX="1.12541" LPOGY="0.47731" LPOGV="1" RPOGX="1.00205" RPOGY="0.33305" RPOGV="1" BPOGX="1.06373" BPOGY="0.40518" BPOGV="1" LPCX="0.30900" LPCY="0.80041" LPD="24.51205" LPS="0.72079" LPV="1" RPCX="0.58363" RPCY="0.81119" RPD="25.46901" RPS="0.71766" RPV="1" LEYEX="-0.18544" LEYEY="-0.23536" LEYEZ="2.48468" LPUPILD="0.00464" LPUPILV="0" REYEX="0.01480" REYEY="-0.05109" REYEZ="0.52078" RPUPILD="0.00499" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
