2025-05-29 12:37:25.403054
1" REYEZ="0.55555" RPUPILD="0.00561" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="1.08520" FPOGY="0.37424" FPOGS="9195.96582" FPOGD="0.35449" FPOGID="25559" FPOGV="0" LPOGX="1.10224" LPOGY="0.41148" LPOGV="1" RPOGX="1.07721" RPOGY="0.34289" RPOGV="1" BPOGX="1.08973" BPOGY="0.37719" BPOGV="1" LPCX="0.34771" LPCY="0.66288" LPD="26.28675" LPS="0.80182" LPV="1" RPCX="0.60893" RPCY="0.67856" RPD="27.85325" RPS="0.79815" RPV="1" LEYEX="-0.03681" LEYEY="-0.03162" LEYEZ="0.60320" LPUPILD="0.00501" LPUPILV="1" REYEX="0.02077" REYEY="-0.03094" REYEZ="0.54213" RPUPILD="0.00561" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.74958" FPOGY="0.23857" FPOGS="9196.92969" FPOGD="0.30859" FPOGID="25562" FPOGV="1" LPOGX="0.77764" LPOGY="0.24276" LPOGV="1" RPOGX="0.71083" RPOGY="0.22689" RPOGV="1" BPOGX="0.74423" BPOGY="0.23483" BPOGV="1" LPCX="0.32977" LPCY="0.66273" LPD="25.26546" LPS="0.88081" LPV="1" RPCX="0.59198" RPCY="0.67585" RPD="26.64911" RPS="0.88081" RPV="1" LEYEX="-0.04083" LEYEY="-0.03240" LEYEZ="0.61807" LPUPILD="0.00480" LPUPILV="1" REYEX="0.02053" REYEY="-0.03417" REYEZ="0.60578" RPUPILD="0.00561" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.74932" FPOGY="0.23888" FPOGS="9196.92969" FPOGD="0.31641" FPOGID="25562" FPOGV="1" LPOGX="0.77242" LPOGY="0.28525" LPOGV="1" RPOGX="0.70260" RPOGY="0.22167" RPOGV="1" BPOGX="0.73751" BPOGY="0.25346" BPOGV="1" LPCX="0.32969" LPCY="0.66269" LPD="25.14221" LPS="0.88647" LPV="1" RPCX="0.59188" RPCY="0.67583" RPD="26.61689" RPS="0.88647" RPV="1" LEYEX="-0.04083" LEYEY="-0.03240" LEYEZ="0.61807" LPUPILD="0.00482" LPUPILV="1" REYEX="0.02053" REYEY="-0.03417" REYEZ="0.60578" RPUPILD="0.00561" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.74805" FPOGY="0.23877" FPOGS="9196.92969" FPOGD="0.32324" FPOGID="25562" FPOGV="1" LPOGX="0.76617" LPOGY="0.28991" LPOGV="1" RPOGX="0.69581" RPOGY="0.22438" RPOGV="1" BPOGX="0.73099" BPOGY="0.25714" BPOGV="1" LPCX="0.32962" LPCY="0.66262" LPD="25.15357" LPS="0.89212" LPV="1" RPCX="0.59177" RPCY="0.67588" RPD="26.72555" RPS="0.89212" RPV="1" LEYEX="-0.04083" LEYEY="-0.03240" LEYEZ="0.61807" LPUPILD="0.00476" LPUPILV="1" REYEX="0.02053" REYEY="-0.03417" REYEZ="0.60578" RPUPILD="0.00557" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.74808" FPOGY="0.23904" FPOGS="9196.92969" FPOGD="0.32910" FPOGID="25562" FPOGV="1" LPOGX="0.76617" LPOGY="0.28991" LPOGV="1" RPOGX="0.69581" RPOGY="0.22438" RPOGV="1" BPOGX="0.73099" BPOGY="0.25714" BPOGV="1" LPCX="0.32953" LPCY="0.66266" LPD="25.14531" LPS="0.89212" LPV="1" RPCX="0.59178" RPCY="0.67588" RPD="26.68271" RPS="0.89212" RPV="1" LEYEX="-0.17703" LEYEY="-0.14318" LEYEZ="2.73514" LPUPILD="0.00478" LPUPILV="0" REYEX="0.02064" REYEY="-0.03451" REYEZ="0.61185" RPUPILD="0.00556" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.74794" FPOGY="0.23905" FPOGS="9196.92969" FPOGD="0.33594" FPOGID="25562" FPOGV="1" LPOGX="0.78489" LPOGY="0.24479" LPOGV="1" RPOGX="0.71332" RPOGY="0.22295" RPOGV="1" BPOGX="0.74911" BPOGY="0.23387" BPOGV="1" LPCX="0.32938" LPCY="0.66271" LPD="25.05625" LPS="0.88647" LPV="1" RPCX="0.59163" RPCY="0.67588" RPD="26.68780" RPS="0.88647" RPV="1" LEYEX="-0.17703" LEYEY="-0.14318" LEYEZ="2.73514" LPUPILD="0.00484" LPUPILV="0" REYEX="0.02064" REYEY="-0.03451" REYEZ="0.61185" RPUPILD="0.00557" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.74790" FPOGY="0.23937" FPOGS="9196.92969" FPOGD="0.34277" FPOGID="25562" FPOGV="1" LPOGX="0.77787" LPOGY="0.26313" LPOGV="1" RPOGX="0.70361" RPOGY="0.23900" RPOGV="1" BPOGX="0.74074" BPOGY="0.25107" BPOGV="1" LPCX="0.32925" LPCY="0.66282" LPD="25.11320" LPS="0.88081" LPV="1" RPCX="0.59153" RPCY="0.67587" RPD="26.69462" RPS="0.88081" RPV="1" LEYEX="-0.17703" LEYEY="-0.14318" LEYEZ="2.73514" LPUPILD="0.00483" LPUPILV="0" REYEX="0.02064" REYEY="-0.03451" REYEZ="0.61185" RPUPILD="0.00554" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.74782" FPOGY="0.23987" FPOGS="9196.92969" FPOGD="0.34863" FPOGID="25562" FPOGV="1" LPOGX="0.77787" LPOGY="0.26313" LPOGV="1" RPOGX="0.70361" RPOGY="0.23900" RPOGV="1" BPOGX="0.74074" BPOGY="0.25107" BPOGV="1" LPCX="0.32920" LPCY="0.66284" LPD="24.99401" LPS="0.88081" LPV="1" RPCX="0.59148" RPCY="0.67588" RPD="26.62987" RPS="0.88081" RPV="1" LEYEX="-0.04102" LEYEY="-0.03253" LEYEZ="0.61963" LPUPILD="0.00481" LPUPILV="1" REYEX="0.02031" REYEY="-0.03411" REYEZ="0.60480" RPUPILD="0.00553" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.74814" FPOGY="0.23986" FPOGS="9196.92969" FPOGD="0.35645" FPOGID="25562" FPOGV="1" LPOGX="0.79352" LPOGY="0.27158" LPOGV="1" RPOGX="0.72135" RPOGY="0.22523" RPOGV="1" BPOGX="0.75743" BPOGY="0.24841" BPOGV="1" LPCX="0.32907" LPCY="0.66283" LPD="24.96356" LPS="0.88647" LPV="1" RPCX="0.59136" RPCY="0.67579" RPD="26.60791" RPS="0.88647" RPV="1" LEYEX="-0.04102" LEYEY="-0.03253" LEYEZ="0.61963" LPUPILD="0.00480" LPUPILV="1" REYEX="0.02031" REYEY="-0.03411" REYEZ="0.60480" RPUPILD="0.00554" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
