2025-05-27 10:32:26.229633
" REYEZ="0.71755" RPUPILD="0.00605" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.50554" FPOGY="0.27458" FPOGS="1265.28882" FPOGD="0.10046" FPOGID="2517" FPOGV="0" LPOGX="0.66381" LPOGY="0.18154" LPOGV="1" RPOGX="0.55889" RPOGY="0.27645" RPOGV="1" BPOGX="0.61135" BPOGY="0.22900" BPOGV="1" LPCX="0.28249" LPCY="0.78096" LPD="16.98373" LPS="1.13328" LPV="1" RPCX="0.49535" RPCY="0.78135" RPD="25.04682" RPS="1.14245" RPV="1" LEYEX="-0.05661" LEYEY="-0.05986" LEYEZ="0.67529" LPUPILD="0.00436" LPUPILV="1" REYEX="-0.00167" REYEY="-0.06334" REYEZ="0.71755" RPUPILD="0.00613" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.42723" FPOGY="0.21169" FPOGS="1266.25342" FPOGD="0.05347" FPOGID="2521" FPOGV="1" LPOGX="0.50278" LPOGY="0.17600" LPOGV="1" RPOGX="0.36682" RPOGY="0.22298" RPOGV="1" BPOGX="0.43480" BPOGY="0.19949" BPOGV="1" LPCX="0.28052" LPCY="0.78017" LPD="16.99970" LPS="1.08807" LPV="1" RPCX="0.49409" RPCY="0.78064" RPD="25.70151" RPS="1.08807" RPV="1" LEYEX="-0.05663" LEYEY="-0.05990" LEYEZ="0.67800" LPUPILD="0.00434" LPUPILV="1" REYEX="-0.00143" REYEY="-0.06217" REYEZ="0.70607" RPUPILD="0.00613" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.42833" FPOGY="0.20893" FPOGS="1266.25342" FPOGD="0.06006" FPOGID="2521" FPOGV="1" LPOGX="0.51301" LPOGY="0.14159" LPOGV="1" RPOGX="0.36358" RPOGY="0.22653" RPOGV="1" BPOGX="0.43830" BPOGY="0.18406" BPOGV="1" LPCX="0.28056" LPCY="0.78022" LPD="17.23232" LPS="1.08807" LPV="1" RPCX="0.49410" RPCY="0.78064" RPD="25.67887" RPS="1.08807" RPV="1" LEYEX="-0.05663" LEYEY="-0.05990" LEYEZ="0.67800" LPUPILD="0.00431" LPUPILV="1" REYEX="-0.00143" REYEY="-0.06217" REYEZ="0.70607" RPUPILD="0.00614" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.42858" FPOGY="0.20929" FPOGS="1266.25342" FPOGD="0.06702" FPOGID="2521" FPOGV="1" LPOGX="0.48514" LPOGY="0.18119" LPOGV="1" RPOGX="0.37686" RPOGY="0.24462" RPOGV="1" BPOGX="0.43100" BPOGY="0.21291" BPOGV="1" LPCX="0.28052" LPCY="0.78023" LPD="17.20628" LPS="1.08807" LPV="1" RPCX="0.49412" RPCY="0.78064" RPD="25.65431" RPS="1.08807" RPV="1" LEYEX="-0.05663" LEYEY="-0.05990" LEYEZ="0.67800" LPUPILD="0.00432" LPUPILV="1" REYEX="-0.00143" REYEY="-0.06217" REYEZ="0.70607" RPUPILD="0.00614" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.42878" FPOGY="0.20959" FPOGS="1266.25342" FPOGD="0.07373" FPOGID="2521" FPOGV="1" LPOGX="0.48514" LPOGY="0.18119" LPOGV="1" RPOGX="0.37686" RPOGY="0.24462" RPOGV="1" BPOGX="0.43100" BPOGY="0.21291" BPOGV="1" LPCX="0.28059" LPCY="0.78027" LPD="17.32982" LPS="1.08807" LPV="1" RPCX="0.49418" RPCY="0.78071" RPD="25.43596" RPS="1.08807" RPV="1" LEYEX="-0.05663" LEYEY="-0.05990" LEYEZ="0.67800" LPUPILD="0.00428" LPUPILV="1" REYEX="-0.00143" REYEY="-0.06217" REYEZ="0.70607" RPUPILD="0.00616" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.42918" FPOGY="0.20848" FPOGS="1266.25342" FPOGD="0.08008" FPOGID="2521" FPOGV="1" LPOGX="0.48200" LPOGY="0.15478" LPOGV="1" RPOGX="0.38611" RPOGY="0.23541" RPOGV="1" BPOGX="0.43406" BPOGY="0.19510" BPOGV="1" LPCX="0.28064" LPCY="0.78014" LPD="17.58149" LPS="1.08807" LPV="1" RPCX="0.49425" RPCY="0.78078" RPD="25.32643" RPS="1.08807" RPV="1" LEYEX="-0.05663" LEYEY="-0.05990" LEYEZ="0.67800" LPUPILD="0.00434" LPUPILV="1" REYEX="-0.00143" REYEY="-0.06217" REYEZ="0.70607" RPUPILD="0.00616" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.42949" FPOGY="0.20683" FPOGS="1266.25342" FPOGD="0.08789" FPOGID="2521" FPOGV="1" LPOGX="0.48025" LPOGY="0.14652" LPOGV="1" RPOGX="0.38667" RPOGY="0.22423" RPOGV="1" BPOGX="0.43346" BPOGY="0.18537" BPOGV="1" LPCX="0.28077" LPCY="0.78019" LPD="17.57524" LPS="1.08807" LPV="1" RPCX="0.49426" RPCY="0.78078" RPD="25.30744" RPS="1.08807" RPV="1" LEYEX="-0.05663" LEYEY="-0.05990" LEYEZ="0.67800" LPUPILD="0.00436" LPUPILV="1" REYEX="-0.00143" REYEY="-0.06217" REYEZ="0.70607" RPUPILD="0.00621" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.42959" FPOGY="0.20384" FPOGS="1266.25342" FPOGD="0.09375" FPOGID="2521" FPOGV="1" LPOGX="0.47691" LPOGY="0.13089" LPOGV="1" RPOGX="0.38501" RPOGY="0.19306" RPOGV="1" BPOGX="0.43096" BPOGY="0.16197" BPOGV="1" LPCX="0.28083" LPCY="0.78022" LPD="17.47011" LPS="1.10727" LPV="1" RPCX="0.49428" RPCY="0.78073" RPD="25.49167" RPS="1.12691" RPV="1" LEYEX="-0.06026" LEYEY="-0.06385" LEYEZ="0.72271" LPUPILD="0.00442" LPUPILV="1" REYEX="-0.00143" REYEY="-0.06217" REYEZ="0.70607" RPUPILD="0.00615" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.43063" FPOGY="0.20338" FPOGS="1266.25342" FPOGD="0.10046" FPOGID="2521" FPOGV="1" LPOGX="0.49841" LPOGY="0.20048" LPOGV="1" RPOGX="0.39420" RPOGY="0.19253" RPOGV="1" BPOGX="0.44630" BPOGY="0.19650" BPOGV="1" LPCX="0.28088" LPCY="0.78041" LPD="17.19584" LPS="1.14611" LPV="1" RPCX="0.49428" RPCY="0.78076" RPD="25.31966" RPS="1.16575" RPV="1" LEYEX="-0.06026" LEYEY="-0.06385" LEYEZ="0.72271" LPUPILD="0.00434" LPUPILV="1" REYEX="-0.00143" REYEY="-0.06217" REYEZ="0.70607" RPUPILD="0.00621" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
