2025-05-28 15:13:09.685207
<ACK ID="ENABLE_SEND_POG_FIX" STATE="1" />
<ACK ID="ENABLE_SEND_POG_LEFT" STATE="1" />
<ACK ID="ENABLE_SEND_POG_RIGHT" STATE="1" />
<ACK ID="ENABLE_SEND_POG_BEST" STATE="1" />
<ACK ID="ENABLE_SEND_PUPIL_LEFT" STATE="1" />
<ACK ID="ENABLE_SEND_PUPIL_RIGHT" STATE="1" />
<ACK ID="ENABLE_SEND_EYE_LEFT" STATE="1" />
<ACK ID="ENABLE_SEND_EYE_RIGHT" STATE="1" />
<ACK ID="ENABLE_SEND_BLINK" STATE="1" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="1.14434" FPOGY="0.92824" FPOGS="4450.07178" FPOGD="0.26465" FPOGID="8468" FPOGV="1" LPOGX="1.20718" LPOGY="0.96044" LPOGV="1" RPOGX="1.08941" RPOGY="0.84790" RPOGV="1" BPOGX="1.14829" BPOGY="0.90417" BPOGV="1" LPCX="0.31134" LPCY="0.43693" LPD="22.51640" LPS="0.88877" LPV="1" RPCX="0.54782" RPCY="0.42457" RPD="31.13908" RPS="0.88353" RPV="1" LEYEX="-0.04615" LEYEY="0.01148" LEYEZ="0.61490" LPUPILD="0.00490" LPUPILV="1" REYEX="0.00892" REYEY="0.01358" REYEZ="0.59770" RPUPILD="0.00687" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="1.14445" FPOGY="0.92763" FPOGS="4450.07178" FPOGD="0.27002" FPOGID="8468" FPOGV="1" LPOGX="1.20413" LPOGY="0.96129" LPOGV="1" RPOGX="1.09363" RPOGY="0.84638" RPOGV="1" BPOGX="1.14888" BPOGY="0.90383" BPOGV="1" LPCX="0.31153" LPCY="0.43674" LPD="22.73627" LPS="0.88353" LPV="1" RPCX="0.54792" RPCY="0.42454" RPD="31.04090" RPS="0.88932" RPV="1" LEYEX="-0.04854" LEYEY="0.01216" LEYEZ="0.64867" LPUPILD="0.00488" LPUPILV="1" REYEX="0.00948" REYEY="0.01429" REYEZ="0.62873" RPUPILD="0.00686" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="1.14468" FPOGY="0.92712" FPOGS="4450.07178" FPOGD="0.27539" FPOGID="8468" FPOGV="1" LPOGX="1.17969" LPOGY="0.98456" LPOGV="1" RPOGX="1.12797" RPOGY="0.82854" RPOGV="1" BPOGX="1.15383" BPOGY="0.90655" BPOGV="1" LPCX="0.31177" LPCY="0.43644" LPD="22.68891" LPS="0.89560" LPV="1" RPCX="0.54816" RPCY="0.42442" RPD="31.33550" RPS="0.90663" RPV="1" LEYEX="-0.04854" LEYEY="0.01216" LEYEZ="0.64867" LPUPILD="0.00491" LPUPILV="1" REYEX="0.00948" REYEY="0.01429" REYEZ="0.62873" RPUPILD="0.00686" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="1.14466" FPOGY="0.92644" FPOGS="4450.07178" FPOGD="0.28125" FPOGID="8468" FPOGV="1" LPOGX="1.19355" LPOGY="0.95836" LPOGV="1" RPOGX="1.09387" RPOGY="0.83880" RPOGV="1" BPOGX="1.14371" BPOGY="0.89858" BPOGV="1" LPCX="0.31187" LPCY="0.43641" LPD="22.63605" LPS="0.91292" LPV="1" RPCX="0.54839" RPCY="0.42448" RPD="31.29273" RPS="0.92394" RPV="1" LEYEX="-0.04854" LEYEY="0.01216" LEYEZ="0.64867" LPUPILD="0.00494" LPUPILV="1" REYEX="0.00948" REYEY="0.01429" REYEZ="0.62873" RPUPILD="0.00690" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="1.14471" FPOGY="0.92576" FPOGS="4450.07178" FPOGD="0.28857" FPOGID="8468" FPOGV="1" LPOGX="1.19652" LPOGY="0.95750" LPOGV="1" RPOGX="1.09763" RPOGY="0.83740" RPOGV="1" BPOGX="1.14708" BPOGY="0.89745" BPOGV="1" LPCX="0.31197" LPCY="0.43635" LPD="22.81690" LPS="0.91829" LPV="1" RPCX="0.54853" RPCY="0.42456" RPD="31.21850" RPS="0.92931" RPV="1" LEYEX="-0.04537" LEYEY="0.01153" LEYEZ="0.60760" LPUPILD="0.00493" LPUPILV="1" REYEX="0.00965" REYEY="0.01426" REYEZ="0.62764" RPUPILD="0.00689" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="1.14530" FPOGY="0.92596" FPOGS="4450.07178" FPOGD="0.29541" FPOGID="8468" FPOGV="1" LPOGX="1.21523" LPOGY="0.99863" LPOGV="1" RPOGX="1.12613" RPOGY="0.86978" RPOGV="1" BPOGX="1.17068" BPOGY="0.93421" BPOGV="1" LPCX="0.31219" LPCY="0.43611" LPD="22.48554" LPS="0.91737" LPV="1" RPCX="0.54880" RPCY="0.42438" RPD="31.19857" RPS="0.91737" RPV="1" LEYEX="-0.04537" LEYEY="0.01153" LEYEZ="0.60760" LPUPILD="0.00490" LPUPILV="1" REYEX="0.00965" REYEY="0.01426" REYEZ="0.62764" RPUPILD="0.00688" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="1.14548" FPOGY="0.92583" FPOGS="4450.07178" FPOGD="0.30273" FPOGID="8468" FPOGV="1" LPOGX="1.18524" LPOGY="0.96231" LPOGV="1" RPOGX="1.12172" RPOGY="0.87857" RPOGV="1" BPOGX="1.15348" BPOGY="0.92044" BPOGV="1" LPCX="0.31231" LPCY="0.43600" LPD="22.66280" LPS="0.90543" LPV="1" RPCX="0.54882" RPCY="0.42439" RPD="31.23741" RPS="0.90543" RPV="1" LEYEX="-0.04537" LEYEY="0.01153" LEYEZ="0.60760" LPUPILD="0.00489" LPUPILV="1" REYEX="0.00965" REYEY="0.01426" REYEZ="0.62764" RPUPILD="0.00686" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="1.14557" FPOGY="0.92574" FPOGS="4450.07178" FPOGD="0.30908" FPOGID="8468" FPOGV="1" LPOGX="1.18524" LPOGY="0.96231" LPOGV="1" RPOGX="1.11347" RPOGY="0.88106" RPOGV="1" BPOGX="1.14935" BPOGY="0.92169" BPOGV="1" LPCX="0.31240" LPCY="0.43586" LPD="22.68466" LPS="0.90543" LPV="1" RPCX="0.54889" RPCY="0.42442" RPD="31.47092" RPS="0.89440" RPV="1" LEYEX="-0.04721" LEYEY="0.01207" LEYEZ="0.63346" LPUPILD="0.00487" LPUPILV="1" REYEX="0.00922" REYEY="0.01354" REYEZ="0.59393" RPUPILD="0.00685" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="1.14537" FPOGY="0.92527" FPOGS="4450.07178" FPOGD="0.31592" FPOGID="8468" FPOGV="1" LPOGX="1.17188" LPOGY="0.93856" LPOGV="1" RPOGX="1.10056" RPOGY="0.86875" RPOGV="1" BPOGX="1.13622" BPOGY="0.90365" BPOGV="1" LPCX="0.31256" LPCY="0.43571" LPD="22.85591" LPS="0.90634" LPV="1" RPCX="0.54903" RPCY="0.42437" RPD="31.47217" RPS="0.89531" RPV="1" LEYEX="-0.04721" LEYEY="0.01207" LEYEZ="0.63346" LPUPILD="0.00488" LPUPILV="1" REYEX="0.00922" REYEY="0.01354" REYEZ="0.59393" RPUPILD="0.00682" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="1.14534" FPOGY="0.92527" FPOGS="4450.07178" FPOGD="0.32227" FPOGID="8468" FPOGV="1" LPOGX="1.18267" LPOGY="0.92571" LPOGV="1" RPOGX="1.10483" RPOGY="0.92484" RPOGV="1" BPOGX="1.14375" BPOGY="0.92527" BPOGV="1" LPCX="0.31259" LPCY="0.43563" LPD="22.86506" LPS="0.90726" LPV="1" RPCX="0.54906" RPCY="0.42433" RPD="31.41940" RPS="0.89623" RPV="1" LEYEX="-0.04721" LEYEY="0.01207" LEYEZ="0.63346" LPUPILD="0.00488" LPUPILV="1" REYEX="0.00922" REYEY="0.01354" REYEZ="0.59393" RPUPILD="0.00684" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="1.14564" FPOGY="0.92507" FPOGS="4450.07178" FPOGD="0.32910" FPOGID="8468" FPOGV="1" LPOGX="1.17668" LPOGY="0.92791" LPOGV="1" RPOGX="1.09666" RPOGY="0.92682" RPOGV="1" BPOGX="1.13667" BPOGY="0.92736" BPOGV="1" LPCX="0.31261" LPCY="0.43552" LPD="22.71272" LPS="0.89623" LPV="1" RPCX="0.54916" RPCY="0.42434" RPD="31.29381" RPS="0.88520" RPV="1" LEYEX="-0.04514" LEYEY="0.01156" LEYEZ="0.60690" LPUPILD="0.00489" LPUPILV="1" REYEX="0.00922" REYEY="0.01354" REYEZ="0.59393" RPUPILD="0.00684" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
