2025-05-29 11:28:21.508186
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.28359" FPOGY="0.11770" FPOGS="5053.24316" FPOGD="0.18701" FPOGID="11517" FPOGV="1" LPOGX="0.28981" LPOGY="0.15372" LPOGV="1" RPOGX="0.24873" RPOGY="0.04474" RPOGV="1" BPOGX="0.26927" BPOGY="0.09923" BPOGV="1" LPCX="0.38886" LPCY="0.72671" LPD="19.35070" LPS="1.02490" LPV="1" RPCX="0.64823" RPCY="0.69768" RPD="18.21390" RPS="1.02490" RPV="1" LEYEX="-0.02688" LEYEY="-0.04736" LEYEZ="0.65779" LPUPILD="0.00385" LPUPILV="1" REYEX="0.03797" REYEY="-0.04178" REYEZ="0.65852" RPUPILD="0.00373" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.28319" FPOGY="0.11743" FPOGS="5053.24316" FPOGD="0.19385" FPOGID="11517" FPOGV="1" LPOGX="0.29234" LPOGY="0.15948" LPOGV="1" RPOGX="0.25114" RPOGY="0.05956" RPOGV="1" BPOGX="0.27174" BPOGY="0.10952" BPOGV="1" LPCX="0.38878" LPCY="0.72682" LPD="19.38823" LPS="1.01788" LPV="1" RPCX="0.64816" RPCY="0.69767" RPD="18.38256" RPS="1.01069" RPV="1" LEYEX="-0.02644" LEYEY="-0.04646" LEYEZ="0.64594" LPUPILD="0.00382" LPUPILV="1" REYEX="0.03673" REYEY="-0.04047" REYEZ="0.63780" RPUPILD="0.00365" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.28305" FPOGY="0.11753" FPOGS="5053.24316" FPOGD="0.20117" FPOGID="11517" FPOGV="1" LPOGX="0.27249" LPOGY="0.15769" LPOGV="1" RPOGX="0.28495" RPOGY="0.08338" RPOGV="1" BPOGX="0.27872" BPOGY="0.12054" BPOGV="1" LPCX="0.38863" LPCY="0.72689" LPD="19.44781" LPS="1.00366" LPV="1" RPCX="0.64823" RPCY="0.69774" RPD="18.32245" RPS="0.99647" RPV="1" LEYEX="-0.02644" LEYEY="-0.04646" LEYEZ="0.64594" LPUPILD="0.00377" LPUPILV="1" REYEX="0.03673" REYEY="-0.04047" REYEZ="0.63780" RPUPILD="0.00369" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.28422" FPOGY="0.11829" FPOGS="5053.24316" FPOGD="0.20752" FPOGID="11517" FPOGV="1" LPOGX="0.32106" LPOGY="0.19107" LPOGV="1" RPOGX="0.32007" RPOGY="0.09225" RPOGV="1" BPOGX="0.32056" BPOGY="0.14166" BPOGV="1" LPCX="0.38856" LPCY="0.72687" LPD="19.17543" LPS="0.98945" LPV="1" RPCX="0.64817" RPCY="0.69778" RPD="18.29301" RPS="0.98226" RPV="1" LEYEX="-0.02644" LEYEY="-0.04646" LEYEZ="0.64594" LPUPILD="0.00381" LPUPILV="1" REYEX="0.03673" REYEY="-0.04047" REYEZ="0.63780" RPUPILD="0.00369" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.28536" FPOGY="0.11908" FPOGS="5053.24316" FPOGD="0.21387" FPOGID="11517" FPOGV="1" LPOGX="0.32354" LPOGY="0.19698" LPOGV="1" RPOGX="0.32007" RPOGY="0.09225" RPOGV="1" BPOGX="0.32180" BPOGY="0.14462" BPOGV="1" LPCX="0.38843" LPCY="0.72686" LPD="18.88811" LPS="0.98226" LPV="1" RPCX="0.64785" RPCY="0.69780" RPD="18.09489" RPS="0.98226" RPV="1" LEYEX="-0.02719" LEYEY="-0.04773" LEYEZ="0.66296" LPUPILD="0.00388" LPUPILV="1" REYEX="0.03812" REYEY="-0.04206" REYEZ="0.66283" RPUPILD="0.00377" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.28550" FPOGY="0.11896" FPOGS="5053.24316" FPOGD="0.22119" FPOGID="11517" FPOGV="1" LPOGX="0.29226" LPOGY="0.17772" LPOGV="1" RPOGX="0.28842" RPOGY="0.05224" RPOGV="1" BPOGX="0.29034" BPOGY="0.11498" BPOGV="1" LPCX="0.38841" LPCY="0.72675" LPD="19.24763" LPS="0.98928" LPV="1" RPCX="0.64774" RPCY="0.69773" RPD="18.53200" RPS="0.99647" RPV="1" LEYEX="-0.02719" LEYEY="-0.04773" LEYEZ="0.66296" LPUPILD="0.00388" LPUPILV="1" REYEX="0.03812" REYEY="-0.04206" REYEZ="0.66283" RPUPILD="0.00376" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.28583" FPOGY="0.11839" FPOGS="5053.24316" FPOGD="0.22754" FPOGID="11517" FPOGV="1" LPOGX="0.31021" LPOGY="0.17315" LPOGV="1" RPOGX="0.28360" RPOGY="0.02472" RPOGV="1" BPOGX="0.29691" BPOGY="0.09893" BPOGV="1" LPCX="0.38829" LPCY="0.72672" LPD="19.44077" LPS="1.00350" LPV="1" RPCX="0.64775" RPCY="0.69777" RPD="18.38776" RPS="1.01069" RPV="1" LEYEX="-0.02719" LEYEY="-0.04773" LEYEZ="0.66296" LPUPILD="0.00379" LPUPILV="1" REYEX="0.03812" REYEY="-0.04206" REYEZ="0.66283" RPUPILD="0.00381" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.28605" FPOGY="0.11758" FPOGS="5053.24316" FPOGD="0.23438" FPOGID="11517" FPOGV="1" LPOGX="0.30525" LPOGY="0.16145" LPOGV="1" RPOGX="0.28262" RPOGY="0.01717" RPOGV="1" BPOGX="0.29393" BPOGY="0.08931" BPOGV="1" LPCX="0.38819" LPCY="0.72666" LPD="19.17923" LPS="1.01771" LPV="1" RPCX="0.64754" RPCY="0.69770" RPD="18.59078" RPS="1.01771" RPV="1" LEYEX="-0.02689" LEYEY="-0.04699" LEYEZ="0.65329" LPUPILD="0.00384" LPUPILV="1" REYEX="0.03659" REYEY="-0.04043" REYEZ="0.63878" RPUPILD="0.00376" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.28567" FPOGY="0.11764" FPOGS="5053.24316" FPOGD="0.24072" FPOGID="11517" FPOGV="1" LPOGX="0.28371" LPOGY="0.12221" LPOGV="1" RPOGX="0.26008" RPOGY="0.11724" RPOGV="1" BPOGX="0.27189" BPOGY="0.11973" BPOGV="1" LPCX="0.38781" LPCY="0.72619" LPD="18.55368" LPS="1.01771" LPV="1" RPCX="0.64732" RPCY="0.69747" RPD="18.75820" RPS="1.01052" RPV="1" LEYEX="-0.02689" LEYEY="-0.04699" LEYEZ="0.65329" LPUPILD="0.00389" LPUPILV="1" REYEX="0.03659" REYEY="-0.04043" REYEZ="0.63878" RPUPILD="0.00374" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.28621" FPOGY="0.11758" FPOGS="5053.24316" FPOGD="0.24756" FPOGID="11517" FPOGV="1" LPOGX="0.30342" LPOGY="0.15558" LPOGV="1" RPOGX="0.30870" RPOGY="0.07511" RPOGV="1" BPOGX="0.30606" BPOGY="0.11534" BPOGV="1" LPCX="0.38789" LPCY="0.72608" LPD="18.46101" LPS="1.01052" LPV="1" RPCX="0.64720" RPCY="0.69719" RPD="18.07152" RPS="1.00333" RPV="1" LEYEX="-0.02689" LEYEY="-0.04699" LEYEZ="0.65329" LPUPILD="0.00392" LPUPILV="1" REYEX="0.03659" REYEY="-0.04043" REYEZ="0.63878" RPUPILD="0.00377" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.28679" FPOGY="0.11777" FPOGS="5053.24316" FPOGD="0.25391" FPOGID="11517" FPOGV="1" LPOGX="0.30844" LPOGY="0.16743" LPOGV="1" RPOGX="0.30953" RPOGY="0.08233" RPOGV="1" BPOGX="0.30898" BPOGY="0.12488" BPOGV="1" LPCX="0.38774" LPCY="0.72592" LPD="18.82387" LPS="0.99631" LPV="1" RPCX="0.64699" RPCY="0.69652" RPD="18.26229" RPS="0.99631" RPV="1" LEYEX="-0.02610" LEYEY="-0.04522" LEYEZ="0.63062" LPUPILD="0.00389" LPUPILV="1" REYEX="0.03804" REYEY="-0.04189" REYEZ="0.66491" RPUPILD="0.00370" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.28681" FPOGY="0.11829" FPOGS="5053.24316" FPOGD="0.26074" FPOGID="11517" FPOGV="1" LPOGX="0.29120" LPOGY="0.19105" LPOGV="1" RPOGX="0.28381" RPOGY="0.08665" RPOGV="1" BPOGX="0.28751" BPOGY="0.13885" BPOGV="1" LPCX="0.38747" LPCY="0.72594" LPD="19.17373" LPS="0.98928" LPV="1" RPCX="0.64688" RPCY="0.69639" RPD="18.75493" RPS="0.99647" RPV="1" LEYEX="-0.02610" LEYEY="-0.04522" LEYEZ="0.63062" LPUPILD="0.00388" LPUPILV="1" REYEX="0.03804" REYEY="-0.04189" REYEZ="0.66491" RPUPILD="0.00370" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.28696" FPOGY="0.11964" FPOGS="5053.24316" FPOGD="0.26758" FPOGID="11517" FPOGV="1" LPOGX="0.31280" LPOGY="0.19710" LPOGV="1" RPOGX="0.27299" RPOGY="0.14995" RPOGV="1" BPOGX="0.29289" BPOGY="0.17352" BPOGV="1" LPCX="0.38744" LPCY="0.72565" LPD="18.81977" LPS="0.98945" LPV="1" RPCX="0.64660" RPCY="0.69582" RPD="18.61601" RPS="0.99663" RPV="1" LEYEX="-0.02610" LEYEY="-0.04522" LEYEZ="0.63062" LPUPILD="0.00391" LPUPILV="1" REYEX="0.03804" REYEY="-0.04189" REYEZ="0.66491" RPUPILD="0.00372" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
