2025-05-29 11:39:21.589226
9" REYEZ="0.67847" RPUPILD="0.00416" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<REC FPOGX="0.89481" FPOGY="0.35895" FPOGS="5712.50195" FPOGD="0.07959" FPOGID="13885" FPOGV="1" LPOGX="0.87770" LPOGY="0.37866" LPOGV="1" RPOGX="0.90816" RPOGY="0.35324" RPOGV="1" BPOGX="0.89293" BPOGY="0.36595" BPOGV="1" LPCX="0.42241" LPCY="0.66008" LPD="19.81873" LPS="1.09947" LPV="1" RPCX="0.66834" RPCY="0.68433" RPD="19.11160" RPS="1.09947" RPV="1" LEYEX="-0.02118" LEYEY="-0.03504" LEYEZ="0.68901" LPUPILD="0.00428" LPUPILV="1" REYEX="0.04412" REYEY="-0.04112" REYEZ="0.70474" RPUPILD="0.00421" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.94518" FPOGY="0.37946" FPOGS="5713.23193" FPOGD="0.24121" FPOGID="13888" FPOGV="0" LPOGX="0.85721" LPOGY="0.35335" LPOGV="1" RPOGX="0.84653" RPOGY="0.36313" RPOGV="1" BPOGX="0.85187" BPOGY="0.35824" BPOGV="1" LPCX="0.41778" LPCY="0.66370" LPD="19.20463" LPS="1.09291" LPV="1" RPCX="0.66365" RPCY="0.68597" RPD="19.21736" RPS="1.10208" RPV="1" LEYEX="-0.02241" LEYEY="-0.03590" LEYEZ="0.68865" LPUPILD="0.00417" LPUPILV="1" REYEX="0.04291" REYEY="-0.04149" REYEZ="0.70565" RPUPILD="0.00404" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.89022" FPOGY="0.37212" FPOGS="5713.23193" FPOGD="0.24121" FPOGID="13888" FPOGV="0" LPOGX="0.77074" LPOGY="0.35555" LPOGV="1" RPOGX="0.78988" RPOGY="0.35930" RPOGV="1" BPOGX="0.78031" BPOGY="0.35743" BPOGV="1" LPCX="0.41653" LPCY="0.66380" LPD="18.86402" LPS="1.09312" LPV="1" RPCX="0.66226" RPCY="0.68559" RPD="19.12638" RPS="1.11038" RPV="1" LEYEX="-0.02241" LEYEY="-0.03590" LEYEZ="0.68865" LPUPILD="0.00425" LPUPILV="1" REYEX="0.04291" REYEY="-0.04149" REYEZ="0.70565" RPUPILD="0.00398" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.81636" FPOGY="0.35536" FPOGS="5713.23193" FPOGD="0.24121" FPOGID="13888" FPOGV="0" LPOGX="0.81394" LPOGY="0.35244" LPOGV="1" RPOGX="0.81985" RPOGY="0.34840" RPOGV="1" BPOGX="0.81689" BPOGY="0.35042" BPOGV="1" LPCX="0.41639" LPCY="0.66393" LPD="19.40574" LPS="1.10142" LPV="1" RPCX="0.66226" RPCY="0.68561" RPD="19.14540" RPS="1.11867" RPV="1" LEYEX="-0.02241" LEYEY="-0.03590" LEYEZ="0.68865" LPUPILD="0.00413" LPUPILV="1" REYEX="0.04291" REYEY="-0.04149" REYEZ="0.70565" RPUPILD="0.00398" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.81679" FPOGY="0.35162" FPOGS="5713.23193" FPOGD="0.24121" FPOGID="13888" FPOGV="0" LPOGX="0.81489" LPOGY="0.34681" LPOGV="1" RPOGX="0.81956" RPOGY="0.34896" RPOGV="1" BPOGX="0.81723" BPOGY="0.34788" BPOGV="1" LPCX="0.41624" LPCY="0.66389" LPD="19.27260" LPS="1.10972" LPV="1" RPCX="0.66204" RPCY="0.68538" RPD="18.50019" RPS="1.11780" RPV="1" LEYEX="-0.02231" LEYEY="-0.03536" LEYEZ="0.67934" LPUPILD="0.00411" LPUPILV="1" REYEX="0.04144" REYEY="-0.04017" REYEZ="0.68395" RPUPILD="0.00400" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.81212" FPOGY="0.35642" FPOGS="5713.23193" FPOGD="0.24121" FPOGID="13888" FPOGV="0" LPOGX="0.80942" LPOGY="0.34493" LPOGV="1" RPOGX="0.79615" RPOGY="0.38712" RPOGV="1" BPOGX="0.80279" BPOGY="0.36602" BPOGV="1" LPCX="0.41624" LPCY="0.66389" LPD="19.27260" LPS="1.11780" LPV="1" RPCX="0.66222" RPCY="0.68552" RPD="18.46416" RPS="1.10864" RPV="1" LEYEX="-0.02231" LEYEY="-0.03536" LEYEZ="0.67934" LPUPILD="0.00411" LPUPILV="1" REYEX="0.04144" REYEY="-0.04017" REYEZ="0.68395" RPUPILD="0.00396" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.80945" FPOGY="0.35955" FPOGS="5713.49951" FPOGD="0.02051" FPOGID="13889" FPOGV="1" LPOGX="0.81365" LPOGY="0.34379" LPOGV="1" RPOGX="0.78918" RPOGY="0.39404" RPOGV="1" BPOGX="0.80141" BPOGY="0.36892" BPOGV="1" LPCX="0.41624" LPCY="0.66391" LPD="19.26490" LPS="1.10864" LPV="1" RPCX="0.66220" RPCY="0.68556" RPD="18.49345" RPS="1.09947" RPV="1" LEYEX="-0.02231" LEYEY="-0.03536" LEYEZ="0.67934" LPUPILD="0.00409" LPUPILV="1" REYEX="0.04144" REYEY="-0.04017" REYEZ="0.68395" RPUPILD="0.00396" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.80746" FPOGY="0.36261" FPOGS="5713.49951" FPOGD="0.02686" FPOGID="13889" FPOGV="1" LPOGX="0.81261" LPOGY="0.35005" LPOGV="1" RPOGX="0.78637" RPOGY="0.39967" RPOGV="1" BPOGX="0.79949" BPOGY="0.37486" BPOGV="1" LPCX="0.41615" LPCY="0.66396" LPD="19.18344" LPS="1.09947" LPV="1" RPCX="0.66222" RPCY="0.68570" RPD="18.55603" RPS="1.09030" RPV="1" LEYEX="-0.02231" LEYEY="-0.03536" LEYEZ="0.67934" LPUPILD="0.00409" LPUPILV="1" REYEX="0.04144" REYEY="-0.04017" REYEZ="0.68395" RPUPILD="0.00389" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.80754" FPOGY="0.36699" FPOGS="5713.49951" FPOGD="0.03369" FPOGID="13889" FPOGV="1" LPOGX="0.79393" LPOGY="0.36831" LPOGV="1" RPOGX="0.82202" RPOGY="0.40950" RPOGV="1" BPOGX="0.80797" BPOGY="0.38890" BPOGV="1" LPCX="0.41613" LPCY="0.66401" LPD="18.87138" LPS="1.09030" LPV="1" RPCX="0.66211" RPCY="0.68563" RPD="18.40062" RPS="1.09030" RPV="1" LEYEX="-0.02231" LEYEY="-0.03536" LEYEZ="0.67934" LPUPILD="0.00412" LPUPILV="1" REYEX="0.04144" REYEY="-0.04017" REYEZ="0.68395" RPUPILD="0.00392" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.80804" FPOGY="0.36910" FPOGS="5713.49951" FPOGD="0.04004" FPOGID="13889" FPOGV="1" LPOGX="0.80452" LPOGY="0.39242" LPOGV="1" RPOGX="0.81751" RPOGY="0.37112" RPOGV="1" BPOGX="0.81101" BPOGY="0.38177" BPOGV="1" LPCX="0.41612" LPCY="0.66403" LPD="18.91175" LPS="1.09030" LPV="1" RPCX="0.66210" RPCY="0.68559" RPD="18.50398" RPS="1.09030" RPV="1" LEYEX="-0.02231" LEYEY="-0.03536" LEYEZ="0.67934" LPUPILD="0.00409" LPUPILV="1" REYEX="0.04144" REYEY="-0.04017" REYEZ="0.68395" RPUPILD="0.00390" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
