2025-05-28 11:11:48.952985
REYEZ="0.65498" RPUPILD="0.00421" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="1.03327" FPOGY="0.39629" FPOGS="3508.49902" FPOGD="0.21411" FPOGID="9342" FPOGV="1" LPOGX="1.11388" LPOGY="0.37318" LPOGV="1" RPOGX="0.90495" RPOGY="0.37645" RPOGV="1" BPOGX="1.00942" BPOGY="0.37481" BPOGV="1" LPCX="0.33590" LPCY="0.50037" LPD="23.51159" LPS="1.00321" LPV="1" RPCX="0.61251" RPCY="0.52380" RPD="20.98756" RPS="1.01040" RPV="1" LEYEX="-0.04240" LEYEY="-0.00128" LEYEZ="0.65679" LPUPILD="0.00430" LPUPILV="1" REYEX="0.02686" REYEY="-0.00585" REYEZ="0.65498" RPUPILD="0.00421" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="1.07725" FPOGY="0.42243" FPOGS="3509.24243" FPOGD="0.38184" FPOGID="9345" FPOGV="1" LPOGX="1.17149" LPOGY="0.41254" LPOGV="1" RPOGX="0.94840" RPOGY="0.51137" RPOGV="1" BPOGX="1.05994" BPOGY="0.46196" BPOGV="1" LPCX="0.33704" LPCY="0.49999" LPD="23.89219" LPS="0.96865" LPV="1" RPCX="0.61320" RPCY="0.52361" RPD="21.10333" RPS="0.96146" RPV="1" LEYEX="-0.04066" LEYEY="-0.00127" LEYEZ="0.62551" LPUPILD="0.00432" LPUPILV="1" REYEX="0.02652" REYEY="-0.00564" REYEZ="0.64315" RPUPILD="0.00447" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="1.07720" FPOGY="0.42338" FPOGS="3509.24243" FPOGD="0.38867" FPOGID="9345" FPOGV="1" LPOGX="1.16663" LPOGY="0.42222" LPOGV="1" RPOGX="0.94472" RPOGY="0.51328" RPOGV="1" BPOGX="1.05568" BPOGY="0.46775" BPOGV="1" LPCX="0.33704" LPCY="0.49998" LPD="23.93316" LPS="0.95518" LPV="1" RPCX="0.61349" RPCY="0.52376" RPD="21.14346" RPS="0.95518" RPV="1" LEYEX="-0.04066" LEYEY="-0.00127" LEYEZ="0.62551" LPUPILD="0.00432" LPUPILV="1" REYEX="0.02652" REYEY="-0.00564" REYEZ="0.64315" RPUPILD="0.00431" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="1.07693" FPOGY="0.42404" FPOGS="3509.24243" FPOGD="0.39551" FPOGID="9345" FPOGV="1" LPOGX="1.16734" LPOGY="0.43297" LPOGV="1" RPOGX="0.96164" RPOGY="0.51539" RPOGV="1" BPOGX="1.06449" BPOGY="0.47418" BPOGV="1" LPCX="0.33699" LPCY="0.49999" LPD="23.75601" LPS="0.94889" LPV="1" RPCX="0.61347" RPCY="0.52371" RPD="21.10065" RPS="0.94889" RPV="1" LEYEX="-0.04066" LEYEY="-0.00127" LEYEZ="0.62551" LPUPILD="0.00431" LPUPILV="1" REYEX="0.02652" REYEY="-0.00564" REYEZ="0.64315" RPUPILD="0.00430" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="1.06513" FPOGY="0.44929" FPOGS="3509.24243" FPOGD="0.39551" FPOGID="9345" FPOGV="0" LPOGX="1.16426" LPOGY="0.43777" LPOGV="1" RPOGX="0.95829" RPOGY="0.51903" RPOGV="1" BPOGX="1.06128" BPOGY="0.47840" BPOGV="1" LPCX="0.33700" LPCY="0.49995" LPD="23.89988" LPS="0.94261" LPV="1" RPCX="0.61345" RPCY="0.52351" RPD="21.45107" RPS="0.94261" RPV="1" LEYEX="-0.04066" LEYEY="-0.00127" LEYEZ="0.62551" LPUPILD="0.00431" LPUPILV="1" REYEX="0.02652" REYEY="-0.00564" REYEZ="0.64315" RPUPILD="0.00432" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="1.04933" FPOGY="0.45861" FPOGS="3509.24243" FPOGD="0.39551" FPOGID="9345" FPOGV="0" LPOGX="1.14797" LPOGY="0.42363" LPOGV="1" RPOGX="0.91907" RPOGY="0.51222" RPOGV="1" BPOGX="1.03352" BPOGY="0.46793" BPOGV="1" LPCX="0.33652" LPCY="0.49989" LPD="24.03802" LPS="0.94261" LPV="1" RPCX="0.61298" RPCY="0.52343" RPD="21.09958" RPS="0.94261" RPV="1" LEYEX="-0.04066" LEYEY="-0.00127" LEYEZ="0.62551" LPUPILD="0.00435" LPUPILV="1" REYEX="0.02652" REYEY="-0.00564" REYEZ="0.64315" RPUPILD="0.00430" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="1.03577" FPOGY="0.44963" FPOGS="3509.24243" FPOGD="0.39551" FPOGID="9345" FPOGV="0" LPOGX="1.10910" LPOGY="0.39577" LPOGV="1" RPOGX="0.90822" RPOGY="0.46759" RPOGV="1" BPOGX="1.00866" BPOGY="0.43168" BPOGV="1" LPCX="0.33544" LPCY="0.49979" LPD="24.24503" LPS="0.94261" LPV="1" RPCX="0.61228" RPCY="0.52325" RPD="20.73007" RPS="0.94261" RPV="1" LEYEX="-0.04066" LEYEY="-0.00127" LEYEZ="0.62551" LPUPILD="0.00441" LPUPILV="1" REYEX="0.02652" REYEY="-0.00564" REYEZ="0.64315" RPUPILD="0.00424" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="1.03184" FPOGY="0.44077" FPOGS="3509.64404" FPOGD="0.02026" FPOGID="9346" FPOGV="1" LPOGX="1.11827" LPOGY="0.37873" LPOGV="1" RPOGX="0.92182" RPOGY="0.44962" RPOGV="1" BPOGX="1.02005" BPOGY="0.41417" BPOGV="1" LPCX="0.33501" LPCY="0.49968" LPD="23.91087" LPS="0.96382" LPV="1" RPCX="0.61184" RPCY="0.52327" RPD="21.23272" RPS="0.97101" RPV="1" LEYEX="-0.04494" LEYEY="-0.00133" LEYEZ="0.68266" LPUPILD="0.00446" LPUPILV="1" REYEX="0.02686" REYEY="-0.00576" REYEZ="0.66219" RPUPILD="0.00429" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="1.00564" FPOGY="0.41931" FPOGS="3509.64404" FPOGD="0.02637" FPOGID="9346" FPOGV="1" LPOGX="1.00019" LPOGY="0.30830" LPOGV="1" RPOGX="0.80150" RPOGY="0.35866" RPOGV="1" BPOGX="0.90084" BPOGY="0.33348" BPOGV="1" LPCX="0.33184" LPCY="0.49910" LPD="23.18550" LPS="0.99223" LPV="1" RPCX="0.60949" RPCY="0.52258" RPD="21.11796" RPS="0.99942" RPV="1" LEYEX="-0.04494" LEYEY="-0.00133" LEYEZ="0.68266" LPUPILD="0.00444" LPUPILV="1" REYEX="0.02686" REYEY="-0.00576" REYEZ="0.66219" RPUPILD="0.00431" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
