2025-05-27 14:24:33.850795
" REYEZ="0.57642" RPUPILD="0.00451" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.64112" FPOGY="0.42547" FPOGS="2784.10327" FPOGD="0.17407" FPOGID="5634" FPOGV="1" LPOGX="0.74913" LPOGY="0.44195" LPOGV="1" RPOGX="0.65683" RPOGY="0.42334" RPOGV="1" BPOGX="0.70298" BPOGY="0.43265" BPOGV="1" LPCX="0.22292" LPCY="0.59376" LPD="19.54789" LPS="0.80078" LPV="1" RPCX="0.48715" RPCY="0.56339" RPD="21.38017" RPS="0.80078" RPV="1" LEYEX="-0.06146" LEYEY="-0.01785" LEYEZ="0.57487" LPUPILD="0.00382" LPUPILV="1" REYEX="-0.00363" REYEY="-0.01236" REYEZ="0.57642" RPUPILD="0.00459" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.14914" FPOGY="0.48082" FPOGS="2785.16162" FPOGD="0.02710" FPOGID="5639" FPOGV="1" LPOGX="0.19514" LPOGY="0.42108" LPOGV="1" RPOGX="0.12107" RPOGY="0.52773" RPOGV="1" BPOGX="0.15811" BPOGY="0.47440" BPOGV="1" LPCX="0.20273" LPCY="0.59142" LPD="19.44239" LPS="0.81052" LPV="1" RPCX="0.46460" RPCY="0.55706" RPD="22.93847" RPS="0.81052" RPV="1" LEYEX="-0.06417" LEYEY="-0.01724" LEYEZ="0.57598" LPUPILD="0.00418" LPUPILV="1" REYEX="-0.00693" REYEY="-0.01154" REYEZ="0.59635" RPUPILD="0.00450" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.15078" FPOGY="0.48003" FPOGS="2785.16162" FPOGD="0.03369" FPOGID="5639" FPOGV="1" LPOGX="0.19514" LPOGY="0.42108" LPOGV="1" RPOGX="0.12286" RPOGY="0.53115" RPOGV="1" BPOGX="0.15900" BPOGY="0.47611" BPOGV="1" LPCX="0.20264" LPCY="0.59136" LPD="19.21907" LPS="0.81052" LPV="1" RPCX="0.46456" RPCY="0.55702" RPD="22.95769" RPS="0.80576" RPV="1" LEYEX="-0.06417" LEYEY="-0.01724" LEYEZ="0.57598" LPUPILD="0.00413" LPUPILV="1" REYEX="-0.00678" REYEY="-0.01121" REYEZ="0.57958" RPUPILD="0.00448" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.15226" FPOGY="0.48176" FPOGS="2785.16162" FPOGD="0.04028" FPOGID="5639" FPOGV="1" LPOGX="0.18994" LPOGY="0.43233" LPOGV="1" RPOGX="0.13236" RPOGY="0.55188" RPOGV="1" BPOGX="0.16115" BPOGY="0.49211" BPOGV="1" LPCX="0.20240" LPCY="0.59156" LPD="19.40988" LPS="0.80576" LPV="1" RPCX="0.46451" RPCY="0.55701" RPD="23.00309" RPS="0.80100" RPV="1" LEYEX="-0.06417" LEYEY="-0.01724" LEYEZ="0.57598" LPUPILD="0.00419" LPUPILV="1" REYEX="-0.00678" REYEY="-0.01121" REYEZ="0.57958" RPUPILD="0.00446" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.15325" FPOGY="0.48263" FPOGS="2785.16162" FPOGD="0.04688" FPOGID="5639" FPOGV="1" LPOGX="0.18872" LPOGY="0.43102" LPOGV="1" RPOGX="0.13170" RPOGY="0.54647" RPOGV="1" BPOGX="0.16021" BPOGY="0.48875" BPOGV="1" LPCX="0.20242" LPCY="0.59158" LPD="19.14873" LPS="0.80100" LPV="1" RPCX="0.46450" RPCY="0.55702" RPD="22.99122" RPS="0.79623" RPV="1" LEYEX="-0.06417" LEYEY="-0.01724" LEYEZ="0.57598" LPUPILD="0.00425" LPUPILV="1" REYEX="-0.00678" REYEY="-0.01121" REYEZ="0.57958" RPUPILD="0.00447" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.15418" FPOGY="0.48350" FPOGS="2785.16162" FPOGD="0.05371" FPOGID="5639" FPOGV="1" LPOGX="0.19154" LPOGY="0.43447" LPOGV="1" RPOGX="0.13170" RPOGY="0.54647" RPOGV="1" BPOGX="0.16162" BPOGY="0.49047" BPOGV="1" LPCX="0.20250" LPCY="0.59160" LPD="19.24503" LPS="0.79623" LPV="1" RPCX="0.46454" RPCY="0.55706" RPD="22.99953" RPS="0.79623" RPV="1" LEYEX="-0.06637" LEYEY="-0.01780" LEYEZ="0.59488" LPUPILD="0.00427" LPUPILV="1" REYEX="-0.00696" REYEY="-0.01153" REYEZ="0.59123" RPUPILD="0.00448" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.15433" FPOGY="0.48205" FPOGS="2785.16162" FPOGD="0.06006" FPOGID="5639" FPOGV="1" LPOGX="0.18926" LPOGY="0.44986" LPOGV="1" RPOGX="0.12212" RPOGY="0.48806" RPOGV="1" BPOGX="0.15569" BPOGY="0.46896" BPOGV="1" LPCX="0.20241" LPCY="0.59165" LPD="19.39545" LPS="0.79623" LPV="1" RPCX="0.46443" RPCY="0.55717" RPD="22.71096" RPS="0.80100" RPV="1" LEYEX="-0.06637" LEYEY="-0.01780" LEYEZ="0.59488" LPUPILD="0.00422" LPUPILV="1" REYEX="-0.00696" REYEY="-0.01153" REYEZ="0.59123" RPUPILD="0.00453" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.15385" FPOGY="0.48026" FPOGS="2785.16162" FPOGD="0.06641" FPOGID="5639" FPOGV="1" LPOGX="0.17704" LPOGY="0.44220" LPOGV="1" RPOGX="0.12085" RPOGY="0.48256" RPOGV="1" BPOGX="0.14895" BPOGY="0.46238" BPOGV="1" LPCX="0.20202" LPCY="0.59146" LPD="19.62090" LPS="0.80100" LPV="1" RPCX="0.46435" RPCY="0.55724" RPD="22.84728" RPS="0.80576" RPV="1" LEYEX="-0.06637" LEYEY="-0.01780" LEYEZ="0.59488" LPUPILD="0.00391" LPUPILV="1" REYEX="-0.00696" REYEY="-0.01153" REYEZ="0.59123" RPUPILD="0.00449" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.15305" FPOGY="0.47818" FPOGS="2785.16162" FPOGD="0.07397" FPOGID="5639" FPOGV="1" LPOGX="0.17132" LPOGY="0.43552" LPOGV="1" RPOGX="0.11732" RPOGY="0.47520" RPOGV="1" BPOGX="0.14432" BPOGY="0.45536" BPOGV="1" LPCX="0.20205" LPCY="0.59161" LPD="19.73046" LPS="0.81041" LPV="1" RPCX="0.46435" RPCY="0.55724" RPD="22.82604" RPS="0.81517" RPV="1" LEYEX="-0.06622" LEYEY="-0.01784" LEYEZ="0.59318" LPUPILD="0.00389" LPUPILV="1" REYEX="-0.00696" REYEY="-0.01157" REYEZ="0.59123" RPUPILD="0.00450" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
