2025-05-28 16:13:17.153901
YEZ="0.56342" RPUPILD="0.00492" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.54835" FPOGY="0.28873" FPOGS="541.46210" FPOGD="0.06018" FPOGID="1807" FPOGV="1" LPOGX="0.59696" LPOGY="0.33287" LPOGV="1" RPOGX="0.51194" RPOGY="0.27534" RPOGV="1" BPOGX="0.55445" BPOGY="0.30410" BPOGV="1" LPCX="0.25392" LPCY="0.69146" LPD="21.98366" LPS="0.78684" LPV="1" RPCX="0.52070" RPCY="0.67895" RPD="23.92810" RPS="0.78249" RPV="1" LEYEX="-0.05398" LEYEY="-0.03525" LEYEZ="0.57596" LPUPILD="0.00452" LPUPILV="1" REYEX="0.00427" REYEY="-0.03233" REYEZ="0.56342" RPUPILD="0.00496" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.54893" FPOGY="0.29073" FPOGS="541.46210" FPOGD="0.06714" FPOGID="1807" FPOGV="1" LPOGX="0.59788" LPOGY="0.34121" LPOGV="1" RPOGX="0.51151" RPOGY="0.28017" RPOGV="1" BPOGX="0.55470" BPOGY="0.31069" BPOGV="1" LPCX="0.25414" LPCY="0.69130" LPD="22.16154" LPS="0.77784" LPV="1" RPCX="0.52068" RPCY="0.67894" RPD="23.86072" RPS="0.77784" RPV="1" LEYEX="-0.05468" LEYEY="-0.03578" LEYEZ="0.58256" LPUPILD="0.00447" LPUPILV="1" REYEX="0.00416" REYEY="-0.03263" REYEZ="0.56657" RPUPILD="0.00493" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.17840" FPOGY="0.73417" FPOGS="542.33972" FPOGD="0.09399" FPOGID="1811" FPOGV="1" LPOGX="0.20301" LPOGY="0.65830" LPOGV="1" RPOGX="0.15823" RPOGY="0.80941" RPOGV="1" BPOGX="0.18062" BPOGY="0.73385" BPOGV="1" LPCX="0.23967" LPCY="0.70508" LPD="24.43715" LPS="0.79564" LPV="1" RPCX="0.50682" RPCY="0.69102" RPD="25.56732" RPS="0.79088" RPV="1" LEYEX="-0.05614" LEYEY="-0.03701" LEYEZ="0.57780" LPUPILD="0.00472" LPUPILV="1" REYEX="0.00253" REYEY="-0.03471" REYEZ="0.58144" RPUPILD="0.00495" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.17843" FPOGY="0.73362" FPOGS="542.33972" FPOGD="0.10107" FPOGID="1811" FPOGV="1" LPOGX="0.20317" LPOGY="0.64425" LPOGV="1" RPOGX="0.15488" RPOGY="0.80642" RPOGV="1" BPOGX="0.17902" BPOGY="0.72533" BPOGV="1" LPCX="0.23970" LPCY="0.70500" LPD="24.49305" LPS="0.79088" LPV="1" RPCX="0.50686" RPCY="0.69075" RPD="26.25223" RPS="0.79088" RPV="1" LEYEX="-0.05614" LEYEY="-0.03701" LEYEZ="0.57780" LPUPILD="0.00473" LPUPILV="1" REYEX="0.00253" REYEY="-0.03471" REYEZ="0.58144" RPUPILD="0.00491" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.17841" FPOGY="0.73249" FPOGS="542.33972" FPOGD="0.10779" FPOGID="1811" FPOGV="1" LPOGX="0.19928" LPOGY="0.63701" LPOGV="1" RPOGX="0.15672" RPOGY="0.79177" RPOGV="1" BPOGX="0.17800" BPOGY="0.71439" BPOGV="1" LPCX="0.23971" LPCY="0.70485" LPD="24.39388" LPS="0.79088" LPV="1" RPCX="0.50682" RPCY="0.69066" RPD="26.16594" RPS="0.79088" RPV="1" LEYEX="-0.05614" LEYEY="-0.03701" LEYEZ="0.57780" LPUPILD="0.00470" LPUPILV="1" REYEX="0.00253" REYEY="-0.03471" REYEZ="0.58144" RPUPILD="0.00494" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.17839" FPOGY="0.73148" FPOGS="542.33972" FPOGD="0.11450" FPOGID="1811" FPOGV="1" LPOGX="0.19928" LPOGY="0.63701" LPOGV="1" RPOGX="0.15672" RPOGY="0.79177" RPOGV="1" BPOGX="0.17800" BPOGY="0.71439" BPOGV="1" LPCX="0.23973" LPCY="0.70484" LPD="24.35680" LPS="0.79088" LPV="1" RPCX="0.50674" RPCY="0.69054" RPD="25.90420" RPS="0.79088" RPV="1" LEYEX="-0.05589" LEYEY="-0.03671" LEYEZ="0.57521" LPUPILD="0.00472" LPUPILV="1" REYEX="0.00253" REYEY="-0.03471" REYEZ="0.58144" RPUPILD="0.00497" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.17824" FPOGY="0.73183" FPOGS="542.33972" FPOGD="0.12085" FPOGID="1811" FPOGV="1" LPOGX="0.19506" LPOGY="0.70192" LPOGV="1" RPOGX="0.15621" RPOGY="0.77401" RPOGV="1" BPOGX="0.17563" BPOGY="0.73797" BPOGV="1" LPCX="0.23974" LPCY="0.70468" LPD="24.42436" LPS="0.79088" LPV="1" RPCX="0.50677" RPCY="0.69038" RPD="26.12784" RPS="0.79088" RPV="1" LEYEX="-0.05589" LEYEY="-0.03671" LEYEZ="0.57521" LPUPILD="0.00475" LPUPILV="1" REYEX="0.00253" REYEY="-0.03471" REYEZ="0.58144" RPUPILD="0.00489" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.17822" FPOGY="0.73192" FPOGS="542.33972" FPOGD="0.12775" FPOGID="1811" FPOGV="1" LPOGX="0.19283" LPOGY="0.68648" LPOGV="1" RPOGX="0.16279" RPOGY="0.78096" RPOGV="1" BPOGX="0.17781" BPOGY="0.73372" BPOGV="1" LPCX="0.23971" LPCY="0.70463" LPD="24.40765" LPS="0.79088" LPV="1" RPCX="0.50673" RPCY="0.69026" RPD="25.91119" RPS="0.79088" RPV="1" LEYEX="-0.05589" LEYEY="-0.03671" LEYEZ="0.57521" LPUPILD="0.00476" LPUPILV="1" REYEX="0.00253" REYEY="-0.03471" REYEZ="0.58144" RPUPILD="0.00487" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.17816" FPOGY="0.73196" FPOGS="542.33972" FPOGD="0.13458" FPOGID="1811" FPOGV="1" LPOGX="0.19283" LPOGY="0.68648" LPOGV="1" RPOGX="0.16118" RPOGY="0.77904" RPOGV="1" BPOGX="0.17700" BPOGY="0.73276" BPOGV="1" LPCX="0.23966" LPCY="0.70458" LPD="24.48453" LPS="0.79088" LPV="1" RPCX="0.50674" RPCY="0.69037" RPD="26.13830" RPS="0.79564" RPV="1" LEYEX="-0.05589" LEYEY="-0.03671" LEYEZ="0.57521" LPUPILD="0.00472" LPUPILV="1" REYEX="0.00254" REYEY="-0.03539" REYEZ="0.59360" RPUPILD="0.00487" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.17821" FPOGY="0.73256" FPOGS="542.33972" FPOGD="0.14130" FPOGID="1811" FPOGV="1" LPOGX="0.21227" LPOGY="0.68776" LPOGV="1" RPOGX="0.14598" RPOGY="0.80262" RPOGV="1" BPOGX="0.17913" BPOGY="0.74519" BPOGV="1" LPCX="0.23952" LPCY="0.70436" LPD="24.47226" LPS="0.79564" LPV="1" RPCX="0.50663" RPCY="0.69043" RPD="25.96903" RPS="0.80040" RPV="1" LEYEX="-0.05589" LEYEY="-0.03671" LEYEZ="0.57521" LPUPILD="0.00474" LPUPILV="1" REYEX="0.00254" REYEY="-0.03539" REYEZ="0.59360" RPUPILD="0.00492" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.17786" FPOGY="0.73231" FPOGS="542.33972" FPOGD="0.14752" FPOGID="1811" FPOGV="1" LPOGX="0.20641" LPOGY="0.67337" LPOGV="1" RPOGX="0.13422" RPOGY="0.77999" RPOGV="1" BPOGX="0.17032" BPOGY="0.72668" BPOGV="1" LPCX="0.23951" LPCY="0.70434" LPD="24.45285" LPS="0.80040" LPV="1" RPCX="0.50659" RPCY="0.69039" RPD="25.85710" RPS="0.80516" RPV="1" LEYEX="-0.05589" LEYEY="-0.03671" LEYEZ="0.57521" LPUPILD="0.00475" LPUPILV="1" REYEX="0.00254" REYEY="-0.03539" REYEZ="0.59360" RPUPILD="0.00493" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.17754" FPOGY="0.73206" FPOGS="542.33972" FPOGD="0.15466" FPOGID="1811" FPOGV="1" LPOGX="0.20611" LPOGY="0.67313" LPOGV="1" RPOGX="0.13403" RPOGY="0.77978" RPOGV="1" BPOGX="0.17007" BPOGY="0.72646" BPOGV="1" LPCX="0.23949" LPCY="0.70431" LPD="24.48189" LPS="0.80092" LPV="1" RPCX="0.50638" RPCY="0.69021" RPD="25.52519" RPS="0.80568" RPV="1" LEYEX="-0.05430" LEYEY="-0.03560" LEYEZ="0.55847" LPUPILD="0.00474" LPUPILV="1" REYEX="0.00243" REYEY="-0.03379" REYEZ="0.56880" RPUPILD="0.00493" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.17756" FPOGY="0.73208" FPOGS="542.33972" FPOGD="0.16125" FPOGID="1811" FPOGV="1" LPOGX="0.19596" LPOGY="0.65289" LPOGV="1" RPOGX="0.16009" RPOGY="0.81231" RPOGV="1" BPOGX="0.17803" BPOGY="0.73260" BPOGV="1" LPCX="0.23943" LPCY="0.70415" LPD="24.54813" LPS="0.80143" LPV="1" RPCX="0.50638" RPCY="0.69011" RPD="25.82708" RPS="0.80143" RPV="1" LEYEX="-0.05430" LEYEY="-0.03560" LEYEZ="0.55847" LPUPILD="0.00472" LPUPILV="1" REYEX="0.00243" REYEY="-0.03379" REYEZ="0.56880" RPUPILD="0.00494" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.17763" FPOGY="0.73191" FPOGS="542.33972" FPOGD="0.16766" FPOGID="1811" FPOGV="1" LPOGX="0.19781" LPOGY="0.65255" LPOGV="1" RPOGX="0.16095" RPOGY="0.80243" RPOGV="1" BPOGX="0.17938" BPOGY="0.72749" BPOGV="1" LPCX="0.23938" LPCY="0.70408" LPD="24.50713" LPS="0.79718" LPV="1" RPCX="0.50636" RPCY="0.68992" RPD="26.06367" RPS="0.79718" RPV="1" LEYEX="-0.05430" LEYEY="-0.03560" LEYEZ="0.55847" LPUPILD="0.00472" LPUPILV="1" REYEX="0.00243" REYEY="-0.03379" REYEZ="0.56880" RPUPILD="0.00500" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.17766" FPOGY="0.73171" FPOGS="542.33972" FPOGD="0.17493" FPOGID="1811" FPOGV="1" LPOGX="0.19781" LPOGY="0.65255" LPOGV="1" RPOGX="0.15918" RPOGY="0.80047" RPOGV="1" BPOGX="0.17850" BPOGY="0.72651" BPOGV="1" LPCX="0.23936" LPCY="0.70406" LPD="24.67242" LPS="0.79718" LPV="1" RPCX="0.50636" RPCY="0.68982" RPD="25.94082" RPS="0.80242" RPV="1" LEYEX="-0.05681" LEYEY="-0.03717" LEYEZ="0.58381" LPUPILD="0.00471" LPUPILV="1" REYEX="0.00255" REYEY="-0.03604" REYEZ="0.60671" RPUPILD="0.00496" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.17719" FPOGY="0.73130" FPOGS="542.33972" FPOGD="0.18115" FPOGID="1811" FPOGV="1" LPOGX="0.18219" LPOGY="0.69214" LPOGV="1" RPOGX="0.14709" RPOGY="0.74837" RPOGV="1" BPOGX="0.16464" BPOGY="0.72025" BPOGV="1" LPCX="0.23927" LPCY="0.70366" LPD="24.42261" LPS="0.80667" LPV="1" RPCX="0.50625" RPCY="0.68936" RPD="25.86549" RPS="0.81190" RPV="1" LEYEX="-0.05681" LEYEY="-0.03717" LEYEZ="0.58381" LPUPILD="0.00473" LPUPILV="1" REYEX="0.00255" REYEY="-0.03604" REYEZ="0.60671" RPUPILD="0.00504" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.17716" FPOGY="0.72877" FPOGS="542.33972" FPOGD="0.18774" FPOGID="1811" FPOGV="1" LPOGX="0.19069" LPOGY="0.58330" LPOGV="1" RPOGX="0.16194" RPOGY="0.73248" RPOGV="1" BPOGX="0.17631" BPOGY="0.65789" BPOGV="1" LPCX="0.23937" LPCY="0.70256" LPD="24.47515" LPS="0.81615" LPV="1" RPCX="0.50657" RPCY="0.68841" RPD="25.16772" RPS="0.82139" RPV="1" LEYEX="-0.05681" LEYEY="-0.03717" LEYEZ="0.58381" LPUPILD="0.00473" LPUPILV="1" REYEX="0.00255" REYEY="-0.03604" REYEZ="0.60671" RPUPILD="0.00492" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.17702" FPOGY="0.72629" FPOGS="542.33972" FPOGD="0.19470" FPOGID="1811" FPOGV="1" LPOGX="0.18512" LPOGY="0.57810" LPOGV="1" RPOGX="0.16056" RPOGY="0.73057" RPOGV="1" BPOGX="0.17284" BPOGY="0.65433" BPOGV="1" LPCX="0.23940" LPCY="0.70209" LPD="24.47112" LPS="0.82564" LPV="1" RPCX="0.50652" RPCY="0.68810" RPD="25.43259" RPS="0.82564" RPV="1" LEYEX="-0.05693" LEYEY="-0.03694" LEYEZ="0.58500" LPUPILD="0.00474" LPUPILV="1" REYEX="0.00243" REYEY="-0.03464" REYEZ="0.58837" RPUPILD="0.00488" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.17748" FPOGY="0.72156" FPOGS="542.33972" FPOGD="0.20123" FPOGID="1811" FPOGV="1" LPOGX="0.20418" LPOGY="0.52387" LPOGV="1" RPOGX="0.17822" RPOGY="0.63601" RPOGV="1" BPOGX="0.19120" BPOGY="0.57994" BPOGV="1" LPCX="0.23970" LPCY="0.69994" LPD="24.52637" LPS="0.82564" LPV="1" RPCX="0.50642" RPCY="0.68646" RPD="24.75875" RPS="0.82040" RPV="1" LEYEX="-0.05693" LEYEY="-0.03694" LEYEZ="0.58500" LPUPILD="0.00475" LPUPILV="1" REYEX="0.00243" REYEY="-0.03464" REYEZ="0.58837" RPUPILD="0.00500" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.17763" FPOGY="0.71694" FPOGS="542.33972" FPOGD="0.20795" FPOGID="1811" FPOGV="1" LPOGX="0.20302" LPOGY="0.53328" LPOGV="1" RPOGX="0.16185" RPOGY="0.61377" RPOGV="1" BPOGX="0.18243" BPOGY="0.57352" BPOGV="1" LPCX="0.23971" LPCY="0.69992" LPD="24.45917" LPS="0.82040" LPV="1" RPCX="0.50614" RPCY="0.68624" RPD="25.09434" RPS="0.81516" RPV="1" LEYEX="-0.05693" LEYEY="-0.03694" LEYEZ="0.58500" LPUPILD="0.00479" LPUPILV="1" REYEX="0.00243" REYEY="-0.03464" REYEZ="0.58837" RPUPILD="0.00509" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.17737" FPOGY="0.67908" FPOGS="542.33972" FPOGD="0.20795" FPOGID="1811" FPOGV="0" LPOGX="0.20599" LPOGY="0.53643" LPOGV="1" RPOGX="0.16511" RPOGY="0.61980" RPOGV="1" BPOGX="0.18555" BPOGY="0.57811" BPOGV="1" LPCX="0.23969" LPCY="0.69986" LPD="24.39459" LPS="0.81516" LPV="1" RPCX="0.50606" RPCY="0.68597" RPD="26.00808" RPS="0.80516" RPV="1" LEYEX="-0.05693" LEYEY="-0.03677" LEYEZ="0.58500" LPUPILD="0.00476" LPUPILV="1" REYEX="0.00223" REYEY="-0.03359" REYEZ="0.57206" RPUPILD="0.00501" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
