2025-05-30 10:58:18.313836
 REYEZ="0.68297" RPUPILD="0.00436" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.45065" FPOGY="0.43068" FPOGS="3747.59058" FPOGD="0.09424" FPOGID="7829" FPOGV="1" LPOGX="0.55199" LPOGY="0.40997" LPOGV="1" RPOGX="0.35415" RPOGY="0.40775" RPOGV="1" BPOGX="0.45307" BPOGY="0.40886" BPOGV="1" LPCX="0.29917" LPCY="0.52676" LPD="23.88398" LPS="0.98390" LPV="1" RPCX="0.58873" RPCY="0.51606" RPD="25.01810" RPS="0.99918" RPV="1" LEYEX="-0.04887" LEYEY="-0.00628" LEYEZ="0.63904" LPUPILD="0.00417" LPUPILV="1" REYEX="0.02356" REYEY="-0.00451" REYEZ="0.68297" RPUPILD="0.00436" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.42176" FPOGY="0.49330" FPOGS="3748.48901" FPOGD="0.11987" FPOGID="7832" FPOGV="1" LPOGX="0.51206" LPOGY="0.50512" LPOGV="1" RPOGX="0.31303" RPOGY="0.47631" RPOGV="1" BPOGX="0.41254" BPOGY="0.49072" BPOGV="1" LPCX="0.29127" LPCY="0.53107" LPD="23.40359" LPS="1.01446" LPV="1" RPCX="0.58051" RPCY="0.51848" RPD="24.36426" RPS="0.99918" RPV="1" LEYEX="-0.05011" LEYEY="-0.00690" LEYEZ="0.63049" LPUPILD="0.00418" LPUPILV="1" REYEX="0.02010" REYEY="-0.00450" REYEZ="0.63827" RPUPILD="0.00430" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.42173" FPOGY="0.49325" FPOGS="3748.48901" FPOGD="0.12671" FPOGID="7832" FPOGV="1" LPOGX="0.52064" LPOGY="0.50586" LPOGV="1" RPOGX="0.32162" RPOGY="0.47877" RPOGV="1" BPOGX="0.42113" BPOGY="0.49231" BPOGV="1" LPCX="0.29136" LPCY="0.53104" LPD="23.41007" LPS="0.99918" LPV="1" RPCX="0.58054" RPCY="0.51852" RPD="24.43322" RPS="0.98390" RPV="1" LEYEX="-0.05011" LEYEY="-0.00690" LEYEZ="0.63049" LPUPILD="0.00414" LPUPILV="1" REYEX="0.02010" REYEY="-0.00450" REYEZ="0.63827" RPUPILD="0.00430" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.42175" FPOGY="0.49344" FPOGS="3748.48901" FPOGD="0.13403" FPOGID="7832" FPOGV="1" LPOGX="0.52192" LPOGY="0.51041" LPOGV="1" RPOGX="0.32254" RPOGY="0.48398" RPOGV="1" BPOGX="0.42223" BPOGY="0.49719" BPOGV="1" LPCX="0.29136" LPCY="0.53101" LPD="23.46488" LPS="0.99093" LPV="1" RPCX="0.58066" RPCY="0.51846" RPD="24.51110" RPS="0.97565" RPV="1" LEYEX="-0.05202" LEYEY="-0.00717" LEYEZ="0.65509" LPUPILD="0.00414" LPUPILV="1" REYEX="0.02010" REYEY="-0.00450" REYEZ="0.63827" RPUPILD="0.00425" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.42195" FPOGY="0.49402" FPOGS="3748.48901" FPOGD="0.14038" FPOGID="7832" FPOGV="1" LPOGX="0.52304" LPOGY="0.52253" LPOGV="1" RPOGX="0.32925" RPOGY="0.49013" RPOGV="1" BPOGX="0.42615" BPOGY="0.50633" BPOGV="1" LPCX="0.29141" LPCY="0.53100" LPD="23.46054" LPS="0.98268" LPV="1" RPCX="0.58074" RPCY="0.51850" RPD="24.35485" RPS="0.98268" RPV="1" LEYEX="-0.05202" LEYEY="-0.00717" LEYEZ="0.65509" LPUPILD="0.00416" LPUPILV="1" REYEX="0.02010" REYEY="-0.00450" REYEZ="0.63827" RPUPILD="0.00426" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.42234" FPOGY="0.49426" FPOGS="3748.48901" FPOGD="0.14697" FPOGID="7832" FPOGV="1" LPOGX="0.53048" LPOGY="0.51519" LPOGV="1" RPOGX="0.33130" RPOGY="0.48381" RPOGV="1" BPOGX="0.43089" BPOGY="0.49950" BPOGV="1" LPCX="0.29144" LPCY="0.53102" LPD="23.43494" LPS="0.98970" LPV="1" RPCX="0.58075" RPCY="0.51852" RPD="24.24222" RPS="0.98970" RPV="1" LEYEX="-0.05202" LEYEY="-0.00717" LEYEZ="0.65509" LPUPILD="0.00417" LPUPILV="1" REYEX="0.02010" REYEY="-0.00450" REYEZ="0.63827" RPUPILD="0.00426" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.42266" FPOGY="0.49431" FPOGS="3748.48901" FPOGD="0.15332" FPOGID="7832" FPOGV="1" LPOGX="0.52944" LPOGY="0.51134" LPOGV="1" RPOGX="0.33058" RPOGY="0.47944" RPOGV="1" BPOGX="0.43001" BPOGY="0.49539" BPOGV="1" LPCX="0.29144" LPCY="0.53100" LPD="23.49401" LPS="0.99673" LPV="1" RPCX="0.58075" RPCY="0.51852" RPD="24.24222" RPS="0.99673" RPV="1" LEYEX="-0.05202" LEYEY="-0.00717" LEYEZ="0.65509" LPUPILD="0.00416" LPUPILV="1" REYEX="0.02010" REYEY="-0.00450" REYEZ="0.63827" RPUPILD="0.00426" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.42285" FPOGY="0.49413" FPOGS="3748.48901" FPOGD="0.16016" FPOGID="7832" FPOGV="1" LPOGX="0.52457" LPOGY="0.49990" LPOGV="1" RPOGX="0.33020" RPOGY="0.47973" RPOGV="1" BPOGX="0.42738" BPOGY="0.48982" BPOGV="1" LPCX="0.29143" LPCY="0.53101" LPD="23.50512" LPS="0.99673" LPV="1" RPCX="0.58077" RPCY="0.51853" RPD="24.25635" RPS="0.99673" RPV="1" LEYEX="-0.05202" LEYEY="-0.00717" LEYEZ="0.65509" LPUPILD="0.00416" LPUPILV="1" REYEX="0.02010" REYEY="-0.00450" REYEZ="0.63827" RPUPILD="0.00427" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.42312" FPOGY="0.49410" FPOGS="3748.48901" FPOGD="0.16675" FPOGID="7832" FPOGV="1" LPOGX="0.52335" LPOGY="0.50409" LPOGV="1" RPOGX="0.33632" RPOGY="0.48289" RPOGV="1" BPOGX="0.42983" BPOGY="0.49349" BPOGV="1" LPCX="0.29144" LPCY="0.53098" LPD="23.41372" LPS="0.99673" LPV="1" RPCX="0.58077" RPCY="0.51848" RPD="24.20766" RPS="0.99673" RPV="1" LEYEX="-0.05202" LEYEY="-0.00717" LEYEZ="0.65509" LPUPILD="0.00416" LPUPILV="1" REYEX="0.02010" REYEY="-0.00450" REYEZ="0.63827" RPUPILD="0.00425" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
