2025-05-30 11:00:28.247136
-0.00212" LEYEZ="0.62877" LPUPILD="0.00400" LPUPILV="1" REYEX="0.02872" REYEY="-0.00131" REYEZ="0.64475" RPUPILD="0.00429" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="1.06570" FPOGY="0.35575" FPOGS="3877.53369" FPOGD="0.08716" FPOGID="8277" FPOGV="1" LPOGX="1.14479" LPOGY="0.37638" LPOGV="1" RPOGX="0.93533" RPOGY="0.30332" RPOGV="1" BPOGX="1.04006" BPOGY="0.33985" BPOGV="1" LPCX="0.32859" LPCY="0.50400" LPD="22.22462" LPS="0.94361" LPV="1" RPCX="0.62215" RPCY="0.50041" RPD="24.35210" RPS="0.94361" RPV="1" LEYEX="-0.04295" LEYEY="-0.00212" LEYEZ="0.62877" LPUPILD="0.00397" LPUPILV="1" REYEX="0.02872" REYEY="-0.00131" REYEZ="0.64475" RPUPILD="0.00433" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.75092" FPOGY="0.29582" FPOGS="3878.51123" FPOGD="0.02075" FPOGID="8280" FPOGV="1" LPOGX="0.87122" LPOGY="0.30947" LPOGV="1" RPOGX="0.62635" RPOGY="0.23530" RPOGV="1" BPOGX="0.74879" BPOGY="0.27239" BPOGV="1" LPCX="0.32288" LPCY="0.50388" LPD="23.17422" LPS="0.99303" LPV="1" RPCX="0.61716" RPCY="0.50020" RPD="23.77672" RPS="1.00831" RPV="1" LEYEX="-0.04377" LEYEY="-0.00205" LEYEZ="0.63456" LPUPILD="0.00407" LPUPILV="1" REYEX="0.02965" REYEY="-0.00152" REYEZ="0.67473" RPUPILD="0.00429" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.75100" FPOGY="0.28886" FPOGS="3878.51123" FPOGD="0.02734" FPOGID="8280" FPOGV="1" LPOGX="0.87513" LPOGY="0.29202" LPOGV="1" RPOGX="0.62747" RPOGY="0.23006" RPOGV="1" BPOGX="0.75130" BPOGY="0.26104" BPOGV="1" LPCX="0.32278" LPCY="0.50381" LPD="23.16036" LPS="1.01459" LPV="1" RPCX="0.61688" RPCY="0.50035" RPD="24.07704" RPS="1.01459" RPV="1" LEYEX="-0.04377" LEYEY="-0.00205" LEYEZ="0.63456" LPUPILD="0.00406" LPUPILV="1" REYEX="0.02794" REYEY="-0.00144" REYEZ="0.63805" RPUPILD="0.00424" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.75064" FPOGY="0.28252" FPOGS="3878.51123" FPOGD="0.03418" FPOGID="8280" FPOGV="1" LPOGX="0.85646" LPOGY="0.26838" LPOGV="1" RPOGX="0.64127" RPOGY="0.23326" RPOGV="1" BPOGX="0.74887" BPOGY="0.25082" BPOGV="1" LPCX="0.32276" LPCY="0.50369" LPD="23.14261" LPS="1.01459" LPV="1" RPCX="0.61667" RPCY="0.50046" RPD="23.95184" RPS="0.99932" RPV="1" LEYEX="-0.04377" LEYEY="-0.00205" LEYEZ="0.63456" LPUPILD="0.00407" LPUPILV="1" REYEX="0.02794" REYEY="-0.00144" REYEZ="0.63805" RPUPILD="0.00430" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.75176" FPOGY="0.28152" FPOGS="3878.51123" FPOGD="0.04175" FPOGID="8280" FPOGV="1" LPOGX="0.88080" LPOGY="0.29554" LPOGV="1" RPOGX="0.63614" RPOGY="0.25552" RPOGV="1" BPOGX="0.75847" BPOGY="0.27553" BPOGV="1" LPCX="0.32273" LPCY="0.50371" LPD="23.19148" LPS="0.99932" LPV="1" RPCX="0.61662" RPCY="0.50042" RPD="23.99220" RPS="0.98404" RPV="1" LEYEX="-0.04377" LEYEY="-0.00205" LEYEZ="0.63456" LPUPILD="0.00406" LPUPILV="1" REYEX="0.02794" REYEY="-0.00144" REYEZ="0.63805" RPUPILD="0.00426" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.75209" FPOGY="0.28300" FPOGS="3878.51123" FPOGD="0.04810" FPOGID="8280" FPOGV="1" LPOGX="0.87671" LPOGY="0.31320" LPOGV="1" RPOGX="0.63202" RPOGY="0.27351" RPOGV="1" BPOGX="0.75436" BPOGY="0.29336" BPOGV="1" LPCX="0.32248" LPCY="0.50381" LPD="23.41050" LPS="0.97775" LPV="1" RPCX="0.61663" RPCY="0.50043" RPD="23.86756" RPS="0.96247" RPV="1" LEYEX="-0.04461" LEYEY="-0.00208" LEYEZ="0.64456" LPUPILD="0.00406" LPUPILV="1" REYEX="0.02794" REYEY="-0.00144" REYEZ="0.63805" RPUPILD="0.00426" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.75263" FPOGY="0.28737" FPOGS="3878.51123" FPOGD="0.05420" FPOGID="8280" FPOGV="1" LPOGX="0.86135" LPOGY="0.37741" LPOGV="1" RPOGX="0.65262" RPOGY="0.26720" RPOGV="1" BPOGX="0.75699" BPOGY="0.32230" BPOGV="1" LPCX="0.32231" LPCY="0.50372" LPD="23.65897" LPS="0.95619" LPV="1" RPCX="0.61657" RPCY="0.50028" RPD="23.63015" RPS="0.95619" RPV="1" LEYEX="-0.04461" LEYEY="-0.00208" LEYEZ="0.64456" LPUPILD="0.00407" LPUPILV="1" REYEX="0.02794" REYEY="-0.00144" REYEZ="0.63805" RPUPILD="0.00431" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.75179" FPOGY="0.29179" FPOGS="3878.51123" FPOGD="0.06128" FPOGID="8280" FPOGV="1" LPOGX="0.84704" LPOGY="0.39114" LPOGV="1" RPOGX="0.64138" RPOGY="0.27192" RPOGV="1" BPOGX="0.74421" BPOGY="0.33153" BPOGV="1" LPCX="0.32224" LPCY="0.50374" LPD="23.47536" LPS="0.94990" LPV="1" RPCX="0.61646" RPCY="0.50020" RPD="23.84624" RPS="0.94990" RPV="1" LEYEX="-0.04461" LEYEY="-0.00208" LEYEZ="0.64456" LPUPILD="0.00408" LPUPILV="1" REYEX="0.02794" REYEY="-0.00144" REYEZ="0.63805" RPUPILD="0.00431" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.75117" FPOGY="0.29512" FPOGS="3878.51123" FPOGD="0.06763" FPOGID="8280" FPOGV="1" LPOGX="0.84704" LPOGY="0.39114" LPOGV="1" RPOGX="0.64284" RPOGY="0.26583" RPOGV="1" BPOGX="0.74494" BPOGY="0.32849" BPOGV="1" LPCX="0.32222" LPCY="0.50376" LPD="23.52215" LPS="0.94990" LPV="1" RPCX="0.61646" RPCY="0.50030" RPD="23.84544" RPS="0.95709" RPV="1" LEYEX="-0.04474" LEYEY="-0.00208" LEYEZ="0.64578" LPUPILD="0.00408" LPUPILV="1" REYEX="0.02879" REYEY="-0.00148" REYEZ="0.65852" RPUPILD="0.00426" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
