2025-05-28 14:10:37.676208
YEZ="0.61245" RPUPILD="0.00489" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="697.20129" FPOGD="0.16772" FPOGID="652" FPOGV="0" LPOGX="0.62116" LPOGY="0.93390" LPOGV="0" RPOGX="0.26645" RPOGY="0.99047" RPOGV="0" BPOGX="0.62116" BPOGY="0.93390" BPOGV="0" LPCX="0.19383" LPCY="0.58564" LPD="18.06135" LPS="0.89265" LPV="0" RPCX="0.47041" RPCY="0.58246" RPD="17.60378" RPS="0.89265" RPV="0" LEYEX="-0.07286" LEYEY="-0.01648" LEYEZ="0.62254" LPUPILD="0.00537" LPUPILV="1" REYEX="-0.00643" REYEY="-0.01580" REYEZ="0.61245" RPUPILD="0.00489" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.68043" FPOGY="0.44804" FPOGS="697.90509" FPOGD="0.42871" FPOGID="654" FPOGV="1" LPOGX="0.82510" LPOGY="0.45516" LPOGV="1" RPOGX="0.55146" RPOGY="0.40076" RPOGV="1" BPOGX="0.68828" BPOGY="0.42796" BPOGV="1" LPCX="0.20105" LPCY="0.58057" LPD="29.67255" LPS="0.91581" LPV="1" RPCX="0.48031" RPCY="0.57808" RPD="26.17712" RPS="0.91581" RPV="1" LEYEX="-0.07252" LEYEY="-0.01673" LEYEZ="0.62849" LPUPILD="0.00551" LPUPILV="1" REYEX="-0.00513" REYEY="-0.01618" REYEZ="0.62712" RPUPILD="0.00489" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.68038" FPOGY="0.44756" FPOGS="697.90509" FPOGD="0.43542" FPOGID="654" FPOGV="1" LPOGX="0.82256" LPOGY="0.45246" LPOGV="1" RPOGX="0.55021" RPOGY="0.40076" RPOGV="1" BPOGX="0.68639" BPOGY="0.42661" BPOGV="1" LPCX="0.20110" LPCY="0.58056" LPD="29.48973" LPS="0.91581" LPV="1" RPCX="0.48022" RPCY="0.57799" RPD="26.23275" RPS="0.91581" RPV="1" LEYEX="-0.07252" LEYEY="-0.01673" LEYEZ="0.62849" LPUPILD="0.00550" LPUPILV="1" REYEX="-0.00513" REYEY="-0.01618" REYEZ="0.62712" RPUPILD="0.00487" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.68032" FPOGY="0.44720" FPOGS="697.90509" FPOGD="0.44214" FPOGID="654" FPOGV="1" LPOGX="0.82173" LPOGY="0.45645" LPOGV="1" RPOGX="0.54886" RPOGY="0.40932" RPOGV="1" BPOGX="0.68529" BPOGY="0.43288" BPOGV="1" LPCX="0.20108" LPCY="0.58051" LPD="29.61050" LPS="0.91015" LPV="1" RPCX="0.48024" RPCY="0.57791" RPD="26.44737" RPS="0.90436" RPV="1" LEYEX="-0.06984" LEYEY="-0.01611" LEYEZ="0.60492" LPUPILD="0.00549" LPUPILV="1" REYEX="-0.00511" REYEY="-0.01597" REYEZ="0.61905" RPUPILD="0.00487" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.68021" FPOGY="0.44709" FPOGS="697.90509" FPOGD="0.44910" FPOGID="654" FPOGV="1" LPOGX="0.82389" LPOGY="0.46340" LPOGV="1" RPOGX="0.54369" RPOGY="0.41504" RPOGV="1" BPOGX="0.68379" BPOGY="0.43922" BPOGV="1" LPCX="0.20106" LPCY="0.58051" LPD="29.69646" LPS="0.89871" LPV="1" RPCX="0.48022" RPCY="0.57799" RPD="26.23275" RPS="0.89292" RPV="1" LEYEX="-0.06984" LEYEY="-0.01611" LEYEZ="0.60492" LPUPILD="0.00548" LPUPILV="1" REYEX="-0.00511" REYEY="-0.01597" REYEZ="0.61905" RPUPILD="0.00487" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.68025" FPOGY="0.44727" FPOGS="697.90509" FPOGD="0.45575" FPOGID="654" FPOGV="1" LPOGX="0.81819" LPOGY="0.46901" LPOGV="1" RPOGX="0.54132" RPOGY="0.43204" RPOGV="1" BPOGX="0.67975" BPOGY="0.45052" BPOGV="1" LPCX="0.20106" LPCY="0.58051" LPD="29.69646" LPS="0.88726" LPV="1" RPCX="0.48018" RPCY="0.57801" RPD="26.31698" RPS="0.88147" RPV="1" LEYEX="-0.06984" LEYEY="-0.01611" LEYEZ="0.60492" LPUPILD="0.00548" LPUPILV="1" REYEX="-0.00511" REYEY="-0.01597" REYEZ="0.61905" RPUPILD="0.00487" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.68025" FPOGY="0.44767" FPOGS="697.90509" FPOGD="0.46222" FPOGID="654" FPOGV="1" LPOGX="0.81649" LPOGY="0.47710" LPOGV="1" RPOGX="0.54002" RPOGY="0.44053" RPOGV="1" BPOGX="0.67826" BPOGY="0.45882" BPOGV="1" LPCX="0.20103" LPCY="0.58053" LPD="29.59484" LPS="0.87581" LPV="1" RPCX="0.48014" RPCY="0.57802" RPD="26.24002" RPS="0.87002" RPV="1" LEYEX="-0.07023" LEYEY="-0.01617" LEYEZ="0.60750" LPUPILD="0.00551" LPUPILV="1" REYEX="-0.00511" REYEY="-0.01597" REYEZ="0.61905" RPUPILD="0.00487" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.68005" FPOGY="0.44827" FPOGS="697.90509" FPOGD="0.46887" FPOGID="654" FPOGV="1" LPOGX="0.81307" LPOGY="0.48658" LPOGV="1" RPOGX="0.53266" RPOGY="0.43448" RPOGV="1" BPOGX="0.67287" BPOGY="0.46053" BPOGV="1" LPCX="0.20103" LPCY="0.58053" LPD="29.59378" LPS="0.87002" LPV="1" RPCX="0.48010" RPCY="0.57804" RPD="26.18509" RPS="0.87002" RPV="1" LEYEX="-0.07023" LEYEY="-0.01617" LEYEZ="0.60750" LPUPILD="0.00549" LPUPILV="1" REYEX="-0.00511" REYEY="-0.01597" REYEZ="0.61905" RPUPILD="0.00488" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.67978" FPOGY="0.44863" FPOGS="697.90509" FPOGD="0.47559" FPOGID="654" FPOGV="1" LPOGX="0.79506" LPOGY="0.49120" LPOGV="1" RPOGX="0.54846" RPOGY="0.44031" RPOGV="1" BPOGX="0.67176" BPOGY="0.46576" BPOGV="1" LPCX="0.20081" LPCY="0.58052" LPD="29.60355" LPS="0.87002" LPV="1" RPCX="0.48000" RPCY="0.57812" RPD="26.51921" RPS="0.87002" RPV="1" LEYEX="-0.07023" LEYEY="-0.01617" LEYEZ="0.60750" LPUPILD="0.00549" LPUPILV="1" REYEX="-0.00511" REYEY="-0.01597" REYEZ="0.61905" RPUPILD="0.00487" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
