2025-05-28 14:09:41.218751
EZ="0.60603" RPUPILD="0.00509" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="1.02180" FPOGY="0.53882" FPOGS="640.74738" FPOGD="0.21368" FPOGID="469" FPOGV="1" LPOGX="1.13298" LPOGY="0.59764" LPOGV="1" RPOGX="0.89504" RPOGY="0.48702" RPOGV="1" BPOGX="1.01401" BPOGY="0.54233" BPOGV="1" LPCX="0.25445" LPCY="0.58236" LPD="28.03990" LPS="0.85432" LPV="1" RPCX="0.52726" RPCY="0.58433" RPD="25.53185" RPS="0.85956" RPV="1" LEYEX="-0.05778" LEYEY="-0.01617" LEYEZ="0.59740" LPUPILD="0.00543" LPUPILV="1" REYEX="0.00491" REYEY="-0.01673" REYEZ="0.60603" RPUPILD="0.00509" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="1.04302" FPOGY="0.54207" FPOGS="641.45026" FPOGD="0.42230" FPOGID="470" FPOGV="1" LPOGX="1.14036" LPOGY="0.58725" LPOGV="1" RPOGX="0.94589" RPOGY="0.51089" RPOGV="1" BPOGX="1.04312" BPOGY="0.54907" BPOGV="1" LPCX="0.25855" LPCY="0.58138" LPD="27.98022" LPS="0.85468" LPV="1" RPCX="0.53115" RPCY="0.58465" RPD="25.57918" RPS="0.85468" RPV="1" LEYEX="-0.05692" LEYEY="-0.01595" LEYEZ="0.59731" LPUPILD="0.00547" LPUPILV="1" REYEX="0.00568" REYEY="-0.01686" REYEZ="0.61076" RPUPILD="0.00528" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="1.04295" FPOGY="0.54215" FPOGS="641.45026" FPOGD="0.42889" FPOGID="470" FPOGV="1" LPOGX="1.13770" LPOGY="0.59054" LPOGV="1" RPOGX="0.94296" RPOGY="0.51421" RPOGV="1" BPOGX="1.04033" BPOGY="0.55238" BPOGV="1" LPCX="0.25846" LPCY="0.58141" LPD="28.02833" LPS="0.84956" LPV="1" RPCX="0.53111" RPCY="0.58465" RPD="25.58826" RPS="0.84956" RPV="1" LEYEX="-0.05690" LEYEY="-0.01592" LEYEZ="0.59618" LPUPILD="0.00547" LPUPILV="1" REYEX="0.00568" REYEY="-0.01686" REYEZ="0.61076" RPUPILD="0.00528" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="1.04280" FPOGY="0.54215" FPOGS="641.45026" FPOGD="0.43567" FPOGID="470" FPOGV="1" LPOGX="1.12720" LPOGY="0.59040" LPOGV="1" RPOGX="0.94104" RPOGY="0.50798" RPOGV="1" BPOGX="1.03412" BPOGY="0.54919" BPOGV="1" LPCX="0.25837" LPCY="0.58129" LPD="28.00285" LPS="0.84956" LPV="1" RPCX="0.53104" RPCY="0.58465" RPD="25.82648" RPS="0.84956" RPV="1" LEYEX="-0.05690" LEYEY="-0.01592" LEYEZ="0.59618" LPUPILD="0.00550" LPUPILV="1" REYEX="0.00568" REYEY="-0.01686" REYEZ="0.61076" RPUPILD="0.00529" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="1.04276" FPOGY="0.54262" FPOGS="641.45026" FPOGD="0.44440" FPOGID="470" FPOGV="1" LPOGX="1.11873" LPOGY="0.58634" LPOGV="1" RPOGX="0.93235" RPOGY="0.50524" RPOGV="1" BPOGX="1.02554" BPOGY="0.54579" BPOGV="1" LPCX="0.25828" LPCY="0.58126" LPD="28.10170" LPS="0.84956" LPV="1" RPCX="0.53096" RPCY="0.58460" RPD="25.96041" RPS="0.84956" RPV="1" LEYEX="-0.05690" LEYEY="-0.01592" LEYEZ="0.59618" LPUPILD="0.00549" LPUPILV="1" REYEX="0.00568" REYEY="-0.01686" REYEZ="0.61076" RPUPILD="0.00526" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="1.04274" FPOGY="0.54307" FPOGS="641.45026" FPOGD="0.45111" FPOGID="470" FPOGV="1" LPOGX="1.12127" LPOGY="0.58304" LPOGV="1" RPOGX="0.93228" RPOGY="0.50532" RPOGV="1" BPOGX="1.02678" BPOGY="0.54418" BPOGV="1" LPCX="0.25822" LPCY="0.58129" LPD="28.16795" LPS="0.85468" LPV="1" RPCX="0.53087" RPCY="0.58460" RPD="25.78644" RPS="0.84944" RPV="1" LEYEX="-0.05775" LEYEY="-0.01614" LEYEZ="0.60460" LPUPILD="0.00549" LPUPILV="1" REYEX="0.00536" REYEY="-0.01603" REYEZ="0.58079" RPUPILD="0.00529" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="1.04267" FPOGY="0.54322" FPOGS="641.45026" FPOGD="0.45667" FPOGID="470" FPOGV="1" LPOGX="1.13311" LPOGY="0.57251" LPOGV="1" RPOGX="0.92174" RPOGY="0.49184" RPOGV="1" BPOGX="1.02743" BPOGY="0.53218" BPOGV="1" LPCX="0.25740" LPCY="0.58122" LPD="28.15381" LPS="0.85456" LPV="1" RPCX="0.53022" RPCY="0.58442" RPD="25.57340" RPS="0.84932" RPV="1" LEYEX="-0.05775" LEYEY="-0.01614" LEYEZ="0.60460" LPUPILD="0.00554" LPUPILV="1" REYEX="0.00536" REYEY="-0.01603" REYEZ="0.58079" RPUPILD="0.00526" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="1.04139" FPOGY="0.54345" FPOGS="641.45026" FPOGD="0.46234" FPOGID="470" FPOGV="1" LPOGX="1.07100" LPOGY="0.57312" LPOGV="1" RPOGX="0.86659" RPOGY="0.50743" RPOGV="1" BPOGX="0.96880" BPOGY="0.54027" BPOGV="1" LPCX="0.25566" LPCY="0.58075" LPD="28.34186" LPS="0.85444" LPV="1" RPCX="0.52899" RPCY="0.58399" RPD="25.72547" RPS="0.84920" RPV="1" LEYEX="-0.05775" LEYEY="-0.01614" LEYEZ="0.60460" LPUPILD="0.00569" LPUPILV="1" REYEX="0.00536" REYEY="-0.01603" REYEZ="0.58079" RPUPILD="0.00531" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="1.04016" FPOGY="0.54361" FPOGS="641.45026" FPOGD="0.46942" FPOGID="470" FPOGV="1" LPOGX="1.07095" LPOGY="0.57319" LPOGV="1" RPOGX="0.87190" RPOGY="0.50022" RPOGV="1" BPOGX="0.97142" BPOGY="0.53671" BPOGV="1" LPCX="0.25475" LPCY="0.58076" LPD="28.77495" LPS="0.85432" LPV="1" RPCX="0.52827" RPCY="0.58379" RPD="25.77561" RPS="0.86011" RPV="1" LEYEX="-0.05914" LEYEY="-0.01614" LEYEZ="0.61151" LPUPILD="0.00566" LPUPILV="1" REYEX="0.00513" REYEY="-0.01712" REYEZ="0.62712" RPUPILD="0.00533" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
