2025-05-28 14:12:56.362757
 REYEZ="0.62649" RPUPILD="0.00409" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.76520" FPOGY="0.05565" FPOGS="835.97363" FPOGD="0.13416" FPOGID="1098" FPOGV="1" LPOGX="0.88877" LPOGY="0.10221" LPOGV="1" RPOGX="0.62300" RPOGY="0.01392" RPOGV="1" BPOGX="0.75588" BPOGY="0.05807" BPOGV="1" LPCX="0.14288" LPCY="0.62763" LPD="24.44303" LPS="0.87581" LPV="1" RPCX="0.41797" RPCY="0.62634" RPD="21.32195" RPS="0.88160" RPV="1" LEYEX="-0.08351" LEYEY="-0.02558" LEYEZ="0.60469" LPUPILD="0.00497" LPUPILV="1" REYEX="-0.02024" REYEY="-0.02622" REYEZ="0.62649" RPUPILD="0.00405" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.88031" FPOGY="0.14066" FPOGS="836.90540" FPOGD="0.12073" FPOGID="1102" FPOGV="1" LPOGX="0.99013" LPOGY="0.20333" LPOGV="1" RPOGX="0.75321" RPOGY="0.05810" RPOGV="1" BPOGX="0.87167" BPOGY="0.13071" BPOGV="1" LPCX="0.14136" LPCY="0.62814" LPD="23.68707" LPS="0.86490" LPV="1" RPCX="0.41705" RPCY="0.62511" RPD="20.34280" RPS="0.86490" RPV="1" LEYEX="-0.09564" LEYEY="-0.02884" LEYEZ="0.68540" LPUPILD="0.00468" LPUPILV="1" REYEX="-0.02050" REYEY="-0.02533" REYEZ="0.61293" RPUPILD="0.00392" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.87965" FPOGY="0.14031" FPOGS="836.90540" FPOGD="0.12750" FPOGID="1102" FPOGV="1" LPOGX="0.98789" LPOGY="0.21114" LPOGV="1" RPOGX="0.74644" RPOGY="0.05632" RPOGV="1" BPOGX="0.86716" BPOGY="0.13373" BPOGV="1" LPCX="0.14144" LPCY="0.62800" LPD="23.93421" LPS="0.85978" LPV="1" RPCX="0.41706" RPCY="0.62516" RPD="20.38214" RPS="0.85978" RPV="1" LEYEX="-0.09564" LEYEY="-0.02884" LEYEZ="0.68540" LPUPILD="0.00469" LPUPILV="1" REYEX="-0.02050" REYEY="-0.02533" REYEZ="0.61293" RPUPILD="0.00393" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.87917" FPOGY="0.14015" FPOGS="836.90540" FPOGD="0.13428" FPOGID="1102" FPOGV="1" LPOGX="0.98723" LPOGY="0.20456" LPOGV="1" RPOGX="0.75155" RPOGY="0.06930" RPOGV="1" BPOGX="0.86939" BPOGY="0.13693" BPOGV="1" LPCX="0.14144" LPCY="0.62803" LPD="23.93489" LPS="0.85466" LPV="1" RPCX="0.41707" RPCY="0.62512" RPD="20.32613" RPS="0.85466" RPV="1" LEYEX="-0.09564" LEYEY="-0.02884" LEYEZ="0.68540" LPUPILD="0.00469" LPUPILV="1" REYEX="-0.02050" REYEY="-0.02533" REYEZ="0.61293" RPUPILD="0.00392" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.87864" FPOGY="0.14027" FPOGS="836.90540" FPOGD="0.14081" FPOGID="1102" FPOGV="1" LPOGX="0.98551" LPOGY="0.21018" LPOGV="1" RPOGX="0.74980" RPOGY="0.07524" RPOGV="1" BPOGX="0.86765" BPOGY="0.14271" BPOGV="1" LPCX="0.14141" LPCY="0.62803" LPD="23.90493" LPS="0.84954" LPV="1" RPCX="0.41707" RPCY="0.62514" RPD="20.29361" RPS="0.84954" RPV="1" LEYEX="-0.09564" LEYEY="-0.02884" LEYEZ="0.68540" LPUPILD="0.00470" LPUPILV="1" REYEX="-0.02050" REYEY="-0.02533" REYEZ="0.61293" RPUPILD="0.00390" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.87817" FPOGY="0.14049" FPOGS="836.90540" FPOGD="0.14740" FPOGID="1102" FPOGV="1" LPOGX="0.98288" LPOGY="0.20859" LPOGV="1" RPOGX="0.75251" RPOGY="0.08221" RPOGV="1" BPOGX="0.86769" BPOGY="0.14540" BPOGV="1" LPCX="0.14142" LPCY="0.62799" LPD="23.90932" LPS="0.84954" LPV="1" RPCX="0.41714" RPCY="0.62523" RPD="20.39626" RPS="0.84954" RPV="1" LEYEX="-0.09564" LEYEY="-0.02884" LEYEZ="0.68540" LPUPILD="0.00474" LPUPILV="1" REYEX="-0.02050" REYEY="-0.02533" REYEZ="0.61293" RPUPILD="0.00390" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.87773" FPOGY="0.14076" FPOGS="836.90540" FPOGD="0.15405" FPOGID="1102" FPOGV="1" LPOGX="0.98455" LPOGY="0.21210" LPOGV="1" RPOGX="0.75095" RPOGY="0.08173" RPOGV="1" BPOGX="0.86775" BPOGY="0.14691" BPOGV="1" LPCX="0.14145" LPCY="0.62800" LPD="23.93097" LPS="0.84954" LPV="1" RPCX="0.41705" RPCY="0.62520" RPD="20.17944" RPS="0.84954" RPV="1" LEYEX="-0.09564" LEYEY="-0.02884" LEYEZ="0.68540" LPUPILD="0.00472" LPUPILV="1" REYEX="-0.02050" REYEY="-0.02533" REYEZ="0.61293" RPUPILD="0.00396" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.87733" FPOGY="0.14101" FPOGS="836.90540" FPOGD="0.16028" FPOGID="1102" FPOGV="1" LPOGX="0.98455" LPOGY="0.21210" LPOGV="1" RPOGX="0.75095" RPOGY="0.08173" RPOGV="1" BPOGX="0.86775" BPOGY="0.14691" BPOGV="1" LPCX="0.14145" LPCY="0.62800" LPD="23.93097" LPS="0.84954" LPV="1" RPCX="0.41704" RPCY="0.62526" RPD="20.48293" RPS="0.84954" RPV="1" LEYEX="-0.09564" LEYEY="-0.02884" LEYEZ="0.68540" LPUPILD="0.00472" LPUPILV="1" REYEX="-0.02050" REYEY="-0.02538" REYEZ="0.61293" RPUPILD="0.00394" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.87659" FPOGY="0.14135" FPOGS="836.90540" FPOGD="0.16675" FPOGID="1102" FPOGV="1" LPOGX="0.99154" LPOGY="0.20570" LPOGV="1" RPOGX="0.72422" RPOGY="0.09413" RPOGV="1" BPOGX="0.85788" BPOGY="0.14992" BPOGV="1" LPCX="0.14154" LPCY="0.62793" LPD="23.76369" LPS="0.84954" LPV="1" RPCX="0.41711" RPCY="0.62537" RPD="20.60758" RPS="0.84954" RPV="1" LEYEX="-0.09564" LEYEY="-0.02884" LEYEZ="0.68540" LPUPILD="0.00469" LPUPILV="1" REYEX="-0.02050" REYEY="-0.02538" REYEZ="0.61293" RPUPILD="0.00393" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
