2025-05-27 14:53:55.274602
EYEZ="0.55058" RPUPILD="0.00514" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.40833" FPOGY="0.67257" FPOGS="4545.67920" FPOGD="0.02002" FPOGID="9918" FPOGV="1" LPOGX="0.46909" LPOGY="0.74092" LPOGV="1" RPOGX="0.32488" RPOGY="0.60333" RPOGV="1" BPOGX="0.39699" BPOGY="0.67212" BPOGV="1" LPCX="0.15336" LPCY="0.14195" LPD="25.45263" LPS="0.71569" LPV="1" RPCX="0.44329" RPCY="0.14917" RPD="28.51316" RPS="0.70804" RPV="1" LEYEX="-0.07142" LEYEY="0.05907" LEYEZ="0.54284" LPUPILD="0.00442" LPUPILV="1" REYEX="-0.01143" REYEY="0.05760" REYEZ="0.54275" RPUPILD="0.00500" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.37508" FPOGY="0.71983" FPOGS="4546.30176" FPOGD="0.30811" FPOGID="9920" FPOGV="1" LPOGX="0.45481" LPOGY="0.77200" LPOGV="1" RPOGX="0.32959" RPOGY="0.64431" RPOGV="1" BPOGX="0.39220" BPOGY="0.70816" BPOGV="1" LPCX="0.16644" LPCY="0.14565" LPD="24.76921" LPS="0.68747" LPV="1" RPCX="0.45588" RPCY="0.15969" RPD="28.34177" RPS="0.69114" RPV="1" LEYEX="-0.06678" LEYEY="0.05703" LEYEZ="0.52841" LPUPILD="0.00436" LPUPILV="1" REYEX="-0.00907" REYEY="0.05775" REYEZ="0.56041" RPUPILD="0.00500" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.37511" FPOGY="0.71964" FPOGS="4546.30176" FPOGD="0.31543" FPOGID="9920" FPOGV="1" LPOGX="0.45136" LPOGY="0.75902" LPOGV="1" RPOGX="0.30196" RPOGY="0.66186" RPOGV="1" BPOGX="0.37666" BPOGY="0.71044" BPOGV="1" LPCX="0.16657" LPCY="0.14555" LPD="24.52560" LPS="0.69114" LPV="1" RPCX="0.45614" RPCY="0.15994" RPD="28.49673" RPS="0.69481" RPV="1" LEYEX="-0.06678" LEYEY="0.05703" LEYEZ="0.52841" LPUPILD="0.00435" LPUPILV="1" REYEX="-0.00907" REYEY="0.05775" REYEZ="0.56041" RPUPILD="0.00499" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.37510" FPOGY="0.71942" FPOGS="4546.30176" FPOGD="0.32178" FPOGID="9920" FPOGV="1" LPOGX="0.45016" LPOGY="0.75741" LPOGV="1" RPOGX="0.30196" RPOGY="0.66186" RPOGV="1" BPOGX="0.37606" BPOGY="0.70964" BPOGV="1" LPCX="0.16709" LPCY="0.14553" LPD="24.66890" LPS="0.69481" LPV="1" RPCX="0.45638" RPCY="0.16015" RPD="28.25446" RPS="0.69481" RPV="1" LEYEX="-0.06655" LEYEY="0.05697" LEYEZ="0.52783" LPUPILD="0.00439" LPUPILV="1" REYEX="-0.00884" REYEY="0.05797" REYEZ="0.56417" RPUPILD="0.00502" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.37502" FPOGY="0.71948" FPOGS="4546.30176" FPOGD="0.32812" FPOGID="9920" FPOGV="1" LPOGX="0.44650" LPOGY="0.75566" LPOGV="1" RPOGX="0.29883" RPOGY="0.67613" RPOGV="1" BPOGX="0.37266" BPOGY="0.71590" BPOGV="1" LPCX="0.16747" LPCY="0.14549" LPD="24.67232" LPS="0.69481" LPV="1" RPCX="0.45696" RPCY="0.16061" RPD="28.43925" RPS="0.69114" RPV="1" LEYEX="-0.06655" LEYEY="0.05697" LEYEZ="0.52783" LPUPILD="0.00440" LPUPILV="1" REYEX="-0.00884" REYEY="0.05797" REYEZ="0.56417" RPUPILD="0.00503" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.37542" FPOGY="0.71919" FPOGS="4546.30176" FPOGD="0.33447" FPOGID="9920" FPOGV="1" LPOGX="0.44434" LPOGY="0.75877" LPOGV="1" RPOGX="0.32098" RPOGY="0.65645" RPOGV="1" BPOGX="0.38266" BPOGY="0.70761" BPOGV="1" LPCX="0.16774" LPCY="0.14544" LPD="24.63540" LPS="0.69114" LPV="1" RPCX="0.45714" RPCY="0.16070" RPD="28.31327" RPS="0.68747" RPV="1" LEYEX="-0.06655" LEYEY="0.05697" LEYEZ="0.52783" LPUPILD="0.00441" LPUPILV="1" REYEX="-0.00884" REYEY="0.05797" REYEZ="0.56417" RPUPILD="0.00507" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.37584" FPOGY="0.71891" FPOGS="4546.30176" FPOGD="0.34180" FPOGID="9920" FPOGV="1" LPOGX="0.44557" LPOGY="0.76038" LPOGV="1" RPOGX="0.32158" RPOGY="0.65880" RPOGV="1" BPOGX="0.38358" BPOGY="0.70959" BPOGV="1" LPCX="0.16815" LPCY="0.14562" LPD="24.88126" LPS="0.68747" LPV="1" RPCX="0.45736" RPCY="0.16095" RPD="28.27324" RPS="0.68381" RPV="1" LEYEX="-0.06582" LEYEY="0.05654" LEYEZ="0.52391" LPUPILD="0.00436" LPUPILV="1" REYEX="-0.00833" REYEY="0.05561" REYEZ="0.54236" RPUPILD="0.00501" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.37605" FPOGY="0.71926" FPOGS="4546.30176" FPOGD="0.34814" FPOGID="9920" FPOGV="1" LPOGX="0.46038" LPOGY="0.76462" LPOGV="1" RPOGX="0.30858" RPOGY="0.70723" RPOGV="1" BPOGX="0.38448" BPOGY="0.73592" BPOGV="1" LPCX="0.16855" LPCY="0.14546" LPD="24.81197" LPS="0.68381" LPV="1" RPCX="0.45788" RPCY="0.16133" RPD="28.25447" RPS="0.68381" RPV="1" LEYEX="-0.06582" LEYEY="0.05654" LEYEZ="0.52391" LPUPILD="0.00437" LPUPILV="1" REYEX="-0.00833" REYEY="0.05561" REYEZ="0.54236" RPUPILD="0.00500" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.37642" FPOGY="0.71963" FPOGS="4546.30176" FPOGD="0.35498" FPOGID="9920" FPOGV="1" LPOGX="0.43650" LPOGY="0.75247" LPOGV="1" RPOGX="0.33029" RPOGY="0.69021" RPOGV="1" BPOGX="0.38339" BPOGY="0.72134" BPOGV="1" LPCX="0.16871" LPCY="0.14555" LPD="24.86585" LPS="0.68381" LPV="1" RPCX="0.45811" RPCY="0.16153" RPD="28.34167" RPS="0.68381" RPV="1" LEYEX="-0.06582" LEYEY="0.05654" LEYEZ="0.52391" LPUPILD="0.00436" LPUPILV="1" REYEX="-0.00833" REYEY="0.05561" REYEZ="0.54236" RPUPILD="0.00502" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
