2025-05-27 14:53:17.639479
0.25572" LEYEZ="2.11514" LPUPILD="0.00470" LPUPILV="0" REYEX="0.00365" REYEY="0.05483" REYEZ="0.50249" RPUPILD="0.00508" RPUPILV="1" BKID="720" BKDUR="0.00000" BKPMIN="19" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="4507.65283" FPOGD="0.14746" FPOGID="9780" FPOGV="0" LPOGX="1.03584" LPOGY="0.52063" LPOGV="0" RPOGX="0.87344" RPOGY="0.60595" RPOGV="0" BPOGX="0.87344" BPOGY="0.60595" BPOGV="0" LPCX="0.23874" LPCY="0.09921" LPD="23.15442" LPS="0.63525" LPV="0" RPCX="0.52609" RPCY="0.13827" RPD="18.28712" RPS="0.63525" RPV="0" LEYEX="-0.21345" LEYEY="0.25572" LEYEZ="2.11514" LPUPILD="0.00470" LPUPILV="0" REYEX="0.00365" REYEY="0.05483" REYEZ="0.50249" RPUPILD="0.00508" RPUPILV="1" BKID="720" BKDUR="0.00000" BKPMIN="19" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="1.14656" FPOGY="0.30493" FPOGS="4508.85107" FPOGD="0.12061" FPOGID="9784" FPOGV="1" LPOGX="1.17739" LPOGY="0.55440" LPOGV="1" RPOGX="1.05138" RPOGY="0.25829" RPOGV="1" BPOGX="1.11439" BPOGY="0.40635" BPOGV="1" LPCX="0.26220" LPCY="0.09955" LPD="23.16157" LPS="0.68027" LPV="1" RPCX="0.54671" RPCY="0.14060" RPD="25.57268" RPS="0.68365" RPV="1" LEYEX="0.00000" LEYEY="0.00000" LEYEZ="0.00000" LPUPILD="0.00457" LPUPILV="0" REYEX="0.00623" REYEY="0.05770" REYEZ="0.53237" RPUPILD="0.00529" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="19" />
<REC FPOGX="1.14657" FPOGY="0.30435" FPOGS="4508.85107" FPOGD="0.12695" FPOGID="9784" FPOGV="1" LPOGX="1.18750" LPOGY="0.53399" LPOGV="1" RPOGX="1.10620" RPOGY="0.05282" RPOGV="1" BPOGX="1.14685" BPOGY="0.29340" BPOGV="1" LPCX="0.26214" LPCY="0.09951" LPD="23.19565" LPS="0.68696" LPV="1" RPCX="0.54689" RPCY="0.14050" RPD="25.56180" RPS="0.69034" RPV="1" LEYEX="0.00000" LEYEY="0.00000" LEYEZ="0.00000" LPUPILD="0.00456" LPUPILV="0" REYEX="0.00623" REYEY="0.05770" REYEZ="0.53237" RPUPILD="0.00540" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="19" />
<REC FPOGX="1.14684" FPOGY="0.30346" FPOGS="4508.85107" FPOGD="0.13379" FPOGID="9784" FPOGV="1" LPOGX="1.19224" LPOGY="0.52798" LPOGV="1" RPOGX="1.11221" RPOGY="0.04342" RPOGV="1" BPOGX="1.15222" BPOGY="0.28570" BPOGV="1" LPCX="0.26225" LPCY="0.09958" LPD="23.56215" LPS="0.69365" LPV="1" RPCX="0.54692" RPCY="0.14011" RPD="25.24239" RPS="0.69704" RPV="1" LEYEX="0.00000" LEYEY="0.00000" LEYEZ="0.00000" LPUPILD="0.00456" LPUPILV="0" REYEX="0.00623" REYEY="0.05770" REYEZ="0.53237" RPUPILD="0.00537" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="19" />
<REC FPOGX="1.14642" FPOGY="0.30296" FPOGS="4508.85107" FPOGD="0.14062" FPOGID="9784" FPOGV="1" LPOGX="1.18668" LPOGY="0.50354" LPOGV="1" RPOGX="1.08840" RPOGY="0.08111" RPOGV="1" BPOGX="1.13754" BPOGY="0.29233" BPOGV="1" LPCX="0.26256" LPCY="0.09956" LPD="23.91913" LPS="0.69704" LPV="1" RPCX="0.54698" RPCY="0.14027" RPD="26.10150" RPS="0.69704" RPV="1" LEYEX="0.00000" LEYEY="0.00000" LEYEZ="0.00000" LPUPILD="0.00450" LPUPILV="0" REYEX="0.00623" REYEY="0.05770" REYEZ="0.53237" RPUPILD="0.00523" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="19" />
<REC FPOGX="1.14677" FPOGY="0.30251" FPOGS="4508.85107" FPOGD="0.14746" FPOGID="9784" FPOGV="1" LPOGX="1.17143" LPOGY="0.51076" LPOGV="1" RPOGX="1.13731" RPOGY="0.07455" RPOGV="1" BPOGX="1.15437" BPOGY="0.29266" BPOGV="1" LPCX="0.26281" LPCY="0.09964" LPD="23.95605" LPS="0.69704" LPV="1" RPCX="0.54869" RPCY="0.13880" RPD="24.07605" RPS="0.69704" RPV="1" LEYEX="0.00000" LEYEY="0.00000" LEYEZ="0.00000" LPUPILD="0.00453" LPUPILV="0" REYEX="0.00623" REYEY="0.05770" REYEZ="0.53237" RPUPILD="0.00477" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="19" />
<REC FPOGX="1.14708" FPOGY="0.30210" FPOGS="4508.85107" FPOGD="0.15479" FPOGID="9784" FPOGV="1" LPOGX="1.17143" LPOGY="0.51076" LPOGV="1" RPOGX="1.13731" RPOGY="0.07455" RPOGV="1" BPOGX="1.15437" BPOGY="0.29266" BPOGV="1" LPCX="0.26318" LPCY="0.09938" LPD="23.36161" LPS="0.69704" LPV="1" RPCX="0.54911" RPCY="0.13894" RPD="23.74995" RPS="0.69704" RPV="1" LEYEX="0.00000" LEYEY="0.00000" LEYEZ="0.00000" LPUPILD="0.00459" LPUPILV="0" REYEX="0.00623" REYEY="0.05770" REYEZ="0.53237" RPUPILD="0.00478" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="19" />
<REC FPOGX="1.14783" FPOGY="0.30135" FPOGS="4508.85107" FPOGD="0.16113" FPOGID="9784" FPOGV="1" LPOGX="1.18304" LPOGY="0.49763" LPOGV="1" RPOGX="1.14839" RPOGY="0.06897" RPOGV="1" BPOGX="1.16571" BPOGY="0.28330" BPOGV="1" LPCX="0.26375" LPCY="0.09952" LPD="23.27306" LPS="0.69704" LPV="1" RPCX="0.54938" RPCY="0.13894" RPD="23.88002" RPS="0.69704" RPV="1" LEYEX="0.00000" LEYEY="0.00000" LEYEZ="0.00000" LPUPILD="0.00465" LPUPILV="0" REYEX="0.00623" REYEY="0.05770" REYEZ="0.53237" RPUPILD="0.00482" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="19" />
<REC FPOGX="1.14868" FPOGY="0.30065" FPOGS="4508.85107" FPOGD="0.16748" FPOGID="9784" FPOGV="1" LPOGX="1.18617" LPOGY="0.49736" LPOGV="1" RPOGX="1.15374" RPOGY="0.06930" RPOGV="1" BPOGX="1.16996" BPOGY="0.28333" BPOGV="1" LPCX="0.26385" LPCY="0.09951" LPD="23.47889" LPS="0.69704" LPV="1" RPCX="0.54940" RPCY="0.13896" RPD="24.09945" RPS="0.69704" RPV="1" LEYEX="0.00000" LEYEY="0.00000" LEYEZ="0.00000" LPUPILD="0.00455" LPUPILV="0" REYEX="0.00623" REYEY="0.05770" REYEZ="0.53237" RPUPILD="0.00479" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="19" />
