2025-05-27 15:32:21.015522
8" REYEZ="0.62716" RPUPILD="0.00617" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.99171" FPOGY="0.46915" FPOGS="6851.25293" FPOGD="0.18652" FPOGID="16307" FPOGV="1" LPOGX="0.93834" LPOGY="0.42266" LPOGV="1" RPOGX="0.90193" RPOGY="0.44937" RPOGV="1" BPOGX="0.92014" BPOGY="0.43601" BPOGV="1" LPCX="0.37791" LPCY="0.64491" LPD="26.25885" LPS="0.90700" LPV="1" RPCX="0.61409" RPCY="0.69370" RPD="27.50601" RPS="0.90700" RPV="1" LEYEX="-0.02924" LEYEY="-0.02825" LEYEZ="0.60550" LPUPILD="0.00604" LPUPILV="1" REYEX="0.02600" REYEY="-0.03838" REYEZ="0.62716" RPUPILD="0.00612" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.98924" FPOGY="0.46819" FPOGS="6851.25293" FPOGD="0.19287" FPOGID="16307" FPOGV="1" LPOGX="0.93663" LPOGY="0.42748" LPOGV="1" RPOGX="0.89885" RPOGY="0.45363" RPOGV="1" BPOGX="0.91774" BPOGY="0.44056" BPOGV="1" LPCX="0.37784" LPCY="0.64487" LPD="26.24376" LPS="0.90071" LPV="1" RPCX="0.61390" RPCY="0.69354" RPD="27.85801" RPS="0.90071" RPV="1" LEYEX="-0.02990" LEYEY="-0.02875" LEYEZ="0.61827" LPUPILD="0.00603" LPUPILV="1" REYEX="0.02563" REYEY="-0.03792" REYEZ="0.62041" RPUPILD="0.00613" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="1.04719" FPOGY="0.47113" FPOGS="6851.72119" FPOGD="0.62891" FPOGID="16310" FPOGV="0" LPOGX="0.94566" LPOGY="0.42224" LPOGV="1" RPOGX="0.92474" RPOGY="0.45682" RPOGV="1" BPOGX="0.93520" BPOGY="0.43953" BPOGV="1" LPCX="0.37559" LPCY="0.63929" LPD="27.61255" LPS="0.87190" LPV="1" RPCX="0.61350" RPCY="0.68620" RPD="28.62835" RPS="0.87190" RPV="1" LEYEX="-0.02994" LEYEY="-0.02751" LEYEZ="0.61246" LPUPILD="0.00610" LPUPILV="1" REYEX="0.02530" REYEY="-0.03617" REYEZ="0.61365" RPUPILD="0.00645" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.96868" FPOGY="0.45791" FPOGS="6851.72119" FPOGD="0.62891" FPOGID="16310" FPOGV="0" LPOGX="0.90269" LPOGY="0.42541" LPOGV="1" RPOGX="0.87766" RPOGY="0.46398" RPOGV="1" BPOGX="0.89018" BPOGY="0.44469" BPOGV="1" LPCX="0.37518" LPCY="0.63945" LPD="27.58725" LPS="0.87190" LPV="1" RPCX="0.61281" RPCY="0.68630" RPD="28.97744" RPS="0.87190" RPV="1" LEYEX="-0.02994" LEYEY="-0.02751" LEYEZ="0.61246" LPUPILD="0.00608" LPUPILV="1" REYEX="0.02530" REYEY="-0.03617" REYEZ="0.61365" RPUPILD="0.00629" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.94495" FPOGY="0.44916" FPOGS="6851.72119" FPOGD="0.62891" FPOGID="16310" FPOGV="0" LPOGX="0.90559" LPOGY="0.41600" LPOGV="1" RPOGX="0.88936" RPOGY="0.44730" RPOGV="1" BPOGX="0.89747" BPOGY="0.43165" BPOGV="1" LPCX="0.37521" LPCY="0.63931" LPD="27.17983" LPS="0.88384" LPV="1" RPCX="0.61256" RPCY="0.68617" RPD="29.01193" RPS="0.89606" RPV="1" LEYEX="-0.03099" LEYEY="-0.02817" LEYEZ="0.62812" LPUPILD="0.00613" LPUPILV="1" REYEX="0.02604" REYEY="-0.03764" REYEZ="0.63847" RPUPILD="0.00633" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.90665" FPOGY="0.42067" FPOGS="6851.72119" FPOGD="0.62891" FPOGID="16310" FPOGV="0" LPOGX="0.93923" LPOGY="0.34712" LPOGV="1" RPOGX="0.92536" RPOGY="0.42423" RPOGV="1" BPOGX="0.93229" BPOGY="0.38568" BPOGV="1" LPCX="0.37521" LPCY="0.63935" LPD="27.41691" LPS="0.90801" LPV="1" RPCX="0.61247" RPCY="0.68622" RPD="29.11296" RPS="0.92023" RPV="1" LEYEX="-0.03099" LEYEY="-0.02817" LEYEZ="0.62812" LPUPILD="0.00609" LPUPILV="1" REYEX="0.02604" REYEY="-0.03764" REYEZ="0.63847" RPUPILD="0.00633" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.92139" FPOGY="0.39487" FPOGS="6851.72119" FPOGD="0.62891" FPOGID="16310" FPOGV="0" LPOGX="0.93661" LPOGY="0.32394" LPOGV="1" RPOGX="0.93565" RPOGY="0.41418" RPOGV="1" BPOGX="0.93613" BPOGY="0.36906" BPOGV="1" LPCX="0.37513" LPCY="0.63939" LPD="27.35236" LPS="0.93218" LPV="1" RPCX="0.61246" RPCY="0.68628" RPD="28.80080" RPS="0.94440" RPV="1" LEYEX="-0.03099" LEYEY="-0.02817" LEYEZ="0.62812" LPUPILD="0.00599" LPUPILV="1" REYEX="0.02604" REYEY="-0.03764" REYEZ="0.63847" RPUPILD="0.00634" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.92786" FPOGY="0.38312" FPOGS="6851.72119" FPOGD="0.62891" FPOGID="16310" FPOGV="0" LPOGX="0.93979" LPOGY="0.31344" LPOGV="1" RPOGX="0.94181" RPOGY="0.40582" RPOGV="1" BPOGX="0.94080" BPOGY="0.35963" BPOGV="1" LPCX="0.37505" LPCY="0.63944" LPD="27.08279" LPS="0.94440" LPV="1" RPCX="0.61241" RPCY="0.68629" RPD="28.94821" RPS="0.95662" RPV="1" LEYEX="-0.03004" LEYEY="-0.02732" LEYEZ="0.60701" LPUPILD="0.00602" LPUPILV="1" REYEX="0.02604" REYEY="-0.03764" REYEZ="0.63847" RPUPILD="0.00633" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.93395" FPOGY="0.37870" FPOGS="6852.37695" FPOGD="0.02051" FPOGID="16311" FPOGV="1" LPOGX="0.97326" LPOGY="0.32158" LPOGV="1" RPOGX="0.93115" RPOGY="0.40927" RPOGV="1" BPOGX="0.95220" BPOGY="0.36542" BPOGV="1" LPCX="0.37497" LPCY="0.63938" LPD="27.16481" LPS="0.94468" LPV="1" RPCX="0.61235" RPCY="0.68630" RPD="28.83908" RPS="0.94468" RPV="1" LEYEX="-0.03004" LEYEY="-0.02732" LEYEZ="0.60701" LPUPILD="0.00607" LPUPILV="1" REYEX="0.02604" REYEY="-0.03764" REYEZ="0.63847" RPUPILD="0.00633" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
