2025-05-29 10:43:19.723193
REYEZ="0.60545" RPUPILD="0.00427" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.63053" FPOGY="0.48957" FPOGS="2350.75269" FPOGD="0.15356" FPOGID="5741" FPOGV="1" LPOGX="0.80253" LPOGY="0.53769" LPOGV="1" RPOGX="0.54809" RPOGY="0.48554" RPOGV="1" BPOGX="0.67531" BPOGY="0.51161" BPOGV="1" LPCX="0.32023" LPCY="0.52194" LPD="21.81269" LPS="0.84747" LPV="1" RPCX="0.57304" RPCY="0.53892" RPD="20.99272" RPS="0.84168" RPV="1" LEYEX="-0.18730" LEYEY="-0.02344" LEYEZ="2.74117" LPUPILD="0.00455" LPUPILV="0" REYEX="0.01649" REYEY="-0.00829" REYEZ="0.60101" RPUPILD="0.00426" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.86172" FPOGY="0.50040" FPOGS="2351.58374" FPOGD="0.23340" FPOGID="5745" FPOGV="1" LPOGX="0.80803" LPOGY="0.51833" LPOGV="1" RPOGX="0.56023" RPOGY="0.48946" RPOGV="1" BPOGX="0.68413" BPOGY="0.50389" BPOGV="1" LPCX="0.32215" LPCY="0.52183" LPD="22.16876" LPS="0.84122" LPV="1" RPCX="0.57548" RPCY="0.53916" RPD="21.14708" RPS="0.84122" RPV="1" LEYEX="-0.04101" LEYEY="-0.00509" LEYEZ="0.59519" LPUPILD="0.00466" LPUPILV="1" REYEX="0.01733" REYEY="-0.00853" REYEZ="0.61134" RPUPILD="0.00436" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.85512" FPOGY="0.49979" FPOGS="2351.58374" FPOGD="0.24023" FPOGID="5745" FPOGV="1" LPOGX="0.73677" LPOGY="0.50542" LPOGV="1" RPOGX="0.49829" RPOGY="0.44970" RPOGV="1" BPOGX="0.61753" BPOGY="0.47756" BPOGV="1" LPCX="0.31979" LPCY="0.52197" LPD="22.40561" LPS="0.84587" LPV="1" RPCX="0.57308" RPCY="0.53887" RPD="20.26788" RPS="0.84587" RPV="1" LEYEX="-0.04101" LEYEY="-0.00509" LEYEZ="0.59519" LPUPILD="0.00461" LPUPILV="1" REYEX="0.01733" REYEY="-0.00853" REYEZ="0.61134" RPUPILD="0.00409" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.81989" FPOGY="0.49613" FPOGS="2351.58374" FPOGD="0.24023" FPOGID="5745" FPOGV="0" LPOGX="0.73738" LPOGY="0.49873" LPOGV="1" RPOGX="0.49897" RPOGY="0.44232" RPOGV="1" BPOGX="0.61818" BPOGY="0.47052" BPOGV="1" LPCX="0.31882" LPCY="0.52190" LPD="22.00627" LPS="0.85565" LPV="1" RPCX="0.57198" RPCY="0.53920" RPD="21.25896" RPS="0.85565" RPV="1" LEYEX="-0.04291" LEYEY="-0.00522" LEYEZ="0.61012" LPUPILD="0.00457" LPUPILV="1" REYEX="0.01611" REYEY="-0.00838" REYEZ="0.60039" RPUPILD="0.00428" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.65512" FPOGY="0.48961" FPOGS="2351.58374" FPOGD="0.24023" FPOGID="5745" FPOGV="0" LPOGX="0.60929" LPOGY="0.43882" LPOGV="1" RPOGX="0.37141" RPOGY="0.52738" RPOGV="1" BPOGX="0.49035" BPOGY="0.48310" BPOGV="1" LPCX="0.31493" LPCY="0.52190" LPD="22.12624" LPS="0.86076" LPV="1" RPCX="0.56783" RPCY="0.53923" RPD="20.37677" RPS="0.86076" RPV="1" LEYEX="-0.04291" LEYEY="-0.00522" LEYEZ="0.61012" LPUPILD="0.00452" LPUPILV="1" REYEX="0.01611" REYEY="-0.00838" REYEZ="0.60039" RPUPILD="0.00431" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.56945" FPOGY="0.49298" FPOGS="2351.58374" FPOGD="0.24023" FPOGID="5745" FPOGV="0" LPOGX="0.53862" LPOGY="0.44870" LPOGV="1" RPOGX="0.25758" RPOGY="0.55075" RPOGV="1" BPOGX="0.39810" BPOGY="0.49973" BPOGV="1" LPCX="0.31304" LPCY="0.52214" LPD="22.54478" LPS="0.86588" LPV="1" RPCX="0.56590" RPCY="0.53961" RPD="20.66882" RPS="0.86588" RPV="1" LEYEX="-0.04291" LEYEY="-0.00522" LEYEZ="0.61012" LPUPILD="0.00450" LPUPILV="1" REYEX="0.01611" REYEY="-0.00838" REYEZ="0.60039" RPUPILD="0.00428" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.42913" FPOGY="0.49522" FPOGS="2351.58374" FPOGD="0.24023" FPOGID="5745" FPOGV="0" LPOGX="0.53936" LPOGY="0.45197" LPOGV="1" RPOGX="0.25850" RPOGY="0.55372" RPOGV="1" BPOGX="0.39893" BPOGY="0.50284" BPOGV="1" LPCX="0.31183" LPCY="0.52209" LPD="22.32880" LPS="0.86123" LPV="1" RPCX="0.56439" RPCY="0.53951" RPD="20.45110" RPS="0.86123" RPV="1" LEYEX="-0.04139" LEYEY="-0.00507" LEYEZ="0.57749" LPUPILD="0.00449" LPUPILV="1" REYEX="0.01543" REYEY="-0.00850" REYEZ="0.60896" RPUPILD="0.00449" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.36542" FPOGY="0.48310" FPOGS="2351.58374" FPOGD="0.24023" FPOGID="5745" FPOGV="0" LPOGX="0.43020" LPOGY="0.41231" LPOGV="1" RPOGX="0.17323" RPOGY="0.52966" RPOGV="1" BPOGX="0.30172" BPOGY="0.47098" BPOGV="1" LPCX="0.30881" LPCY="0.52251" LPD="22.50534" LPS="0.85146" LPV="1" RPCX="0.56147" RPCY="0.53994" RPD="20.96755" RPS="0.85146" RPV="1" LEYEX="-0.04139" LEYEY="-0.00507" LEYEZ="0.57749" LPUPILD="0.00463" LPUPILV="1" REYEX="0.01543" REYEY="-0.00850" REYEZ="0.60896" RPUPILD="0.00444" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.32209" FPOGY="0.48671" FPOGS="2351.58374" FPOGD="0.24023" FPOGID="5745" FPOGV="0" LPOGX="0.36249" LPOGY="0.42965" LPOGV="1" RPOGX="0.10839" RPOGY="0.55820" RPOGV="1" BPOGX="0.23544" BPOGY="0.49393" BPOGV="1" LPCX="0.30736" LPCY="0.52287" LPD="22.67018" LPS="0.84168" LPV="1" RPCX="0.56002" RPCY="0.54017" RPD="20.88500" RPS="0.84168" RPV="1" LEYEX="-0.04139" LEYEY="-0.00507" LEYEZ="0.57749" LPUPILD="0.00459" LPUPILV="1" REYEX="0.01543" REYEY="-0.00850" REYEZ="0.60896" RPUPILD="0.00442" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
