2025-05-28 14:57:17.350129
2032" REYEZ="0.59162" RPUPILD="0.00438" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.90740" FPOGY="-0.01061" FPOGS="3496.85400" FPOGD="0.24121" FPOGID="6972" FPOGV="1" LPOGX="0.91424" LPOGY="0.07961" LPOGV="1" RPOGX="0.77781" RPOGY="-0.07368" RPOGV="1" BPOGX="0.84603" BPOGY="0.00297" BPOGV="1" LPCX="0.31026" LPCY="0.61485" LPD="21.67743" LPS="0.84920" LPV="1" RPCX="0.58202" RPCY="0.60130" RPD="20.46297" RPS="0.84920" RPV="1" LEYEX="-0.04514" LEYEY="-0.02340" LEYEZ="0.61056" LPUPILD="0.00399" LPUPILV="1" REYEX="0.01770" REYEY="-0.02032" REYEZ="0.59162" RPUPILD="0.00450" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.56966" FPOGY="0.09657" FPOGS="3497.97266" FPOGD="0.03418" FPOGID="6976" FPOGV="1" LPOGX="0.64479" LPOGY="0.12344" LPOGV="1" RPOGX="0.48941" RPOGY="0.05091" RPOGV="1" BPOGX="0.56710" BPOGY="0.08718" BPOGV="1" LPCX="0.29979" LPCY="0.61821" LPD="21.03867" LPS="0.91028" LPV="1" RPCX="0.57245" RPCY="0.60440" RPD="21.55783" RPS="0.91028" RPV="1" LEYEX="-0.04627" LEYEY="-0.02360" LEYEZ="0.60389" LPUPILD="0.00403" LPUPILV="1" REYEX="0.01753" REYEY="-0.02215" REYEZ="0.63364" RPUPILD="0.00406" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.57012" FPOGY="0.09567" FPOGS="3497.97266" FPOGD="0.04053" FPOGID="6976" FPOGV="1" LPOGX="0.64761" LPOGY="0.13669" LPOGV="1" RPOGX="0.49818" RPOGY="0.04392" RPOGV="1" BPOGX="0.57290" BPOGY="0.09031" BPOGV="1" LPCX="0.29993" LPCY="0.61814" LPD="20.80927" LPS="0.90462" LPV="1" RPCX="0.57247" RPCY="0.60441" RPD="21.56577" RPS="0.90462" RPV="1" LEYEX="-0.04627" LEYEY="-0.02360" LEYEZ="0.60389" LPUPILD="0.00401" LPUPILV="1" REYEX="0.01753" REYEY="-0.02215" REYEZ="0.63364" RPUPILD="0.00406" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.57045" FPOGY="0.09920" FPOGS="3497.97266" FPOGD="0.04688" FPOGID="6976" FPOGV="1" LPOGX="0.64887" LPOGY="0.18973" LPOGV="1" RPOGX="0.49655" RPOGY="0.05812" RPOGV="1" BPOGX="0.57271" BPOGY="0.12393" BPOGV="1" LPCX="0.29996" LPCY="0.61811" LPD="20.72419" LPS="0.89896" LPV="1" RPCX="0.57254" RPCY="0.60433" RPD="21.46371" RPS="0.89896" RPV="1" LEYEX="-0.04627" LEYEY="-0.02360" LEYEZ="0.60389" LPUPILD="0.00399" LPUPILV="1" REYEX="0.01753" REYEY="-0.02215" REYEZ="0.63364" RPUPILD="0.00404" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.57069" FPOGY="0.10262" FPOGS="3497.97266" FPOGD="0.05371" FPOGID="6976" FPOGV="1" LPOGX="0.64907" LPOGY="0.19527" LPOGV="1" RPOGX="0.49619" RPOGY="0.06460" RPOGV="1" BPOGX="0.57263" BPOGY="0.12994" BPOGV="1" LPCX="0.30000" LPCY="0.61809" LPD="20.59415" LPS="0.89331" LPV="1" RPCX="0.57261" RPCY="0.60432" RPD="21.37352" RPS="0.89331" RPV="1" LEYEX="-0.04627" LEYEY="-0.02360" LEYEZ="0.60389" LPUPILD="0.00403" LPUPILV="1" REYEX="0.01753" REYEY="-0.02215" REYEZ="0.63364" RPUPILD="0.00403" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.56978" FPOGY="0.10538" FPOGS="3497.97266" FPOGD="0.05957" FPOGID="6976" FPOGV="1" LPOGX="0.64841" LPOGY="0.19683" LPOGV="1" RPOGX="0.47486" RPOGY="0.06360" RPOGV="1" BPOGX="0.56164" BPOGY="0.13022" BPOGV="1" LPCX="0.29998" LPCY="0.61812" LPD="21.02759" LPS="0.89331" LPV="1" RPCX="0.57255" RPCY="0.60432" RPD="21.30375" RPS="0.89331" RPV="1" LEYEX="-0.04627" LEYEY="-0.02360" LEYEZ="0.60389" LPUPILD="0.00396" LPUPILV="1" REYEX="0.01753" REYEY="-0.02215" REYEZ="0.63364" RPUPILD="0.00404" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.56944" FPOGY="0.10986" FPOGS="3497.97266" FPOGD="0.06714" FPOGID="6976" FPOGV="1" LPOGX="0.65388" LPOGY="0.24132" LPOGV="1" RPOGX="0.47812" RPOGY="0.06795" RPOGV="1" BPOGX="0.56600" BPOGY="0.15464" BPOGV="1" LPCX="0.30002" LPCY="0.61806" LPD="21.25933" LPS="0.89331" LPV="1" RPCX="0.57264" RPCY="0.60428" RPD="21.12374" RPS="0.89331" RPV="1" LEYEX="-0.04627" LEYEY="-0.02360" LEYEZ="0.60389" LPUPILD="0.00396" LPUPILV="1" REYEX="0.01753" REYEY="-0.02215" REYEZ="0.63364" RPUPILD="0.00403" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.56914" FPOGY="0.11386" FPOGS="3497.97266" FPOGD="0.07300" FPOGID="6976" FPOGV="1" LPOGX="0.65388" LPOGY="0.24132" LPOGV="1" RPOGX="0.47786" RPOGY="0.07457" RPOGV="1" BPOGX="0.56587" BPOGY="0.15795" BPOGV="1" LPCX="0.30011" LPCY="0.61811" LPD="21.29851" LPS="0.89331" LPV="1" RPCX="0.57271" RPCY="0.60430" RPD="21.11488" RPS="0.88752" RPV="1" LEYEX="-0.04707" LEYEY="-0.02391" LEYEZ="0.61429" LPUPILD="0.00400" LPUPILV="1" REYEX="0.01681" REYEY="-0.02118" REYEZ="0.60599" RPUPILD="0.00407" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.57021" FPOGY="0.11692" FPOGS="3497.97266" FPOGD="0.08032" FPOGID="6976" FPOGV="1" LPOGX="0.66648" LPOGY="0.22862" LPOGV="1" RPOGX="0.49956" RPOGY="0.07845" RPOGV="1" BPOGX="0.58302" BPOGY="0.15354" BPOGV="1" LPCX="0.30014" LPCY="0.61799" LPD="20.85457" LPS="0.88752" LPV="1" RPCX="0.57288" RPCY="0.60432" RPD="21.26074" RPS="0.88173" RPV="1" LEYEX="-0.04707" LEYEY="-0.02391" LEYEZ="0.61429" LPUPILD="0.00402" LPUPILV="1" REYEX="0.01681" REYEY="-0.02118" REYEZ="0.60599" RPUPILD="0.00406" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
