2025-05-28 14:59:00.443671
 REYEZ="0.53799" RPUPILD="0.00468" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="1.11926" FPOGY="0.49480" FPOGS="3600.06274" FPOGD="0.12695" FPOGID="7236" FPOGV="1" LPOGX="1.16307" LPOGY="0.62826" LPOGV="1" RPOGX="1.03185" RPOGY="0.42527" RPOGV="1" BPOGX="1.09746" BPOGY="0.52676" BPOGV="1" LPCX="0.32583" LPCY="0.70095" LPD="23.92097" LPS="0.78558" LPV="1" RPCX="0.58776" RPCY="0.71041" RPD="24.85609" RPS="0.78558" RPV="1" LEYEX="-0.04235" LEYEY="-0.03858" LEYEZ="0.60739" LPUPILD="0.00481" LPUPILV="1" REYEX="0.01613" REYEY="-0.03591" REYEZ="0.53799" RPUPILD="0.00472" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="1.08212" FPOGY="0.49912" FPOGS="3601.03467" FPOGD="0.05371" FPOGID="7240" FPOGV="1" LPOGX="1.13006" LPOGY="0.56842" LPOGV="1" RPOGX="0.95802" RPOGY="0.37381" RPOGV="1" BPOGX="1.04404" BPOGY="0.47111" BPOGV="1" LPCX="0.32326" LPCY="0.70169" LPD="23.67606" LPS="0.83045" LPV="1" RPCX="0.58509" RPCY="0.71081" RPD="24.65353" RPS="0.83879" RPV="1" LEYEX="-0.04320" LEYEY="-0.03920" LEYEZ="0.61496" LPUPILD="0.00487" LPUPILV="1" REYEX="0.01725" REYEY="-0.03840" REYEZ="0.57525" RPUPILD="0.00471" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="1.07907" FPOGY="0.49529" FPOGS="3601.03467" FPOGD="0.06030" FPOGID="7240" FPOGV="1" LPOGX="1.13440" LPOGY="0.56270" LPOGV="1" RPOGX="0.96885" RPOGY="0.35890" RPOGV="1" BPOGX="1.05163" BPOGY="0.46080" BPOGV="1" LPCX="0.32325" LPCY="0.70164" LPD="23.60665" LPS="0.83879" LPV="1" RPCX="0.58502" RPCY="0.71070" RPD="24.68290" RPS="0.85712" RPV="1" LEYEX="-0.04291" LEYEY="-0.03889" LEYEZ="0.61010" LPUPILD="0.00487" LPUPILV="1" REYEX="0.01816" REYEY="-0.04063" REYEZ="0.60874" RPUPILD="0.00476" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="1.07642" FPOGY="0.49117" FPOGS="3601.03467" FPOGD="0.06738" FPOGID="7240" FPOGV="1" LPOGX="1.13202" LPOGY="0.54808" LPOGV="1" RPOGX="0.96779" RPOGY="0.35185" RPOGV="1" BPOGX="1.04991" BPOGY="0.44997" BPOGV="1" LPCX="0.32313" LPCY="0.70158" LPD="23.75084" LPS="0.85146" LPV="1" RPCX="0.58500" RPCY="0.71071" RPD="24.65237" RPS="0.86146" RPV="1" LEYEX="-0.04291" LEYEY="-0.03889" LEYEZ="0.61010" LPUPILD="0.00482" LPUPILV="1" REYEX="0.01816" REYEY="-0.04063" REYEZ="0.60874" RPUPILD="0.00475" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="1.07408" FPOGY="0.48956" FPOGS="3601.03467" FPOGD="0.07690" FPOGID="7240" FPOGV="1" LPOGX="1.12560" LPOGY="0.54076" LPOGV="1" RPOGX="0.97112" RPOGY="0.40304" RPOGV="1" BPOGX="1.04836" BPOGY="0.47190" BPOGV="1" LPCX="0.32306" LPCY="0.70152" LPD="23.64918" LPS="0.85580" LPV="1" RPCX="0.58495" RPCY="0.71065" RPD="24.69963" RPS="0.86580" RPV="1" LEYEX="-0.04291" LEYEY="-0.03889" LEYEZ="0.61010" LPUPILD="0.00487" LPUPILV="1" REYEX="0.01816" REYEY="-0.04063" REYEZ="0.60874" RPUPILD="0.00472" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="1.07228" FPOGY="0.48796" FPOGS="3601.03467" FPOGD="0.08447" FPOGID="7240" FPOGV="1" LPOGX="1.12777" LPOGY="0.53772" LPOGV="1" RPOGX="0.97368" RPOGY="0.39976" RPOGV="1" BPOGX="1.05072" BPOGY="0.46874" BPOGV="1" LPCX="0.32301" LPCY="0.70152" LPD="23.54340" LPS="0.86015" LPV="1" RPCX="0.58491" RPCY="0.71076" RPD="24.82126" RPS="0.87015" RPV="1" LEYEX="-0.04291" LEYEY="-0.03889" LEYEZ="0.61010" LPUPILD="0.00489" LPUPILV="1" REYEX="0.01816" REYEY="-0.04063" REYEZ="0.60874" RPUPILD="0.00474" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="1.07056" FPOGY="0.48523" FPOGS="3601.03467" FPOGD="0.08984" FPOGID="7240" FPOGV="1" LPOGX="1.12871" LPOGY="0.52601" LPOGV="1" RPOGX="0.96772" RPOGY="0.37352" RPOGV="1" BPOGX="1.04822" BPOGY="0.44976" BPOGV="1" LPCX="0.32297" LPCY="0.70153" LPD="23.66894" LPS="0.87015" LPV="1" RPCX="0.58506" RPCY="0.71069" RPD="24.13879" RPS="0.87015" RPV="1" LEYEX="-0.04291" LEYEY="-0.03889" LEYEZ="0.61010" LPUPILD="0.00488" LPUPILV="1" REYEX="0.01816" REYEY="-0.04063" REYEZ="0.60874" RPUPILD="0.00478" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="1.06983" FPOGY="0.48306" FPOGS="3601.03467" FPOGD="0.09546" FPOGID="7240" FPOGV="1" LPOGX="1.12881" LPOGY="0.52623" LPOGV="1" RPOGX="0.99046" RPOGY="0.37920" RPOGV="1" BPOGX="1.05964" BPOGY="0.45272" BPOGV="1" LPCX="0.32298" LPCY="0.70158" LPD="23.64565" LPS="0.87015" LPV="1" RPCX="0.58505" RPCY="0.71060" RPD="24.16626" RPS="0.87015" RPV="1" LEYEX="-0.04291" LEYEY="-0.03889" LEYEZ="0.61010" LPUPILD="0.00487" LPUPILV="1" REYEX="0.01816" REYEY="-0.04063" REYEZ="0.60874" RPUPILD="0.00473" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="1.06939" FPOGY="0.48090" FPOGS="3601.03467" FPOGD="0.09985" FPOGID="7240" FPOGV="1" LPOGX="1.13161" LPOGY="0.52223" LPOGV="1" RPOGX="0.99389" RPOGY="0.37481" RPOGV="1" BPOGX="1.06275" BPOGY="0.44852" BPOGV="1" LPCX="0.32292" LPCY="0.70154" LPD="23.64712" LPS="0.87580" LPV="1" RPCX="0.58499" RPCY="0.71069" RPD="24.09834" RPS="0.87580" RPV="1" LEYEX="-0.04371" LEYEY="-0.03958" LEYEZ="0.62086" LPUPILD="0.00486" LPUPILV="1" REYEX="0.01816" REYEY="-0.04063" REYEZ="0.60874" RPUPILD="0.00478" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
