2025-05-30 13:12:02.158102
01012" LEYEZ="0.65491" LPUPILD="0.00435" LPUPILV="1" REYEX="0.02535" REYEY="-0.01409" REYEZ="0.60595" RPUPILD="0.00458" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="1.12349" FPOGY="0.51200" FPOGS="3973.58569" FPOGD="0.08667" FPOGID="4414" FPOGV="1" LPOGX="1.21035" LPOGY="0.62366" LPOGV="1" RPOGX="1.06728" RPOGY="0.41447" RPOGV="1" BPOGX="1.13881" BPOGY="0.51907" BPOGV="1" LPCX="0.36491" LPCY="0.54519" LPD="20.89589" LPS="0.95285" LPV="1" RPCX="0.61676" RPCY="0.56960" RPD="21.57186" RPS="0.94706" RPV="1" LEYEX="-0.03560" LEYEY="-0.01012" LEYEZ="0.65491" LPUPILD="0.00437" LPUPILV="1" REYEX="0.02535" REYEY="-0.01409" REYEZ="0.60595" RPUPILD="0.00458" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.54358" FPOGY="0.30577" FPOGS="3974.44287" FPOGD="0.14038" FPOGID="4417" FPOGV="1" LPOGX="0.61521" LPOGY="0.40085" LPOGV="1" RPOGX="0.48304" RPOGY="0.22895" RPOGV="1" BPOGX="0.54913" BPOGY="0.31490" BPOGV="1" LPCX="0.32999" LPCY="0.54589" LPD="21.00788" LPS="1.03456" LPV="1" RPCX="0.58478" RPCY="0.56149" RPD="20.70781" RPS="1.04265" RPV="1" LEYEX="-0.04146" LEYEY="-0.01006" LEYEZ="0.63857" LPUPILD="0.00422" LPUPILV="1" REYEX="0.02199" REYEY="-0.01426" REYEZ="0.67884" RPUPILD="0.00428" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.54365" FPOGY="0.30797" FPOGS="3974.44287" FPOGD="0.14722" FPOGID="4417" FPOGV="1" LPOGX="0.63053" LPOGY="0.42401" LPOGV="1" RPOGX="0.45952" RPOGY="0.28905" RPOGV="1" BPOGX="0.54503" BPOGY="0.35653" BPOGV="1" LPCX="0.32943" LPCY="0.54562" LPD="20.65388" LPS="1.02772" LPV="1" RPCX="0.58423" RPCY="0.56118" RPD="20.68096" RPS="1.03580" RPV="1" LEYEX="-0.04146" LEYEY="-0.01006" LEYEZ="0.63857" LPUPILD="0.00418" LPUPILV="1" REYEX="0.02199" REYEY="-0.01426" REYEZ="0.67884" RPUPILD="0.00423" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.54370" FPOGY="0.30976" FPOGS="3974.44287" FPOGD="0.15430" FPOGID="4417" FPOGV="1" LPOGX="0.63015" LPOGY="0.41894" LPOGV="1" RPOGX="0.45969" RPOGY="0.28279" RPOGV="1" BPOGX="0.54492" BPOGY="0.35086" BPOGV="1" LPCX="0.32938" LPCY="0.54591" LPD="20.94343" LPS="1.03580" LPV="1" RPCX="0.58444" RPCY="0.56128" RPD="20.69605" RPS="1.04389" RPV="1" LEYEX="-0.04423" LEYEY="-0.01065" LEYEZ="0.67646" LPUPILD="0.00425" LPUPILV="1" REYEX="0.02196" REYEY="-0.01437" REYEZ="0.68441" RPUPILD="0.00422" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.54429" FPOGY="0.31075" FPOGS="3974.44287" FPOGD="0.16089" FPOGID="4417" FPOGV="1" LPOGX="0.64026" LPOGY="0.41665" LPOGV="1" RPOGX="0.47661" RPOGY="0.25216" RPOGV="1" BPOGX="0.55843" BPOGY="0.33440" BPOGV="1" LPCX="0.32883" LPCY="0.54601" LPD="20.94430" LPS="1.05882" LPV="1" RPCX="0.58389" RPCY="0.56132" RPD="21.08731" RPS="1.05882" RPV="1" LEYEX="-0.04423" LEYEY="-0.01065" LEYEZ="0.67646" LPUPILD="0.00420" LPUPILV="1" REYEX="0.02196" REYEY="-0.01437" REYEZ="0.68441" RPUPILD="0.00425" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.54515" FPOGY="0.31032" FPOGS="3974.44287" FPOGD="0.16748" FPOGID="4417" FPOGV="1" LPOGX="0.64326" LPOGY="0.36242" LPOGV="1" RPOGX="0.48998" RPOGY="0.23707" RPOGV="1" BPOGX="0.56662" BPOGY="0.29975" BPOGV="1" LPCX="0.32861" LPCY="0.54600" LPD="20.96589" LPS="1.07375" LPV="1" RPCX="0.58365" RPCY="0.56121" RPD="20.61665" RPS="1.07375" RPV="1" LEYEX="-0.04423" LEYEY="-0.01065" LEYEZ="0.67646" LPUPILD="0.00416" LPUPILV="1" REYEX="0.02196" REYEY="-0.01437" REYEZ="0.68441" RPUPILD="0.00421" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.54594" FPOGY="0.30974" FPOGS="3974.44287" FPOGD="0.17407" FPOGID="4417" FPOGV="1" LPOGX="0.64302" LPOGY="0.35779" LPOGV="1" RPOGX="0.49031" RPOGY="0.23150" RPOGV="1" BPOGX="0.56667" BPOGY="0.29465" BPOGV="1" LPCX="0.32838" LPCY="0.54597" LPD="21.08953" LPS="1.08078" LPV="1" RPCX="0.58354" RPCY="0.56122" RPD="20.73822" RPS="1.08078" RPV="1" LEYEX="-0.04332" LEYEY="-0.01042" LEYEZ="0.65872" LPUPILD="0.00421" LPUPILV="1" REYEX="0.02149" REYEY="-0.01410" REYEZ="0.67603" RPUPILD="0.00425" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.54586" FPOGY="0.30962" FPOGS="3974.44287" FPOGD="0.18091" FPOGID="4417" FPOGV="1" LPOGX="0.62121" LPOGY="0.38049" LPOGV="1" RPOGX="0.46608" RPOGY="0.23206" RPOGV="1" BPOGX="0.54364" BPOGY="0.30627" BPOGV="1" LPCX="0.32791" LPCY="0.54614" LPD="20.87296" LPS="1.07287" LPV="1" RPCX="0.58304" RPCY="0.56123" RPD="20.97523" RPS="1.07287" RPV="1" LEYEX="-0.04332" LEYEY="-0.01042" LEYEZ="0.65872" LPUPILD="0.00422" LPUPILV="1" REYEX="0.02149" REYEY="-0.01410" REYEZ="0.67603" RPUPILD="0.00425" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.54603" FPOGY="0.30952" FPOGS="3974.44287" FPOGD="0.18750" FPOGID="4417" FPOGV="1" LPOGX="0.64353" LPOGY="0.37667" LPOGV="1" RPOGX="0.45794" RPOGY="0.23661" RPOGV="1" BPOGX="0.55074" BPOGY="0.30664" BPOGV="1" LPCX="0.32777" LPCY="0.54614" LPD="21.23858" LPS="1.06497" LPV="1" RPCX="0.58288" RPCY="0.56119" RPD="21.06975" RPS="1.06497" RPV="1" LEYEX="-0.04332" LEYEY="-0.01042" LEYEZ="0.65872" LPUPILD="0.00417" LPUPILV="1" REYEX="0.02149" REYEY="-0.01410" REYEZ="0.67603" RPUPILD="0.00422" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
