2025-06-03 16:01:21.982893
REYEZ="0.66023" RPUPILD="0.00412" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.67814" FPOGY="0.05424" FPOGS="311.62482" FPOGD="0.06686" FPOGID="1057" FPOGV="1" LPOGX="0.68909" LPOGY="0.09066" LPOGV="1" RPOGX="0.67893" RPOGY="-0.02454" RPOGV="1" BPOGX="0.68401" BPOGY="0.03306" BPOGV="1" LPCX="0.29086" LPCY="0.79643" LPD="17.49572" LPS="1.08165" LPV="1" RPCX="0.53081" RPCY="0.79098" RPD="19.14037" RPS="1.06439" RPV="1" LEYEX="-0.05657" LEYEY="-0.06582" LEYEZ="0.70316" LPUPILD="0.00372" LPUPILV="1" REYEX="0.00718" REYEY="-0.06086" REYEZ="0.66023" RPUPILD="0.00413" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.36352" FPOGY="0.11905" FPOGS="312.46869" FPOGD="0.13281" FPOGID="1062" FPOGV="1" LPOGX="0.36391" LPOGY="0.21654" LPOGV="1" RPOGX="0.33206" RPOGY="0.07650" RPOGV="1" BPOGX="0.34799" BPOGY="0.14652" BPOGV="1" LPCX="0.27426" LPCY="0.80017" LPD="17.77168" LPS="1.06408" LPV="1" RPCX="0.51486" RPCY="0.79044" RPD="19.73738" RPS="1.06408" RPV="1" LEYEX="-0.05715" LEYEY="-0.06319" LEYEZ="0.66974" LPUPILD="0.00371" LPUPILV="1" REYEX="0.00418" REYEY="-0.06235" REYEZ="0.67922" RPUPILD="0.00412" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.36408" FPOGY="0.12094" FPOGS="312.46869" FPOGD="0.13980" FPOGID="1062" FPOGV="1" LPOGX="0.38879" LPOGY="0.21862" LPOGV="1" RPOGX="0.36206" RPOGY="0.09874" RPOGV="1" BPOGX="0.37543" BPOGY="0.15868" BPOGV="1" LPCX="0.27453" LPCY="0.79997" LPD="17.79880" LPS="1.07198" LPV="1" RPCX="0.51505" RPCY="0.79056" RPD="19.59316" RPS="1.07198" RPV="1" LEYEX="-0.05715" LEYEY="-0.06319" LEYEZ="0.66974" LPUPILD="0.00373" LPUPILV="1" REYEX="0.00418" REYEY="-0.06235" REYEZ="0.67922" RPUPILD="0.00419" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.36515" FPOGY="0.12099" FPOGS="312.46869" FPOGD="0.14645" FPOGID="1062" FPOGV="1" LPOGX="0.40703" LPOGY="0.18609" LPOGV="1" RPOGX="0.36796" RPOGY="0.05813" RPOGV="1" BPOGX="0.38750" BPOGY="0.12211" BPOGV="1" LPCX="0.27457" LPCY="0.79986" LPD="17.50066" LPS="1.07988" LPV="1" RPCX="0.51509" RPCY="0.79031" RPD="19.44251" RPS="1.07988" RPV="1" LEYEX="-0.05715" LEYEY="-0.06319" LEYEZ="0.66974" LPUPILD="0.00376" LPUPILV="1" REYEX="0.00418" REYEY="-0.06235" REYEZ="0.67922" RPUPILD="0.00410" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.36612" FPOGY="0.12104" FPOGS="312.46869" FPOGD="0.15216" FPOGID="1062" FPOGV="1" LPOGX="0.40703" LPOGY="0.18609" LPOGV="1" RPOGX="0.36796" RPOGY="0.05813" RPOGV="1" BPOGX="0.38750" BPOGY="0.12211" BPOGV="1" LPCX="0.27478" LPCY="0.79990" LPD="17.78009" LPS="1.07988" LPV="1" RPCX="0.51527" RPCY="0.79056" RPD="19.68778" RPS="1.07988" RPV="1" LEYEX="-0.05580" LEYEY="-0.06175" LEYEZ="0.65451" LPUPILD="0.00366" LPUPILV="1" REYEX="0.00418" REYEY="-0.06235" REYEZ="0.67922" RPUPILD="0.00411" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.36578" FPOGY="0.12147" FPOGS="312.46869" FPOGD="0.16071" FPOGID="1062" FPOGV="1" LPOGX="0.38744" LPOGY="0.19458" LPOGV="1" RPOGX="0.32842" RPOGY="0.06813" RPOGV="1" BPOGX="0.35793" BPOGY="0.13136" BPOGV="1" LPCX="0.27492" LPCY="0.80016" LPD="17.80333" LPS="1.07198" LPV="1" RPCX="0.51554" RPCY="0.79054" RPD="19.55243" RPS="1.07198" RPV="1" LEYEX="-0.05580" LEYEY="-0.06175" LEYEZ="0.65451" LPUPILD="0.00376" LPUPILV="1" REYEX="0.00418" REYEY="-0.06235" REYEZ="0.67922" RPUPILD="0.00409" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.36615" FPOGY="0.12267" FPOGS="312.46869" FPOGD="0.16537" FPOGID="1062" FPOGV="1" LPOGX="0.40935" LPOGY="0.22421" LPOGV="1" RPOGX="0.34095" RPOGY="0.07894" RPOGV="1" BPOGX="0.37515" BPOGY="0.15157" BPOGV="1" LPCX="0.27504" LPCY="0.80006" LPD="17.92671" LPS="1.06408" LPV="1" RPCX="0.51558" RPCY="0.79051" RPD="19.74193" RPS="1.06408" RPV="1" LEYEX="-0.05580" LEYEY="-0.06175" LEYEZ="0.65451" LPUPILD="0.00369" LPUPILV="1" REYEX="0.00418" REYEY="-0.06235" REYEZ="0.67922" RPUPILD="0.00409" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.36650" FPOGY="0.12379" FPOGS="312.46869" FPOGD="0.17050" FPOGID="1062" FPOGV="1" LPOGX="0.40935" LPOGY="0.22421" LPOGV="1" RPOGX="0.34095" RPOGY="0.07894" RPOGV="1" BPOGX="0.37515" BPOGY="0.15157" BPOGV="1" LPCX="0.27523" LPCY="0.80000" LPD="17.92181" LPS="1.06408" LPV="1" RPCX="0.51566" RPCY="0.79052" RPD="19.61588" RPS="1.06408" RPV="1" LEYEX="-0.05790" LEYEY="-0.06424" LEYEZ="0.68091" LPUPILD="0.00368" LPUPILV="1" REYEX="0.00446" REYEY="-0.06354" REYEZ="0.69108" RPUPILD="0.00409" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.36672" FPOGY="0.12469" FPOGS="312.46869" FPOGD="0.17456" FPOGID="1062" FPOGV="1" LPOGX="0.38699" LPOGY="0.21664" LPOGV="1" RPOGX="0.35803" RPOGY="0.07971" RPOGV="1" BPOGX="0.37251" BPOGY="0.14817" BPOGV="1" LPCX="0.27526" LPCY="0.79990" LPD="17.78249" LPS="1.07198" LPV="1" RPCX="0.51581" RPCY="0.79052" RPD="19.46292" RPS="1.07198" RPV="1" LEYEX="-0.05790" LEYEY="-0.06424" LEYEZ="0.68091" LPUPILD="0.00370" LPUPILV="1" REYEX="0.00446" REYEY="-0.06354" REYEZ="0.69108" RPUPILD="0.00408" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
