2025-05-30 12:07:13.547074
Z="0.64016" RPUPILD="0.00521" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="1.05958" FPOGY="0.59498" FPOGS="84.28772" FPOGD="0.78348" FPOGID="255" FPOGV="1" LPOGX="1.15267" LPOGY="0.65558" LPOGV="1" RPOGX="0.98694" RPOGY="0.46186" RPOGV="1" BPOGX="1.06981" BPOGY="0.55872" BPOGV="1" LPCX="0.22563" LPCY="0.64506" LPD="25.89958" LPS="0.96153" LPV="1" RPCX="0.50228" RPCY="0.63625" RPD="26.11896" RPS="0.96797" RPV="1" LEYEX="-0.07101" LEYEY="-0.03019" LEYEZ="0.65999" LPUPILD="0.00509" LPUPILV="1" REYEX="-0.00115" REYEY="-0.02775" REYEZ="0.64016" RPUPILD="0.00520" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.27286" FPOGY="0.45564" FPOGS="85.76170" FPOGD="0.21410" FPOGID="258" FPOGV="1" LPOGX="0.33457" LPOGY="0.48394" LPOGV="1" RPOGX="0.22146" RPOGY="0.41961" RPOGV="1" BPOGX="0.27801" BPOGY="0.45177" BPOGV="1" LPCX="0.20102" LPCY="0.64438" LPD="27.11718" LPS="1.02364" LPV="1" RPCX="0.47819" RPCY="0.63377" RPD="29.26465" RPS="1.02364" RPV="1" LEYEX="-0.07415" LEYEY="-0.02989" LEYEZ="0.65448" LPUPILD="0.00513" LPUPILV="1" REYEX="-0.00480" REYEY="-0.02821" REYEZ="0.65991" RPUPILD="0.00525" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.27312" FPOGY="0.45546" FPOGS="85.76170" FPOGD="0.22075" FPOGID="258" FPOGV="1" LPOGX="0.36007" LPOGY="0.48529" LPOGV="1" RPOGX="0.20365" RPOGY="0.41405" RPOGV="1" BPOGX="0.28186" BPOGY="0.44967" BPOGV="1" LPCX="0.20099" LPCY="0.64431" LPD="27.30187" LPS="1.02364" LPV="1" RPCX="0.47816" RPCY="0.63380" RPD="29.16629" RPS="1.02364" RPV="1" LEYEX="-0.07415" LEYEY="-0.02989" LEYEZ="0.65448" LPUPILD="0.00512" LPUPILV="1" REYEX="-0.00480" REYEY="-0.02821" REYEZ="0.65991" RPUPILD="0.00526" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.27340" FPOGY="0.45534" FPOGS="85.76170" FPOGD="0.22777" FPOGID="258" FPOGV="1" LPOGX="0.36220" LPOGY="0.48908" LPOGV="1" RPOGX="0.20342" RPOGY="0.41333" RPOGV="1" BPOGX="0.28281" BPOGY="0.45120" BPOGV="1" LPCX="0.20091" LPCY="0.64442" LPD="27.36824" LPS="1.01662" LPV="1" RPCX="0.47814" RPCY="0.63379" RPD="29.16050" RPS="1.02471" RPV="1" LEYEX="-0.07219" LEYEY="-0.02913" LEYEZ="0.63676" LPUPILD="0.00507" LPUPILV="1" REYEX="-0.00499" REYEY="-0.02903" REYEZ="0.67895" RPUPILD="0.00526" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.27333" FPOGY="0.45507" FPOGS="85.76170" FPOGD="0.23505" FPOGID="258" FPOGV="1" LPOGX="0.34528" LPOGY="0.48680" LPOGV="1" RPOGX="0.19666" RPOGY="0.40405" RPOGV="1" BPOGX="0.27097" BPOGY="0.44543" BPOGV="1" LPCX="0.20080" LPCY="0.64442" LPD="27.44917" LPS="1.01768" LPV="1" RPCX="0.47796" RPCY="0.63376" RPD="29.09165" RPS="1.02577" RPV="1" LEYEX="-0.07219" LEYEY="-0.02913" LEYEZ="0.63676" LPUPILD="0.00509" LPUPILV="1" REYEX="-0.00499" REYEY="-0.02903" REYEZ="0.67895" RPUPILD="0.00524" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.27313" FPOGY="0.45501" FPOGS="85.76170" FPOGD="0.24171" FPOGID="258" FPOGV="1" LPOGX="0.34307" LPOGY="0.49393" LPOGV="1" RPOGX="0.18833" RPOGY="0.41225" RPOGV="1" BPOGX="0.26570" BPOGY="0.45309" BPOGV="1" LPCX="0.20072" LPCY="0.64443" LPD="27.25398" LPS="1.01874" LPV="1" RPCX="0.47786" RPCY="0.63381" RPD="29.15727" RPS="1.02683" RPV="1" LEYEX="-0.07219" LEYEY="-0.02913" LEYEZ="0.63676" LPUPILD="0.00511" LPUPILV="1" REYEX="-0.00499" REYEY="-0.02903" REYEZ="0.67895" RPUPILD="0.00523" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.27290" FPOGY="0.45491" FPOGS="85.76170" FPOGD="0.24773" FPOGID="258" FPOGV="1" LPOGX="0.34047" LPOGY="0.48964" LPOGV="1" RPOGX="0.18833" RPOGY="0.41225" RPOGV="1" BPOGX="0.26440" BPOGY="0.45094" BPOGV="1" LPCX="0.20068" LPCY="0.64447" LPD="27.36493" LPS="1.02683" LPV="1" RPCX="0.47787" RPCY="0.63378" RPD="29.14963" RPS="1.02683" RPV="1" LEYEX="-0.07051" LEYEY="-0.02848" LEYEZ="0.62155" LPUPILD="0.00508" LPUPILV="1" REYEX="-0.00494" REYEY="-0.02843" REYEZ="0.66505" RPUPILD="0.00523" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.27271" FPOGY="0.45489" FPOGS="85.76170" FPOGD="0.25458" FPOGID="258" FPOGV="1" LPOGX="0.35705" LPOGY="0.49750" LPOGV="1" RPOGX="0.17413" RPOGY="0.41104" RPOGV="1" BPOGX="0.26559" BPOGY="0.45427" BPOGV="1" LPCX="0.20054" LPCY="0.64456" LPD="27.29686" LPS="1.03386" LPV="1" RPCX="0.47779" RPCY="0.63374" RPD="29.18648" RPS="1.02577" RPV="1" LEYEX="-0.07051" LEYEY="-0.02848" LEYEZ="0.62155" LPUPILD="0.00511" LPUPILV="1" REYEX="-0.00494" REYEY="-0.02843" REYEZ="0.66505" RPUPILD="0.00527" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.27226" FPOGY="0.45506" FPOGS="85.76170" FPOGD="0.26118" FPOGID="258" FPOGV="1" LPOGX="0.34355" LPOGY="0.50462" LPOGV="1" RPOGX="0.16555" RPOGY="0.41924" RPOGV="1" BPOGX="0.25455" BPOGY="0.46193" BPOGV="1" LPCX="0.20051" LPCY="0.64456" LPD="27.46207" LPS="1.03279" LPV="1" RPCX="0.47772" RPCY="0.63372" RPD="29.13154" RPS="1.02471" RPV="1" LEYEX="-0.07051" LEYEY="-0.02848" LEYEZ="0.62155" LPUPILD="0.00509" LPUPILV="1" REYEX="-0.00494" REYEY="-0.02843" REYEZ="0.66505" RPUPILD="0.00527" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
