2025-05-29 12:08:57.147163
01396" LEYEZ="0.63746" LPUPILD="0.00624" LPUPILV="1" REYEX="0.01882" REYEY="0.00850" REYEZ="0.65886" RPUPILD="0.00622" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="1.01034" FPOGY="0.50895" FPOGS="7488.04395" FPOGD="0.06006" FPOGID="20254" FPOGV="1" LPOGX="1.05497" LPOGY="0.55680" LPOGV="1" RPOGX="0.95235" RPOGY="0.48356" RPOGV="1" BPOGX="1.00366" BPOGY="0.52018" BPOGV="1" LPCX="0.32787" LPCY="0.42386" LPD="30.86532" LPS="0.99998" LPV="1" RPCX="0.58070" RPCY="0.45330" RPD="28.96443" RPS="0.99998" RPV="1" LEYEX="-0.04330" LEYEY="0.01396" LEYEZ="0.63746" LPUPILD="0.00624" LPUPILV="1" REYEX="0.01882" REYEY="0.00850" REYEZ="0.65886" RPUPILD="0.00620" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.46197" FPOGY="0.43177" FPOGS="7488.90137" FPOGD="0.10742" FPOGID="20256" FPOGV="1" LPOGX="0.49086" LPOGY="0.44202" LPOGV="1" RPOGX="0.42291" RPOGY="0.41621" RPOGV="1" BPOGX="0.45688" BPOGY="0.42912" BPOGV="1" LPCX="0.31108" LPCY="0.42171" LPD="30.69914" LPS="1.01403" LPV="1" RPCX="0.56460" RPCY="0.45026" RPD="30.71490" RPS="1.01403" RPV="1" LEYEX="-0.04632" LEYEY="0.01451" LEYEZ="0.64481" LPUPILD="0.00614" LPUPILV="1" REYEX="0.01635" REYEY="0.00904" REYEZ="0.65898" RPUPILD="0.00615" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.46188" FPOGY="0.43201" FPOGS="7488.90137" FPOGD="0.11377" FPOGID="20256" FPOGV="1" LPOGX="0.49651" LPOGY="0.44509" LPOGV="1" RPOGX="0.42409" RPOGY="0.42697" RPOGV="1" BPOGX="0.46030" BPOGY="0.43603" BPOGV="1" LPCX="0.31113" LPCY="0.42169" LPD="30.67626" LPS="1.00701" LPV="1" RPCX="0.56469" RPCY="0.45033" RPD="30.67247" RPS="1.00701" RPV="1" LEYEX="-0.04632" LEYEY="0.01451" LEYEZ="0.64481" LPUPILD="0.00614" LPUPILV="1" REYEX="0.01635" REYEY="0.00904" REYEZ="0.65898" RPUPILD="0.00616" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.46183" FPOGY="0.43231" FPOGS="7488.90137" FPOGD="0.12061" FPOGID="20256" FPOGV="1" LPOGX="0.49775" LPOGY="0.44931" LPOGV="1" RPOGX="0.42407" RPOGY="0.42626" RPOGV="1" BPOGX="0.46091" BPOGY="0.43779" BPOGV="1" LPCX="0.31112" LPCY="0.42167" LPD="30.62350" LPS="0.99998" LPV="1" RPCX="0.56469" RPCY="0.45037" RPD="30.68486" RPS="1.00807" RPV="1" LEYEX="-0.04551" LEYEY="0.01430" LEYEZ="0.63355" LPUPILD="0.00615" LPUPILV="1" REYEX="0.01680" REYEY="0.00926" REYEZ="0.67488" RPUPILD="0.00615" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.46199" FPOGY="0.43213" FPOGS="7488.90137" FPOGD="0.12695" FPOGID="20256" FPOGV="1" LPOGX="0.50039" LPOGY="0.43450" LPOGV="1" RPOGX="0.42979" RPOGY="0.42293" RPOGV="1" BPOGX="0.46509" BPOGY="0.42872" BPOGV="1" LPCX="0.31114" LPCY="0.42161" LPD="30.56360" LPS="1.00807" LPV="1" RPCX="0.56478" RPCY="0.45037" RPD="30.59957" RPS="1.01616" RPV="1" LEYEX="-0.04551" LEYEY="0.01430" LEYEZ="0.63355" LPUPILD="0.00614" LPUPILV="1" REYEX="0.01680" REYEY="0.00926" REYEZ="0.67488" RPUPILD="0.00618" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.46222" FPOGY="0.43193" FPOGS="7488.90137" FPOGD="0.13379" FPOGID="20256" FPOGV="1" LPOGX="0.50303" LPOGY="0.43206" LPOGV="1" RPOGX="0.43048" RPOGY="0.42356" RPOGV="1" BPOGX="0.46676" BPOGY="0.42781" BPOGV="1" LPCX="0.31120" LPCY="0.42160" LPD="30.51747" LPS="1.01616" LPV="1" RPCX="0.56479" RPCY="0.45038" RPD="30.60808" RPS="1.02425" RPV="1" LEYEX="-0.04551" LEYEY="0.01430" LEYEZ="0.63355" LPUPILD="0.00615" LPUPILV="1" REYEX="0.01680" REYEY="0.00926" REYEZ="0.67488" RPUPILD="0.00617" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.46236" FPOGY="0.43131" FPOGS="7488.90137" FPOGD="0.14111" FPOGID="20256" FPOGV="1" LPOGX="0.50048" LPOGY="0.42286" LPOGV="1" RPOGX="0.43039" RPOGY="0.41368" RPOGV="1" BPOGX="0.46544" BPOGY="0.41827" BPOGV="1" LPCX="0.31120" LPCY="0.42160" LPD="30.51747" LPS="1.03127" LPV="1" RPCX="0.56480" RPCY="0.45038" RPD="30.58914" RPS="1.03936" RPV="1" LEYEX="-0.04814" LEYEY="0.01514" LEYEZ="0.67081" LPUPILD="0.00615" LPUPILV="1" REYEX="0.01680" REYEY="0.00926" REYEZ="0.67488" RPUPILD="0.00618" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.46252" FPOGY="0.43017" FPOGS="7488.90137" FPOGD="0.14746" FPOGID="20256" FPOGV="1" LPOGX="0.49919" LPOGY="0.41148" LPOGV="1" RPOGX="0.43257" RPOGY="0.39873" RPOGV="1" BPOGX="0.46588" BPOGY="0.40511" BPOGV="1" LPCX="0.31121" LPCY="0.42165" LPD="30.40145" LPS="1.04639" LPV="1" RPCX="0.56483" RPCY="0.45039" RPD="30.60785" RPS="1.04639" RPV="1" LEYEX="-0.04814" LEYEY="0.01514" LEYEZ="0.67081" LPUPILD="0.00614" LPUPILV="1" REYEX="0.01680" REYEY="0.00926" REYEZ="0.67488" RPUPILD="0.00619" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.46253" FPOGY="0.42929" FPOGS="7488.90137" FPOGD="0.15430" FPOGID="20256" FPOGV="1" LPOGX="0.49655" LPOGY="0.41173" LPOGV="1" RPOGX="0.42924" RPOGY="0.40638" RPOGV="1" BPOGX="0.46289" BPOGY="0.40905" BPOGV="1" LPCX="0.31120" LPCY="0.42157" LPD="30.44193" LPS="1.05341" LPV="1" RPCX="0.56483" RPCY="0.45040" RPD="30.62309" RPS="1.05341" RPV="1" LEYEX="-0.04814" LEYEY="0.01514" LEYEZ="0.67081" LPUPILD="0.00613" LPUPILV="1" REYEX="0.01680" REYEY="0.00926" REYEZ="0.67488" RPUPILD="0.00616" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
