2025-06-03 10:16:08.409413
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.70221" FPOGY="-0.09970" FPOGS="2069.68799" FPOGD="0.30127" FPOGID="2802" FPOGV="0" LPOGX="0.73048" LPOGY="-0.03693" LPOGV="1" RPOGX="0.72365" RPOGY="-0.19794" RPOGV="1" BPOGX="0.72706" BPOGY="-0.11743" BPOGV="1" LPCX="0.41272" LPCY="0.54350" LPD="15.81467" LPS="0.82525" LPV="1" RPCX="0.67323" RPCY="0.52468" RPD="14.72691" RPS="0.83049" RPV="1" LEYEX="-0.01941" LEYEY="-0.00945" LEYEZ="0.57548" LPUPILD="0.00409" LPUPILV="1" REYEX="0.03926" REYEY="-0.00685" REYEZ="0.60472" RPUPILD="0.00341" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.70870" FPOGY="-0.10687" FPOGS="2069.99585" FPOGD="0.02026" FPOGID="2803" FPOGV="1" LPOGX="0.73105" LPOGY="-0.05108" LPOGV="1" RPOGX="0.72525" RPOGY="-0.20567" RPOGV="1" BPOGX="0.72815" BPOGY="-0.12837" BPOGV="1" LPCX="0.41261" LPCY="0.54362" LPD="16.14346" LPS="0.83561" LPV="1" RPCX="0.67312" RPCY="0.52473" RPD="14.86981" RPS="0.83561" RPV="1" LEYEX="-0.02053" LEYEY="-0.01000" LEYEZ="0.60580" LPUPILD="0.00403" LPUPILV="1" REYEX="0.03799" REYEY="-0.00663" REYEZ="0.58576" RPUPILD="0.00334" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.71368" FPOGY="-0.11567" FPOGS="2069.99585" FPOGD="0.02686" FPOGID="2803" FPOGV="1" LPOGX="0.73620" LPOGY="-0.10385" LPOGV="1" RPOGX="0.73107" RPOGY="-0.19788" RPOGV="1" BPOGX="0.73363" BPOGY="-0.15087" BPOGV="1" LPCX="0.41266" LPCY="0.54307" LPD="15.88852" LPS="0.84538" LPV="1" RPCX="0.67327" RPCY="0.52476" RPD="14.88629" RPS="0.84015" RPV="1" LEYEX="-0.02053" LEYEY="-0.01000" LEYEZ="0.60580" LPUPILD="0.00422" LPUPILV="1" REYEX="0.03799" REYEY="-0.00663" REYEZ="0.58576" RPUPILD="0.00341" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.71723" FPOGY="-0.12229" FPOGS="2069.99585" FPOGD="0.03394" FPOGID="2803" FPOGV="1" LPOGX="0.73964" LPOGY="-0.11692" LPOGV="1" RPOGX="0.73022" RPOGY="-0.19394" RPOGV="1" BPOGX="0.73493" BPOGY="-0.15543" BPOGV="1" LPCX="0.41266" LPCY="0.54307" LPD="15.88852" LPS="0.84992" LPV="1" RPCX="0.67329" RPCY="0.52482" RPD="14.82934" RPS="0.84468" RPV="1" LEYEX="-0.02053" LEYEY="-0.01000" LEYEZ="0.60580" LPUPILD="0.00422" LPUPILV="1" REYEX="0.03799" REYEY="-0.00663" REYEZ="0.58576" RPUPILD="0.00339" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.71988" FPOGY="-0.12797" FPOGS="2069.99585" FPOGD="0.04028" FPOGID="2803" FPOGV="1" LPOGX="0.73992" LPOGY="-0.12338" LPOGV="1" RPOGX="0.73166" RPOGY="-0.20064" RPOGV="1" BPOGX="0.73579" BPOGY="-0.16201" BPOGV="1" LPCX="0.41236" LPCY="0.54339" LPD="16.13817" LPS="0.85445" LPV="1" RPCX="0.67334" RPCY="0.52487" RPD="14.80145" RPS="0.84921" RPV="1" LEYEX="-0.02053" LEYEY="-0.01000" LEYEZ="0.60580" LPUPILD="0.00425" LPUPILV="1" REYEX="0.03838" REYEY="-0.00675" REYEZ="0.59175" RPUPILD="0.00337" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.72164" FPOGY="-0.13243" FPOGS="2069.99585" FPOGD="0.04712" FPOGID="2803" FPOGV="1" LPOGX="0.73105" LPOGY="-0.08312" LPOGV="1" RPOGX="0.73694" RPOGY="-0.24425" RPOGV="1" BPOGX="0.73400" BPOGY="-0.16369" BPOGV="1" LPCX="0.41236" LPCY="0.54331" LPD="16.13022" LPS="0.84921" LPV="1" RPCX="0.67340" RPCY="0.52489" RPD="14.86753" RPS="0.84921" RPV="1" LEYEX="-0.02053" LEYEY="-0.01000" LEYEZ="0.60580" LPUPILD="0.00422" LPUPILV="1" REYEX="0.03838" REYEY="-0.00675" REYEZ="0.59175" RPUPILD="0.00336" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.72324" FPOGY="-0.13551" FPOGS="2069.99585" FPOGD="0.05371" FPOGID="2803" FPOGV="1" LPOGX="0.73259" LPOGY="-0.08830" LPOGV="1" RPOGX="0.73951" RPOGY="-0.23197" RPOGV="1" BPOGX="0.73605" BPOGY="-0.16014" BPOGV="1" LPCX="0.41236" LPCY="0.54326" LPD="16.12164" LPS="0.84921" LPV="1" RPCX="0.67332" RPCY="0.52486" RPD="14.79001" RPS="0.84921" RPV="1" LEYEX="-0.02053" LEYEY="-0.01000" LEYEZ="0.60580" LPUPILD="0.00424" LPUPILV="1" REYEX="0.03838" REYEY="-0.00675" REYEZ="0.59175" RPUPILD="0.00341" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.72452" FPOGY="-0.13797" FPOGS="2069.99585" FPOGD="0.06030" FPOGID="2803" FPOGV="1" LPOGX="0.73259" LPOGY="-0.08830" LPOGV="1" RPOGX="0.73951" RPOGY="-0.23197" RPOGV="1" BPOGX="0.73605" BPOGY="-0.16014" BPOGV="1" LPCX="0.41237" LPCY="0.54321" LPD="16.07274" LPS="0.84921" LPV="1" RPCX="0.67342" RPCY="0.52509" RPD="14.94293" RPS="0.84921" RPV="1" LEYEX="-0.02053" LEYEY="-0.01000" LEYEZ="0.60580" LPUPILD="0.00428" LPUPILV="1" REYEX="0.03799" REYEY="-0.00672" REYEZ="0.58576" RPUPILD="0.00337" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.72542" FPOGY="-0.13891" FPOGS="2069.99585" FPOGD="0.06689" FPOGID="2803" FPOGV="1" LPOGX="0.72788" LPOGY="-0.07825" LPOGV="1" RPOGX="0.74094" RPOGY="-0.21839" RPOGV="1" BPOGX="0.73441" BPOGY="-0.14832" BPOGV="1" LPCX="0.41228" LPCY="0.54355" LPD="16.16135" LPS="0.84921" LPV="1" RPCX="0.67342" RPCY="0.52509" RPD="14.94293" RPS="0.84921" RPV="1" LEYEX="-0.02053" LEYEY="-0.01000" LEYEZ="0.60580" LPUPILD="0.00425" LPUPILV="1" REYEX="0.03799" REYEY="-0.00672" REYEZ="0.58576" RPUPILD="0.00337" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.72621" FPOGY="-0.14053" FPOGS="2069.99585" FPOGD="0.07373" FPOGID="2803" FPOGV="1" LPOGX="0.73680" LPOGY="-0.07977" LPOGV="1" RPOGX="0.73296" RPOGY="-0.23693" RPOGV="1" BPOGX="0.73488" BPOGY="-0.15835" BPOGV="1" LPCX="0.41232" LPCY="0.54357" LPD="16.18468" LPS="0.84921" LPV="1" RPCX="0.67342" RPCY="0.52511" RPD="14.89221" RPS="0.84921" RPV="1" LEYEX="-0.02053" LEYEY="-0.01000" LEYEZ="0.60580" LPUPILD="0.00423" LPUPILV="1" REYEX="0.03799" REYEY="-0.00672" REYEZ="0.58576" RPUPILD="0.00337" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.72694" FPOGY="-0.14221" FPOGS="2069.99585" FPOGD="0.08032" FPOGID="2803" FPOGV="1" LPOGX="0.73680" LPOGY="-0.07977" LPOGV="1" RPOGX="0.73461" RPOGY="-0.24489" RPOGV="1" BPOGX="0.73570" BPOGY="-0.16233" BPOGV="1" LPCX="0.41252" LPCY="0.54334" LPD="15.70063" LPS="0.84921" LPV="1" RPCX="0.67343" RPCY="0.52508" RPD="14.87617" RPS="0.85445" RPV="1" LEYEX="-0.02053" LEYEY="-0.01004" LEYEZ="0.60580" LPUPILD="0.00416" LPUPILV="1" REYEX="0.03926" REYEY="-0.00694" REYEZ="0.60472" RPUPILD="0.00337" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
