2025-06-12 10:41:57.696627
0.03206" REYEZ="0.60375" RPUPILD="0.00406" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<REC FPOGX="0.62954" FPOGY="-0.06683" FPOGS="2234.70288" FPOGD="0.03345" FPOGID="5671" FPOGV="1" LPOGX="0.65932" LPOGY="-0.01086" LPOGV="1" RPOGX="0.62544" RPOGY="-0.11800" RPOGV="1" BPOGX="0.64238" BPOGY="-0.06443" BPOGV="1" LPCX="0.37498" LPCY="0.68592" LPD="12.94929" LPS="0.86995" LPV="1" RPCX="0.63262" RPCY="0.66330" RPD="13.48455" RPS="0.86995" RPV="1" LEYEX="-0.02998" LEYEY="-0.03589" LEYEZ="0.59598" LPUPILD="0.00356" LPUPILV="1" REYEX="0.03015" REYEY="-0.03206" REYEZ="0.60375" RPUPILD="0.00406" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.22023" FPOGY="0.22948" FPOGS="2235.56665" FPOGD="0.07642" FPOGID="5676" FPOGV="1" LPOGX="0.61781" LPOGY="0.32116" LPOGV="0" RPOGX="0.20565" RPOGY="0.21201" RPOGV="1" BPOGX="0.20565" BPOGY="0.21201" BPOGV="1" LPCX="0.37085" LPCY="0.68947" LPD="8.23359" LPS="0.91574" LPV="0" RPCX="0.36718" RPCY="0.69076" RPD="11.58664" RPS="0.91574" RPV="1" LEYEX="-0.03051" LEYEY="-0.03698" LEYEZ="0.61942" LPUPILD="0.00260" LPUPILV="1" REYEX="0.02950" REYEY="-0.03154" REYEZ="0.59986" RPUPILD="0.00310" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.22125" FPOGY="0.22818" FPOGS="2235.56665" FPOGD="0.08252" FPOGID="5676" FPOGV="1" LPOGX="0.61781" LPOGY="0.32116" LPOGV="0" RPOGX="0.22938" RPOGY="0.21776" RPOGV="1" BPOGX="0.22938" BPOGY="0.21776" BPOGV="1" LPCX="0.37085" LPCY="0.68947" LPD="8.23359" LPS="0.91574" LPV="0" RPCX="0.36722" RPCY="0.69072" RPD="11.45701" RPS="0.91574" RPV="1" LEYEX="-0.03051" LEYEY="-0.03698" LEYEZ="0.61942" LPUPILD="0.00260" LPUPILV="1" REYEX="0.02950" REYEY="-0.03154" REYEZ="0.59986" RPUPILD="0.00316" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.22129" FPOGY="0.22673" FPOGS="2235.56665" FPOGD="0.08667" FPOGID="5676" FPOGV="1" LPOGX="0.61781" LPOGY="0.32116" LPOGV="0" RPOGX="0.22168" RPOGY="0.21368" RPOGV="1" BPOGX="0.22168" BPOGY="0.21368" BPOGV="1" LPCX="0.37085" LPCY="0.68947" LPD="8.23359" LPS="0.91574" LPV="0" RPCX="0.36722" RPCY="0.69080" RPD="11.46287" RPS="0.91574" RPV="1" LEYEX="-0.03051" LEYEY="-0.03698" LEYEZ="0.61942" LPUPILD="0.00260" LPUPILV="1" REYEX="0.02950" REYEY="-0.03154" REYEZ="0.59986" RPUPILD="0.00306" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.22129" FPOGY="0.22673" FPOGS="2235.56665" FPOGD="0.09326" FPOGID="5676" FPOGV="1" LPOGX="0.61781" LPOGY="0.32116" LPOGV="0" RPOGX="0.22168" RPOGY="0.21368" RPOGV="0" BPOGX="0.22168" BPOGY="0.21368" BPOGV="0" LPCX="0.37085" LPCY="0.68947" LPD="8.23359" LPS="0.91574" LPV="0" RPCX="0.36722" RPCY="0.69080" RPD="11.46287" RPS="0.91574" RPV="0" LEYEX="-0.03051" LEYEY="-0.03698" LEYEZ="0.61942" LPUPILD="0.00260" LPUPILV="1" REYEX="0.02950" REYEY="-0.03154" REYEZ="0.59986" RPUPILD="0.00306" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.22129" FPOGY="0.22673" FPOGS="2235.56665" FPOGD="0.10059" FPOGID="5676" FPOGV="1" LPOGX="0.61781" LPOGY="0.32116" LPOGV="0" RPOGX="0.22168" RPOGY="0.21368" RPOGV="0" BPOGX="0.22168" BPOGY="0.21368" BPOGV="0" LPCX="0.37085" LPCY="0.68947" LPD="8.23359" LPS="0.91574" LPV="0" RPCX="0.36722" RPCY="0.69080" RPD="11.46287" RPS="0.91574" RPV="0" LEYEX="-0.03051" LEYEY="-0.03698" LEYEZ="0.61942" LPUPILD="0.00260" LPUPILV="1" REYEX="0.02950" REYEY="-0.03154" REYEZ="0.59986" RPUPILD="0.00306" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.22129" FPOGY="0.22673" FPOGS="2235.56665" FPOGD="0.11011" FPOGID="5676" FPOGV="1" LPOGX="0.61781" LPOGY="0.32116" LPOGV="0" RPOGX="0.22168" RPOGY="0.21368" RPOGV="0" BPOGX="0.22168" BPOGY="0.21368" BPOGV="0" LPCX="0.37085" LPCY="0.68947" LPD="8.23359" LPS="0.91574" LPV="0" RPCX="0.36722" RPCY="0.69080" RPD="11.46287" RPS="0.91574" RPV="0" LEYEX="-0.03051" LEYEY="-0.03698" LEYEZ="0.61942" LPUPILD="0.00260" LPUPILV="1" REYEX="0.02950" REYEY="-0.03154" REYEZ="0.59986" RPUPILD="0.00306" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.21915" FPOGY="0.22589" FPOGS="2235.56665" FPOGD="0.11011" FPOGID="5676" FPOGV="0" LPOGX="0.61781" LPOGY="0.32116" LPOGV="0" RPOGX="0.22168" RPOGY="0.21368" RPOGV="0" BPOGX="0.22168" BPOGY="0.21368" BPOGV="0" LPCX="0.37085" LPCY="0.68947" LPD="8.23359" LPS="0.91574" LPV="0" RPCX="0.36722" RPCY="0.69080" RPD="11.46287" RPS="0.91574" RPV="0" LEYEX="-0.03051" LEYEY="-0.03698" LEYEZ="0.61942" LPUPILD="0.00260" LPUPILV="1" REYEX="0.02950" REYEY="-0.03154" REYEZ="0.59986" RPUPILD="0.00306" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.21915" FPOGY="0.22589" FPOGS="2235.56665" FPOGD="0.11011" FPOGID="5676" FPOGV="0" LPOGX="0.61781" LPOGY="0.32116" LPOGV="0" RPOGX="0.22168" RPOGY="0.21368" RPOGV="0" BPOGX="0.22168" BPOGY="0.21368" BPOGV="0" LPCX="0.37085" LPCY="0.68947" LPD="8.23359" LPS="0.91574" LPV="0" RPCX="0.36722" RPCY="0.69080" RPD="11.46287" RPS="0.91574" RPV="0" LEYEX="-0.03051" LEYEY="-0.03698" LEYEZ="0.61942" LPUPILD="0.00260" LPUPILV="1" REYEX="0.02950" REYEY="-0.03154" REYEZ="0.59986" RPUPILD="0.00306" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.21915" FPOGY="0.22589" FPOGS="2235.56665" FPOGD="0.11011" FPOGID="5676" FPOGV="0" LPOGX="0.61781" LPOGY="0.32116" LPOGV="0" RPOGX="0.22168" RPOGY="0.21368" RPOGV="0" BPOGX="0.22168" BPOGY="0.21368" BPOGV="0" LPCX="0.37085" LPCY="0.68947" LPD="8.23359" LPS="0.91574" LPV="0" RPCX="0.36722" RPCY="0.69080" RPD="11.46287" RPS="0.91574" RPV="0" LEYEX="-0.03051" LEYEY="-0.03698" LEYEZ="0.61942" LPUPILD="0.00260" LPUPILV="1" REYEX="0.02950" REYEY="-0.03154" REYEZ="0.59986" RPUPILD="0.00306" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="2235.56665" FPOGD="0.11011" FPOGID="5676" FPOGV="0" LPOGX="0.61781" LPOGY="0.32116" LPOGV="0" RPOGX="0.22168" RPOGY="0.21368" RPOGV="0" BPOGX="0.22168" BPOGY="0.21368" BPOGV="0" LPCX="0.37085" LPCY="0.68947" LPD="8.23359" LPS="0.91574" LPV="0" RPCX="0.36722" RPCY="0.69080" RPD="11.46287" RPS="0.91574" RPV="0" LEYEX="-0.03051" LEYEY="-0.03698" LEYEZ="0.61942" LPUPILD="0.00260" LPUPILV="1" REYEX="0.02950" REYEY="-0.03154" REYEZ="0.59986" RPUPILD="0.00306" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
