2025-06-12 10:40:23.586997
01" REYEZ="0.52747" RPUPILD="0.00336" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.25863" FPOGY="0.09953" FPOGS="2140.52930" FPOGD="0.04639" FPOGID="5233" FPOGV="0" LPOGX="-0.52884" LPOGY="-0.19985" LPOGV="1" RPOGX="1.05783" RPOGY="0.42867" RPOGV="1" BPOGX="0.26449" BPOGY="0.11441" BPOGV="1" LPCX="0.38785" LPCY="0.69016" LPD="14.52857" LPS="0.76729" LPV="1" RPCX="0.64283" RPCY="0.66593" RPD="16.07862" RPS="0.76729" RPV="1" LEYEX="-0.02785" LEYEY="-0.03758" LEYEZ="0.62012" LPUPILD="0.00366" LPUPILV="1" REYEX="0.03055" REYEY="-0.03192" REYEZ="0.60195" RPUPILD="0.00334" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.35052" FPOGY="0.42825" FPOGS="2141.46680" FPOGD="0.05396" FPOGID="5239" FPOGV="1" LPOGX="0.37654" LPOGY="0.45253" LPOGV="1" RPOGX="0.35554" RPOGY="0.39469" RPOGV="1" BPOGX="0.36604" BPOGY="0.42361" BPOGV="1" LPCX="0.36916" LPCY="0.69156" LPD="14.96422" LPS="0.85973" LPV="1" RPCX="0.62531" RPCY="0.66557" RPD="12.63309" RPS="0.85973" RPV="1" LEYEX="-0.02897" LEYEY="-0.03599" LEYEZ="0.59536" LPUPILD="0.00325" LPUPILV="1" REYEX="0.02924" REYEY="-0.03197" REYEZ="0.60549" RPUPILD="0.00307" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.35269" FPOGY="0.42629" FPOGS="2141.46680" FPOGD="0.06079" FPOGID="5239" FPOGV="1" LPOGX="0.39071" LPOGY="0.43078" LPOGV="1" RPOGX="0.35382" RPOGY="0.38648" RPOGV="1" BPOGX="0.37226" BPOGY="0.40863" BPOGV="1" LPCX="0.36908" LPCY="0.69177" LPD="15.34651" LPS="0.85461" LPV="1" RPCX="0.62500" RPCY="0.66580" RPD="12.98698" RPS="0.85461" RPV="1" LEYEX="-0.02897" LEYEY="-0.03599" LEYEZ="0.59536" LPUPILD="0.00324" LPUPILV="1" REYEX="0.02924" REYEY="-0.03197" REYEZ="0.60549" RPUPILD="0.00303" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.35436" FPOGY="0.42429" FPOGS="2141.46680" FPOGD="0.06763" FPOGID="5239" FPOGV="1" LPOGX="0.38886" LPOGY="0.42677" LPOGV="1" RPOGX="0.35330" RPOGY="0.38177" RPOGV="1" BPOGX="0.37108" BPOGY="0.40427" BPOGV="1" LPCX="0.36917" LPCY="0.69173" LPD="15.49959" LPS="0.86027" LPV="1" RPCX="0.62530" RPCY="0.66532" RPD="12.42459" RPS="0.86027" RPV="1" LEYEX="-0.03010" LEYEY="-0.03751" LEYEZ="0.62043" LPUPILD="0.00321" LPUPILV="1" REYEX="0.02924" REYEY="-0.03197" REYEZ="0.60549" RPUPILD="0.00303" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.35636" FPOGY="0.42442" FPOGS="2141.46680" FPOGD="0.07422" FPOGID="5239" FPOGV="1" LPOGX="0.39473" LPOGY="0.41969" LPOGV="1" RPOGX="0.36201" RPOGY="0.43208" RPOGV="1" BPOGX="0.37837" BPOGY="0.42589" BPOGV="1" LPCX="0.36921" LPCY="0.69167" LPD="15.62957" LPS="0.87104" LPV="1" RPCX="0.62551" RPCY="0.66544" RPD="12.42841" RPS="0.87104" RPV="1" LEYEX="-0.03010" LEYEY="-0.03751" LEYEZ="0.62043" LPUPILD="0.00326" LPUPILV="1" REYEX="0.02924" REYEY="-0.03197" REYEZ="0.60549" RPUPILD="0.00318" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.35575" FPOGY="0.42207" FPOGS="2141.46680" FPOGD="0.08081" FPOGID="5239" FPOGV="1" LPOGX="0.34997" LPOGY="0.43813" LPOGV="1" RPOGX="0.34686" RPOGY="0.34971" RPOGV="1" BPOGX="0.34841" BPOGY="0.39392" BPOGV="1" LPCX="0.36916" LPCY="0.69183" LPD="15.60460" LPS="0.88182" LPV="1" RPCX="0.62506" RPCY="0.66513" RPD="11.93449" RPS="0.88182" RPV="1" LEYEX="-0.03010" LEYEY="-0.03751" LEYEZ="0.62043" LPUPILD="0.00325" LPUPILV="1" REYEX="0.02924" REYEY="-0.03197" REYEZ="0.60549" RPUPILD="0.00307" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.35505" FPOGY="0.41948" FPOGS="2141.46680" FPOGD="0.08911" FPOGID="5239" FPOGV="1" LPOGX="0.34606" LPOGY="0.43089" LPOGV="1" RPOGX="0.34582" RPOGY="0.34054" RPOGV="1" BPOGX="0.34594" BPOGY="0.38572" BPOGV="1" LPCX="0.36912" LPCY="0.69191" LPD="15.21970" LPS="0.89260" LPV="1" RPCX="0.62492" RPCY="0.66548" RPD="12.01396" RPS="0.89260" RPV="1" LEYEX="-0.03010" LEYEY="-0.03751" LEYEZ="0.62043" LPUPILD="0.00328" LPUPILV="1" REYEX="0.02924" REYEY="-0.03192" REYEZ="0.60549" RPUPILD="0.00302" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.35435" FPOGY="0.41839" FPOGS="2141.46680" FPOGD="0.09448" FPOGID="5239" FPOGV="1" LPOGX="0.35065" LPOGY="0.43324" LPOGV="1" RPOGX="0.33843" RPOGY="0.37319" RPOGV="1" BPOGX="0.34454" BPOGY="0.40322" BPOGV="1" LPCX="0.36995" LPCY="0.69141" LPD="15.13835" LPS="0.89260" LPV="1" RPCX="0.62490" RPCY="0.66560" RPD="12.53134" RPS="0.89260" RPV="1" LEYEX="-0.03010" LEYEY="-0.03751" LEYEZ="0.62043" LPUPILD="0.00354" LPUPILV="1" REYEX="0.02924" REYEY="-0.03192" REYEZ="0.60549" RPUPILD="0.00301" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.35397" FPOGY="0.41657" FPOGS="2141.46680" FPOGD="0.10107" FPOGID="5239" FPOGV="1" LPOGX="0.34590" LPOGY="0.37929" LPOGV="1" RPOGX="0.35054" RPOGY="0.39910" RPOGV="1" BPOGX="0.34822" BPOGY="0.38919" BPOGV="1" LPCX="0.36988" LPCY="0.69136" LPD="14.61521" LPS="0.89260" LPV="1" RPCX="0.62491" RPCY="0.66561" RPD="12.52397" RPS="0.89260" RPV="1" LEYEX="-0.03010" LEYEY="-0.03751" LEYEZ="0.62043" LPUPILD="0.00367" LPUPILV="1" REYEX="0.02924" REYEY="-0.03192" REYEZ="0.60549" RPUPILD="0.00301" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
