2025-06-20 10:09:44.281058
EYEZ="0.60321" LPUPILD="0.00324" LPUPILV="1" REYEX="0.02925" REYEY="-0.03236" REYEZ="0.53460" RPUPILD="0.00350" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="1.33323" FPOGY="0.48651" FPOGS="292.84384" FPOGD="0.09924" FPOGID="756" FPOGV="1" LPOGX="1.26087" LPOGY="0.60352" LPOGV="1" RPOGX="1.40159" RPOGY="0.37473" RPOGV="1" BPOGX="1.33123" BPOGY="0.48913" BPOGV="1" LPCX="0.40341" LPCY="0.70802" LPD="12.95793" LPS="0.86484" LPV="1" RPCX="0.65664" RPCY="0.69128" RPD="16.38838" RPS="0.85960" RPV="1" LEYEX="-0.02384" LEYEY="-0.03909" LEYEZ="0.59225" LPUPILD="0.00329" LPUPILV="1" REYEX="0.02925" REYEY="-0.03236" REYEZ="0.53460" RPUPILD="0.00345" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.53273" FPOGY="0.48777" FPOGS="293.78699" FPOGD="0.06732" FPOGID="760" FPOGV="1" LPOGX="0.52310" LPOGY="0.50464" LPOGV="1" RPOGX="0.55573" RPOGY="0.44906" RPOGV="1" BPOGX="0.53942" BPOGY="0.47685" BPOGV="1" LPCX="0.38414" LPCY="0.70880" LPD="14.96228" LPS="0.91701" LPV="1" RPCX="0.63875" RPCY="0.69086" RPD="13.55911" RPS="0.91701" RPV="1" LEYEX="-0.02625" LEYEY="-0.03966" LEYEZ="0.60155" LPUPILD="0.00309" LPUPILV="1" REYEX="0.03243" REYEY="-0.03704" REYEZ="0.61349" RPUPILD="0.00327" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.53213" FPOGY="0.48539" FPOGS="293.78699" FPOGD="0.07462" FPOGID="760" FPOGV="1" LPOGX="0.50248" LPOGY="0.48148" LPOGV="1" RPOGX="0.54865" RPOGY="0.43694" RPOGV="1" BPOGX="0.52557" BPOGY="0.45921" BPOGV="1" LPCX="0.38447" LPCY="0.70877" LPD="14.86334" LPS="0.90506" LPV="1" RPCX="0.63891" RPCY="0.69082" RPD="13.97416" RPS="0.90506" RPV="1" LEYEX="-0.02625" LEYEY="-0.03966" LEYEZ="0.60155" LPUPILD="0.00308" LPUPILV="1" REYEX="0.03243" REYEY="-0.03704" REYEZ="0.61349" RPUPILD="0.00312" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.53163" FPOGY="0.48415" FPOGS="293.78699" FPOGD="0.08054" FPOGID="760" FPOGV="1" LPOGX="0.50476" LPOGY="0.48902" LPOGV="1" RPOGX="0.54656" RPOGY="0.44965" RPOGV="1" BPOGX="0.52566" BPOGY="0.46934" BPOGV="1" LPCX="0.38448" LPCY="0.70873" LPD="14.80500" LPS="0.89312" LPV="1" RPCX="0.63914" RPCY="0.69076" RPD="13.92747" RPS="0.88733" RPV="1" LEYEX="-0.02625" LEYEY="-0.03966" LEYEZ="0.60155" LPUPILD="0.00305" LPUPILV="1" REYEX="0.03157" REYEY="-0.03601" REYEZ="0.59636" RPUPILD="0.00307" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.53149" FPOGY="0.48469" FPOGS="293.78699" FPOGD="0.08734" FPOGID="760" FPOGV="1" LPOGX="0.51471" LPOGY="0.52292" LPOGV="1" RPOGX="0.54467" RPOGY="0.46036" RPOGV="1" BPOGX="0.52969" BPOGY="0.49164" BPOGV="1" LPCX="0.38462" LPCY="0.70872" LPD="14.38461" LPS="0.88733" LPV="1" RPCX="0.63920" RPCY="0.69077" RPD="13.66985" RPS="0.88154" RPV="1" LEYEX="-0.02625" LEYEY="-0.03966" LEYEZ="0.60155" LPUPILD="0.00316" LPUPILV="1" REYEX="0.03157" REYEY="-0.03601" REYEZ="0.59636" RPUPILD="0.00308" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.53061" FPOGY="0.48466" FPOGS="293.78699" FPOGD="0.09409" FPOGID="760" FPOGV="1" LPOGX="0.51023" LPOGY="0.50820" LPOGV="1" RPOGX="0.52639" RPOGY="0.46036" RPOGV="1" BPOGX="0.51831" BPOGY="0.48428" BPOGV="1" LPCX="0.38472" LPCY="0.70846" LPD="14.23493" LPS="0.88154" LPV="1" RPCX="0.63916" RPCY="0.69078" RPD="13.90369" RPS="0.87575" RPV="1" LEYEX="-0.02625" LEYEY="-0.03966" LEYEZ="0.60155" LPUPILD="0.00307" LPUPILV="1" REYEX="0.03157" REYEY="-0.03601" REYEZ="0.59636" RPUPILD="0.00311" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.52985" FPOGY="0.48464" FPOGS="293.78699" FPOGD="0.10056" FPOGID="760" FPOGV="1" LPOGX="0.51026" LPOGY="0.50828" LPOGV="1" RPOGX="0.52638" RPOGY="0.46045" RPOGV="1" BPOGX="0.51832" BPOGY="0.48437" BPOGV="1" LPCX="0.38461" LPCY="0.70841" LPD="14.74628" LPS="0.88141" LPV="1" RPCX="0.63908" RPCY="0.69080" RPD="13.86927" RPS="0.87562" RPV="1" LEYEX="-0.02701" LEYEY="-0.04087" LEYEZ="0.61997" LPUPILD="0.00310" LPUPILV="1" REYEX="0.03195" REYEY="-0.03649" REYEZ="0.60368" RPUPILD="0.00312" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.52915" FPOGY="0.48513" FPOGS="293.78699" FPOGD="0.10739" FPOGID="760" FPOGV="1" LPOGX="0.50856" LPOGY="0.51428" LPOGV="1" RPOGX="0.52735" RPOGY="0.47149" RPOGV="1" BPOGX="0.51796" BPOGY="0.49289" BPOGV="1" LPCX="0.38482" LPCY="0.70849" LPD="14.73778" LPS="0.88127" LPV="1" RPCX="0.63943" RPCY="0.69081" RPD="13.63534" RPS="0.88127" RPV="1" LEYEX="-0.02701" LEYEY="-0.04087" LEYEZ="0.61997" LPUPILD="0.00318" LPUPILV="1" REYEX="0.03195" REYEY="-0.03649" REYEZ="0.60368" RPUPILD="0.00313" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.52822" FPOGY="0.48704" FPOGS="293.78699" FPOGD="0.11343" FPOGID="760" FPOGV="1" LPOGX="0.51356" LPOGY="0.51874" LPOGV="1" RPOGX="0.51132" RPOGY="0.52041" RPOGV="1" BPOGX="0.51244" BPOGY="0.51958" BPOGV="1" LPCX="0.38484" LPCY="0.70852" LPD="14.73345" LPS="0.88693" LPV="1" RPCX="0.63941" RPCY="0.69074" RPD="13.71646" RPS="0.88693" RPV="1" LEYEX="-0.02701" LEYEY="-0.04087" LEYEZ="0.61997" LPUPILD="0.00321" LPUPILV="1" REYEX="0.03195" REYEY="-0.03649" REYEZ="0.60368" RPUPILD="0.00316" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
