2025-06-04 15:05:33.272744
584" REYEZ="0.73790" RPUPILD="0.00265" RPUPILV="1" BKID="463" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="3554.18286" FPOGD="0.18115" FPOGID="7514" FPOGV="0" LPOGX="0.68141" LPOGY="0.38770" LPOGV="0" RPOGX="0.59567" RPOGY="0.35645" RPOGV="0" BPOGX="0.63854" BPOGY="0.37208" BPOGV="0" LPCX="0.16834" LPCY="0.88694" LPD="14.23530" LPS="1.24279" LPV="0" RPCX="0.40943" RPCY="0.87498" RPD="10.49550" RPS="1.24279" RPV="0" LEYEX="-0.09150" LEYEY="-0.08630" LEYEZ="0.71693" LPUPILD="0.00415" LPUPILV="1" REYEX="-0.02612" REYEY="-0.08584" REYEZ="0.73790" RPUPILD="0.00265" RPUPILV="1" BKID="463" BKDUR="0.00000" BKPMIN="13" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.27446" FPOGY="0.26570" FPOGS="3555.20898" FPOGD="0.15308" FPOGID="7518" FPOGV="1" LPOGX="0.37522" LPOGY="0.32606" LPOGV="1" RPOGX="0.18596" RPOGY="0.14435" RPOGV="1" BPOGX="0.28059" BPOGY="0.23521" BPOGV="1" LPCX="0.16247" LPCY="0.89014" LPD="18.76733" LPS="1.14202" LPV="1" RPCX="0.40185" RPCY="0.87564" RPD="16.43762" RPS="1.14202" RPV="1" LEYEX="-0.08999" LEYEY="-0.08522" LEYEZ="0.70138" LPUPILD="0.00449" LPUPILV="1" REYEX="-0.02555" REYEY="-0.08218" REYEZ="0.69974" RPUPILD="0.00358" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.27447" FPOGY="0.26446" FPOGS="3555.20898" FPOGD="0.15967" FPOGID="7518" FPOGV="1" LPOGX="0.37396" LPOGY="0.33946" LPOGV="1" RPOGX="0.17546" RPOGY="0.12982" RPOGV="1" BPOGX="0.27471" BPOGY="0.23464" BPOGV="1" LPCX="0.16242" LPCY="0.89008" LPD="18.62836" LPS="1.15097" LPV="1" RPCX="0.40185" RPCY="0.87563" RPD="16.71243" RPS="1.15097" RPV="1" LEYEX="-0.08999" LEYEY="-0.08522" LEYEZ="0.70138" LPUPILD="0.00450" LPUPILV="1" REYEX="-0.02555" REYEY="-0.08218" REYEZ="0.69974" RPUPILD="0.00354" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.27444" FPOGY="0.26321" FPOGS="3555.20898" FPOGD="0.16650" FPOGID="7518" FPOGV="1" LPOGX="0.37167" LPOGY="0.33412" LPOGV="1" RPOGX="0.17551" RPOGY="0.13000" RPOGV="1" BPOGX="0.27359" BPOGY="0.23206" BPOGV="1" LPCX="0.16247" LPCY="0.89014" LPD="18.76733" LPS="1.15993" LPV="1" RPCX="0.40184" RPCY="0.87550" RPD="16.77762" RPS="1.15077" RPV="1" LEYEX="-0.08999" LEYEY="-0.08522" LEYEZ="0.70138" LPUPILD="0.00449" LPUPILV="1" REYEX="-0.02443" REYEY="-0.07842" REYEZ="0.66769" RPUPILD="0.00353" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.27400" FPOGY="0.26331" FPOGS="3555.20898" FPOGD="0.17310" FPOGID="7518" FPOGV="1" LPOGX="0.37892" LPOGY="0.36561" LPOGV="1" RPOGX="0.14606" RPOGY="0.16587" RPOGV="1" BPOGX="0.26249" BPOGY="0.26574" BPOGV="1" LPCX="0.16242" LPCY="0.89026" LPD="18.75733" LPS="1.15077" LPV="1" RPCX="0.40193" RPCY="0.87561" RPD="16.59826" RPS="1.14160" RPV="1" LEYEX="-0.08999" LEYEY="-0.08522" LEYEZ="0.70138" LPUPILD="0.00452" LPUPILV="1" REYEX="-0.02443" REYEY="-0.07842" REYEZ="0.66769" RPUPILD="0.00356" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.27412" FPOGY="0.26279" FPOGS="3555.20898" FPOGD="0.17969" FPOGID="7518" FPOGV="1" LPOGX="0.38601" LPOGY="0.36014" LPOGV="1" RPOGX="0.16910" RPOGY="0.13758" RPOGV="1" BPOGX="0.27755" BPOGY="0.24886" BPOGV="1" LPCX="0.16233" LPCY="0.89031" LPD="18.67050" LPS="1.14160" LPV="1" RPCX="0.40190" RPCY="0.87572" RPD="16.71946" RPS="1.13243" RPV="1" LEYEX="-0.08999" LEYEY="-0.08522" LEYEZ="0.70138" LPUPILD="0.00450" LPUPILV="1" REYEX="-0.02443" REYEY="-0.07842" REYEZ="0.66769" RPUPILD="0.00355" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.27435" FPOGY="0.26263" FPOGS="3555.20898" FPOGD="0.18677" FPOGID="7518" FPOGV="1" LPOGX="0.39050" LPOGY="0.37078" LPOGV="1" RPOGX="0.17107" RPOGY="0.14535" RPOGV="1" BPOGX="0.28079" BPOGY="0.25806" BPOGV="1" LPCX="0.16221" LPCY="0.89034" LPD="18.77173" LPS="1.12347" LPV="1" RPCX="0.40134" RPCY="0.87601" RPD="16.61228" RPS="1.12347" RPV="1" LEYEX="-0.08619" LEYEY="-0.08158" LEYEZ="0.67145" LPUPILD="0.00457" LPUPILV="1" REYEX="-0.02573" REYEY="-0.08257" REYEZ="0.70167" RPUPILD="0.00359" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.27346" FPOGY="0.26479" FPOGS="3555.20898" FPOGD="0.19312" FPOGID="7518" FPOGV="1" LPOGX="0.35026" LPOGY="0.40904" LPOGV="1" RPOGX="0.14515" RPOGY="0.24567" RPOGV="1" BPOGX="0.24771" BPOGY="0.32735" BPOGV="1" LPCX="0.16154" LPCY="0.89065" LPD="19.04744" LPS="1.11452" LPV="1" RPCX="0.40099" RPCY="0.87604" RPD="16.73729" RPS="1.12368" RPV="1" LEYEX="-0.08619" LEYEY="-0.08158" LEYEZ="0.67145" LPUPILD="0.00460" LPUPILV="1" REYEX="-0.02573" REYEY="-0.08257" REYEZ="0.70167" RPUPILD="0.00363" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.27229" FPOGY="0.26627" FPOGS="3555.20898" FPOGD="0.19995" FPOGID="7518" FPOGV="1" LPOGX="0.33589" LPOGY="0.41253" LPOGV="1" RPOGX="0.13823" RPOGY="0.20881" RPOGV="1" BPOGX="0.23706" BPOGY="0.31067" BPOGV="1" LPCX="0.16151" LPCY="0.89073" LPD="19.15452" LPS="1.11472" LPV="1" RPCX="0.40067" RPCY="0.87621" RPD="16.62705" RPS="1.12389" RPV="1" LEYEX="-0.08619" LEYEY="-0.08158" LEYEZ="0.67145" LPUPILD="0.00455" LPUPILV="1" REYEX="-0.02573" REYEY="-0.08257" REYEZ="0.70167" RPUPILD="0.00349" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
