2025-06-12 10:20:43.554154
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.48592" FPOGY="0.10681" FPOGS="961.02148" FPOGD="0.16718" FPOGID="2542" FPOGV="1" LPOGX="0.58834" LPOGY="0.18308" LPOGV="1" RPOGX="0.37787" RPOGY="0.06162" RPOGV="1" BPOGX="0.48310" BPOGY="0.12235" BPOGV="1" LPCX="0.21591" LPCY="0.53562" LPD="25.66701" LPS="0.79233" LPV="1" RPCX="0.50050" RPCY="0.55787" RPD="22.91586" RPS="0.79710" RPV="1" LEYEX="-0.06155" LEYEY="-0.00799" LEYEZ="0.56659" LPUPILD="0.00490" LPUPILV="1" REYEX="0.00031" REYEY="-0.01252" REYEZ="0.59391" RPUPILD="0.00401" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.48582" FPOGY="0.10750" FPOGS="961.02148" FPOGD="0.17389" FPOGID="2542" FPOGV="1" LPOGX="0.58833" LPOGY="0.18296" LPOGV="1" RPOGX="0.37818" RPOGY="0.06767" RPOGV="1" BPOGX="0.48325" BPOGY="0.12532" BPOGV="1" LPCX="0.21586" LPCY="0.53582" LPD="25.85571" LPS="0.79244" LPV="1" RPCX="0.50043" RPCY="0.55790" RPD="23.00606" RPS="0.79244" RPV="1" LEYEX="-0.06263" LEYEY="-0.00812" LEYEZ="0.57611" LPUPILD="0.00489" LPUPILV="1" REYEX="0.00026" REYEY="-0.01221" REYEZ="0.57742" RPUPILD="0.00407" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.48555" FPOGY="0.10828" FPOGS="961.02148" FPOGD="0.18060" FPOGID="2542" FPOGV="1" LPOGX="0.58383" LPOGY="0.17949" LPOGV="1" RPOGX="0.37253" RPOGY="0.07965" RPOGV="1" BPOGX="0.47818" BPOGY="0.12957" BPOGV="1" LPCX="0.21574" LPCY="0.53596" LPD="25.74121" LPS="0.79669" LPV="1" RPCX="0.50037" RPCY="0.55790" RPD="23.02848" RPS="0.79193" RPV="1" LEYEX="-0.06263" LEYEY="-0.00812" LEYEZ="0.57611" LPUPILD="0.00494" LPUPILV="1" REYEX="0.00026" REYEY="-0.01221" REYEZ="0.57742" RPUPILD="0.00402" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.48496" FPOGY="0.10896" FPOGS="961.02148" FPOGD="0.18750" FPOGID="2542" FPOGV="1" LPOGX="0.57537" LPOGY="0.17335" LPOGV="1" RPOGX="0.36154" RPOGY="0.08246" RPOGV="1" BPOGX="0.46846" BPOGY="0.12791" BPOGV="1" LPCX="0.21568" LPCY="0.53595" LPD="25.75909" LPS="0.79618" LPV="1" RPCX="0.50035" RPCY="0.55784" RPD="22.97003" RPS="0.79142" RPV="1" LEYEX="-0.06263" LEYEY="-0.00812" LEYEZ="0.57611" LPUPILD="0.00492" LPUPILV="1" REYEX="0.00026" REYEY="-0.01221" REYEZ="0.57742" RPUPILD="0.00404" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.48441" FPOGY="0.10961" FPOGS="961.02148" FPOGD="0.19397" FPOGID="2542" FPOGV="1" LPOGX="0.57543" LPOGY="0.17392" LPOGV="1" RPOGX="0.36159" RPOGY="0.08312" RPOGV="1" BPOGX="0.46851" BPOGY="0.12852" BPOGV="1" LPCX="0.21565" LPCY="0.53585" LPD="25.46795" LPS="0.79567" LPV="1" RPCX="0.50031" RPCY="0.55787" RPD="23.08779" RPS="0.79090" RPV="1" LEYEX="-0.06256" LEYEY="-0.00816" LEYEZ="0.57547" LPUPILD="0.00493" LPUPILV="1" REYEX="0.00026" REYEY="-0.01221" REYEZ="0.57742" RPUPILD="0.00400" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.48422" FPOGY="0.11054" FPOGS="961.02148" FPOGD="0.20068" FPOGID="2542" FPOGV="1" LPOGX="0.59746" LPOGY="0.19378" LPOGV="1" RPOGX="0.35972" RPOGY="0.08289" RPOGV="1" BPOGX="0.47859" BPOGY="0.13833" BPOGV="1" LPCX="0.21565" LPCY="0.53585" LPD="25.46795" LPS="0.79090" LPV="1" RPCX="0.50028" RPCY="0.55791" RPD="22.88773" RPS="0.79090" RPV="1" LEYEX="-0.06256" LEYEY="-0.00816" LEYEZ="0.57547" LPUPILD="0.00493" LPUPILV="1" REYEX="0.00026" REYEY="-0.01221" REYEZ="0.57742" RPUPILD="0.00402" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.48481" FPOGY="0.11123" FPOGS="961.02148" FPOGD="0.20758" FPOGID="2542" FPOGV="1" LPOGX="0.59743" LPOGY="0.18472" LPOGV="1" RPOGX="0.40868" RPOGY="0.08063" RPOGV="1" BPOGX="0.50305" BPOGY="0.13268" BPOGV="1" LPCX="0.21558" LPCY="0.53580" LPD="25.12093" LPS="0.79090" LPV="1" RPCX="0.50028" RPCY="0.55792" RPD="22.85974" RPS="0.79090" RPV="1" LEYEX="-0.06256" LEYEY="-0.00816" LEYEZ="0.57547" LPUPILD="0.00498" LPUPILV="1" REYEX="0.00026" REYEY="-0.01221" REYEZ="0.57742" RPUPILD="0.00402" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.48536" FPOGY="0.11188" FPOGS="961.02148" FPOGD="0.21405" FPOGID="2542" FPOGV="1" LPOGX="0.59743" LPOGY="0.18472" LPOGV="1" RPOGX="0.40868" RPOGY="0.08063" RPOGV="1" BPOGX="0.50305" BPOGY="0.13268" BPOGV="1" LPCX="0.21555" LPCY="0.53578" LPD="25.18338" LPS="0.79090" LPV="1" RPCX="0.50016" RPCY="0.55795" RPD="22.88203" RPS="0.79090" RPV="1" LEYEX="-0.06256" LEYEY="-0.00816" LEYEZ="0.57547" LPUPILD="0.00497" LPUPILV="1" REYEX="0.00026" REYEY="-0.01221" REYEZ="0.57742" RPUPILD="0.00405" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.48616" FPOGY="0.11268" FPOGS="961.02148" FPOGD="0.22107" FPOGID="2542" FPOGV="1" LPOGX="0.61710" LPOGY="0.19967" LPOGV="1" RPOGX="0.40815" RPOGY="0.07835" RPOGV="1" BPOGX="0.51263" BPOGY="0.13901" BPOGV="1" LPCX="0.21534" LPCY="0.53618" LPD="25.51253" LPS="0.79090" LPV="1" RPCX="0.50014" RPCY="0.55795" RPD="22.88954" RPS="0.79090" RPV="1" LEYEX="-0.06256" LEYEY="-0.00816" LEYEZ="0.57547" LPUPILD="0.00505" LPUPILV="1" REYEX="0.00026" REYEY="-0.01221" REYEZ="0.57742" RPUPILD="0.00404" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.48681" FPOGY="0.11339" FPOGS="961.02148" FPOGD="0.22748" FPOGID="2542" FPOGV="1" LPOGX="0.61121" LPOGY="0.20059" LPOGV="1" RPOGX="0.40659" RPOGY="0.07438" RPOGV="1" BPOGX="0.50890" BPOGY="0.13749" BPOGV="1" LPCX="0.21536" LPCY="0.53618" LPD="25.46836" LPS="0.79090" LPV="1" RPCX="0.50016" RPCY="0.55795" RPD="22.89158" RPS="0.79090" RPV="1" LEYEX="-0.06256" LEYEY="-0.00816" LEYEZ="0.57547" LPUPILD="0.00505" LPUPILV="1" REYEX="0.00026" REYEY="-0.01221" REYEZ="0.57742" RPUPILD="0.00404" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.48743" FPOGY="0.11406" FPOGS="961.02148" FPOGD="0.23419" FPOGID="2542" FPOGV="1" LPOGX="0.61121" LPOGY="0.20059" LPOGV="1" RPOGX="0.40659" RPOGY="0.07438" RPOGV="1" BPOGX="0.50890" BPOGY="0.13749" BPOGV="1" LPCX="0.21536" LPCY="0.53629" LPD="25.82895" LPS="0.79090" LPV="1" RPCX="0.50006" RPCY="0.55797" RPD="22.95227" RPS="0.79090" RPV="1" LEYEX="-0.06256" LEYEY="-0.00816" LEYEZ="0.57547" LPUPILD="0.00503" LPUPILV="1" REYEX="0.00026" REYEY="-0.01221" REYEZ="0.57742" RPUPILD="0.00406" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
