2025-06-12 10:23:10.974631
REYEZ="0.55668" RPUPILD="0.00473" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="1.01747" FPOGY="0.46058" FPOGS="1107.69080" FPOGD="0.04663" FPOGID="2877" FPOGV="1" LPOGX="1.13025" LPOGY="0.59518" LPOGV="1" RPOGX="0.95382" RPOGY="0.32483" RPOGV="1" BPOGX="1.04204" BPOGY="0.46001" BPOGV="1" LPCX="0.29076" LPCY="0.53294" LPD="27.79454" LPS="0.75255" LPV="1" RPCX="0.56773" RPCY="0.54378" RPD="25.43279" RPS="0.74857" RPV="1" LEYEX="-0.19296" LEYEY="-0.02840" LEYEZ="2.36662" LPUPILD="0.00522" LPUPILV="0" REYEX="0.01277" REYEY="-0.00885" REYEZ="0.55668" RPUPILD="0.00473" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.56235" FPOGY="1.23030" FPOGS="1108.57556" FPOGD="0.07959" FPOGID="2881" FPOGV="1" LPOGX="0.64288" LPOGY="1.30466" LPOGV="1" RPOGX="0.45858" RPOGY="1.13356" RPOGV="1" BPOGX="0.55073" BPOGY="1.21911" BPOGV="1" LPCX="0.27431" LPCY="0.54734" LPD="27.89182" LPS="0.84954" LPV="1" RPCX="0.55186" RPCY="0.55715" RPD="26.45653" RPS="0.84954" RPV="1" LEYEX="-0.05168" LEYEY="-0.00841" LEYEZ="0.59678" LPUPILD="0.00550" LPUPILV="1" REYEX="0.01223" REYEY="-0.01094" REYEZ="0.61306" RPUPILD="0.00482" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.56249" FPOGY="1.22958" FPOGS="1108.57556" FPOGD="0.08667" FPOGID="2881" FPOGV="1" LPOGX="0.67332" LPOGY="1.30519" LPOGV="1" RPOGX="0.45514" RPOGY="1.13536" RPOGV="1" BPOGX="0.56423" BPOGY="1.22028" BPOGV="1" LPCX="0.27433" LPCY="0.54733" LPD="27.95197" LPS="0.84954" LPV="1" RPCX="0.55191" RPCY="0.55709" RPD="26.49951" RPS="0.84954" RPV="1" LEYEX="-0.05168" LEYEY="-0.00841" LEYEZ="0.59678" LPUPILD="0.00547" LPUPILV="1" REYEX="0.01223" REYEY="-0.01094" REYEZ="0.61306" RPUPILD="0.00483" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.56131" FPOGY="1.22843" FPOGS="1108.57556" FPOGD="0.09290" FPOGID="2881" FPOGV="1" LPOGX="0.66272" LPOGY="1.30945" LPOGV="1" RPOGX="0.42700" RPOGY="1.11509" RPOGV="1" BPOGX="0.54486" BPOGY="1.21227" BPOGV="1" LPCX="0.27429" LPCY="0.54751" LPD="27.45230" LPS="0.84954" LPV="1" RPCX="0.55191" RPCY="0.55709" RPD="26.49099" RPS="0.84954" RPV="1" LEYEX="-0.05168" LEYEY="-0.00841" LEYEZ="0.59678" LPUPILD="0.00552" LPUPILV="1" REYEX="0.01223" REYEY="-0.01094" REYEZ="0.61306" RPUPILD="0.00483" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.56029" FPOGY="1.22742" FPOGS="1108.57556" FPOGD="0.09998" FPOGID="2881" FPOGV="1" LPOGX="0.66272" LPOGY="1.30945" LPOGV="1" RPOGX="0.42700" RPOGY="1.11509" RPOGV="1" BPOGX="0.54486" BPOGY="1.21227" BPOGV="1" LPCX="0.27432" LPCY="0.54746" LPD="27.56087" LPS="0.84954" LPV="1" RPCX="0.55190" RPCY="0.55709" RPD="26.51040" RPS="0.84954" RPV="1" LEYEX="-0.05168" LEYEY="-0.00841" LEYEZ="0.59678" LPUPILD="0.00553" LPUPILV="1" REYEX="0.01223" REYEY="-0.01094" REYEZ="0.61306" RPUPILD="0.00482" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.55969" FPOGY="1.22670" FPOGS="1108.57556" FPOGD="0.10681" FPOGID="2881" FPOGV="1" LPOGX="0.67260" LPOGY="1.31567" LPOGV="1" RPOGX="0.42786" RPOGY="1.11464" RPOGV="1" BPOGX="0.55023" BPOGY="1.21516" BPOGV="1" LPCX="0.27429" LPCY="0.54754" LPD="27.45267" LPS="0.84954" LPV="1" RPCX="0.55188" RPCY="0.55729" RPD="25.97169" RPS="0.84954" RPV="1" LEYEX="-0.05168" LEYEY="-0.00841" LEYEZ="0.59678" LPUPILD="0.00552" LPUPILV="1" REYEX="0.01223" REYEY="-0.01094" REYEZ="0.61306" RPUPILD="0.00485" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.55932" FPOGY="1.22612" FPOGS="1108.57556" FPOGD="0.11328" FPOGID="2881" FPOGV="1" LPOGX="0.67490" LPOGY="1.31285" LPOGV="1" RPOGX="0.43088" RPOGY="1.11985" RPOGV="1" BPOGX="0.55289" BPOGY="1.21635" BPOGV="1" LPCX="0.27438" LPCY="0.54757" LPD="27.40365" LPS="0.84954" LPV="1" RPCX="0.55184" RPCY="0.55730" RPD="26.01997" RPS="0.84954" RPV="1" LEYEX="-0.05168" LEYEY="-0.00841" LEYEZ="0.59678" LPUPILD="0.00554" LPUPILV="1" REYEX="0.01223" REYEY="-0.01094" REYEZ="0.61306" RPUPILD="0.00482" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.55898" FPOGY="1.22560" FPOGS="1108.57556" FPOGD="0.11975" FPOGID="2881" FPOGV="1" LPOGX="0.67490" LPOGY="1.31285" LPOGV="1" RPOGX="0.43092" RPOGY="1.11968" RPOGV="1" BPOGX="0.55291" BPOGY="1.21627" BPOGV="1" LPCX="0.27438" LPCY="0.54754" LPD="27.49385" LPS="0.84954" LPV="1" RPCX="0.55190" RPCY="0.55727" RPD="26.08894" RPS="0.84430" RPV="1" LEYEX="-0.05168" LEYEY="-0.00841" LEYEZ="0.59678" LPUPILD="0.00553" LPUPILV="1" REYEX="0.01179" REYEY="-0.01060" REYEZ="0.59360" RPUPILD="0.00483" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.55832" FPOGY="1.22491" FPOGS="1108.57556" FPOGD="0.12671" FPOGID="2881" FPOGV="1" LPOGX="0.66842" LPOGY="1.31263" LPOGV="1" RPOGX="0.42310" RPOGY="1.11101" RPOGV="1" BPOGX="0.54576" BPOGY="1.21182" BPOGV="1" LPCX="0.27438" LPCY="0.54746" LPD="27.66846" LPS="0.84430" LPV="1" RPCX="0.55189" RPCY="0.55723" RPD="26.20901" RPS="0.83906" RPV="1" LEYEX="-0.05168" LEYEY="-0.00841" LEYEZ="0.59678" LPUPILD="0.00553" LPUPILV="1" REYEX="0.01179" REYEY="-0.01060" REYEZ="0.59360" RPUPILD="0.00482" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
