2025-06-04 15:14:29.473439
01820" REYEZ="0.60672" RPUPILD="0.00440" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.62179" FPOGY="-0.03382" FPOGS="4090.52954" FPOGD="0.12939" FPOGID="8764" FPOGV="1" LPOGX="0.73867" LPOGY="-0.10217" LPOGV="1" RPOGX="0.52244" RPOGY="-0.11066" RPOGV="1" BPOGX="0.63055" BPOGY="-0.10642" BPOGV="1" LPCX="0.32189" LPCY="0.56548" LPD="22.09286" LPS="0.88128" LPV="1" RPCX="0.57554" RPCY="0.58714" RPD="22.03016" RPS="0.88128" RPV="1" LEYEX="-0.04275" LEYEY="-0.01455" LEYEZ="0.62179" LPUPILD="0.00454" LPUPILV="1" REYEX="0.01738" REYEY="-0.01820" REYEZ="0.60672" RPUPILD="0.00435" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.50527" FPOGY="-0.00200" FPOGS="4091.47046" FPOGD="0.09888" FPOGID="8769" FPOGV="1" LPOGX="0.61485" LPOGY="0.02569" LPOGV="1" RPOGX="0.40402" RPOGY="-0.05559" RPOGV="1" BPOGX="0.50943" BPOGY="-0.01495" BPOGV="1" LPCX="0.32231" LPCY="0.56525" LPD="21.58827" LPS="0.86996" LPV="1" RPCX="0.57560" RPCY="0.58767" RPD="21.48547" RPS="0.86996" RPV="1" LEYEX="-0.18159" LEYEY="-0.06388" LEYEZ="2.72981" LPUPILD="0.00445" LPUPILV="0" REYEX="0.01781" REYEY="-0.01837" REYEZ="0.60912" RPUPILD="0.00427" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.50552" FPOGY="-0.00255" FPOGS="4091.47046" FPOGD="0.10596" FPOGID="8769" FPOGV="1" LPOGX="0.61485" LPOGY="0.02569" LPOGV="1" RPOGX="0.40420" RPOGY="-0.04865" RPOGV="1" BPOGX="0.50952" BPOGY="-0.01148" BPOGV="1" LPCX="0.32231" LPCY="0.56525" LPD="21.58827" LPS="0.86996" LPV="1" RPCX="0.57559" RPCY="0.58760" RPD="21.42298" RPS="0.86472" RPV="1" LEYEX="-0.18159" LEYEY="-0.06347" LEYEZ="2.72981" LPUPILD="0.00445" LPUPILV="0" REYEX="0.01737" REYEY="-0.01786" REYEZ="0.59245" RPUPILD="0.00425" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.50635" FPOGY="-0.00324" FPOGS="4091.47046" FPOGD="0.11304" FPOGID="8769" FPOGV="1" LPOGX="0.62742" LPOGY="0.02070" LPOGV="1" RPOGX="0.41359" RPOGY="-0.05062" RPOGV="1" BPOGX="0.52050" BPOGY="-0.01496" BPOGV="1" LPCX="0.32232" LPCY="0.56529" LPD="21.56516" LPS="0.86472" LPV="1" RPCX="0.57563" RPCY="0.58760" RPD="21.47339" RPS="0.85949" RPV="1" LEYEX="-0.18159" LEYEY="-0.06347" LEYEZ="2.72981" LPUPILD="0.00445" LPUPILV="0" REYEX="0.01737" REYEY="-0.01786" REYEZ="0.59245" RPUPILD="0.00431" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.50710" FPOGY="-0.00324" FPOGS="4091.47046" FPOGD="0.11938" FPOGID="8769" FPOGV="1" LPOGX="0.62538" LPOGY="0.03841" LPOGV="1" RPOGX="0.41574" RPOGY="-0.04468" RPOGV="1" BPOGX="0.52056" BPOGY="-0.00313" BPOGV="1" LPCX="0.32240" LPCY="0.56517" LPD="21.69982" LPS="0.85949" LPV="1" RPCX="0.57560" RPCY="0.58755" RPD="21.52619" RPS="0.85425" RPV="1" LEYEX="-0.18159" LEYEY="-0.06347" LEYEZ="2.72981" LPUPILD="0.00439" LPUPILV="0" REYEX="0.01737" REYEY="-0.01786" REYEZ="0.59245" RPUPILD="0.00429" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.50778" FPOGY="-0.00308" FPOGS="4091.47046" FPOGD="0.12622" FPOGID="8769" FPOGV="1" LPOGX="0.62570" LPOGY="0.04466" LPOGV="1" RPOGX="0.41574" RPOGY="-0.04468" RPOGV="1" BPOGX="0.52072" BPOGY="-0.00001" BPOGV="1" LPCX="0.32243" LPCY="0.56518" LPD="21.79728" LPS="0.85425" LPV="1" RPCX="0.57573" RPCY="0.58761" RPD="21.45370" RPS="0.85425" RPV="1" LEYEX="-0.18159" LEYEY="-0.06347" LEYEZ="2.72981" LPUPILD="0.00440" LPUPILV="0" REYEX="0.01813" REYEY="-0.01860" REYEZ="0.61686" RPUPILD="0.00435" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.50840" FPOGY="-0.00304" FPOGS="4091.47046" FPOGD="0.13379" FPOGID="8769" FPOGV="1" LPOGX="0.62236" LPOGY="0.04852" LPOGV="1" RPOGX="0.41913" RPOGY="-0.05322" RPOGV="1" BPOGX="0.52074" BPOGY="-0.00235" BPOGV="1" LPCX="0.32244" LPCY="0.56514" LPD="21.64083" LPS="0.85425" LPV="1" RPCX="0.57575" RPCY="0.58765" RPD="21.40962" RPS="0.85949" RPV="1" LEYEX="-0.18159" LEYEY="-0.06347" LEYEZ="2.72981" LPUPILD="0.00447" LPUPILV="0" REYEX="0.01813" REYEY="-0.01860" REYEZ="0.61686" RPUPILD="0.00435" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.50909" FPOGY="-0.00431" FPOGS="4091.47046" FPOGD="0.14014" FPOGID="8769" FPOGV="1" LPOGX="0.62722" LPOGY="0.01126" LPOGV="1" RPOGX="0.41999" RPOGY="-0.07307" RPOGV="1" BPOGX="0.52361" BPOGY="-0.03091" BPOGV="1" LPCX="0.32249" LPCY="0.56514" LPD="21.78316" LPS="0.85949" LPV="1" RPCX="0.57576" RPCY="0.58759" RPD="21.45277" RPS="0.86472" RPV="1" LEYEX="-0.18159" LEYEY="-0.06347" LEYEZ="2.72981" LPUPILD="0.00444" LPUPILV="0" REYEX="0.01813" REYEY="-0.01860" REYEZ="0.61686" RPUPILD="0.00435" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.50971" FPOGY="-0.00576" FPOGS="4091.47046" FPOGD="0.14746" FPOGID="8769" FPOGV="1" LPOGX="0.62691" LPOGY="0.00485" LPOGV="1" RPOGX="0.41990" RPOGY="-0.08015" RPOGV="1" BPOGX="0.52341" BPOGY="-0.03765" BPOGV="1" LPCX="0.32249" LPCY="0.56514" LPD="21.78316" LPS="0.86472" LPV="1" RPCX="0.57572" RPCY="0.58752" RPD="21.59159" RPS="0.86996" RPV="1" LEYEX="-0.18159" LEYEY="-0.06347" LEYEZ="2.72981" LPUPILD="0.00444" LPUPILV="0" REYEX="0.01813" REYEY="-0.01860" REYEZ="0.61686" RPUPILD="0.00431" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
