2025-06-09 11:40:39.636911
Z="0.61165" RPUPILD="0.00559" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="1.12909" FPOGY="0.54420" FPOGS="756.80328" FPOGD="0.05414" FPOGID="2597" FPOGV="1" LPOGX="1.18952" LPOGY="0.61552" LPOGV="1" RPOGX="1.05244" RPOGY="0.45455" RPOGV="1" BPOGX="1.12098" BPOGY="0.53504" BPOGV="1" LPCX="0.36120" LPCY="0.47568" LPD="27.82442" LPS="0.89277" LPV="1" RPCX="0.60739" RPCY="0.49914" RPD="26.34679" RPS="0.89277" RPV="1" LEYEX="-0.03503" LEYEY="0.00366" LEYEZ="0.62541" LPUPILD="0.00576" LPUPILV="1" REYEX="0.02339" REYEY="-0.00096" REYEZ="0.61165" RPUPILD="0.00559" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="1.12866" FPOGY="0.54289" FPOGS="756.80328" FPOGD="0.06024" FPOGID="2597" FPOGV="1" LPOGX="1.19298" LPOGY="0.61182" LPOGV="1" RPOGX="1.05659" RPOGY="0.45032" RPOGV="1" BPOGX="1.12479" BPOGY="0.53107" BPOGV="1" LPCX="0.36117" LPCY="0.47565" LPD="27.85450" LPS="0.89905" LPV="1" RPCX="0.60735" RPCY="0.49913" RPD="26.23778" RPS="0.89905" RPV="1" LEYEX="-0.03584" LEYEY="0.00374" LEYEZ="0.63907" LPUPILD="0.00578" LPUPILV="1" REYEX="0.02314" REYEY="-0.00091" REYEZ="0.60522" RPUPILD="0.00559" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.87697" FPOGY="0.44981" FPOGS="757.70135" FPOGD="0.07343" FPOGID="2598" FPOGV="1" LPOGX="0.97796" LPOGY="0.53063" LPOGV="1" RPOGX="0.78907" RPOGY="0.41547" RPOGV="1" BPOGX="0.88351" BPOGY="0.47305" BPOGV="1" LPCX="0.34895" LPCY="0.47556" LPD="27.43830" LPS="0.96680" LPV="1" RPCX="0.59529" RPCY="0.49783" RPD="25.34062" RPS="0.96680" RPV="1" LEYEX="-0.17643" LEYEY="0.01749" LEYEZ="3.02834" LPUPILD="0.00572" LPUPILV="0" REYEX="0.02215" REYEY="-0.00072" REYEZ="0.63659" RPUPILD="0.00546" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.87756" FPOGY="0.45107" FPOGS="757.70135" FPOGD="0.08032" FPOGID="2598" FPOGV="1" LPOGX="0.98219" LPOGY="0.52330" LPOGV="1" RPOGX="0.78716" RPOGY="0.40896" RPOGV="1" BPOGX="0.88467" BPOGY="0.46613" BPOGV="1" LPCX="0.34887" LPCY="0.47555" LPD="27.47956" LPS="0.96680" LPV="1" RPCX="0.59534" RPCY="0.49783" RPD="25.33843" RPS="0.96680" RPV="1" LEYEX="-0.17643" LEYEY="0.01749" LEYEZ="3.02834" LPUPILD="0.00571" LPUPILV="0" REYEX="0.02215" REYEY="-0.00072" REYEZ="0.63659" RPUPILD="0.00544" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.87793" FPOGY="0.45244" FPOGS="757.70135" FPOGD="0.08759" FPOGID="2598" FPOGV="1" LPOGX="0.98030" LPOGY="0.52717" LPOGV="1" RPOGX="0.78498" RPOGY="0.41326" RPOGV="1" BPOGX="0.88264" BPOGY="0.47022" BPOGV="1" LPCX="0.34894" LPCY="0.47552" LPD="27.24378" LPS="0.96051" LPV="1" RPCX="0.59535" RPCY="0.49783" RPD="25.39202" RPS="0.96051" RPV="1" LEYEX="-0.03721" LEYEY="0.00365" LEYEZ="0.62421" LPUPILD="0.00573" LPUPILV="1" REYEX="0.02215" REYEY="-0.00072" REYEZ="0.63659" RPUPILD="0.00544" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.87818" FPOGY="0.45329" FPOGS="757.70135" FPOGD="0.09399" FPOGID="2598" FPOGV="1" LPOGX="0.97557" LPOGY="0.52955" LPOGV="1" RPOGX="0.78805" RPOGY="0.40078" RPOGV="1" BPOGX="0.88181" BPOGY="0.46516" BPOGV="1" LPCX="0.34893" LPCY="0.47549" LPD="27.23593" LPS="0.95423" LPV="1" RPCX="0.59532" RPCY="0.49784" RPD="25.44668" RPS="0.95423" RPV="1" LEYEX="-0.03721" LEYEY="0.00365" LEYEZ="0.62421" LPUPILD="0.00574" LPUPILV="1" REYEX="0.02215" REYEY="-0.00072" REYEZ="0.63659" RPUPILD="0.00543" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.87838" FPOGY="0.45447" FPOGS="757.70135" FPOGD="0.10052" FPOGID="2598" FPOGV="1" LPOGX="0.97298" LPOGY="0.52917" LPOGV="1" RPOGX="0.78977" RPOGY="0.41532" RPOGV="1" BPOGX="0.88138" BPOGY="0.47224" BPOGV="1" LPCX="0.34886" LPCY="0.47545" LPD="27.11649" LPS="0.94794" LPV="1" RPCX="0.59537" RPCY="0.49780" RPD="25.26533" RPS="0.94794" RPV="1" LEYEX="-0.03721" LEYEY="0.00365" LEYEZ="0.62421" LPUPILD="0.00572" LPUPILV="1" REYEX="0.02215" REYEY="-0.00072" REYEZ="0.63659" RPUPILD="0.00540" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.87856" FPOGY="0.45552" FPOGS="757.70135" FPOGD="0.10754" FPOGID="2598" FPOGV="1" LPOGX="0.97298" LPOGY="0.52917" LPOGV="1" RPOGX="0.78977" RPOGY="0.41532" RPOGV="1" BPOGX="0.88138" BPOGY="0.47224" BPOGV="1" LPCX="0.34886" LPCY="0.47543" LPD="27.11223" LPS="0.94794" LPV="1" RPCX="0.59532" RPCY="0.49776" RPD="25.32312" RPS="0.94794" RPV="1" LEYEX="-0.17659" LEYEY="0.01769" LEYEZ="3.02331" LPUPILD="0.00571" LPUPILV="0" REYEX="0.02215" REYEY="-0.00072" REYEZ="0.63659" RPUPILD="0.00539" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.87837" FPOGY="0.45554" FPOGS="757.70135" FPOGD="0.11426" FPOGID="2598" FPOGV="1" LPOGX="0.96417" LPOGY="0.51806" LPOGV="1" RPOGX="0.78593" RPOGY="0.39369" RPOGV="1" BPOGX="0.87505" BPOGY="0.45588" BPOGV="1" LPCX="0.34882" LPCY="0.47539" LPD="27.16887" LPS="0.95423" LPV="1" RPCX="0.59530" RPCY="0.49767" RPD="25.35076" RPS="0.95423" RPV="1" LEYEX="-0.17659" LEYEY="0.01769" LEYEZ="3.02331" LPUPILD="0.00571" LPUPILV="0" REYEX="0.02215" REYEY="-0.00072" REYEZ="0.63659" RPUPILD="0.00541" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
