2025-06-12 10:11:00.453346
Z="0.62817" RPUPILD="0.00461" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.70231" FPOGY="0.03442" FPOGS="376.98895" FPOGD="0.18106" FPOGID="773" FPOGV="1" LPOGX="0.76142" LPOGY="0.07781" LPOGV="1" RPOGX="0.53166" RPOGY="0.06346" RPOGV="1" BPOGX="0.64654" BPOGY="0.07063" BPOGV="1" LPCX="0.29102" LPCY="0.57641" LPD="23.50667" LPS="0.91096" LPV="1" RPCX="0.53976" RPCY="0.59424" RPD="22.39089" RPS="0.91675" RPV="1" LEYEX="-0.04966" LEYEY="-0.01628" LEYEZ="0.61505" LPUPILD="0.00514" LPUPILV="1" REYEX="0.00928" REYEY="-0.01998" REYEZ="0.62817" RPUPILD="0.00459" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.23615" FPOGY="0.21084" FPOGS="378.02063" FPOGD="0.06033" FPOGID="777" FPOGV="1" LPOGX="0.32950" LPOGY="0.18296" LPOGV="1" RPOGX="0.12054" RPOGY="0.20464" RPOGV="1" BPOGX="0.22502" BPOGY="0.19380" BPOGV="1" LPCX="0.27488" LPCY="0.57921" LPD="25.86778" LPS="0.89313" LPV="1" RPCX="0.52463" RPCY="0.59616" RPD="24.12828" RPS="0.89313" RPV="1" LEYEX="-0.05137" LEYEY="-0.01631" LEYEZ="0.60742" LPUPILD="0.00562" LPUPILV="1" REYEX="0.00693" REYEY="-0.01981" REYEZ="0.61993" RPUPILD="0.00515" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.23496" FPOGY="0.20879" FPOGS="378.02063" FPOGD="0.06683" FPOGID="777" FPOGV="1" LPOGX="0.32739" LPOGY="0.17775" LPOGV="1" RPOGX="0.11866" RPOGY="0.19883" RPOGV="1" BPOGX="0.22303" BPOGY="0.18829" BPOGV="1" LPCX="0.27487" LPCY="0.57915" LPD="25.96744" LPS="0.89878" LPV="1" RPCX="0.52438" RPCY="0.59614" RPD="23.71208" RPS="0.89878" RPV="1" LEYEX="-0.05299" LEYEY="-0.01681" LEYEZ="0.62599" LPUPILD="0.00563" LPUPILV="1" REYEX="0.00678" REYEY="-0.01971" REYEZ="0.61532" RPUPILD="0.00519" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.23248" FPOGY="0.20883" FPOGS="378.02063" FPOGD="0.07346" FPOGID="777" FPOGV="1" LPOGX="0.30557" LPOGY="0.21612" LPOGV="1" RPOGX="0.10476" RPOGY="0.20252" RPOGV="1" BPOGX="0.20516" BPOGY="0.20932" BPOGV="1" LPCX="0.27464" LPCY="0.57923" LPD="25.66320" LPS="0.90444" LPV="1" RPCX="0.52427" RPCY="0.59612" RPD="23.96926" RPS="0.90444" RPV="1" LEYEX="-0.05299" LEYEY="-0.01681" LEYEZ="0.62599" LPUPILD="0.00568" LPUPILV="1" REYEX="0.00678" REYEY="-0.01971" REYEZ="0.61532" RPUPILD="0.00519" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.23225" FPOGY="0.20872" FPOGS="378.02063" FPOGD="0.08029" FPOGID="777" FPOGV="1" LPOGX="0.33009" LPOGY="0.21805" LPOGV="1" RPOGX="0.12898" RPOGY="0.19659" RPOGV="1" BPOGX="0.22954" BPOGY="0.20732" BPOGV="1" LPCX="0.27459" LPCY="0.57922" LPD="25.65296" LPS="0.91010" LPV="1" RPCX="0.52430" RPCY="0.59606" RPD="24.03198" RPS="0.91010" RPV="1" LEYEX="-0.05299" LEYEY="-0.01681" LEYEZ="0.62599" LPUPILD="0.00568" LPUPILV="1" REYEX="0.00678" REYEY="-0.01971" REYEZ="0.61532" RPUPILD="0.00515" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.23206" FPOGY="0.20862" FPOGS="378.02063" FPOGD="0.08688" FPOGID="777" FPOGV="1" LPOGX="0.33009" LPOGY="0.21805" LPOGV="1" RPOGX="0.12898" RPOGY="0.19659" RPOGV="1" BPOGX="0.22954" BPOGY="0.20732" BPOGV="1" LPCX="0.27450" LPCY="0.57918" LPD="25.58070" LPS="0.91010" LPV="1" RPCX="0.52420" RPCY="0.59614" RPD="24.01451" RPS="0.91010" RPV="1" LEYEX="-0.05150" LEYEY="-0.01632" LEYEZ="0.60790" LPUPILD="0.00565" LPUPILV="1" REYEX="0.00675" REYEY="-0.01982" REYEZ="0.62045" RPUPILD="0.00512" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.23252" FPOGY="0.20704" FPOGS="378.02063" FPOGD="0.09378" FPOGID="777" FPOGV="1" LPOGX="0.34084" LPOGY="0.17574" LPOGV="1" RPOGX="0.13725" RPOGY="0.19408" RPOGV="1" BPOGX="0.23905" BPOGY="0.18491" BPOGV="1" LPCX="0.27440" LPCY="0.57918" LPD="25.68382" LPS="0.90444" LPV="1" RPCX="0.52394" RPCY="0.59606" RPD="23.96977" RPS="0.90444" RPV="1" LEYEX="-0.05150" LEYEY="-0.01632" LEYEZ="0.60790" LPUPILD="0.00565" LPUPILV="1" REYEX="0.00675" REYEY="-0.01982" REYEZ="0.62045" RPUPILD="0.00511" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.23273" FPOGY="0.20592" FPOGS="378.02063" FPOGD="0.10046" FPOGID="777" FPOGV="1" LPOGX="0.33594" LPOGY="0.17814" LPOGV="1" RPOGX="0.13575" RPOGY="0.20023" RPOGV="1" BPOGX="0.23584" BPOGY="0.18918" BPOGV="1" LPCX="0.27427" LPCY="0.57930" LPD="25.79773" LPS="0.89878" LPV="1" RPCX="0.52389" RPCY="0.59603" RPD="23.95438" RPS="0.89878" RPV="1" LEYEX="-0.05150" LEYEY="-0.01632" LEYEZ="0.60790" LPUPILD="0.00561" LPUPILV="1" REYEX="0.00675" REYEY="-0.01982" REYEZ="0.62045" RPUPILD="0.00510" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.23297" FPOGY="0.20511" FPOGS="378.02063" FPOGD="0.10721" FPOGID="777" FPOGV="1" LPOGX="0.33594" LPOGY="0.17814" LPOGV="1" RPOGX="0.13756" RPOGY="0.20616" RPOGV="1" BPOGX="0.23675" BPOGY="0.19215" BPOGV="1" LPCX="0.27420" LPCY="0.57930" LPD="25.63090" LPS="0.89878" LPV="1" RPCX="0.52374" RPCY="0.59591" RPD="23.53647" RPS="0.89299" RPV="1" LEYEX="-0.05280" LEYEY="-0.01669" LEYEZ="0.62150" LPUPILD="0.00564" LPUPILV="1" REYEX="0.00655" REYEY="-0.01938" REYEZ="0.60661" RPUPILD="0.00514" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
