2025-06-12 10:18:18.611286
9" LEYEZ="0.61978" LPUPILD="0.00585" LPUPILV="1" REYEX="0.00262" REYEY="-0.02414" REYEZ="0.64761" RPUPILD="0.00564" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="1.06713" FPOGY="0.45774" FPOGS="815.30310" FPOGD="0.02679" FPOGID="2158" FPOGV="1" LPOGX="1.16416" LPOGY="0.52059" LPOGV="1" RPOGX="0.99978" RPOGY="0.40255" RPOGV="1" BPOGX="1.08197" BPOGY="0.46157" BPOGV="1" LPCX="0.27452" LPCY="0.59247" LPD="27.12802" LPS="0.94152" LPV="1" RPCX="0.51737" RPCY="0.61556" RPD="26.25884" RPS="0.94152" RPV="1" LEYEX="-0.05516" LEYEY="-0.01869" LEYEZ="0.61978" LPUPILD="0.00587" LPUPILV="1" REYEX="0.00262" REYEY="-0.02414" REYEZ="0.64761" RPUPILD="0.00564" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.86320" FPOGY="0.50238" FPOGS="816.22101" FPOGD="0.02051" FPOGID="2162" FPOGV="1" LPOGX="1.00109" LPOGY="0.51915" LPOGV="1" RPOGX="0.75178" RPOGY="0.41457" RPOGV="1" BPOGX="0.87643" BPOGY="0.46686" BPOGV="1" LPCX="0.26730" LPCY="0.59164" LPD="27.24232" LPS="0.92865" LPV="1" RPCX="0.51128" RPCY="0.61377" RPD="26.22265" RPS="0.93509" RPV="1" LEYEX="-0.05638" LEYEY="-0.01854" LEYEZ="0.62098" LPUPILD="0.00590" LPUPILV="1" REYEX="0.00176" REYEY="-0.02390" REYEZ="0.65021" RPUPILD="0.00552" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.86668" FPOGY="0.49356" FPOGS="816.22101" FPOGD="0.02722" FPOGID="2162" FPOGV="1" LPOGX="1.00530" LPOGY="0.51089" LPOGV="1" RPOGX="0.75587" RPOGY="0.40563" RPOGV="1" BPOGX="0.88058" BPOGY="0.45826" BPOGV="1" LPCX="0.26737" LPCY="0.59157" LPD="27.42783" LPS="0.94137" LPV="1" RPCX="0.51136" RPCY="0.61380" RPD="26.30388" RPS="0.94780" RPV="1" LEYEX="-0.05779" LEYEY="-0.01892" LEYEZ="0.63702" LPUPILD="0.00585" LPUPILV="1" REYEX="0.00176" REYEY="-0.02390" REYEZ="0.65021" RPUPILD="0.00554" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.86611" FPOGY="0.48593" FPOGS="816.22101" FPOGD="0.03375" FPOGID="2162" FPOGV="1" LPOGX="0.98325" LPOGY="0.48990" LPOGV="1" RPOGX="0.74325" RPOGY="0.40566" RPOGV="1" BPOGX="0.86325" BPOGY="0.44778" BPOGV="1" LPCX="0.26755" LPCY="0.59149" LPD="27.86933" LPS="0.95409" LPV="1" RPCX="0.51139" RPCY="0.61378" RPD="26.34932" RPS="0.95409" RPV="1" LEYEX="-0.05779" LEYEY="-0.01892" LEYEZ="0.63702" LPUPILD="0.00593" LPUPILV="1" REYEX="0.00176" REYEY="-0.02390" REYEZ="0.65021" RPUPILD="0.00556" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.86710" FPOGY="0.48013" FPOGS="816.22101" FPOGD="0.04083" FPOGID="2162" FPOGV="1" LPOGX="0.99670" LPOGY="0.49065" LPOGV="1" RPOGX="0.74943" RPOGY="0.39997" RPOGV="1" BPOGX="0.87306" BPOGY="0.44531" BPOGV="1" LPCX="0.26780" LPCY="0.59133" LPD="27.76450" LPS="0.96038" LPV="1" RPCX="0.51153" RPCY="0.61357" RPD="25.89277" RPS="0.96038" RPV="1" LEYEX="-0.05779" LEYEY="-0.01892" LEYEZ="0.63702" LPUPILD="0.00587" LPUPILV="1" REYEX="0.00176" REYEY="-0.02390" REYEZ="0.65021" RPUPILD="0.00560" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.86823" FPOGY="0.47493" FPOGS="816.22101" FPOGD="0.04718" FPOGID="2162" FPOGV="1" LPOGX="0.99868" LPOGY="0.48651" LPOGV="1" RPOGX="0.75361" RPOGY="0.39055" RPOGV="1" BPOGX="0.87615" BPOGY="0.43853" BPOGV="1" LPCX="0.26799" LPCY="0.59149" LPD="27.19938" LPS="0.96666" LPV="1" RPCX="0.51160" RPCY="0.61377" RPD="25.99167" RPS="0.97385" RPV="1" LEYEX="-0.06057" LEYEY="-0.01988" LEYEZ="0.66763" LPUPILD="0.00588" LPUPILV="1" REYEX="0.00185" REYEY="-0.02456" REYEZ="0.66820" RPUPILD="0.00564" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.87142" FPOGY="0.47079" FPOGS="816.22101" FPOGD="0.05353" FPOGID="2162" FPOGV="1" LPOGX="1.02083" LPOGY="0.46911" LPOGV="1" RPOGX="0.77294" RPOGY="0.40630" RPOGV="1" BPOGX="0.89689" BPOGY="0.43770" BPOGV="1" LPCX="0.26811" LPCY="0.59128" LPD="27.67571" LPS="0.97385" LPV="1" RPCX="0.51174" RPCY="0.61407" RPD="26.40124" RPS="0.98104" RPV="1" LEYEX="-0.06057" LEYEY="-0.01988" LEYEZ="0.66763" LPUPILD="0.00591" LPUPILV="1" REYEX="0.00185" REYEY="-0.02456" REYEZ="0.66820" RPUPILD="0.00559" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.87292" FPOGY="0.46612" FPOGS="816.22101" FPOGD="0.05981" FPOGID="2162" FPOGV="1" LPOGX="0.99301" LPOGY="0.45919" LPOGV="1" RPOGX="0.77996" RPOGY="0.38888" RPOGV="1" BPOGX="0.88649" BPOGY="0.42403" BPOGV="1" LPCX="0.26806" LPCY="0.59130" LPD="27.97626" LPS="0.98104" LPV="1" RPCX="0.51171" RPCY="0.61401" RPD="26.47498" RPS="0.98823" RPV="1" LEYEX="-0.06057" LEYEY="-0.01988" LEYEZ="0.66763" LPUPILD="0.00587" LPUPILV="1" REYEX="0.00185" REYEY="-0.02456" REYEZ="0.66820" RPUPILD="0.00555" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.87425" FPOGY="0.46207" FPOGS="816.22101" FPOGD="0.06683" FPOGID="2162" FPOGV="1" LPOGX="0.99520" LPOGY="0.45431" LPOGV="1" RPOGX="0.77996" RPOGY="0.38888" RPOGV="1" BPOGX="0.88758" BPOGY="0.42159" BPOGV="1" LPCX="0.26791" LPCY="0.59135" LPD="28.45982" LPS="0.98823" LPV="1" RPCX="0.51172" RPCY="0.61396" RPD="26.39704" RPS="0.98823" RPV="1" LEYEX="-0.05777" LEYEY="-0.01904" LEYEZ="0.63783" LPUPILD="0.00583" LPUPILV="1" REYEX="0.00191" REYEY="-0.02342" REYEZ="0.63611" RPUPILD="0.00556" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
