2025-06-20 11:26:53.846917
8329" RPUPILD="0.00493" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="1.08587" FPOGY="0.26242" FPOGS="163.44823" FPOGD="0.12788" FPOGID="635" FPOGV="1" LPOGX="1.14676" LPOGY="0.28360" LPOGV="1" RPOGX="1.09575" RPOGY="0.26763" RPOGV="1" BPOGX="1.12125" BPOGY="0.27561" BPOGV="1" LPCX="0.50720" LPCY="0.29464" LPD="24.97463" LPS="1.05661" LPV="1" RPCX="0.73834" RPCY="0.34647" RPD="21.88896" RPS="1.06470" RPV="1" LEYEX="0.00051" LEYEY="0.04140" LEYEZ="0.67810" LPUPILD="0.00558" LPUPILV="1" REYEX="0.06066" REYEY="0.03080" REYEZ="0.68329" RPUPILD="0.00491" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="1.08791" FPOGY="0.26248" FPOGS="163.44823" FPOGD="0.13475" FPOGID="635" FPOGV="1" LPOGX="1.15305" LPOGY="0.27090" LPOGV="1" RPOGX="1.10457" RPOGY="0.25667" RPOGV="1" BPOGX="1.12881" BPOGY="0.26379" BPOGV="1" LPCX="0.50733" LPCY="0.29459" LPD="25.00011" LPS="1.07172" LPV="1" RPCX="0.73849" RPCY="0.34651" RPD="21.87627" RPS="1.07981" RPV="1" LEYEX="0.00054" LEYEY="0.03988" LEYEZ="0.65405" LPUPILD="0.00557" LPUPILV="1" REYEX="0.06066" REYEY="0.03080" REYEZ="0.68329" RPUPILD="0.00493" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="1.19615" FPOGY="0.43252" FPOGS="164.34627" FPOGD="0.12775" FPOGID="638" FPOGV="0" LPOGX="1.39979" LPOGY="1.37059" LPOGV="1" RPOGX="1.05885" RPOGY="0.73827" RPOGV="1" BPOGX="1.22932" BPOGY="1.05443" BPOGV="1" LPCX="0.51150" LPCY="0.29952" LPD="6.77142" LPS="1.04926" LPV="1" RPCX="0.73921" RPCY="0.34910" RPD="13.43185" RPS="1.03398" RPV="1" LEYEX="0.00093" LEYEY="0.04218" LEYEZ="0.68665" LPUPILD="0.00229" LPUPILV="1" REYEX="0.05723" REYEY="0.02915" REYEZ="0.64136" RPUPILD="0.00446" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="1.12745" FPOGY="0.58542" FPOGS="164.34627" FPOGD="0.12775" FPOGID="638" FPOGV="0" LPOGX="1.39979" LPOGY="1.37059" LPOGV="0" RPOGX="1.05874" RPOGY="0.73833" RPOGV="1" BPOGX="1.05874" BPOGY="0.73833" BPOGV="1" LPCX="0.51150" LPCY="0.29952" LPD="6.77142" LPS="1.04188" LPV="0" RPCX="0.74046" RPCY="0.35000" RPD="9.53115" RPS="1.03379" RPV="1" LEYEX="0.00093" LEYEY="0.04218" LEYEZ="0.68665" LPUPILD="0.00229" LPUPILV="1" REYEX="0.05842" REYEY="0.02993" REYEZ="0.65530" RPUPILD="0.00393" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="1.12745" FPOGY="0.58542" FPOGS="164.34627" FPOGD="0.12775" FPOGID="638" FPOGV="0" LPOGX="1.39979" LPOGY="1.37059" LPOGV="0" RPOGX="1.05874" RPOGY="0.73833" RPOGV="0" BPOGX="1.05874" BPOGY="0.73833" BPOGV="0" LPCX="0.51150" LPCY="0.29952" LPD="6.77142" LPS="1.03379" LPV="0" RPCX="0.74046" RPCY="0.35000" RPD="9.53115" RPS="1.04098" RPV="0" LEYEX="0.00093" LEYEY="0.04218" LEYEZ="0.68665" LPUPILD="0.00229" LPUPILV="1" REYEX="0.05842" REYEY="0.02993" REYEZ="0.65530" RPUPILD="0.00393" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="1.05874" FPOGY="0.73833" FPOGS="164.34627" FPOGD="0.12775" FPOGID="638" FPOGV="0" LPOGX="1.39979" LPOGY="1.37059" LPOGV="0" RPOGX="1.05874" RPOGY="0.73833" RPOGV="0" BPOGX="1.05874" BPOGY="0.73833" BPOGV="0" LPCX="0.51150" LPCY="0.29952" LPD="6.77142" LPS="1.04098" LPV="0" RPCX="0.74046" RPCY="0.35000" RPD="9.53115" RPS="1.04817" RPV="0" LEYEX="0.00093" LEYEY="0.04218" LEYEZ="0.68665" LPUPILD="0.00229" LPUPILV="1" REYEX="0.05842" REYEY="0.02993" REYEZ="0.65530" RPUPILD="0.00393" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="1.05874" FPOGY="0.73833" FPOGS="164.34627" FPOGD="0.12775" FPOGID="638" FPOGV="0" LPOGX="1.39979" LPOGY="1.37059" LPOGV="0" RPOGX="1.05874" RPOGY="0.73833" RPOGV="0" BPOGX="1.05874" BPOGY="0.73833" BPOGV="0" LPCX="0.51150" LPCY="0.29952" LPD="6.77142" LPS="1.04817" LPV="0" RPCX="0.74046" RPCY="0.35000" RPD="9.53115" RPS="1.05536" RPV="0" LEYEX="0.00093" LEYEY="0.04218" LEYEZ="0.68665" LPUPILD="0.00229" LPUPILV="1" REYEX="0.05842" REYEY="0.02993" REYEZ="0.65530" RPUPILD="0.00393" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="1.05874" FPOGY="0.73833" FPOGS="164.34627" FPOGD="0.12775" FPOGID="638" FPOGV="0" LPOGX="1.39979" LPOGY="1.37059" LPOGV="0" RPOGX="1.05874" RPOGY="0.73833" RPOGV="0" BPOGX="1.05874" BPOGY="0.73833" BPOGV="0" LPCX="0.51150" LPCY="0.29952" LPD="6.77142" LPS="1.05536" LPV="0" RPCX="0.74046" RPCY="0.35000" RPD="9.53115" RPS="1.05536" RPV="0" LEYEX="0.00093" LEYEY="0.04218" LEYEZ="0.68665" LPUPILD="0.00229" LPUPILV="1" REYEX="0.05842" REYEY="0.02993" REYEZ="0.65530" RPUPILD="0.00393" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="164.34627" FPOGD="0.12775" FPOGID="638" FPOGV="0" LPOGX="1.39979" LPOGY="1.37059" LPOGV="0" RPOGX="1.05874" RPOGY="0.73833" RPOGV="0" BPOGX="1.05874" BPOGY="0.73833" BPOGV="0" LPCX="0.51150" LPCY="0.29952" LPD="6.77142" LPS="1.05536" LPV="0" RPCX="0.74046" RPCY="0.35000" RPD="9.53115" RPS="1.05536" RPV="0" LEYEX="0.00093" LEYEY="0.04218" LEYEZ="0.68665" LPUPILD="0.00229" LPUPILV="1" REYEX="0.05842" REYEY="0.02993" REYEZ="0.65530" RPUPILD="0.00393" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
