2025-06-25 13:05:49.349710
 REYEZ="0.69801" RPUPILD="0.00444" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.04058" FPOGY="0.25145" FPOGS="332.40866" FPOGD="0.04861" FPOGID="1236" FPOGV="1" LPOGX="0.12500" LPOGY="0.25268" LPOGV="1" RPOGX="0.00315" RPOGY="0.26736" RPOGV="1" BPOGX="0.06407" BPOGY="0.26002" BPOGV="1" LPCX="0.31414" LPCY="0.71664" LPD="17.97970" LPS="1.11491" LPV="1" RPCX="0.57756" RPCY="0.71423" RPD="16.33806" RPS="1.11491" RPV="1" LEYEX="-0.04890" LEYEY="-0.04782" LEYEZ="0.69754" LPUPILD="0.00429" LPUPILV="1" REYEX="0.02063" REYEY="-0.04522" REYEZ="0.66767" RPUPILD="0.00399" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.04259" FPOGY="0.25130" FPOGS="332.40866" FPOGD="0.05331" FPOGID="1236" FPOGV="1" LPOGX="0.12075" LPOGY="0.24687" LPOGV="1" RPOGX="-0.00348" RPOGY="0.25334" RPOGV="1" BPOGX="0.05863" BPOGY="0.25010" BPOGV="1" LPCX="0.31439" LPCY="0.71690" LPD="18.22849" LPS="1.12387" LPV="1" RPCX="0.57802" RPCY="0.71489" RPD="16.81488" RPS="1.13303" RPV="1" LEYEX="-0.04764" LEYEY="-0.04734" LEYEZ="0.69440" LPUPILD="0.00410" LPUPILV="1" REYEX="0.02284" REYEY="-0.04819" REYEZ="0.70996" RPUPILD="0.00410" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.04538" FPOGY="0.24858" FPOGS="332.40866" FPOGD="0.06027" FPOGID="1236" FPOGV="1" LPOGX="0.13270" LPOGY="0.24438" LPOGV="1" RPOGX="0.00825" RPOGY="0.20389" RPOGV="1" BPOGX="0.07048" BPOGY="0.22414" BPOGV="1" LPCX="0.31648" LPCY="0.71651" LPD="17.84604" LPS="1.13303" LPV="1" RPCX="0.58003" RPCY="0.71507" RPD="17.03682" RPS="1.14220" RPV="1" LEYEX="-0.04764" LEYEY="-0.04734" LEYEZ="0.69440" LPUPILD="0.00422" LPUPILV="1" REYEX="0.02284" REYEY="-0.04819" REYEZ="0.70996" RPUPILD="0.00402" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.04389" FPOGY="0.24588" FPOGS="332.40866" FPOGD="0.06680" FPOGID="1236" FPOGV="1" LPOGX="0.09843" LPOGY="0.19000" LPOGV="1" RPOGX="-0.04052" RPOGY="0.24774" RPOGV="1" BPOGX="0.02896" BPOGY="0.21887" BPOGV="1" LPCX="0.31749" LPCY="0.71575" LPD="16.92487" LPS="1.14220" LPV="1" RPCX="0.58105" RPCY="0.71518" RPD="16.43055" RPS="1.15137" RPV="1" LEYEX="-0.04764" LEYEY="-0.04734" LEYEZ="0.69440" LPUPILD="0.00412" LPUPILV="1" REYEX="0.02284" REYEY="-0.04819" REYEZ="0.70996" RPUPILD="0.00409" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.04307" FPOGY="0.24439" FPOGS="332.40866" FPOGD="0.07349" FPOGID="1236" FPOGV="1" LPOGX="0.10215" LPOGY="0.19520" LPOGV="1" RPOGX="-0.03394" RPOGY="0.26071" RPOGV="1" BPOGX="0.03410" BPOGY="0.22795" BPOGV="1" LPCX="0.31806" LPCY="0.71641" LPD="18.36478" LPS="1.13450" LPV="1" RPCX="0.58156" RPCY="0.71540" RPD="16.88991" RPS="1.13450" RPV="1" LEYEX="-0.04447" LEYEY="-0.04513" LEYEZ="0.66120" LPUPILD="0.00413" LPUPILV="1" REYEX="0.02279" REYEY="-0.04652" REYEZ="0.68162" RPUPILD="0.00404" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.04516" FPOGY="0.23774" FPOGS="332.40866" FPOGD="0.08038" FPOGID="1236" FPOGV="1" LPOGX="0.15870" LPOGY="0.10589" LPOGV="1" RPOGX="-0.01832" RPOGY="0.21003" RPOGV="1" BPOGX="0.07019" BPOGY="0.15796" BPOGV="1" LPCX="0.32034" LPCY="0.71548" LPD="17.62385" LPS="1.11764" LPV="1" RPCX="0.58326" RPCY="0.71585" RPD="16.69322" RPS="1.10847" RPV="1" LEYEX="-0.04447" LEYEY="-0.04513" LEYEZ="0.66120" LPUPILD="0.00431" LPUPILV="1" REYEX="0.02279" REYEY="-0.04652" REYEZ="0.68162" RPUPILD="0.00417" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.04662" FPOGY="0.23282" FPOGS="332.40866" FPOGD="0.08658" FPOGID="1236" FPOGV="1" LPOGX="0.14438" LPOGY="0.09799" LPOGV="1" RPOGX="-0.01301" RPOGY="0.23983" RPOGV="1" BPOGX="0.06568" BPOGY="0.16891" BPOGV="1" LPCX="0.32110" LPCY="0.71508" LPD="17.64434" LPS="1.09161" LPV="1" RPCX="0.58420" RPCY="0.71608" RPD="16.45182" RPS="1.08245" RPV="1" LEYEX="-0.04447" LEYEY="-0.04513" LEYEZ="0.66120" LPUPILD="0.00430" LPUPILV="1" REYEX="0.02279" REYEY="-0.04652" REYEZ="0.68162" RPUPILD="0.00419" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.04829" FPOGY="0.22929" FPOGS="332.40866" FPOGD="0.09360" FPOGID="1236" FPOGV="1" LPOGX="0.15277" LPOGY="0.11227" LPOGV="1" RPOGX="-0.00952" RPOGY="0.24721" RPOGV="1" BPOGX="0.07163" BPOGY="0.17974" BPOGV="1" LPCX="0.32182" LPCY="0.71549" LPD="18.47117" LPS="1.07349" LPV="1" RPCX="0.58447" RPCY="0.71624" RPD="16.97597" RPS="1.07349" RPV="1" LEYEX="-0.04495" LEYEY="-0.04645" LEYEZ="0.68127" LPUPILD="0.00423" LPUPILV="1" REYEX="0.02450" REYEY="-0.04848" REYEZ="0.70878" RPUPILD="0.00411" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.05645" FPOGY="0.29271" FPOGS="332.40866" FPOGD="0.10056" FPOGID="1236" FPOGV="1" LPOGX="0.33920" LPOGY="2.26896" LPOGV="1" RPOGX="0.01846" RPOGY="0.21908" RPOGV="1" BPOGX="0.17883" BPOGY="1.24402" BPOGV="1" LPCX="0.32331" LPCY="0.71512" LPD="17.62419" LPS="1.08139" LPV="1" RPCX="0.58625" RPCY="0.71677" RPD="16.96381" RPS="1.09056" RPV="1" LEYEX="-0.04495" LEYEY="-0.04645" LEYEZ="0.68127" LPUPILD="0.00422" LPUPILV="1" REYEX="0.02450" REYEY="-0.04848" REYEZ="0.70878" RPUPILD="0.00397" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.05735" FPOGY="0.28700" FPOGS="332.40866" FPOGD="0.10641" FPOGID="1236" FPOGV="1" LPOGX="0.11921" LPOGY="0.13616" LPOGV="1" RPOGX="0.02443" RPOGY="0.25522" RPOGV="1" BPOGX="0.07182" BPOGY="0.19569" BPOGV="1" LPCX="0.32406" LPCY="0.71536" LPD="17.14898" LPS="1.09846" LPV="1" RPCX="0.58706" RPCY="0.71710" RPD="16.47188" RPS="1.10763" RPV="1" LEYEX="-0.04495" LEYEY="-0.04645" LEYEZ="0.68127" LPUPILD="0.00414" LPUPILV="1" REYEX="0.02450" REYEY="-0.04848" REYEZ="0.70878" RPUPILD="0.00401" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.05776" FPOGY="0.28120" FPOGS="332.40866" FPOGD="0.11383" FPOGID="1236" FPOGV="1" LPOGX="0.11098" LPOGY="0.12344" LPOGV="1" RPOGX="0.01846" RPOGY="0.24176" RPOGV="1" BPOGX="0.06472" BPOGY="0.18260" BPOGV="1" LPCX="0.32475" LPCY="0.71550" LPD="16.98865" LPS="1.11553" LPV="1" RPCX="0.58737" RPCY="0.71712" RPD="16.27310" RPS="1.12470" RPV="1" LEYEX="-0.04487" LEYEY="-0.04716" LEYEZ="0.69106" LPUPILD="0.00432" LPUPILV="1" REYEX="0.02463" REYEY="-0.04751" REYEZ="0.69155" RPUPILD="0.00406" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
