2025-07-01 13:32:38.248381
.66308" RPUPILD="0.00409" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.14118" FPOGY="0.46715" FPOGS="81.14101" FPOGD="0.06010" FPOGID="216" FPOGV="1" LPOGX="0.20652" LPOGY="0.45604" LPOGV="1" RPOGX="0.09592" RPOGY="0.39391" RPOGV="1" BPOGX="0.15122" BPOGY="0.42497" BPOGV="1" LPCX="0.53122" LPCY="0.84788" LPD="19.07684" LPS="1.06387" LPV="1" RPCX="0.79882" RPCY="0.89057" RPD="20.51587" RPS="1.06387" RPV="1" LEYEX="0.00929" LEYEY="-0.07047" LEYEZ="0.65202" LPUPILD="0.00417" LPUPILV="1" REYEX="0.07716" REYEY="-0.08056" REYEZ="0.66308" RPUPILD="0.00413" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.12129" FPOGY="0.43737" FPOGS="81.85233" FPOGD="0.26026" FPOGID="217" FPOGV="1" LPOGX="0.20805" LPOGY="0.41578" LPOGV="1" RPOGX="0.04394" RPOGY="0.41113" RPOGV="1" BPOGX="0.12599" BPOGY="0.41346" BPOGV="1" LPCX="0.50971" LPCY="0.85518" LPD="19.98874" LPS="1.09675" LPV="1" RPCX="0.77522" RPCY="0.89422" RPD="19.48104" RPS="1.10591" RPV="1" LEYEX="0.00411" LEYEY="-0.07558" LEYEZ="0.68507" LPUPILD="0.00409" LPUPILV="1" REYEX="0.07642" REYEY="-0.08692" REYEZ="0.71016" RPUPILD="0.00393" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.12110" FPOGY="0.43738" FPOGS="81.85233" FPOGD="0.26672" FPOGID="217" FPOGV="1" LPOGX="0.20165" LPOGY="0.47885" LPOGV="1" RPOGX="0.02485" RPOGY="0.39632" RPOGV="1" BPOGX="0.11325" BPOGY="0.43758" BPOGV="1" LPCX="0.50929" LPCY="0.85569" LPD="19.70343" LPS="1.10591" LPV="1" RPCX="0.77472" RPCY="0.89439" RPD="19.45478" RPS="1.11508" RPV="1" LEYEX="0.00411" LEYEY="-0.07558" LEYEZ="0.68507" LPUPILD="0.00411" LPUPILV="1" REYEX="0.07642" REYEY="-0.08692" REYEZ="0.71016" RPUPILD="0.00396" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.12086" FPOGY="0.43733" FPOGS="81.85233" FPOGD="0.27293" FPOGID="217" FPOGV="1" LPOGX="0.19781" LPOGY="0.47438" LPOGV="1" RPOGX="0.02485" RPOGY="0.39632" RPOGV="1" BPOGX="0.11133" BPOGY="0.43535" BPOGV="1" LPCX="0.50886" LPCY="0.85595" LPD="19.73831" LPS="1.11508" LPV="1" RPCX="0.77427" RPCY="0.89454" RPD="19.89556" RPS="1.11508" RPV="1" LEYEX="0.00362" LEYEY="-0.07438" LEYEZ="0.67143" LPUPILD="0.00414" LPUPILV="1" REYEX="0.07274" REYEY="-0.08359" REYEZ="0.68125" RPUPILD="0.00391" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.12070" FPOGY="0.43660" FPOGS="81.85233" FPOGD="0.28045" FPOGID="217" FPOGV="1" LPOGX="0.21101" LPOGY="0.47026" LPOGV="1" RPOGX="0.01677" RPOGY="0.34121" RPOGV="1" BPOGX="0.11389" BPOGY="0.40574" BPOGV="1" LPCX="0.50813" LPCY="0.85668" LPD="19.57423" LPS="1.11508" LPV="1" RPCX="0.77315" RPCY="0.89513" RPD="19.26767" RPS="1.10591" RPV="1" LEYEX="0.00362" LEYEY="-0.07438" LEYEZ="0.67143" LPUPILD="0.00411" LPUPILV="1" REYEX="0.07274" REYEY="-0.08359" REYEZ="0.68125" RPUPILD="0.00392" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.12081" FPOGY="0.43633" FPOGS="81.85233" FPOGD="0.28678" FPOGID="217" FPOGV="1" LPOGX="0.21392" LPOGY="0.42599" LPOGV="1" RPOGX="0.03728" RPOGY="0.42417" RPOGV="1" BPOGX="0.12560" BPOGY="0.42508" BPOGV="1" LPCX="0.50754" LPCY="0.85719" LPD="19.82268" LPS="1.10591" LPV="1" RPCX="0.77236" RPCY="0.89565" RPD="19.88648" RPS="1.09675" RPV="1" LEYEX="0.00362" LEYEY="-0.07438" LEYEZ="0.67143" LPUPILD="0.00416" LPUPILV="1" REYEX="0.07274" REYEY="-0.08359" REYEZ="0.68125" RPUPILD="0.00391" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.12100" FPOGY="0.43620" FPOGS="81.85233" FPOGD="0.29301" FPOGID="217" FPOGV="1" LPOGX="0.21766" LPOGY="0.43086" LPOGV="1" RPOGX="0.04046" RPOGY="0.42998" RPOGV="1" BPOGX="0.12906" BPOGY="0.43042" BPOGV="1" LPCX="0.50714" LPCY="0.85723" LPD="19.68059" LPS="1.09675" LPV="1" RPCX="0.77218" RPCY="0.89545" RPD="18.94850" RPS="1.08758" RPV="1" LEYEX="0.00313" LEYEY="-0.07491" LEYEZ="0.67263" LPUPILD="0.00415" LPUPILV="1" REYEX="0.07195" REYEY="-0.08374" REYEZ="0.67957" RPUPILD="0.00391" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.12101" FPOGY="0.43622" FPOGS="81.85233" FPOGD="0.30045" FPOGID="217" FPOGV="1" LPOGX="0.20285" LPOGY="0.42926" LPOGV="1" RPOGX="0.04061" RPOGY="0.44506" RPOGV="1" BPOGX="0.12173" BPOGY="0.43716" BPOGV="1" LPCX="0.50618" LPCY="0.85858" LPD="19.98534" LPS="1.08758" LPV="1" RPCX="0.77080" RPCY="0.89686" RPD="19.67522" RPS="1.08758" RPV="1" LEYEX="0.00313" LEYEY="-0.07491" LEYEZ="0.67263" LPUPILD="0.00409" LPUPILV="1" REYEX="0.07195" REYEY="-0.08374" REYEZ="0.67957" RPUPILD="0.00384" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.12080" FPOGY="0.43597" FPOGS="81.85233" FPOGD="0.30807" FPOGID="217" FPOGV="1" LPOGX="0.19155" LPOGY="0.44922" LPOGV="1" RPOGX="0.03092" RPOGY="0.39973" RPOGV="1" BPOGX="0.11124" BPOGY="0.42447" BPOGV="1" LPCX="0.50572" LPCY="0.85949" LPD="19.60203" LPS="1.08758" LPV="1" RPCX="0.77022" RPCY="0.89728" RPD="19.38128" RPS="1.08758" RPV="1" LEYEX="0.00313" LEYEY="-0.07491" LEYEZ="0.67263" LPUPILD="0.00410" LPUPILV="1" REYEX="0.07195" REYEY="-0.08374" REYEZ="0.67957" RPUPILD="0.00392" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
