2025-07-01 13:39:04.251792
6653" LEYEZ="0.64141" LPUPILD="0.00363" LPUPILV="1" REYEX="0.04315" REYEY="-0.07087" REYEZ="0.65620" RPUPILD="0.00323" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.38632" FPOGY="0.41420" FPOGS="467.08038" FPOGD="0.12662" FPOGID="1432" FPOGV="1" LPOGX="0.47656" LPOGY="0.38993" LPOGV="1" RPOGX="0.30726" RPOGY="0.43568" RPOGV="1" BPOGX="0.39191" BPOGY="0.41280" BPOGV="1" LPCX="0.38414" LPCY="0.83146" LPD="18.66961" LPS="0.98129" LPV="1" RPCX="0.66973" RPCY="0.84604" RPD="18.18746" RPS="0.98848" RPV="1" LEYEX="-0.02789" LEYEY="-0.06653" LEYEZ="0.64141" LPUPILD="0.00361" LPUPILV="1" REYEX="0.04315" REYEY="-0.07087" REYEZ="0.65620" RPUPILD="0.00316" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.50055" FPOGY="0.38485" FPOGS="468.04620" FPOGD="0.06567" FPOGID="1435" FPOGV="1" LPOGX="0.56644" LPOGY="0.32721" LPOGV="1" RPOGX="0.41536" RPOGY="0.40328" RPOGV="1" BPOGX="0.49090" BPOGY="0.36525" BPOGV="1" LPCX="0.31085" LPCY="0.79843" LPD="19.25749" LPS="0.96843" LPV="1" RPCX="0.60165" RPCY="0.80701" RPD="18.18052" RPS="0.95481" RPV="1" LEYEX="-0.04577" LEYEY="-0.06009" LEYEZ="0.63991" LPUPILD="0.00355" LPUPILV="1" REYEX="0.02455" REYEY="-0.05961" REYEZ="0.61901" RPUPILD="0.00329" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.49981" FPOGY="0.38364" FPOGS="468.04620" FPOGD="0.07285" FPOGID="1435" FPOGV="1" LPOGX="0.56799" LPOGY="0.33748" LPOGV="1" RPOGX="0.41536" RPOGY="0.40328" RPOGV="1" BPOGX="0.49167" BPOGY="0.37038" BPOGV="1" LPCX="0.31014" LPCY="0.79792" LPD="19.04771" LPS="0.95481" LPV="1" RPCX="0.60093" RPCY="0.80634" RPD="17.72486" RPS="0.95481" RPV="1" LEYEX="-0.04619" LEYEY="-0.05926" LEYEZ="0.63514" LPUPILD="0.00362" LPUPILV="1" REYEX="0.02559" REYEY="-0.06331" REYEZ="0.66263" RPUPILD="0.00347" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.49964" FPOGY="0.38324" FPOGS="468.04620" FPOGD="0.07950" FPOGID="1435" FPOGV="1" LPOGX="0.59827" LPOGY="0.34510" LPOGV="1" RPOGX="0.39703" RPOGY="0.41186" RPOGV="1" BPOGX="0.49765" BPOGY="0.37848" BPOGV="1" LPCX="0.30887" LPCY="0.79695" LPD="19.86566" LPS="0.95481" LPV="1" RPCX="0.59946" RPCY="0.80461" RPD="17.79104" RPS="0.96843" RPV="1" LEYEX="-0.04619" LEYEY="-0.05926" LEYEZ="0.63514" LPUPILD="0.00359" LPUPILV="1" REYEX="0.02559" REYEY="-0.06331" REYEZ="0.66263" RPUPILD="0.00342" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.49905" FPOGY="0.38442" FPOGS="468.04620" FPOGD="0.08563" FPOGID="1435" FPOGV="1" LPOGX="0.58468" LPOGY="0.37692" LPOGV="1" RPOGX="0.39814" RPOGY="0.42259" RPOGV="1" BPOGX="0.49141" BPOGY="0.39975" BPOGV="1" LPCX="0.30777" LPCY="0.79627" LPD="19.49662" LPS="0.96843" LPV="1" RPCX="0.59877" RPCY="0.80404" RPD="17.96788" RPS="0.98205" RPV="1" LEYEX="-0.04619" LEYEY="-0.05926" LEYEZ="0.63514" LPUPILD="0.00358" LPUPILV="1" REYEX="0.02559" REYEY="-0.06331" REYEZ="0.66263" RPUPILD="0.00330" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.49849" FPOGY="0.38498" FPOGS="468.04620" FPOGD="0.09256" FPOGID="1435" FPOGV="1" LPOGX="0.58337" LPOGY="0.36730" LPOGV="1" RPOGX="0.39790" RPOGY="0.41818" RPOGV="1" BPOGX="0.49063" BPOGY="0.39274" BPOGV="1" LPCX="0.30733" LPCY="0.79599" LPD="19.03497" LPS="0.98205" LPV="1" RPCX="0.59804" RPCY="0.80336" RPD="17.24044" RPS="0.98848" RPV="1" LEYEX="-0.04780" LEYEY="-0.05994" LEYEZ="0.64658" LPUPILD="0.00376" LPUPILV="1" REYEX="0.02425" REYEY="-0.06099" REYEZ="0.64435" RPUPILD="0.00355" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.49795" FPOGY="0.38493" FPOGS="468.04620" FPOGD="0.09906" FPOGID="1435" FPOGV="1" LPOGX="0.58256" LPOGY="0.32347" LPOGV="1" RPOGX="0.39705" RPOGY="0.44486" RPOGV="1" BPOGX="0.48980" BPOGY="0.38416" BPOGV="1" LPCX="0.30586" LPCY="0.79515" LPD="20.07993" LPS="0.98848" LPV="1" RPCX="0.59721" RPCY="0.80240" RPD="18.00935" RPS="0.98129" RPV="1" LEYEX="-0.04780" LEYEY="-0.05994" LEYEZ="0.64658" LPUPILD="0.00360" LPUPILV="1" REYEX="0.02425" REYEY="-0.06099" REYEZ="0.64435" RPUPILD="0.00351" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.49745" FPOGY="0.38488" FPOGS="468.04620" FPOGD="0.10544" FPOGID="1435" FPOGV="1" LPOGX="0.58838" LPOGY="0.31094" LPOGV="1" RPOGX="0.39051" RPOGY="0.45727" RPOGV="1" BPOGX="0.48944" BPOGY="0.38410" BPOGV="1" LPCX="0.30493" LPCY="0.79436" LPD="19.48120" LPS="0.98129" LPV="1" RPCX="0.59633" RPCY="0.80149" RPD="17.90985" RPS="0.97411" RPV="1" LEYEX="-0.04780" LEYEY="-0.05994" LEYEZ="0.64658" LPUPILD="0.00360" LPUPILV="1" REYEX="0.02425" REYEY="-0.06099" REYEZ="0.64435" RPUPILD="0.00339" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.49705" FPOGY="0.38537" FPOGS="468.04620" FPOGD="0.11249" FPOGID="1435" FPOGV="1" LPOGX="0.58960" LPOGY="0.32123" LPOGV="1" RPOGX="0.39112" RPOGY="0.46610" RPOGV="1" BPOGX="0.49036" BPOGY="0.39367" BPOGV="1" LPCX="0.30426" LPCY="0.79406" LPD="19.22348" LPS="0.96782" LPV="1" RPCX="0.59550" RPCY="0.80086" RPD="16.92155" RPS="0.96063" RPV="1" LEYEX="0.00000" LEYEY="0.00000" LEYEZ="0.00000" LPUPILD="0.00363" LPUPILV="0" REYEX="0.02318" REYEY="-0.05921" REYEZ="0.63105" RPUPILD="0.00354" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
