2025-05-27 12:29:41.665931
EYEZ="0.53285" RPUPILD="0.00446" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="1.08292" FPOGY="0.25994" FPOGS="570.45355" FPOGD="0.10785" FPOGID="1452" FPOGV="1" LPOGX="1.07215" LPOGY="0.30119" LPOGV="1" RPOGX="1.04082" RPOGY="0.23149" RPOGV="1" BPOGX="1.05649" BPOGY="0.26634" BPOGV="1" LPCX="0.38003" LPCY="0.77964" LPD="18.96897" LPS="0.81067" LPV="1" RPCX="0.63606" RPCY="0.81259" RPD="19.10007" RPS="0.78867" RPV="1" LEYEX="-0.02877" LEYEY="-0.05274" LEYEZ="0.59689" LPUPILD="0.00403" LPUPILV="1" REYEX="0.02568" REYEY="-0.05263" REYEZ="0.53285" RPUPILD="0.00449" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.84319" FPOGY="0.17927" FPOGS="571.38556" FPOGD="0.08691" FPOGID="1457" FPOGV="1" LPOGX="0.84952" LPOGY="0.27473" LPOGV="1" RPOGX="0.84487" RPOGY="0.08323" RPOGV="1" BPOGX="0.84719" BPOGY="0.17898" BPOGV="1" LPCX="0.36820" LPCY="0.78007" LPD="18.48035" LPS="0.85431" LPV="1" RPCX="0.62364" RPCY="0.81162" RPD="21.90366" RPS="0.85431" RPV="1" LEYEX="-0.03107" LEYEY="-0.05356" LEYEZ="0.60418" LPUPILD="0.00372" LPUPILV="1" REYEX="0.02758" REYEY="-0.05983" REYEZ="0.60708" RPUPILD="0.00430" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.84276" FPOGY="0.17823" FPOGS="571.38556" FPOGD="0.09344" FPOGID="1457" FPOGV="1" LPOGX="0.83525" LPOGY="0.24670" LPOGV="1" RPOGX="0.83816" RPOGY="0.08066" RPOGV="1" BPOGX="0.83671" BPOGY="0.16368" BPOGV="1" LPCX="0.36804" LPCY="0.78010" LPD="18.46812" LPS="0.85431" LPV="1" RPCX="0.62353" RPCY="0.81125" RPD="21.41444" RPS="0.85955" RPV="1" LEYEX="-0.03107" LEYEY="-0.05356" LEYEZ="0.60418" LPUPILD="0.00380" LPUPILV="1" REYEX="0.02758" REYEY="-0.05983" REYEZ="0.60708" RPUPILD="0.00435" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.84247" FPOGY="0.17708" FPOGS="571.38556" FPOGD="0.10010" FPOGID="1457" FPOGV="1" LPOGX="0.83593" LPOGY="0.25379" LPOGV="1" RPOGX="0.84025" RPOGY="0.06583" RPOGV="1" BPOGX="0.83809" BPOGY="0.15981" BPOGV="1" LPCX="0.36808" LPCY="0.78022" LPD="18.56090" LPS="0.85955" LPV="1" RPCX="0.62353" RPCY="0.81126" RPD="21.59102" RPS="0.86479" RPV="1" LEYEX="-0.03107" LEYEY="-0.05356" LEYEZ="0.60418" LPUPILD="0.00377" LPUPILV="1" REYEX="0.02758" REYEY="-0.05983" REYEZ="0.60708" RPUPILD="0.00431" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.84221" FPOGY="0.17606" FPOGS="571.38556" FPOGD="0.10675" FPOGID="1457" FPOGV="1" LPOGX="0.83595" LPOGY="0.25367" LPOGV="1" RPOGX="0.84030" RPOGY="0.06570" RPOGV="1" BPOGX="0.83812" BPOGY="0.15969" BPOGV="1" LPCX="0.36803" LPCY="0.78029" LPD="18.63940" LPS="0.85967" LPV="1" RPCX="0.62345" RPCY="0.81137" RPD="21.72110" RPS="0.86491" RPV="1" LEYEX="-0.03046" LEYEY="-0.05228" LEYEZ="0.58971" LPUPILD="0.00375" LPUPILV="1" REYEX="0.02720" REYEY="-0.05916" REYEZ="0.60071" RPUPILD="0.00428" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.84181" FPOGY="0.17710" FPOGS="571.38556" FPOGD="0.11328" FPOGID="1457" FPOGV="1" LPOGX="0.84791" LPOGY="0.25937" LPOGV="1" RPOGX="0.82199" RPOGY="0.13037" RPOGV="1" BPOGX="0.83495" BPOGY="0.19487" BPOGV="1" LPCX="0.36790" LPCY="0.78022" LPD="18.80201" LPS="0.85979" LPV="1" RPCX="0.62334" RPCY="0.81146" RPD="21.85874" RPS="0.85979" RPV="1" LEYEX="-0.03046" LEYEY="-0.05228" LEYEZ="0.58971" LPUPILD="0.00377" LPUPILV="1" REYEX="0.02720" REYEY="-0.05916" REYEZ="0.60071" RPUPILD="0.00426" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.84194" FPOGY="0.17841" FPOGS="571.38556" FPOGD="0.12024" FPOGID="1457" FPOGV="1" LPOGX="0.87296" LPOGY="0.26809" LPOGV="1" RPOGX="0.81557" RPOGY="0.13591" RPOGV="1" BPOGX="0.84427" BPOGY="0.20200" BPOGV="1" LPCX="0.36785" LPCY="0.78023" LPD="19.00396" LPS="0.85467" LPV="1" RPCX="0.62334" RPCY="0.81148" RPD="21.67322" RPS="0.85467" RPV="1" LEYEX="-0.03046" LEYEY="-0.05228" LEYEZ="0.58971" LPUPILD="0.00368" LPUPILV="1" REYEX="0.02720" REYEY="-0.05916" REYEZ="0.60071" RPUPILD="0.00425" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.84206" FPOGY="0.17959" FPOGS="571.38556" FPOGD="0.12640" FPOGID="1457" FPOGV="1" LPOGX="0.87296" LPOGY="0.26809" LPOGV="1" RPOGX="0.81557" RPOGY="0.13591" RPOGV="1" BPOGX="0.84427" BPOGY="0.20200" BPOGV="1" LPCX="0.36780" LPCY="0.78028" LPD="18.91603" LPS="0.85467" LPV="1" RPCX="0.62332" RPCY="0.81153" RPD="21.66038" RPS="0.85467" RPV="1" LEYEX="-0.03114" LEYEY="-0.05336" LEYEZ="0.60197" LPUPILD="0.00369" LPUPILV="1" REYEX="0.02720" REYEY="-0.05916" REYEZ="0.60071" RPUPILD="0.00428" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.84168" FPOGY="0.18032" FPOGS="571.38556" FPOGD="0.13336" FPOGID="1457" FPOGV="1" LPOGX="0.86507" LPOGY="0.27314" LPOGV="1" RPOGX="0.80334" RPOGY="0.11676" RPOGV="1" BPOGX="0.83421" BPOGY="0.19495" BPOGV="1" LPCX="0.36769" LPCY="0.78027" LPD="18.86861" LPS="0.85979" LPV="1" RPCX="0.62297" RPCY="0.81175" RPD="22.19558" RPS="0.85979" RPV="1" LEYEX="-0.03114" LEYEY="-0.05336" LEYEZ="0.60197" LPUPILD="0.00374" LPUPILV="1" REYEX="0.02720" REYEY="-0.05916" REYEZ="0.60071" RPUPILD="0.00443" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
