2025-05-27 12:33:51.778443
EYEZ="0.59651" RPUPILD="0.00339" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.36379" FPOGY="0.33846" FPOGS="820.63281" FPOGD="0.04028" FPOGID="2482" FPOGV="1" LPOGX="0.40175" LPOGY="0.40656" LPOGV="1" RPOGX="0.34841" RPOGY="0.29573" RPOGV="1" BPOGX="0.37508" BPOGY="0.35115" BPOGV="1" LPCX="0.28891" LPCY="0.82251" LPD="15.38693" LPS="0.84916" LPV="1" RPCX="0.54784" RPCY="0.84206" RPD="16.25422" RPS="0.84916" RPV="1" LEYEX="-0.04634" LEYEY="-0.05889" LEYEZ="0.58250" LPUPILD="0.00343" LPUPILV="1" REYEX="0.01152" REYEY="-0.06499" REYEZ="0.60508" RPUPILD="0.00337" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.75231" FPOGY="0.31415" FPOGS="821.48352" FPOGD="0.10065" FPOGID="2485" FPOGV="1" LPOGX="0.77213" LPOGY="0.35815" LPOGV="1" RPOGX="0.71382" RPOGY="0.29602" RPOGV="1" BPOGX="0.74298" BPOGY="0.32708" BPOGV="1" LPCX="0.29906" LPCY="0.82244" LPD="15.47323" LPS="0.88736" LPV="1" RPCX="0.55763" RPCY="0.84318" RPD="16.52200" RPS="0.88157" RPV="1" LEYEX="-0.04710" LEYEY="-0.06151" LEYEZ="0.60750" LPUPILD="0.00310" LPUPILV="1" REYEX="0.01282" REYEY="-0.06579" REYEZ="0.61085" RPUPILD="0.00355" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.75122" FPOGY="0.31656" FPOGS="821.48352" FPOGD="0.10730" FPOGID="2485" FPOGV="1" LPOGX="0.75818" LPOGY="0.38535" LPOGV="1" RPOGX="0.70944" RPOGY="0.32502" RPOGV="1" BPOGX="0.73381" BPOGY="0.35519" BPOGV="1" LPCX="0.29904" LPCY="0.82236" LPD="15.34468" LPS="0.88157" LPV="1" RPCX="0.55784" RPCY="0.84341" RPD="16.01727" RPS="0.87578" RPV="1" LEYEX="-0.04710" LEYEY="-0.06151" LEYEZ="0.60750" LPUPILD="0.00308" LPUPILV="1" REYEX="0.01282" REYEY="-0.06579" REYEZ="0.61085" RPUPILD="0.00354" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.75015" FPOGY="0.31910" FPOGS="821.48352" FPOGD="0.11371" FPOGID="2485" FPOGV="1" LPOGX="0.75769" LPOGY="0.38998" LPOGV="1" RPOGX="0.70618" RPOGY="0.33443" RPOGV="1" BPOGX="0.73194" BPOGY="0.36221" BPOGV="1" LPCX="0.29901" LPCY="0.82238" LPD="15.19300" LPS="0.87578" LPV="1" RPCX="0.55787" RPCY="0.84341" RPD="15.84437" RPS="0.86476" RPV="1" LEYEX="-0.04710" LEYEY="-0.06151" LEYEZ="0.60750" LPUPILD="0.00311" LPUPILV="1" REYEX="0.01231" REYEY="-0.06338" REYEZ="0.58853" RPUPILD="0.00350" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.74909" FPOGY="0.31926" FPOGS="821.48352" FPOGD="0.12018" FPOGID="2485" FPOGV="1" LPOGX="0.75546" LPOGY="0.39808" LPOGV="1" RPOGX="0.70465" RPOGY="0.24619" RPOGV="1" BPOGX="0.73005" BPOGY="0.32213" BPOGV="1" LPCX="0.29893" LPCY="0.82246" LPD="15.05359" LPS="0.86476" LPV="1" RPCX="0.55781" RPCY="0.84324" RPD="15.97428" RPS="0.85952" RPV="1" LEYEX="-0.04710" LEYEY="-0.06151" LEYEZ="0.60750" LPUPILD="0.00313" LPUPILV="1" REYEX="0.01231" REYEY="-0.06338" REYEZ="0.58853" RPUPILD="0.00349" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.74797" FPOGY="0.31943" FPOGS="821.48352" FPOGD="0.12726" FPOGID="2485" FPOGV="1" LPOGX="0.75404" LPOGY="0.40706" LPOGV="1" RPOGX="0.69938" RPOGY="0.23830" RPOGV="1" BPOGX="0.72671" BPOGY="0.32268" BPOGV="1" LPCX="0.29896" LPCY="0.82267" LPD="15.23101" LPS="0.85952" LPV="1" RPCX="0.55785" RPCY="0.84327" RPD="15.73520" RPS="0.85428" RPV="1" LEYEX="-0.04710" LEYEY="-0.06151" LEYEZ="0.60750" LPUPILD="0.00318" LPUPILV="1" REYEX="0.01231" REYEY="-0.06338" REYEZ="0.58853" RPUPILD="0.00350" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.74691" FPOGY="0.31980" FPOGS="821.48352" FPOGD="0.13434" FPOGID="2485" FPOGV="1" LPOGX="0.75362" LPOGY="0.41121" LPOGV="1" RPOGX="0.69786" RPOGY="0.24341" RPOGV="1" BPOGX="0.72574" BPOGY="0.32731" BPOGV="1" LPCX="0.29889" LPCY="0.82264" LPD="15.02819" LPS="0.85428" LPV="1" RPCX="0.55784" RPCY="0.84330" RPD="16.30064" RPS="0.84904" RPV="1" LEYEX="-0.04710" LEYEY="-0.06151" LEYEZ="0.60750" LPUPILD="0.00320" LPUPILV="1" REYEX="0.01236" REYEY="-0.06369" REYEZ="0.59097" RPUPILD="0.00348" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.74568" FPOGY="0.32042" FPOGS="821.48352" FPOGD="0.14154" FPOGID="2485" FPOGV="1" LPOGX="0.74623" LPOGY="0.42697" LPOGV="1" RPOGX="0.69340" RPOGY="0.23990" RPOGV="1" BPOGX="0.71982" BPOGY="0.33343" BPOGV="1" LPCX="0.29875" LPCY="0.82264" LPD="14.73514" LPS="0.84904" LPV="1" RPCX="0.55782" RPCY="0.84341" RPD="16.46959" RPS="0.84904" RPV="1" LEYEX="-0.04710" LEYEY="-0.06151" LEYEZ="0.60750" LPUPILD="0.00319" LPUPILV="1" REYEX="0.01236" REYEY="-0.06369" REYEZ="0.59097" RPUPILD="0.00348" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.74463" FPOGY="0.32233" FPOGS="821.48352" FPOGD="0.14789" FPOGID="2485" FPOGV="1" LPOGX="0.74628" LPOGY="0.43429" LPOGV="1" RPOGX="0.69662" RPOGY="0.29445" RPOGV="1" BPOGX="0.72145" BPOGY="0.36437" BPOGV="1" LPCX="0.29887" LPCY="0.82240" LPD="14.92176" LPS="0.84904" LPV="1" RPCX="0.55769" RPCY="0.84331" RPD="16.24967" RPS="0.84904" RPV="1" LEYEX="-0.04710" LEYEY="-0.06151" LEYEZ="0.60750" LPUPILD="0.00310" LPUPILV="1" REYEX="0.01236" REYEY="-0.06369" REYEZ="0.59097" RPUPILD="0.00352" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
