2025-06-11 10:15:44.571250
0.64382" RPUPILD="0.00734" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="30" />
<REC FPOGX="0.91221" FPOGY="0.62217" FPOGS="118.59564" FPOGD="0.09321" FPOGID="399" FPOGV="1" LPOGX="0.91250" LPOGY="0.52318" LPOGV="1" RPOGX="0.90674" RPOGY="0.65407" RPOGV="1" BPOGX="0.90962" BPOGY="0.58862" BPOGV="1" LPCX="0.34816" LPCY="0.43133" LPD="36.78387" LPS="0.96666" LPV="1" RPCX="0.61531" RPCY="0.44094" RPD="38.14412" RPS="0.96666" RPV="1" LEYEX="-0.03796" LEYEY="0.01246" LEYEZ="0.63917" LPUPILD="0.00718" LPUPILV="1" REYEX="0.02713" REYEY="0.01101" REYEZ="0.64382" RPUPILD="0.00733" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="30" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.66279" FPOGY="0.47553" FPOGS="119.36156" FPOGD="0.23183" FPOGID="402" FPOGV="1" LPOGX="0.63295" LPOGY="0.49519" LPOGV="1" RPOGX="0.68163" RPOGY="0.44691" RPOGV="1" BPOGX="0.65729" BPOGY="0.47105" BPOGV="1" LPCX="0.34081" LPCY="0.43159" LPD="39.13352" LPS="0.99542" LPV="1" RPCX="0.60826" RPCY="0.43928" RPD="39.25570" RPS="0.98823" RPV="1" LEYEX="-0.03918" LEYEY="0.01252" LEYEZ="0.64192" LPUPILD="0.00728" LPUPILV="1" REYEX="0.02568" REYEY="0.01085" REYEZ="0.63431" RPUPILD="0.00761" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="30" />
<REC FPOGX="0.66257" FPOGY="0.47550" FPOGS="119.36156" FPOGD="0.23837" FPOGID="402" FPOGV="1" LPOGX="0.63174" LPOGY="0.49607" LPOGV="1" RPOGX="0.67845" RPOGY="0.45276" RPOGV="1" BPOGX="0.65509" BPOGY="0.47441" BPOGV="1" LPCX="0.34087" LPCY="0.43165" LPD="38.87364" LPS="0.98823" LPV="1" RPCX="0.60829" RPCY="0.43929" RPD="39.23795" RPS="0.98104" RPV="1" LEYEX="-0.03918" LEYEY="0.01252" LEYEZ="0.64192" LPUPILD="0.00729" LPUPILV="1" REYEX="0.02568" REYEY="0.01085" REYEZ="0.63431" RPUPILD="0.00762" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="30" />
<REC FPOGX="0.66245" FPOGY="0.47559" FPOGS="119.36156" FPOGD="0.24547" FPOGID="402" FPOGV="1" LPOGX="0.63351" LPOGY="0.49747" LPOGV="1" RPOGX="0.68271" RPOGY="0.45992" RPOGV="1" BPOGX="0.65811" BPOGY="0.47870" BPOGV="1" LPCX="0.34088" LPCY="0.43165" LPD="38.86369" LPS="0.98104" LPV="1" RPCX="0.60827" RPCY="0.43934" RPD="39.36157" RPS="0.97385" RPV="1" LEYEX="-0.03918" LEYEY="0.01252" LEYEZ="0.64192" LPUPILD="0.00730" LPUPILV="1" REYEX="0.02568" REYEY="0.01085" REYEZ="0.63431" RPUPILD="0.00762" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="30" />
<REC FPOGX="0.66232" FPOGY="0.47578" FPOGS="119.36156" FPOGD="0.25149" FPOGID="402" FPOGV="1" LPOGX="0.63385" LPOGY="0.50167" LPOGV="1" RPOGX="0.68097" RPOGY="0.46448" RPOGV="1" BPOGX="0.65741" BPOGY="0.48308" BPOGV="1" LPCX="0.34088" LPCY="0.43165" LPD="38.87943" LPS="0.97385" LPV="1" RPCX="0.60827" RPCY="0.43934" RPD="39.36157" RPS="0.96666" RPV="1" LEYEX="-0.03918" LEYEY="0.01252" LEYEZ="0.64192" LPUPILD="0.00729" LPUPILV="1" REYEX="0.02568" REYEY="0.01085" REYEZ="0.63431" RPUPILD="0.00762" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="30" />
<REC FPOGX="0.66229" FPOGY="0.47597" FPOGS="119.36156" FPOGD="0.26058" FPOGID="402" FPOGV="1" LPOGX="0.63875" LPOGY="0.49125" LPOGV="1" RPOGX="0.68400" RPOGY="0.47450" RPOGV="1" BPOGX="0.66137" BPOGY="0.48287" BPOGV="1" LPCX="0.34089" LPCY="0.43170" LPD="38.94386" LPS="0.96666" LPV="1" RPCX="0.60834" RPCY="0.43942" RPD="39.45127" RPS="0.96666" RPV="1" LEYEX="-0.03918" LEYEY="0.01252" LEYEZ="0.64192" LPUPILD="0.00729" LPUPILV="1" REYEX="0.02568" REYEY="0.01085" REYEZ="0.63431" RPUPILD="0.00761" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="30" />
<REC FPOGX="0.66225" FPOGY="0.47621" FPOGS="119.36156" FPOGD="0.26624" FPOGID="402" FPOGV="1" LPOGX="0.63790" LPOGY="0.49059" LPOGV="1" RPOGX="0.68316" RPOGY="0.48106" RPOGV="1" BPOGX="0.66053" BPOGY="0.48582" BPOGV="1" LPCX="0.34089" LPCY="0.43170" LPD="38.77779" LPS="0.96666" LPV="1" RPCX="0.60834" RPCY="0.43942" RPD="39.45127" RPS="0.96666" RPV="1" LEYEX="-0.03918" LEYEY="0.01252" LEYEZ="0.64192" LPUPILD="0.00730" LPUPILV="1" REYEX="0.02568" REYEY="0.01085" REYEZ="0.63431" RPUPILD="0.00761" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="30" />
<REC FPOGX="0.66221" FPOGY="0.47645" FPOGS="119.36156" FPOGD="0.27282" FPOGID="402" FPOGV="1" LPOGX="0.63790" LPOGY="0.49059" LPOGV="1" RPOGX="0.68316" RPOGY="0.48106" RPOGV="1" BPOGX="0.66053" BPOGY="0.48582" BPOGV="1" LPCX="0.34089" LPCY="0.43171" LPD="38.74483" LPS="0.96666" LPV="1" RPCX="0.60834" RPCY="0.43943" RPD="39.42209" RPS="0.96666" RPV="1" LEYEX="-0.03918" LEYEY="0.01242" LEYEZ="0.64192" LPUPILD="0.00730" LPUPILV="1" REYEX="0.02568" REYEY="0.01085" REYEZ="0.63431" RPUPILD="0.00761" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="30" />
<REC FPOGX="0.66220" FPOGY="0.47679" FPOGS="119.36156" FPOGD="0.27859" FPOGID="402" FPOGV="1" LPOGX="0.63756" LPOGY="0.49819" LPOGV="1" RPOGX="0.68609" RPOGY="0.48335" RPOGV="1" BPOGX="0.66182" BPOGY="0.49077" BPOGV="1" LPCX="0.34087" LPCY="0.43172" LPD="38.72736" LPS="0.96666" LPV="1" RPCX="0.60834" RPCY="0.43945" RPD="39.49043" RPS="0.96666" RPV="1" LEYEX="-0.03918" LEYEY="0.01242" LEYEZ="0.64192" LPUPILD="0.00731" LPUPILV="1" REYEX="0.02568" REYEY="0.01085" REYEZ="0.63431" RPUPILD="0.00761" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="30" />
