2025-06-11 10:22:36.069597
EYEZ="0.68422" LPUPILD="0.00685" LPUPILV="1" REYEX="0.01531" REYEY="0.00010" REYEZ="0.69439" RPUPILD="0.00707" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="48" />
<REC FPOGX="0.36942" FPOGY="0.30679" FPOGS="530.06641" FPOGD="0.11682" FPOGID="1606" FPOGV="1" LPOGX="0.35129" LPOGY="0.23565" LPOGV="1" RPOGX="0.33705" RPOGY="0.23326" RPOGV="1" BPOGX="0.34417" BPOGY="0.23446" BPOGV="1" LPCX="0.29524" LPCY="0.49172" LPD="33.01189" LPS="1.08787" LPV="1" RPCX="0.55658" RPCY="0.49315" RPD="36.63489" RPS="1.07978" RPV="1" LEYEX="-0.05221" LEYEY="0.00041" LEYEZ="0.67602" LPUPILD="0.00686" LPUPILV="1" REYEX="0.01444" REYEY="0.00010" REYEZ="0.65279" RPUPILD="0.00707" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="48" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.50335" FPOGY="0.36534" FPOGS="530.84686" FPOGD="0.25409" FPOGID="1610" FPOGV="1" LPOGX="0.50155" LPOGY="0.32346" LPOGV="1" RPOGX="0.49334" RPOGY="0.34246" RPOGV="1" BPOGX="0.49745" BPOGY="0.33296" BPOGV="1" LPCX="0.29920" LPCY="0.49213" LPD="33.52173" LPS="1.04761" LPV="1" RPCX="0.56067" RPCY="0.49494" RPD="36.98976" RPS="1.04761" RPV="1" LEYEX="-0.05171" LEYEY="0.00036" LEYEZ="0.67742" LPUPILD="0.00675" LPUPILV="1" REYEX="0.01509" REYEY="-0.00010" REYEZ="0.65570" RPUPILD="0.00706" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="48" />
<REC FPOGX="0.50319" FPOGY="0.36439" FPOGS="530.84686" FPOGD="0.26117" FPOGID="1610" FPOGV="1" LPOGX="0.50026" LPOGY="0.31801" LPOGV="1" RPOGX="0.49375" RPOGY="0.33683" RPOGV="1" BPOGX="0.49700" BPOGY="0.32742" BPOGV="1" LPCX="0.29922" LPCY="0.49210" LPD="33.49661" LPS="1.05551" LPV="1" RPCX="0.56068" RPCY="0.49490" RPD="37.12858" RPS="1.05551" RPV="1" LEYEX="-0.05214" LEYEY="0.00041" LEYEZ="0.68303" LPUPILD="0.00676" LPUPILV="1" REYEX="0.01503" REYEY="-0.00005" REYEZ="0.65308" RPUPILD="0.00704" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="48" />
<REC FPOGX="0.50316" FPOGY="0.36400" FPOGS="530.84686" FPOGD="0.26776" FPOGID="1610" FPOGV="1" LPOGX="0.50888" LPOGY="0.30393" LPOGV="1" RPOGX="0.49500" RPOGY="0.39249" RPOGV="1" BPOGX="0.50194" BPOGY="0.34821" BPOGV="1" LPCX="0.29921" LPCY="0.49207" LPD="33.49612" LPS="1.05551" LPV="1" RPCX="0.56073" RPCY="0.49479" RPD="36.89284" RPS="1.05551" RPV="1" LEYEX="-0.05214" LEYEY="0.00041" LEYEZ="0.68303" LPUPILD="0.00675" LPUPILV="1" REYEX="0.01503" REYEY="-0.00005" REYEZ="0.65308" RPUPILD="0.00705" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="48" />
<REC FPOGX="0.50314" FPOGY="0.36360" FPOGS="530.84686" FPOGD="0.27460" FPOGID="1610" FPOGV="1" LPOGX="0.51033" LPOGY="0.30583" LPOGV="1" RPOGX="0.49453" RPOGY="0.38856" RPOGV="1" BPOGX="0.50243" BPOGY="0.34719" BPOGV="1" LPCX="0.29925" LPCY="0.49199" LPD="33.52450" LPS="1.05551" LPV="1" RPCX="0.56074" RPCY="0.49480" RPD="36.82792" RPS="1.05551" RPV="1" LEYEX="-0.05214" LEYEY="0.00041" LEYEZ="0.68303" LPUPILD="0.00671" LPUPILV="1" REYEX="0.01503" REYEY="-0.00005" REYEZ="0.65308" RPUPILD="0.00704" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="48" />
<REC FPOGX="0.50312" FPOGY="0.36327" FPOGS="530.84686" FPOGD="0.28107" FPOGID="1610" FPOGV="1" LPOGX="0.51033" LPOGY="0.30583" LPOGV="1" RPOGX="0.49415" RPOGY="0.39333" RPOGV="1" BPOGX="0.50224" BPOGY="0.34958" BPOGV="1" LPCX="0.29927" LPCY="0.49198" LPD="33.61483" LPS="1.05551" LPV="1" RPCX="0.56078" RPCY="0.49477" RPD="36.94405" RPS="1.04832" RPV="1" LEYEX="-0.05171" LEYEY="0.00046" LEYEZ="0.67742" LPUPILD="0.00669" LPUPILV="1" REYEX="0.01489" REYEY="-0.00005" REYEZ="0.64490" RPUPILD="0.00704" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="48" />
<REC FPOGX="0.50315" FPOGY="0.36297" FPOGS="530.84686" FPOGD="0.28839" FPOGID="1610" FPOGV="1" LPOGX="0.51386" LPOGY="0.30461" LPOGV="1" RPOGX="0.49458" RPOGY="0.39573" RPOGV="1" BPOGX="0.50422" BPOGY="0.35017" BPOGV="1" LPCX="0.29934" LPCY="0.49199" LPD="33.48009" LPS="1.04832" LPV="1" RPCX="0.56077" RPCY="0.49472" RPD="36.96424" RPS="1.04114" RPV="1" LEYEX="-0.05171" LEYEY="0.00046" LEYEZ="0.67742" LPUPILD="0.00670" LPUPILV="1" REYEX="0.01489" REYEY="-0.00005" REYEZ="0.64490" RPUPILD="0.00704" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="48" />
<REC FPOGX="0.50320" FPOGY="0.36340" FPOGS="530.84686" FPOGD="0.29492" FPOGID="1610" FPOGV="1" LPOGX="0.51559" LPOGY="0.36917" LPOGV="1" RPOGX="0.49568" RPOGY="0.39503" RPOGV="1" BPOGX="0.50563" BPOGY="0.38210" BPOGV="1" LPCX="0.29933" LPCY="0.49195" LPD="33.45807" LPS="1.04114" LPV="1" RPCX="0.56078" RPCY="0.49473" RPD="36.97602" RPS="1.03395" RPV="1" LEYEX="-0.05171" LEYEY="0.00046" LEYEZ="0.67742" LPUPILD="0.00668" LPUPILV="1" REYEX="0.01489" REYEY="-0.00005" REYEZ="0.64490" RPUPILD="0.00704" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="48" />
<REC FPOGX="0.50326" FPOGY="0.36391" FPOGS="530.84686" FPOGD="0.30115" FPOGID="1610" FPOGV="1" LPOGX="0.51669" LPOGY="0.37388" LPOGV="1" RPOGX="0.49529" RPOGY="0.39985" RPOGV="1" BPOGX="0.50599" BPOGY="0.38686" BPOGV="1" LPCX="0.29933" LPCY="0.49197" LPD="33.47756" LPS="1.03395" LPV="1" RPCX="0.56077" RPCY="0.49473" RPD="36.98898" RPS="1.02676" RPV="1" LEYEX="-0.05214" LEYEY="0.00051" LEYEZ="0.68303" LPUPILD="0.00669" LPUPILV="1" REYEX="0.01478" REYEY="-0.00000" REYEZ="0.64003" RPUPILD="0.00703" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="48" />
