2025-06-11 10:21:58.439880
EYEZ="0.68151" RPUPILD="0.00748" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="34" />
<REC FPOGX="0.89482" FPOGY="0.58713" FPOGS="492.51816" FPOGD="0.04047" FPOGID="1426" FPOGV="1" LPOGX="0.87058" LPOGY="0.53605" LPOGV="1" RPOGX="0.91562" RPOGY="0.60825" RPOGV="1" BPOGX="0.89310" BPOGY="0.57215" BPOGV="1" LPCX="0.31350" LPCY="0.51138" LPD="35.52143" LPS="1.03296" LPV="1" RPCX="0.57320" RPCY="0.52004" RPD="36.59504" RPS="1.04104" RPV="1" LEYEX="-0.04796" LEYEY="-0.00327" LEYEZ="0.66142" LPUPILD="0.00692" LPUPILV="1" REYEX="0.01768" REYEY="-0.00496" REYEZ="0.68151" RPUPILD="0.00746" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="34" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.57490" FPOGY="0.49855" FPOGS="493.30280" FPOGD="0.16644" FPOGID="1430" FPOGV="1" LPOGX="0.57266" LPOGY="0.49353" LPOGV="1" RPOGX="0.57355" RPOGY="0.52098" RPOGV="1" BPOGX="0.57310" BPOGY="0.50725" BPOGV="1" LPCX="0.30116" LPCY="0.51179" LPD="37.30122" LPS="1.02381" LPV="1" RPCX="0.56164" RPCY="0.51763" RPD="39.11908" RPS="1.02381" RPV="1" LEYEX="-0.05169" LEYEY="-0.00343" LEYEZ="0.68180" LPUPILD="0.00724" LPUPILV="1" REYEX="0.01503" REYEY="-0.00441" REYEZ="0.65307" RPUPILD="0.00753" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="35" />
<REC FPOGX="0.57491" FPOGY="0.49843" FPOGS="493.30280" FPOGD="0.17279" FPOGID="1430" FPOGV="1" LPOGX="0.57479" LPOGY="0.47344" LPOGV="1" RPOGX="0.57526" RPOGY="0.51771" RPOGV="1" BPOGX="0.57502" BPOGY="0.49557" BPOGV="1" LPCX="0.30116" LPCY="0.51173" LPD="37.26280" LPS="1.02381" LPV="1" RPCX="0.56166" RPCY="0.51765" RPD="39.16158" RPS="1.02381" RPV="1" LEYEX="-0.05169" LEYEY="-0.00343" LEYEZ="0.68180" LPUPILD="0.00727" LPUPILV="1" REYEX="0.01503" REYEY="-0.00441" REYEZ="0.65307" RPUPILD="0.00752" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="35" />
<REC FPOGX="0.57490" FPOGY="0.49868" FPOGS="493.30280" FPOGD="0.17987" FPOGID="1430" FPOGV="1" LPOGX="0.57709" LPOGY="0.48449" LPOGV="1" RPOGX="0.57229" RPOGY="0.52551" RPOGV="1" BPOGX="0.57469" BPOGY="0.50500" BPOGV="1" LPCX="0.30116" LPCY="0.51173" LPD="37.26280" LPS="1.02381" LPV="1" RPCX="0.56166" RPCY="0.51764" RPD="39.15784" RPS="1.02381" RPV="1" LEYEX="-0.05169" LEYEY="-0.00343" LEYEZ="0.68180" LPUPILD="0.00727" LPUPILV="1" REYEX="0.01503" REYEY="-0.00441" REYEZ="0.65307" RPUPILD="0.00752" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="35" />
<REC FPOGX="0.57489" FPOGY="0.49890" FPOGS="493.30280" FPOGD="0.18939" FPOGID="1430" FPOGV="1" LPOGX="0.57709" LPOGY="0.48449" LPOGV="1" RPOGX="0.57229" RPOGY="0.52551" RPOGV="1" BPOGX="0.57469" BPOGY="0.50500" BPOGV="1" LPCX="0.30116" LPCY="0.51173" LPD="37.26280" LPS="1.02381" LPV="1" RPCX="0.56167" RPCY="0.51766" RPD="39.19819" RPS="1.02381" RPV="1" LEYEX="-0.05169" LEYEY="-0.00337" LEYEZ="0.68180" LPUPILD="0.00727" LPUPILV="1" REYEX="0.01503" REYEY="-0.00441" REYEZ="0.65307" RPUPILD="0.00751" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="35" />
<REC FPOGX="0.57494" FPOGY="0.49903" FPOGS="493.30280" FPOGD="0.20099" FPOGID="1430" FPOGV="1" LPOGX="0.57914" LPOGY="0.47841" LPOGV="1" RPOGX="0.57311" RPOGY="0.52692" RPOGV="1" BPOGX="0.57612" BPOGY="0.50266" BPOGV="1" LPCX="0.30118" LPCY="0.51176" LPD="37.30663" LPS="1.02381" LPV="1" RPCX="0.56168" RPCY="0.51770" RPD="39.19958" RPS="1.02381" RPV="1" LEYEX="-0.05169" LEYEY="-0.00337" LEYEZ="0.68180" LPUPILD="0.00728" LPUPILV="1" REYEX="0.01503" REYEY="-0.00441" REYEZ="0.65307" RPUPILD="0.00751" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="35" />
<REC FPOGX="0.57511" FPOGY="0.49927" FPOGS="493.30280" FPOGD="0.21490" FPOGID="1430" FPOGV="1" LPOGX="0.58201" LPOGY="0.48055" LPOGV="1" RPOGX="0.57830" RPOGY="0.53172" RPOGV="1" BPOGX="0.58015" BPOGY="0.50614" BPOGV="1" LPCX="0.30118" LPCY="0.51176" LPD="37.30663" LPS="1.02381" LPV="1" RPCX="0.56171" RPCY="0.51770" RPD="39.19511" RPS="1.02381" RPV="1" LEYEX="-0.05169" LEYEY="-0.00337" LEYEZ="0.68180" LPUPILD="0.00728" LPUPILV="1" REYEX="0.01503" REYEY="-0.00441" REYEZ="0.65307" RPUPILD="0.00751" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="35" />
<REC FPOGX="0.57530" FPOGY="0.49930" FPOGS="493.30280" FPOGD="0.22324" FPOGID="1430" FPOGV="1" LPOGX="0.58178" LPOGY="0.47234" LPOGV="1" RPOGX="0.58017" RPOGY="0.52821" RPOGV="1" BPOGX="0.58097" BPOGY="0.50028" BPOGV="1" LPCX="0.30120" LPCY="0.51174" LPD="37.34901" LPS="1.02381" LPV="1" RPCX="0.56171" RPCY="0.51771" RPD="39.19979" RPS="1.02381" RPV="1" LEYEX="-0.05169" LEYEY="-0.00337" LEYEZ="0.68180" LPUPILD="0.00730" LPUPILV="1" REYEX="0.01503" REYEY="-0.00441" REYEZ="0.65307" RPUPILD="0.00751" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="35" />
<REC FPOGX="0.57548" FPOGY="0.49933" FPOGS="493.30280" FPOGD="0.22864" FPOGID="1430" FPOGV="1" LPOGX="0.58178" LPOGY="0.47234" LPOGV="1" RPOGX="0.58017" RPOGY="0.52821" RPOGV="1" BPOGX="0.58097" BPOGY="0.50028" BPOGV="1" LPCX="0.30121" LPCY="0.51175" LPD="37.38554" LPS="1.02381" LPV="1" RPCX="0.56172" RPCY="0.51770" RPD="39.25365" RPS="1.02381" RPV="1" LEYEX="-0.05169" LEYEY="-0.00343" LEYEZ="0.68180" LPUPILD="0.00729" LPUPILV="1" REYEX="0.01503" REYEY="-0.00441" REYEZ="0.65307" RPUPILD="0.00750" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="35" />
