2025-06-12 10:47:56.480849
EZ="0.65608" RPUPILD="0.00610" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="34" />
<REC FPOGX="0.57302" FPOGY="0.07822" FPOGS="2593.23535" FPOGD="0.35498" FPOGID="6242" FPOGV="1" LPOGX="0.56284" LPOGY="0.01850" LPOGV="1" RPOGX="0.56507" RPOGY="0.06452" RPOGV="1" BPOGX="0.56395" BPOGY="0.04151" BPOGV="1" LPCX="0.26628" LPCY="0.39425" LPD="27.21963" LPS="1.08755" LPV="1" RPCX="0.52122" RPCY="0.39008" RPD="30.09579" RPS="1.08755" RPV="1" LEYEX="-0.06180" LEYEY="0.02083" LEYEZ="0.69256" LPUPILD="0.00556" LPUPILV="1" REYEX="0.00517" REYEY="0.02072" REYEZ="0.65608" RPUPILD="0.00609" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="34" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="2594.18677" FPOGD="0.14746" FPOGID="6245" FPOGV="0" LPOGX="0.47193" LPOGY="1.24890" LPOGV="0" RPOGX="0.46726" RPOGY="0.69397" RPOGV="0" BPOGX="0.47193" BPOGY="1.24890" BPOGV="0" LPCX="0.28976" LPCY="0.45028" LPD="11.13404" LPS="1.05593" LPV="0" RPCX="0.53466" RPCY="0.43824" RPD="24.46614" RPS="1.05593" RPV="0" LEYEX="-0.05336" LEYEY="0.01061" LEYEZ="0.66081" LPUPILD="0.00403" LPUPILV="1" REYEX="0.00938" REYEY="0.01206" REYEZ="0.68746" RPUPILD="0.00653" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="34" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="2594.18677" FPOGD="0.14746" FPOGID="6245" FPOGV="0" LPOGX="0.47193" LPOGY="1.24890" LPOGV="0" RPOGX="0.46726" RPOGY="0.69397" RPOGV="0" BPOGX="0.47193" BPOGY="1.24890" BPOGV="0" LPCX="0.28976" LPCY="0.45028" LPD="11.13404" LPS="1.05593" LPV="0" RPCX="0.53466" RPCY="0.43824" RPD="24.46614" RPS="1.05593" RPV="0" LEYEX="-0.05336" LEYEY="0.01061" LEYEZ="0.66081" LPUPILD="0.00403" LPUPILV="1" REYEX="0.00938" REYEY="0.01206" REYEZ="0.68746" RPUPILD="0.00653" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="34" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="2594.18677" FPOGD="0.14746" FPOGID="6245" FPOGV="0" LPOGX="0.47193" LPOGY="1.24890" LPOGV="0" RPOGX="0.46726" RPOGY="0.69397" RPOGV="0" BPOGX="0.47193" BPOGY="1.24890" BPOGV="0" LPCX="0.28976" LPCY="0.45028" LPD="11.13404" LPS="1.05593" LPV="0" RPCX="0.53466" RPCY="0.43824" RPD="24.46614" RPS="1.05593" RPV="0" LEYEX="-0.05336" LEYEY="0.01061" LEYEZ="0.66081" LPUPILD="0.00403" LPUPILV="1" REYEX="0.00938" REYEY="0.01206" REYEZ="0.68746" RPUPILD="0.00653" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="34" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="2594.18677" FPOGD="0.14746" FPOGID="6245" FPOGV="0" LPOGX="0.47193" LPOGY="1.24890" LPOGV="0" RPOGX="0.46726" RPOGY="0.69397" RPOGV="0" BPOGX="0.47193" BPOGY="1.24890" BPOGV="0" LPCX="0.28976" LPCY="0.45028" LPD="11.13404" LPS="1.05593" LPV="0" RPCX="0.53466" RPCY="0.43824" RPD="24.46614" RPS="1.05593" RPV="0" LEYEX="-0.05336" LEYEY="0.01061" LEYEZ="0.66081" LPUPILD="0.00403" LPUPILV="1" REYEX="0.00938" REYEY="0.01206" REYEZ="0.68746" RPUPILD="0.00653" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="34" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="2594.18677" FPOGD="0.14746" FPOGID="6245" FPOGV="0" LPOGX="0.47193" LPOGY="1.24890" LPOGV="0" RPOGX="0.46726" RPOGY="0.69397" RPOGV="0" BPOGX="0.47193" BPOGY="1.24890" BPOGV="0" LPCX="0.28976" LPCY="0.45028" LPD="11.13404" LPS="1.05593" LPV="0" RPCX="0.53466" RPCY="0.43824" RPD="24.46614" RPS="1.05593" RPV="0" LEYEX="-0.05336" LEYEY="0.01061" LEYEZ="0.66081" LPUPILD="0.00403" LPUPILV="1" REYEX="0.00938" REYEY="0.01206" REYEZ="0.68746" RPUPILD="0.00653" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="34" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="2594.18677" FPOGD="0.14746" FPOGID="6245" FPOGV="0" LPOGX="0.47193" LPOGY="1.24890" LPOGV="0" RPOGX="0.46726" RPOGY="0.69397" RPOGV="0" BPOGX="0.47193" BPOGY="1.24890" BPOGV="0" LPCX="0.28976" LPCY="0.45028" LPD="11.13404" LPS="1.05593" LPV="0" RPCX="0.53466" RPCY="0.43824" RPD="24.46614" RPS="1.05593" RPV="0" LEYEX="-0.05336" LEYEY="0.01061" LEYEZ="0.66081" LPUPILD="0.00403" LPUPILV="1" REYEX="0.00938" REYEY="0.01206" REYEZ="0.68746" RPUPILD="0.00653" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="34" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="2594.18677" FPOGD="0.14746" FPOGID="6245" FPOGV="0" LPOGX="0.47193" LPOGY="1.24890" LPOGV="0" RPOGX="0.46726" RPOGY="0.69397" RPOGV="0" BPOGX="0.47193" BPOGY="1.24890" BPOGV="0" LPCX="0.28976" LPCY="0.45028" LPD="11.13404" LPS="1.05593" LPV="0" RPCX="0.53466" RPCY="0.43824" RPD="24.46614" RPS="1.05593" RPV="0" LEYEX="-0.05336" LEYEY="0.01061" LEYEZ="0.66081" LPUPILD="0.00403" LPUPILV="1" REYEX="0.00938" REYEY="0.01206" REYEZ="0.68746" RPUPILD="0.00653" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="34" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="2594.18677" FPOGD="0.14746" FPOGID="6245" FPOGV="0" LPOGX="0.47193" LPOGY="1.24890" LPOGV="0" RPOGX="0.46726" RPOGY="0.69397" RPOGV="0" BPOGX="0.47193" BPOGY="1.24890" BPOGV="0" LPCX="0.28976" LPCY="0.45028" LPD="11.13404" LPS="1.05593" LPV="0" RPCX="0.53466" RPCY="0.43824" RPD="24.46614" RPS="1.05593" RPV="0" LEYEX="-0.05336" LEYEY="0.01061" LEYEZ="0.66081" LPUPILD="0.00403" LPUPILV="1" REYEX="0.00938" REYEY="0.01206" REYEZ="0.68746" RPUPILD="0.00653" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="34" />
