2025-05-27 10:21:26.089894
EYEZ="0.72509" RPUPILD="0.00679" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="57" />
<REC FPOGX="0.55396" FPOGY="0.82284" FPOGS="605.22552" FPOGD="0.03058" FPOGID="1472" FPOGV="1" LPOGX="0.56487" LPOGY="1.06703" LPOGV="1" RPOGX="0.56028" RPOGY="0.88036" RPOGV="1" BPOGX="0.56257" BPOGY="0.97369" BPOGV="1" LPCX="0.30014" LPCY="0.75205" LPD="28.77788" LPS="1.13500" LPV="1" RPCX="0.54842" RPCY="0.73480" RPD="30.68519" RPS="1.14547" RPV="1" LEYEX="-0.05214" LEYEY="-0.05297" LEYEZ="0.68301" LPUPILD="0.00650" LPUPILV="1" REYEX="0.01305" REYEY="-0.05253" REYEZ="0.72509" RPUPILD="0.00676" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="57" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.56844" FPOGY="0.71053" FPOGS="605.71912" FPOGD="0.45520" FPOGID="1475" FPOGV="1" LPOGX="0.55468" LPOGY="0.70800" LPOGV="1" RPOGX="0.58184" RPOGY="0.72337" RPOGV="1" BPOGX="0.56826" BPOGY="0.71569" BPOGV="1" LPCX="0.29908" LPCY="0.75077" LPD="33.00806" LPS="1.12452" LPV="1" RPCX="0.54757" RPCY="0.73428" RPD="35.11578" RPS="1.12452" RPV="1" LEYEX="-0.05265" LEYEY="-0.05349" LEYEZ="0.68711" LPUPILD="0.00711" LPUPILV="1" REYEX="0.01230" REYEY="-0.05080" REYEZ="0.69829" RPUPILD="0.00706" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="57" />
<REC FPOGX="0.56864" FPOGY="0.71015" FPOGS="605.71912" FPOGD="0.46179" FPOGID="1475" FPOGV="1" LPOGX="0.56121" LPOGY="0.70607" LPOGV="1" RPOGX="0.58618" RPOGY="0.72176" RPOGV="1" BPOGX="0.57369" BPOGY="0.71392" BPOGV="1" LPCX="0.29913" LPCY="0.75077" LPD="32.88683" LPS="1.12452" LPV="1" RPCX="0.54764" RPCY="0.73428" RPD="35.10003" RPS="1.12452" RPV="1" LEYEX="-0.05265" LEYEY="-0.05349" LEYEZ="0.68711" LPUPILD="0.00711" LPUPILV="1" REYEX="0.01230" REYEY="-0.05080" REYEZ="0.69829" RPUPILD="0.00706" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="57" />
<REC FPOGX="0.56883" FPOGY="0.71060" FPOGS="605.71912" FPOGD="0.46893" FPOGID="1475" FPOGV="1" LPOGX="0.55866" LPOGY="0.71228" LPOGV="1" RPOGX="0.59584" RPOGY="0.71563" RPOGV="1" BPOGX="0.57725" BPOGY="0.71395" BPOGV="1" LPCX="0.29919" LPCY="0.75078" LPD="32.73051" LPS="1.12452" LPV="1" RPCX="0.54765" RPCY="0.73428" RPD="35.07708" RPS="1.12452" RPV="1" LEYEX="-0.05265" LEYEY="-0.05349" LEYEZ="0.68711" LPUPILD="0.00711" LPUPILV="1" REYEX="0.01230" REYEY="-0.05080" REYEZ="0.69829" RPUPILD="0.00706" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="57" />
<REC FPOGX="0.56903" FPOGY="0.71103" FPOGS="605.71912" FPOGD="0.47534" FPOGID="1475" FPOGV="1" LPOGX="0.55866" LPOGY="0.71228" LPOGV="1" RPOGX="0.59728" RPOGY="0.71217" RPOGV="1" BPOGX="0.57797" BPOGY="0.71222" BPOGV="1" LPCX="0.29919" LPCY="0.75078" LPD="32.73051" LPS="1.12452" LPV="1" RPCX="0.54769" RPCY="0.73432" RPD="35.11631" RPS="1.13500" RPV="1" LEYEX="-0.05265" LEYEY="-0.05349" LEYEZ="0.68711" LPUPILD="0.00711" LPUPILV="1" REYEX="0.01274" REYEY="-0.05236" REYEZ="0.71969" RPUPILD="0.00705" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="57" />
<REC FPOGX="0.56975" FPOGY="0.71150" FPOGS="605.71912" FPOGD="0.48218" FPOGID="1475" FPOGV="1" LPOGX="0.56907" LPOGY="0.70333" LPOGV="1" RPOGX="0.60551" RPOGY="0.72215" RPOGV="1" BPOGX="0.58729" BPOGY="0.71274" BPOGV="1" LPCX="0.29931" LPCY="0.75078" LPD="32.92232" LPS="1.13500" LPV="1" RPCX="0.54776" RPCY="0.73434" RPD="35.29715" RPS="1.14548" RPV="1" LEYEX="-0.05265" LEYEY="-0.05349" LEYEZ="0.68711" LPUPILD="0.00712" LPUPILV="1" REYEX="0.01274" REYEY="-0.05236" REYEZ="0.71969" RPUPILD="0.00704" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="57" />
<REC FPOGX="0.57023" FPOGY="0.71119" FPOGS="605.71912" FPOGD="0.48859" FPOGID="1475" FPOGV="1" LPOGX="0.57519" LPOGY="0.70071" LPOGV="1" RPOGX="0.57501" RPOGY="0.72407" RPOGV="1" BPOGX="0.57510" BPOGY="0.71239" BPOGV="1" LPCX="0.29933" LPCY="0.75077" LPD="32.94164" LPS="1.14548" LPV="1" RPCX="0.54783" RPCY="0.73435" RPD="35.34466" RPS="1.15595" RPV="1" LEYEX="-0.05265" LEYEY="-0.05349" LEYEZ="0.68711" LPUPILD="0.00711" LPUPILV="1" REYEX="0.01274" REYEY="-0.05236" REYEZ="0.71969" RPUPILD="0.00704" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="57" />
<REC FPOGX="0.57069" FPOGY="0.71079" FPOGS="605.71912" FPOGD="0.49554" FPOGID="1475" FPOGV="1" LPOGX="0.57424" LPOGY="0.69735" LPOGV="1" RPOGX="0.57501" RPOGY="0.72407" RPOGV="1" BPOGX="0.57462" BPOGY="0.71071" BPOGV="1" LPCX="0.29935" LPCY="0.75075" LPD="32.87881" LPS="1.15595" LPV="1" RPCX="0.54784" RPCY="0.73437" RPD="35.35302" RPS="1.15595" RPV="1" LEYEX="-0.05265" LEYEY="-0.05349" LEYEZ="0.68711" LPUPILD="0.00712" LPUPILV="1" REYEX="0.01250" REYEY="-0.05116" REYEZ="0.70317" RPUPILD="0.00703" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="57" />
<REC FPOGX="0.57082" FPOGY="0.71106" FPOGS="605.71912" FPOGD="0.50256" FPOGID="1475" FPOGV="1" LPOGX="0.54194" LPOGY="0.69384" LPOGV="1" RPOGX="0.58679" RPOGY="0.74228" RPOGV="1" BPOGX="0.56436" BPOGY="0.71806" BPOGV="1" LPCX="0.29938" LPCY="0.75075" LPD="32.76098" LPS="1.15595" LPV="1" RPCX="0.54793" RPCY="0.73438" RPD="35.20993" RPS="1.14548" RPV="1" LEYEX="-0.05265" LEYEY="-0.05349" LEYEZ="0.68711" LPUPILD="0.00713" LPUPILV="1" REYEX="0.01250" REYEY="-0.05116" REYEZ="0.70317" RPUPILD="0.00704" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="56" />
