2025-06-12 10:52:10.470500
 REYEZ="0.67677" RPUPILD="0.00650" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="50" />
<REC FPOGX="0.49939" FPOGY="0.12543" FPOGS="2847.60815" FPOGD="0.02026" FPOGID="7172" FPOGV="1" LPOGX="0.49336" LPOGY="0.14730" LPOGV="1" RPOGX="0.51316" RPOGY="0.15228" RPOGV="1" BPOGX="0.50326" BPOGY="0.14979" BPOGV="1" LPCX="0.21836" LPCY="0.49529" LPD="28.40973" LPS="1.08766" LPV="1" RPCX="0.46600" RPCY="0.48143" RPD="31.95074" RPS="1.08766" RPV="1" LEYEX="-0.07415" LEYEY="-0.00072" LEYEZ="0.68201" LPUPILD="0.00609" LPUPILV="1" REYEX="-0.00822" REYEY="0.00193" REYEZ="0.67677" RPUPILD="0.00652" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="50" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.77167" FPOGY="0.14606" FPOGS="2848.49243" FPOGD="0.05347" FPOGID="7176" FPOGV="1" LPOGX="0.76483" LPOGY="0.12560" LPOGV="1" RPOGX="0.78469" RPOGY="0.16051" RPOGV="1" BPOGX="0.77476" BPOGY="0.14306" BPOGV="1" LPCX="0.22840" LPCY="0.49448" LPD="30.10806" LPS="1.08766" LPV="1" RPCX="0.47636" RPCY="0.48212" RPD="31.93360" RPS="1.08766" RPV="1" LEYEX="-0.07060" LEYEY="-0.00030" LEYEZ="0.67543" LPUPILD="0.00623" LPUPILV="1" REYEX="-0.00822" REYEY="0.00254" REYEZ="0.67676" RPUPILD="0.00685" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="51" />
<REC FPOGX="0.77275" FPOGY="0.14539" FPOGS="2848.49243" FPOGD="0.06030" FPOGID="7176" FPOGV="1" LPOGX="0.79180" LPOGY="0.12112" LPOGV="1" RPOGX="0.77303" RPOGY="0.15758" RPOGV="1" BPOGX="0.78242" BPOGY="0.13935" BPOGV="1" LPCX="0.22828" LPCY="0.49442" LPD="30.20908" LPS="1.08766" LPV="1" RPCX="0.47624" RPCY="0.48207" RPD="31.87445" RPS="1.08766" RPV="1" LEYEX="-0.07060" LEYEY="-0.00030" LEYEZ="0.67543" LPUPILD="0.00622" LPUPILV="1" REYEX="-0.00822" REYEY="0.00254" REYEZ="0.67676" RPUPILD="0.00686" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="51" />
<REC FPOGX="0.77301" FPOGY="0.14512" FPOGS="2848.49243" FPOGD="0.06689" FPOGID="7176" FPOGV="1" LPOGX="0.78796" LPOGY="0.12279" LPOGV="1" RPOGX="0.76337" RPOGY="0.16204" RPOGV="1" BPOGX="0.77566" BPOGY="0.14241" BPOGV="1" LPCX="0.22821" LPCY="0.49440" LPD="30.04900" LPS="1.08766" LPV="1" RPCX="0.47622" RPCY="0.48205" RPD="31.88409" RPS="1.08766" RPV="1" LEYEX="-0.07060" LEYEY="-0.00030" LEYEZ="0.67543" LPUPILD="0.00620" LPUPILV="1" REYEX="-0.00822" REYEY="0.00254" REYEZ="0.67676" RPUPILD="0.00686" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="51" />
<REC FPOGX="0.77323" FPOGY="0.14489" FPOGS="2848.49243" FPOGD="0.07373" FPOGID="7176" FPOGV="1" LPOGX="0.78796" LPOGY="0.12279" LPOGV="1" RPOGX="0.76337" RPOGY="0.16204" RPOGV="1" BPOGX="0.77566" BPOGY="0.14241" BPOGV="1" LPCX="0.22820" LPCY="0.49440" LPD="29.98458" LPS="1.08766" LPV="1" RPCX="0.47618" RPCY="0.48201" RPD="31.89989" RPS="1.08766" RPV="1" LEYEX="-0.07060" LEYEY="-0.00030" LEYEZ="0.67543" LPUPILD="0.00620" LPUPILV="1" REYEX="-0.00822" REYEY="0.00254" REYEZ="0.67676" RPUPILD="0.00683" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="51" />
<REC FPOGX="0.77420" FPOGY="0.14417" FPOGS="2848.49243" FPOGD="0.08032" FPOGID="7176" FPOGV="1" LPOGX="0.77556" LPOGY="0.12110" LPOGV="1" RPOGX="0.79617" RPOGY="0.14973" RPOGV="1" BPOGX="0.78587" BPOGY="0.13541" BPOGV="1" LPCX="0.22811" LPCY="0.49450" LPD="30.09036" LPS="1.08766" LPV="1" RPCX="0.47608" RPCY="0.48198" RPD="31.92466" RPS="1.08766" RPV="1" LEYEX="-0.07060" LEYEY="-0.00030" LEYEZ="0.67543" LPUPILD="0.00619" LPUPILV="1" REYEX="-0.00822" REYEY="0.00254" REYEZ="0.67676" RPUPILD="0.00683" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="51" />
<REC FPOGX="0.77455" FPOGY="0.14396" FPOGS="2848.49243" FPOGD="0.08667" FPOGID="7176" FPOGV="1" LPOGX="0.77236" LPOGY="0.12193" LPOGV="1" RPOGX="0.78570" RPOGY="0.16052" RPOGV="1" BPOGX="0.77903" BPOGY="0.14123" BPOGV="1" LPCX="0.22805" LPCY="0.49450" LPD="30.07310" LPS="1.08766" LPV="1" RPCX="0.47599" RPCY="0.48208" RPD="31.72857" RPS="1.08766" RPV="1" LEYEX="-0.07060" LEYEY="-0.00030" LEYEZ="0.67543" LPUPILD="0.00618" LPUPILV="1" REYEX="-0.00822" REYEY="0.00254" REYEZ="0.67676" RPUPILD="0.00683" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="51" />
<REC FPOGX="0.77485" FPOGY="0.14377" FPOGS="2848.49243" FPOGD="0.09351" FPOGID="7176" FPOGV="1" LPOGX="0.77236" LPOGY="0.12193" LPOGV="1" RPOGX="0.78570" RPOGY="0.16052" RPOGV="1" BPOGX="0.77903" BPOGY="0.14123" BPOGV="1" LPCX="0.22802" LPCY="0.49454" LPD="30.10138" LPS="1.08766" LPV="1" RPCX="0.47598" RPCY="0.48205" RPD="31.75268" RPS="1.08766" RPV="1" LEYEX="-0.07060" LEYEY="-0.00030" LEYEZ="0.67543" LPUPILD="0.00618" LPUPILV="1" REYEX="-0.00822" REYEY="0.00254" REYEZ="0.67676" RPUPILD="0.00681" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="51" />
<REC FPOGX="0.77464" FPOGY="0.14323" FPOGS="2848.49243" FPOGD="0.10034" FPOGID="7176" FPOGV="1" LPOGX="0.76773" LPOGY="0.11717" LPOGV="1" RPOGX="0.77523" RPOGY="0.15294" RPOGV="1" BPOGX="0.77148" BPOGY="0.13506" BPOGV="1" LPCX="0.22793" LPCY="0.49452" LPD="30.19370" LPS="1.08766" LPV="1" RPCX="0.47590" RPCY="0.48204" RPD="31.70067" RPS="1.08766" RPV="1" LEYEX="-0.07060" LEYEY="-0.00030" LEYEZ="0.67543" LPUPILD="0.00617" LPUPILV="1" REYEX="-0.00822" REYEY="0.00254" REYEZ="0.67676" RPUPILD="0.00682" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="51" />
