2025-06-12 10:50:17.560677
EYEZ="0.68193" RPUPILD="0.00781" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="38" />
<REC FPOGX="0.96549" FPOGY="0.57677" FPOGS="2734.18335" FPOGD="0.51416" FPOGID="6752" FPOGV="1" LPOGX="0.91869" LPOGY="0.59269" LPOGV="1" RPOGX="0.97824" RPOGY="0.51194" RPOGV="1" BPOGX="0.94846" BPOGY="0.55232" BPOGV="1" LPCX="0.23667" LPCY="0.48910" LPD="37.31801" LPS="1.08763" LPV="1" RPCX="0.49592" RPCY="0.47547" RPD="37.68415" RPS="1.08763" RPV="1" LEYEX="-0.06921" LEYEY="0.00137" LEYEZ="0.67768" LPUPILD="0.00753" LPUPILV="1" REYEX="-0.00256" REYEY="0.00440" REYEZ="0.68193" RPUPILD="0.00782" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="38" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="2735.17993" FPOGD="0.26880" FPOGID="6755" FPOGV="0" LPOGX="0.47061" LPOGY="0.88424" LPOGV="0" RPOGX="0.43411" RPOGY="1.01297" RPOGV="0" BPOGX="0.45236" BPOGY="0.94860" BPOGV="0" LPCX="0.21020" LPCY="0.48408" LPD="13.34325" LPS="1.08763" LPV="0" RPCX="0.46312" RPCY="0.46529" RPD="31.15371" RPS="1.08763" RPV="0" LEYEX="-0.07415" LEYEY="0.00440" LEYEZ="0.68201" LPUPILD="0.00484" LPUPILV="1" REYEX="-0.00966" REYEY="0.00702" REYEZ="0.67784" RPUPILD="0.00747" RPUPILV="1" BKID="504" BKDUR="0.00000" BKPMIN="39" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="2735.17993" FPOGD="0.26880" FPOGID="6755" FPOGV="0" LPOGX="0.47061" LPOGY="0.88424" LPOGV="0" RPOGX="0.43411" RPOGY="1.01297" RPOGV="0" BPOGX="0.45236" BPOGY="0.94860" BPOGV="0" LPCX="0.21020" LPCY="0.48408" LPD="13.34325" LPS="1.08763" LPV="0" RPCX="0.46312" RPCY="0.46529" RPD="31.15371" RPS="1.08763" RPV="0" LEYEX="-0.07415" LEYEY="0.00440" LEYEZ="0.68201" LPUPILD="0.00484" LPUPILV="1" REYEX="-0.00966" REYEY="0.00702" REYEZ="0.67784" RPUPILD="0.00747" RPUPILV="1" BKID="504" BKDUR="0.00000" BKPMIN="39" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="2735.17993" FPOGD="0.26880" FPOGID="6755" FPOGV="0" LPOGX="0.47061" LPOGY="0.88424" LPOGV="0" RPOGX="0.43411" RPOGY="1.01297" RPOGV="0" BPOGX="0.45236" BPOGY="0.94860" BPOGV="0" LPCX="0.21020" LPCY="0.48408" LPD="13.34325" LPS="1.08763" LPV="0" RPCX="0.46312" RPCY="0.46529" RPD="31.15371" RPS="1.08763" RPV="0" LEYEX="-0.07415" LEYEY="0.00440" LEYEZ="0.68201" LPUPILD="0.00484" LPUPILV="1" REYEX="-0.00966" REYEY="0.00702" REYEZ="0.67784" RPUPILD="0.00747" RPUPILV="1" BKID="504" BKDUR="0.00000" BKPMIN="39" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="2735.17993" FPOGD="0.26880" FPOGID="6755" FPOGV="0" LPOGX="0.47061" LPOGY="0.88424" LPOGV="0" RPOGX="0.43411" RPOGY="1.01297" RPOGV="0" BPOGX="0.45236" BPOGY="0.94860" BPOGV="0" LPCX="0.21020" LPCY="0.48408" LPD="13.34325" LPS="1.08763" LPV="0" RPCX="0.46312" RPCY="0.46529" RPD="31.15371" RPS="1.08763" RPV="0" LEYEX="-0.07415" LEYEY="0.00440" LEYEZ="0.68201" LPUPILD="0.00484" LPUPILV="1" REYEX="-0.00966" REYEY="0.00702" REYEZ="0.67784" RPUPILD="0.00747" RPUPILV="1" BKID="504" BKDUR="0.00000" BKPMIN="39" />
<REC FPOGX="0.40249" FPOGY="0.43509" FPOGS="2735.17993" FPOGD="0.26880" FPOGID="6755" FPOGV="0" LPOGX="0.80497" LPOGY="0.87018" LPOGV="1" RPOGX="0.43411" RPOGY="1.01297" RPOGV="0" BPOGX="0.80497" BPOGY="0.87018" BPOGV="1" LPCX="0.46498" LPCY="0.46658" LPD="33.61195" LPS="1.08763" LPV="1" RPCX="0.46312" RPCY="0.46529" RPD="31.15371" RPS="1.08763" RPV="0" LEYEX="-0.07415" LEYEY="0.00440" LEYEZ="0.68201" LPUPILD="0.00753" LPUPILV="1" REYEX="-0.00966" REYEY="0.00702" REYEZ="0.67784" RPUPILD="0.00747" RPUPILV="1" BKID="0" BKDUR="0.10673" BKPMIN="40" />
<REC FPOGX="0.79590" FPOGY="0.85296" FPOGS="2735.17993" FPOGD="0.26880" FPOGID="6755" FPOGV="0" LPOGX="0.78683" LPOGY="0.83574" LPOGV="1" RPOGX="0.43411" RPOGY="1.01297" RPOGV="0" BPOGX="0.78683" BPOGY="0.83574" BPOGV="1" LPCX="0.46485" LPCY="0.46614" LPD="34.89743" LPS="1.08763" LPV="1" RPCX="0.46312" RPCY="0.46529" RPD="31.15371" RPS="1.08763" RPV="0" LEYEX="-0.07415" LEYEY="0.00440" LEYEZ="0.68201" LPUPILD="0.00742" LPUPILV="1" REYEX="-0.00966" REYEY="0.00702" REYEZ="0.67784" RPUPILD="0.00747" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="40" />
<REC FPOGX="0.79136" FPOGY="0.84435" FPOGS="2735.17993" FPOGD="0.26880" FPOGID="6755" FPOGV="0" LPOGX="0.78683" LPOGY="0.83574" LPOGV="1" RPOGX="0.43411" RPOGY="1.01297" RPOGV="0" BPOGX="0.78683" BPOGY="0.83574" BPOGV="1" LPCX="0.46474" LPCY="0.46591" LPD="35.53605" LPS="1.08763" LPV="1" RPCX="0.46312" RPCY="0.46529" RPD="31.15371" RPS="1.08763" RPV="0" LEYEX="-0.00966" LEYEY="0.00668" LEYEZ="0.68559" LPUPILD="0.00739" LPUPILV="1" REYEX="-0.00966" REYEY="0.00702" REYEZ="0.67784" RPUPILD="0.00747" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="40" />
<REC FPOGX="0.70968" FPOGY="0.82029" FPOGS="2735.17993" FPOGD="0.26880" FPOGID="6755" FPOGV="0" LPOGX="0.52422" LPOGY="0.80448" LPOGV="1" RPOGX="0.56842" RPOGY="0.73982" RPOGV="1" BPOGX="0.54632" BPOGY="0.77215" BPOGV="1" LPCX="0.20818" LPCY="0.47666" LPD="33.21304" LPS="1.08763" LPV="1" RPCX="0.46463" RPCY="0.46578" RPD="35.28009" RPS="1.08763" RPV="1" LEYEX="-0.00966" LEYEY="0.00668" LEYEZ="0.68559" LPUPILD="0.00718" LPUPILV="1" REYEX="-0.00966" REYEY="0.00702" REYEZ="0.67784" RPUPILD="0.00748" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="40" />
