2025-05-27 11:02:02.751349
 REYEZ="0.63814" RPUPILD="0.00393" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.73517" FPOGY="0.36303" FPOGS="3041.71167" FPOGD="0.20752" FPOGID="8798" FPOGV="1" LPOGX="0.91848" LPOGY="0.42704" LPOGV="1" RPOGX="0.70591" RPOGY="0.29272" RPOGV="1" BPOGX="0.81219" BPOGY="0.35988" BPOGV="1" LPCX="0.27437" LPCY="0.65599" LPD="21.43896" LPS="1.04308" LPV="1" RPCX="0.53550" RPCY="0.66862" RPD="19.64854" RPS="1.03589" RPV="1" LEYEX="-0.05928" LEYEY="-0.03349" LEYEZ="0.67455" LPUPILD="0.00430" LPUPILV="1" REYEX="0.00785" REYEY="-0.03427" REYEZ="0.63814" RPUPILD="0.00389" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.73748" FPOGY="0.36301" FPOGS="3041.71167" FPOGD="0.21387" FPOGID="8798" FPOGV="1" LPOGX="0.91691" LPOGY="0.43178" LPOGV="1" RPOGX="0.70591" RPOGY="0.29272" RPOGV="1" BPOGX="0.81141" BPOGY="0.36225" BPOGV="1" LPCX="0.27473" LPCY="0.65592" LPD="21.29569" LPS="1.03589" LPV="1" RPCX="0.53586" RPCY="0.66873" RPD="19.25142" RPS="1.03589" RPV="1" LEYEX="-0.05968" LEYEY="-0.03383" LEYEZ="0.68143" LPUPILD="0.00428" LPUPILV="1" REYEX="0.00840" REYEY="-0.03602" REYEZ="0.67076" RPUPILD="0.00394" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.45451" FPOGY="0.42803" FPOGS="3042.74316" FPOGD="0.08130" FPOGID="8803" FPOGV="1" LPOGX="0.54025" LPOGY="0.45253" LPOGV="1" RPOGX="0.36412" RPOGY="0.38826" RPOGV="1" BPOGX="0.45219" BPOGY="0.42040" BPOGV="1" LPCX="0.26552" LPCY="0.65762" LPD="19.84573" LPS="0.99774" LPV="1" RPCX="0.52782" RPCY="0.67013" RPD="18.92726" RPS="0.99774" RPV="1" LEYEX="-0.05669" LEYEY="-0.03178" LEYEZ="0.63533" LPUPILD="0.00408" LPUPILV="1" REYEX="0.00683" REYEY="-0.03304" REYEZ="0.61102" RPUPILD="0.00380" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.45434" FPOGY="0.42749" FPOGS="3042.74316" FPOGD="0.08667" FPOGID="8803" FPOGV="1" LPOGX="0.54025" LPOGY="0.45253" LPOGV="1" RPOGX="0.36412" RPOGY="0.38826" RPOGV="1" BPOGX="0.45219" BPOGY="0.42040" BPOGV="1" LPCX="0.26559" LPCY="0.65765" LPD="19.66462" LPS="0.99774" LPV="1" RPCX="0.52778" RPCY="0.67021" RPD="18.78485" RPS="0.99774" RPV="1" LEYEX="-0.05722" LEYEY="-0.03213" LEYEZ="0.64136" LPUPILD="0.00407" LPUPILV="1" REYEX="0.00796" REYEY="-0.03856" REYEZ="0.71218" RPUPILD="0.00383" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.45479" FPOGY="0.42614" FPOGS="3042.74316" FPOGD="0.09424" FPOGID="8803" FPOGV="1" LPOGX="0.56154" LPOGY="0.47614" LPOGV="1" RPOGX="0.36068" RPOGY="0.33843" RPOGV="1" BPOGX="0.46111" BPOGY="0.40729" BPOGV="1" LPCX="0.26552" LPCY="0.65785" LPD="19.89218" LPS="0.99774" LPV="1" RPCX="0.52765" RPCY="0.67025" RPD="18.71802" RPS="0.99774" RPV="1" LEYEX="-0.05722" LEYEY="-0.03213" LEYEZ="0.64136" LPUPILD="0.00409" LPUPILV="1" REYEX="0.00796" REYEY="-0.03856" REYEZ="0.71218" RPUPILD="0.00380" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.45501" FPOGY="0.42509" FPOGS="3042.74316" FPOGD="0.10083" FPOGID="8803" FPOGV="1" LPOGX="0.55880" LPOGY="0.48818" LPOGV="1" RPOGX="0.35778" RPOGY="0.33035" RPOGV="1" BPOGX="0.45829" BPOGY="0.40926" BPOGV="1" LPCX="0.26554" LPCY="0.65786" LPD="20.19436" LPS="0.99774" LPV="1" RPCX="0.52765" RPCY="0.67025" RPD="18.71802" RPS="0.99774" RPV="1" LEYEX="-0.05722" LEYEY="-0.03213" LEYEZ="0.64136" LPUPILD="0.00406" LPUPILV="1" REYEX="0.00796" REYEY="-0.03856" REYEZ="0.71218" RPUPILD="0.00380" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.45510" FPOGY="0.42338" FPOGS="3042.74316" FPOGD="0.10767" FPOGID="8803" FPOGV="1" LPOGX="0.55703" LPOGY="0.47962" LPOGV="1" RPOGX="0.35606" RPOGY="0.31261" RPOGV="1" BPOGX="0.45654" BPOGY="0.39612" BPOGV="1" LPCX="0.26547" LPCY="0.65789" LPD="20.00836" LPS="1.01267" LPV="1" RPCX="0.52760" RPCY="0.67018" RPD="18.46061" RPS="1.02076" RPV="1" LEYEX="-0.06061" LEYEY="-0.03403" LEYEZ="0.67814" LPUPILD="0.00410" LPUPILV="1" REYEX="0.00745" REYEY="-0.03644" REYEZ="0.67106" RPUPILD="0.00381" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.45457" FPOGY="0.42041" FPOGS="3042.74316" FPOGD="0.11475" FPOGID="8803" FPOGV="1" LPOGX="0.54298" LPOGY="0.40523" LPOGV="1" RPOGX="0.34798" RPOGY="0.33449" RPOGV="1" BPOGX="0.44548" BPOGY="0.36986" BPOGV="1" LPCX="0.26534" LPCY="0.65787" LPD="19.56697" LPS="1.03569" LPV="1" RPCX="0.52755" RPCY="0.67034" RPD="18.85727" RPS="1.04378" RPV="1" LEYEX="-0.06061" LEYEY="-0.03403" LEYEZ="0.67814" LPUPILD="0.00415" LPUPILV="1" REYEX="0.00745" REYEY="-0.03644" REYEZ="0.67106" RPUPILD="0.00380" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.45387" FPOGY="0.41759" FPOGS="3042.74316" FPOGD="0.12085" FPOGID="8803" FPOGV="1" LPOGX="0.53704" LPOGY="0.41334" LPOGV="1" RPOGX="0.34572" RPOGY="0.32036" RPOGV="1" BPOGX="0.44138" BPOGY="0.36685" BPOGV="1" LPCX="0.26531" LPCY="0.65793" LPD="19.61484" LPS="1.05871" LPV="1" RPCX="0.52748" RPCY="0.67028" RPD="18.53748" RPS="1.06679" RPV="1" LEYEX="-0.06061" LEYEY="-0.03403" LEYEZ="0.67814" LPUPILD="0.00409" LPUPILV="1" REYEX="0.00745" REYEY="-0.03644" REYEZ="0.67106" RPUPILD="0.00378" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
