2025-05-28 12:10:48.375590
="-0.07239" LEYEY="-0.00630" LEYEZ="0.67228" LPUPILD="0.00385" LPUPILV="1" REYEX="-0.00494" REYEY="-0.00738" REYEZ="0.66505" RPUPILD="0.00310" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.85452" FPOGY="-0.23051" FPOGS="1234.66296" FPOGD="0.09387" FPOGID="1797" FPOGV="1" LPOGX="0.95915" LPOGY="-0.18535" LPOGV="1" RPOGX="0.75331" RPOGY="-0.35971" RPOGV="1" BPOGX="0.85623" BPOGY="-0.27253" BPOGV="1" LPCX="0.22336" LPCY="0.52107" LPD="18.02477" LPS="1.04746" LPV="1" RPCX="0.48492" RPCY="0.52488" RPD="14.41005" RPS="1.04746" RPV="1" LEYEX="-0.07076" LEYEY="-0.00608" LEYEZ="0.65854" LPUPILD="0.00394" LPUPILV="1" REYEX="-0.00470" REYEY="-0.00723" REYEZ="0.66029" RPUPILD="0.00310" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.85862" FPOGY="-0.17040" FPOGS="1235.52063" FPOGD="0.14062" FPOGID="1800" FPOGV="0" LPOGX="0.95504" LPOGY="-0.06592" LPOGV="1" RPOGX="0.72922" RPOGY="-0.23700" RPOGV="1" BPOGX="0.84213" BPOGY="-0.15146" BPOGV="1" LPCX="0.22568" LPCY="0.52402" LPD="19.38262" LPS="0.98094" LPV="1" RPCX="0.48703" RPCY="0.53137" RPD="16.55613" RPS="0.98094" RPV="1" LEYEX="-0.07010" LEYEY="-0.00672" LEYEZ="0.65884" LPUPILD="0.00409" LPUPILV="1" REYEX="-0.00406" REYEY="-0.00803" REYEZ="0.64497" RPUPILD="0.00399" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.85068" FPOGY="-0.16223" FPOGS="1235.52063" FPOGD="0.14062" FPOGID="1800" FPOGV="0" LPOGX="0.95361" LPOGY="-0.05797" LPOGV="1" RPOGX="0.73188" RPOGY="-0.25016" RPOGV="1" BPOGX="0.84275" BPOGY="-0.15407" BPOGV="1" LPCX="0.22584" LPCY="0.52387" LPD="19.34068" LPS="0.98796" LPV="1" RPCX="0.48691" RPCY="0.53138" RPD="16.94213" RPS="0.98796" RPV="1" LEYEX="-0.07010" LEYEY="-0.00672" LEYEZ="0.65884" LPUPILD="0.00396" LPUPILV="1" REYEX="-0.00406" REYEY="-0.00803" REYEZ="0.64497" RPUPILD="0.00391" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.84934" FPOGY="-0.16584" FPOGS="1235.52063" FPOGD="0.14062" FPOGID="1800" FPOGV="0" LPOGX="0.95741" LPOGY="-0.07629" LPOGV="1" RPOGX="0.73592" RPOGY="-0.26984" RPOGV="1" BPOGX="0.84667" BPOGY="-0.17306" BPOGV="1" LPCX="0.22599" LPCY="0.52409" LPD="19.33341" LPS="1.00289" LPV="1" RPCX="0.48676" RPCY="0.53108" RPD="16.90670" RPS="1.00289" RPV="1" LEYEX="-0.07268" LEYEY="-0.00706" LEYEZ="0.68256" LPUPILD="0.00394" LPUPILV="1" REYEX="-0.00406" REYEY="-0.00803" REYEZ="0.64497" RPUPILD="0.00366" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.84455" FPOGY="-0.17135" FPOGS="1235.66797" FPOGD="0.01990" FPOGID="1801" FPOGV="1" LPOGX="0.94522" LPOGY="-0.11455" LPOGV="1" RPOGX="0.71512" RPOGY="-0.26118" RPOGV="1" BPOGX="0.83017" BPOGY="-0.18786" BPOGV="1" LPCX="0.22575" LPCY="0.52416" LPD="19.60289" LPS="1.01080" LPV="1" RPCX="0.48666" RPCY="0.53117" RPD="16.77387" RPS="1.01080" RPV="1" LEYEX="-0.07268" LEYEY="-0.00706" LEYEZ="0.68256" LPUPILD="0.00402" LPUPILV="1" REYEX="-0.00406" REYEY="-0.00803" REYEZ="0.64497" RPUPILD="0.00364" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.84244" FPOGY="-0.17483" FPOGS="1235.66797" FPOGD="0.02673" FPOGID="1801" FPOGV="1" LPOGX="0.95091" LPOGY="-0.11579" LPOGV="1" RPOGX="0.71710" RPOGY="-0.26168" RPOGV="1" BPOGX="0.83400" BPOGY="-0.18874" BPOGV="1" LPCX="0.22573" LPCY="0.52437" LPD="19.40519" LPS="1.01870" LPV="1" RPCX="0.48658" RPCY="0.53123" RPD="16.60768" RPS="1.01870" RPV="1" LEYEX="-0.07268" LEYEY="-0.00706" LEYEZ="0.68256" LPUPILD="0.00395" LPUPILV="1" REYEX="-0.00406" REYEY="-0.00803" REYEZ="0.64497" RPUPILD="0.00382" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.84135" FPOGY="-0.17879" FPOGS="1235.66797" FPOGD="0.03418" FPOGID="1801" FPOGV="1" LPOGX="0.95091" LPOGY="-0.11579" LPOGV="1" RPOGX="0.72090" RPOGY="-0.28141" RPOGV="1" BPOGX="0.83590" BPOGY="-0.19860" BPOGV="1" LPCX="0.22570" LPCY="0.52440" LPD="19.47537" LPS="1.01870" LPV="1" RPCX="0.48643" RPCY="0.53131" RPD="17.12102" RPS="1.03398" RPV="1" LEYEX="-0.07032" LEYEY="-0.00683" LEYEZ="0.65998" LPUPILD="0.00391" LPUPILV="1" REYEX="-0.00446" REYEY="-0.00860" REYEZ="0.69111" RPUPILD="0.00379" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.83974" FPOGY="-0.18070" FPOGS="1235.66797" FPOGD="0.04089" FPOGID="1801" FPOGV="1" LPOGX="0.93848" LPOGY="-0.09588" LPOGV="1" RPOGX="0.72163" RPOGY="-0.28847" RPOGV="1" BPOGX="0.83006" BPOGY="-0.19217" BPOGV="1" LPCX="0.22578" LPCY="0.52428" LPD="19.55552" LPS="1.02608" LPV="1" RPCX="0.48642" RPCY="0.53127" RPD="16.95478" RPS="1.04135" RPV="1" LEYEX="-0.07032" LEYEY="-0.00683" LEYEZ="0.65998" LPUPILD="0.00383" LPUPILV="1" REYEX="-0.00446" REYEY="-0.00860" REYEZ="0.69111" RPUPILD="0.00383" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.83789" FPOGY="-0.18210" FPOGS="1235.66797" FPOGD="0.04724" FPOGID="1801" FPOGV="1" LPOGX="0.93325" LPOGY="-0.09426" LPOGV="1" RPOGX="0.71672" RPOGY="-0.28954" RPOGV="1" BPOGX="0.82499" BPOGY="-0.19190" BPOGV="1" LPCX="0.22560" LPCY="0.52442" LPD="19.26176" LPS="1.03345" LPV="1" RPCX="0.48653" RPCY="0.53137" RPD="16.81324" RPS="1.04873" RPV="1" LEYEX="-0.07032" LEYEY="-0.00683" LEYEZ="0.65998" LPUPILD="0.00386" LPUPILV="1" REYEX="-0.00446" REYEY="-0.00860" REYEZ="0.69111" RPUPILD="0.00382" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
