2025-05-28 10:29:42.696670
EYEZ="0.73542" RPUPILD="0.00496" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.98131" FPOGY="0.30347" FPOGS="982.20422" FPOGD="0.24994" FPOGID="1904" FPOGV="1" LPOGX="1.06408" LPOGY="0.42993" LPOGV="1" RPOGX="0.89309" RPOGY="0.22812" RPOGV="1" BPOGX="0.97858" BPOGY="0.32903" BPOGV="1" LPCX="0.43011" LPCY="0.61803" LPD="23.94672" LPS="1.19311" LPV="1" RPCX="0.65934" RPCY="0.65370" RPD="21.40022" RPS="1.19311" RPV="1" LEYEX="-0.02019" LEYEY="-0.02657" LEYEZ="0.70291" LPUPILD="0.00549" LPUPILV="1" REYEX="0.04346" REYEY="-0.03596" REYEZ="0.73542" RPUPILD="0.00498" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.98140" FPOGY="0.30380" FPOGS="982.20422" FPOGD="0.25720" FPOGID="1904" FPOGV="1" LPOGX="1.06996" LPOGY="0.41850" LPOGV="1" RPOGX="0.89999" RPOGY="0.21484" RPOGV="1" BPOGX="0.98497" BPOGY="0.31667" BPOGV="1" LPCX="0.43040" LPCY="0.61790" LPD="23.41604" LPS="1.21231" LPV="1" RPCX="0.65968" RPCY="0.65359" RPD="21.30355" RPS="1.21231" RPV="1" LEYEX="-0.02050" LEYEY="-0.02762" LEYEZ="0.73082" LPUPILD="0.00563" LPUPILV="1" REYEX="0.04432" REYEY="-0.03622" REYEZ="0.74073" RPUPILD="0.00496" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="983.16455" FPOGD="0.11609" FPOGID="1907" FPOGV="0" LPOGX="1.32136" LPOGY="1.39677" LPOGV="0" RPOGX="0.87865" RPOGY="0.75009" RPOGV="0" BPOGX="1.10000" BPOGY="1.07343" BPOGV="0" LPCX="0.50559" LPCY="0.61868" LPD="10.43726" LPS="1.24303" LPV="0" RPCX="0.74007" RPCY="0.62882" RPD="16.10933" RPS="1.24303" RPV="0" LEYEX="-0.00110" LEYEY="-0.02504" LEYEZ="0.69566" LPUPILD="0.00420" LPUPILV="1" REYEX="0.06466" REYEY="-0.02885" REYEZ="0.71623" RPUPILD="0.00463" RPUPILV="1" BKID="206" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="983.16455" FPOGD="0.11609" FPOGID="1907" FPOGV="0" LPOGX="1.32136" LPOGY="1.39677" LPOGV="0" RPOGX="0.87865" RPOGY="0.75009" RPOGV="0" BPOGX="1.10000" BPOGY="1.07343" BPOGV="0" LPCX="0.50559" LPCY="0.61868" LPD="10.43726" LPS="1.24303" LPV="0" RPCX="0.74007" RPCY="0.62882" RPD="16.10933" RPS="1.24303" RPV="0" LEYEX="-0.00110" LEYEY="-0.02504" LEYEZ="0.69566" LPUPILD="0.00420" LPUPILV="1" REYEX="0.06466" REYEY="-0.02885" REYEZ="0.71623" RPUPILD="0.00463" RPUPILV="1" BKID="206" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="983.16455" FPOGD="0.11609" FPOGID="1907" FPOGV="0" LPOGX="1.32136" LPOGY="1.39677" LPOGV="0" RPOGX="0.87865" RPOGY="0.75009" RPOGV="0" BPOGX="1.10000" BPOGY="1.07343" BPOGV="0" LPCX="0.50559" LPCY="0.61868" LPD="10.43726" LPS="1.24303" LPV="0" RPCX="0.74007" RPCY="0.62882" RPD="16.10933" RPS="1.24303" RPV="0" LEYEX="-0.00110" LEYEY="-0.02504" LEYEZ="0.69566" LPUPILD="0.00420" LPUPILV="1" REYEX="0.06466" REYEY="-0.02885" REYEZ="0.71623" RPUPILD="0.00463" RPUPILV="1" BKID="206" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="983.16455" FPOGD="0.11609" FPOGID="1907" FPOGV="0" LPOGX="1.32136" LPOGY="1.39677" LPOGV="0" RPOGX="0.87865" RPOGY="0.75009" RPOGV="0" BPOGX="1.10000" BPOGY="1.07343" BPOGV="0" LPCX="0.50559" LPCY="0.61868" LPD="10.43726" LPS="1.24303" LPV="0" RPCX="0.74007" RPCY="0.62882" RPD="16.10933" RPS="1.24303" RPV="0" LEYEX="-0.00110" LEYEY="-0.02504" LEYEZ="0.69566" LPUPILD="0.00420" LPUPILV="1" REYEX="0.06466" REYEY="-0.02885" REYEZ="0.71623" RPUPILD="0.00463" RPUPILV="1" BKID="206" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="983.16455" FPOGD="0.11609" FPOGID="1907" FPOGV="0" LPOGX="1.32136" LPOGY="1.39677" LPOGV="0" RPOGX="0.87865" RPOGY="0.75009" RPOGV="0" BPOGX="1.10000" BPOGY="1.07343" BPOGV="0" LPCX="0.50559" LPCY="0.61868" LPD="10.43726" LPS="1.24303" LPV="0" RPCX="0.74007" RPCY="0.62882" RPD="16.10933" RPS="1.24303" RPV="0" LEYEX="-0.00110" LEYEY="-0.02504" LEYEZ="0.69566" LPUPILD="0.00420" LPUPILV="1" REYEX="0.06466" REYEY="-0.02885" REYEZ="0.71623" RPUPILD="0.00463" RPUPILV="1" BKID="206" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="983.16455" FPOGD="0.11609" FPOGID="1907" FPOGV="0" LPOGX="1.32136" LPOGY="1.39677" LPOGV="0" RPOGX="0.87865" RPOGY="0.75009" RPOGV="0" BPOGX="1.10000" BPOGY="1.07343" BPOGV="0" LPCX="0.50559" LPCY="0.61868" LPD="10.43726" LPS="1.24303" LPV="0" RPCX="0.74007" RPCY="0.62882" RPD="16.10933" RPS="1.24303" RPV="0" LEYEX="-0.00110" LEYEY="-0.02504" LEYEZ="0.69566" LPUPILD="0.00420" LPUPILV="1" REYEX="0.06466" REYEY="-0.02885" REYEZ="0.71623" RPUPILD="0.00463" RPUPILV="1" BKID="206" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="983.16455" FPOGD="0.11609" FPOGID="1907" FPOGV="0" LPOGX="1.32136" LPOGY="1.39677" LPOGV="0" RPOGX="0.87865" RPOGY="0.75009" RPOGV="0" BPOGX="1.10000" BPOGY="1.07343" BPOGV="0" LPCX="0.50559" LPCY="0.61868" LPD="10.43726" LPS="1.24303" LPV="0" RPCX="0.74007" RPCY="0.62882" RPD="16.10933" RPS="1.24303" RPV="0" LEYEX="-0.00110" LEYEY="-0.02504" LEYEZ="0.69566" LPUPILD="0.00420" LPUPILV="1" REYEX="0.06466" REYEY="-0.02885" REYEZ="0.71623" RPUPILD="0.00463" RPUPILV="1" BKID="206" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="983.16455" FPOGD="0.11609" FPOGID="1907" FPOGV="0" LPOGX="1.32136" LPOGY="1.39677" LPOGV="0" RPOGX="0.87865" RPOGY="0.75009" RPOGV="0" BPOGX="1.10000" BPOGY="1.07343" BPOGV="0" LPCX="0.50559" LPCY="0.61868" LPD="10.43726" LPS="1.24303" LPV="0" RPCX="0.74007" RPCY="0.62882" RPD="16.10933" RPS="1.24303" RPV="0" LEYEX="-0.00110" LEYEY="-0.02504" LEYEZ="0.69566" LPUPILD="0.00420" LPUPILV="1" REYEX="0.06466" REYEY="-0.02885" REYEZ="0.71623" RPUPILD="0.00463" RPUPILV="1" BKID="206" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="983.16455" FPOGD="0.11609" FPOGID="1907" FPOGV="0" LPOGX="1.32136" LPOGY="1.39677" LPOGV="0" RPOGX="0.87865" RPOGY="0.75009" RPOGV="0" BPOGX="1.10000" BPOGY="1.07343" BPOGV="0" LPCX="0.50559" LPCY="0.61868" LPD="10.43726" LPS="1.24303" LPV="0" RPCX="0.74007" RPCY="0.62882" RPD="16.10933" RPS="1.24303" RPV="0" LEYEX="-0.00110" LEYEY="-0.02504" LEYEZ="0.69566" LPUPILD="0.00420" LPUPILV="1" REYEX="0.06466" REYEY="-0.02885" REYEZ="0.71623" RPUPILD="0.00463" RPUPILV="1" BKID="206" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="983.16455" FPOGD="0.11609" FPOGID="1907" FPOGV="0" LPOGX="1.32136" LPOGY="1.39677" LPOGV="0" RPOGX="0.87865" RPOGY="0.75009" RPOGV="0" BPOGX="1.10000" BPOGY="1.07343" BPOGV="0" LPCX="0.50559" LPCY="0.61868" LPD="10.43726" LPS="1.24303" LPV="0" RPCX="0.74007" RPCY="0.62882" RPD="16.10933" RPS="1.24303" RPV="0" LEYEX="-0.00110" LEYEY="-0.02504" LEYEZ="0.69566" LPUPILD="0.00420" LPUPILV="1" REYEX="0.06466" REYEY="-0.02885" REYEZ="0.71623" RPUPILD="0.00463" RPUPILV="1" BKID="206" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.31451" FPOGY="0.10140" FPOGS="983.16455" FPOGD="0.11609" FPOGID="1907" FPOGV="0" LPOGX="0.71278" LPOGY="0.24773" LPOGV="1" RPOGX="0.54524" RPOGY="0.15787" RPOGV="1" BPOGX="0.62901" BPOGY="0.20280" BPOGV="1" LPCX="0.51256" LPCY="0.61058" LPD="24.66547" LPS="1.24303" LPV="1" RPCX="0.75148" RPCY="0.61722" RPD="22.16547" RPS="1.24303" RPV="1" LEYEX="-0.00110" LEYEY="-0.02504" LEYEZ="0.69566" LPUPILD="0.00527" LPUPILV="1" REYEX="0.06466" REYEY="-0.02885" REYEZ="0.71623" RPUPILD="0.00499" RPUPILV="1" BKID="0" BKDUR="0.10022" BKPMIN="12" />
<REC FPOGX="0.41916" FPOGY="0.13762" FPOGS="983.16455" FPOGD="0.11609" FPOGID="1907" FPOGV="0" LPOGX="0.71254" LPOGY="0.25462" LPOGV="1" RPOGX="0.54440" RPOGY="0.16549" RPOGV="1" BPOGX="0.62847" BPOGY="0.21005" BPOGV="1" LPCX="0.51238" LPCY="0.61066" LPD="24.66010" LPS="1.23279" LPV="1" RPCX="0.75101" RPCY="0.61757" RPD="23.63535" RPS="1.23279" RPV="1" LEYEX="0.00336" LEYEY="-0.02535" LEYEZ="0.71150" LPUPILD="0.00529" LPUPILV="1" REYEX="0.06987" REYEY="-0.02752" REYEZ="0.72795" RPUPILD="0.00496" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.61150" FPOGY="0.22486" FPOGS="983.16455" FPOGD="0.11609" FPOGID="1907" FPOGV="0" LPOGX="0.63305" LPOGY="0.26925" LPOGV="1" RPOGX="0.52099" RPOGY="0.25419" RPOGV="1" BPOGX="0.57702" BPOGY="0.26172" BPOGV="1" LPCX="0.51211" LPCY="0.61071" LPD="24.79697" LPS="1.22255" LPV="1" RPCX="0.75084" RPCY="0.61717" RPD="23.06372" RPS="1.22255" RPV="1" LEYEX="0.00336" LEYEY="-0.02535" LEYEZ="0.71150" LPUPILD="0.00523" LPUPILV="1" REYEX="0.06987" REYEY="-0.02752" REYEZ="0.72795" RPUPILD="0.00495" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.57002" FPOGY="0.23733" FPOGS="983.16455" FPOGD="0.11609" FPOGID="1907" FPOGV="0" LPOGX="0.62734" LPOGY="0.27815" LPOGV="1" RPOGX="0.42973" RPOGY="0.22146" RPOGV="1" BPOGX="0.52853" BPOGY="0.24981" BPOGV="1" LPCX="0.51207" LPCY="0.61067" LPD="24.85304" LPS="1.21231" LPV="1" RPCX="0.75098" RPCY="0.61642" RPD="22.36535" RPS="1.21231" RPV="1" LEYEX="0.00336" LEYEY="-0.02535" LEYEZ="0.71150" LPUPILD="0.00523" LPUPILV="1" REYEX="0.06987" REYEY="-0.02752" REYEZ="0.72795" RPUPILD="0.00494" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.55619" FPOGY="0.24149" FPOGS="983.16455" FPOGD="0.11609" FPOGID="1907" FPOGV="0" LPOGX="0.62734" LPOGY="0.27815" LPOGV="1" RPOGX="0.42973" RPOGY="0.22146" RPOGV="1" BPOGX="0.52853" BPOGY="0.24981" BPOGV="1" LPCX="0.51207" LPCY="0.61065" LPD="24.69505" LPS="1.21231" LPV="1" RPCX="0.75079" RPCY="0.61680" RPD="23.48123" RPS="1.21231" RPV="1" LEYEX="0.00362" LEYEY="-0.02615" LEYEZ="0.73236" LPUPILD="0.00522" LPUPILV="1" REYEX="0.06975" REYEY="-0.02723" REYEZ="0.72336" RPUPILD="0.00491" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
