2025-05-28 10:28:08.584127
<ACK ID="ENABLE_SEND_POG_FIX" STATE="1" />
<ACK ID="ENABLE_SEND_POG_LEFT" STATE="1" />
<ACK ID="ENABLE_SEND_POG_RIGHT" STATE="1" />
<ACK ID="ENABLE_SEND_POG_BEST" STATE="1" />
<ACK ID="ENABLE_SEND_PUPIL_LEFT" STATE="1" />
<ACK ID="ENABLE_SEND_PUPIL_RIGHT" STATE="1" />
<ACK ID="ENABLE_SEND_EYE_LEFT" STATE="1" />
<ACK ID="ENABLE_SEND_EYE_RIGHT" STATE="1" />
<ACK ID="ENABLE_SEND_BLINK" STATE="1" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.54806" FPOGY="0.57552" FPOGS="889.18549" FPOGD="0.06659" FPOGID="1535" FPOGV="1" LPOGX="0.64021" LPOGY="0.64254" LPOGV="1" RPOGX="0.49034" RPOGY="0.52664" RPOGV="1" BPOGX="0.56527" BPOGY="0.58459" BPOGV="1" LPCX="0.45817" LPCY="0.56274" LPD="22.75635" LPS="1.20204" LPV="1" RPCX="0.69872" RPCY="0.56725" RPD="21.19476" RPS="1.20204" RPV="1" LEYEX="-0.01135" LEYEY="-0.01436" LEYEZ="0.70406" LPUPILD="0.00545" LPUPILV="1" REYEX="0.05490" REYEY="-0.01579" REYEZ="0.72350" RPUPILD="0.00495" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.54948" FPOGY="0.57613" FPOGS="889.18549" FPOGD="0.07306" FPOGID="1535" FPOGV="1" LPOGX="0.63987" LPOGY="0.63888" LPOGV="1" RPOGX="0.49033" RPOGY="0.52675" RPOGV="1" BPOGX="0.56510" BPOGY="0.58282" BPOGV="1" LPCX="0.45841" LPCY="0.56257" LPD="22.87854" LPS="1.21228" LPV="1" RPCX="0.69896" RPCY="0.56720" RPD="21.21595" RPS="1.20180" RPV="1" LEYEX="-0.01169" LEYEY="-0.01492" LEYEZ="0.74232" LPUPILD="0.00539" LPUPILV="1" REYEX="0.05332" REYEY="-0.01523" REYEZ="0.69781" RPUPILD="0.00501" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.54925" FPOGY="0.57412" FPOGS="889.18549" FPOGD="0.08002" FPOGID="1535" FPOGV="1" LPOGX="0.61322" LPOGY="0.61318" LPOGV="1" RPOGX="0.47988" RPOGY="0.48680" RPOGV="1" BPOGX="0.54655" BPOGY="0.54999" BPOGV="1" LPCX="0.45904" LPCY="0.56216" LPD="22.81453" LPS="1.21204" LPV="1" RPCX="0.69942" RPCY="0.56709" RPD="20.90774" RPS="1.20157" RPV="1" LEYEX="-0.01169" LEYEY="-0.01492" LEYEZ="0.74232" LPUPILD="0.00546" LPUPILV="1" REYEX="0.05332" REYEY="-0.01523" REYEZ="0.69781" RPUPILD="0.00495" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.54916" FPOGY="0.57642" FPOGS="889.18549" FPOGD="0.08777" FPOGID="1535" FPOGV="1" LPOGX="0.62240" LPOGY="0.66990" LPOGV="1" RPOGX="0.47340" RPOGY="0.54291" RPOGV="1" BPOGX="0.54790" BPOGY="0.60641" BPOGV="1" LPCX="0.45944" LPCY="0.56194" LPD="22.85941" LPS="1.21180" LPV="1" RPCX="0.69977" RPCY="0.56715" RPD="21.10508" RPS="1.20133" RPV="1" LEYEX="-0.01169" LEYEY="-0.01492" LEYEZ="0.74232" LPUPILD="0.00538" LPUPILV="1" REYEX="0.05332" REYEY="-0.01523" REYEZ="0.69781" RPUPILD="0.00501" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.54908" FPOGY="0.57827" FPOGS="889.18549" FPOGD="0.09314" FPOGID="1535" FPOGV="1" LPOGX="0.62241" LPOGY="0.66998" LPOGV="1" RPOGX="0.47370" RPOGY="0.53825" RPOGV="1" BPOGX="0.54805" BPOGY="0.60411" BPOGV="1" LPCX="0.45964" LPCY="0.56176" LPD="22.89226" LPS="1.21157" LPV="1" RPCX="0.69985" RPCY="0.56710" RPD="21.14005" RPS="1.21157" RPV="1" LEYEX="-0.01107" LEYEY="-0.01447" LEYEZ="0.73092" LPUPILD="0.00553" LPUPILV="1" REYEX="0.05580" REYEY="-0.01575" REYEZ="0.72676" RPUPILD="0.00495" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.54923" FPOGY="0.57792" FPOGS="889.18549" FPOGD="0.10028" FPOGID="1535" FPOGV="1" LPOGX="0.61239" LPOGY="0.55599" LPOGV="1" RPOGX="0.49041" RPOGY="0.58939" RPOGV="1" BPOGX="0.55140" BPOGY="0.57269" BPOGV="1" LPCX="0.46023" LPCY="0.56106" LPD="22.46384" LPS="1.21157" LPV="1" RPCX="0.70031" RPCY="0.56682" RPD="21.02131" RPS="1.22204" RPV="1" LEYEX="-0.01107" LEYEY="-0.01447" LEYEZ="0.73092" LPUPILD="0.00543" LPUPILV="1" REYEX="0.05580" REYEY="-0.01575" REYEZ="0.72676" RPUPILD="0.00505" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.54962" FPOGY="0.57975" FPOGS="889.18549" FPOGD="0.10736" FPOGID="1535" FPOGV="1" LPOGX="0.64088" LPOGY="0.66109" LPOGV="1" RPOGX="0.47101" RPOGY="0.55712" RPOGV="1" BPOGX="0.55595" BPOGY="0.60911" BPOGV="1" LPCX="0.46028" LPCY="0.56093" LPD="22.78610" LPS="1.22204" LPV="1" RPCX="0.70062" RPCY="0.56683" RPD="21.17979" RPS="1.23252" RPV="1" LEYEX="-0.01107" LEYEY="-0.01447" LEYEZ="0.73092" LPUPILD="0.00543" LPUPILV="1" REYEX="0.05580" REYEY="-0.01575" REYEZ="0.72676" RPUPILD="0.00496" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.54996" FPOGY="0.58129" FPOGS="889.18549" FPOGD="0.11365" FPOGID="1535" FPOGV="1" LPOGX="0.64054" LPOGY="0.65757" LPOGV="1" RPOGX="0.47101" RPOGY="0.55712" RPOGV="1" BPOGX="0.55578" BPOGY="0.60734" BPOGV="1" LPCX="0.46062" LPCY="0.56062" LPD="22.63921" LPS="1.23252" LPV="1" RPCX="0.70078" RPCY="0.56674" RPD="21.19292" RPS="1.23252" RPV="1" LEYEX="-0.01085" LEYEY="-0.01424" LEYEZ="0.73048" LPUPILD="0.00543" LPUPILV="1" REYEX="0.05449" REYEY="-0.01528" REYEZ="0.70753" RPUPILD="0.00503" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.54968" FPOGY="0.58060" FPOGS="889.18549" FPOGD="0.12061" FPOGID="1535" FPOGV="1" LPOGX="0.61158" LPOGY="0.62843" LPOGV="1" RPOGX="0.47753" RPOGY="0.50822" RPOGV="1" BPOGX="0.54456" BPOGY="0.56833" BPOGV="1" LPCX="0.46104" LPCY="0.56011" LPD="22.55085" LPS="1.23252" LPV="1" RPCX="0.70099" RPCY="0.56648" RPD="21.21415" RPS="1.22204" RPV="1" LEYEX="-0.01085" LEYEY="-0.01424" LEYEZ="0.73048" LPUPILD="0.00539" LPUPILV="1" REYEX="0.05449" REYEY="-0.01528" REYEZ="0.70753" RPUPILD="0.00501" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.55036" FPOGY="0.58050" FPOGS="889.18549" FPOGD="0.12714" FPOGID="1535" FPOGV="1" LPOGX="0.63774" LPOGY="0.65396" LPOGV="1" RPOGX="0.48903" RPOGY="0.50306" RPOGV="1" BPOGX="0.56338" BPOGY="0.57851" BPOGV="1" LPCX="0.46114" LPCY="0.55994" LPD="22.72096" LPS="1.22204" LPV="1" RPCX="0.70127" RPCY="0.56623" RPD="20.94895" RPS="1.21157" RPV="1" LEYEX="-0.01085" LEYEY="-0.01424" LEYEZ="0.73048" LPUPILD="0.00552" LPUPILV="1" REYEX="0.05449" REYEY="-0.01528" REYEZ="0.70753" RPUPILD="0.00494" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.55099" FPOGY="0.58049" FPOGS="889.18549" FPOGD="0.13531" FPOGID="1535" FPOGV="1" LPOGX="0.63810" LPOGY="0.65754" LPOGV="1" RPOGX="0.48903" RPOGY="0.50306" RPOGV="1" BPOGX="0.56357" BPOGY="0.58030" BPOGV="1" LPCX="0.46128" LPCY="0.55950" LPD="22.68867" LPS="1.21157" LPV="1" RPCX="0.70129" RPCY="0.56623" RPD="20.96848" RPS="1.21157" RPV="1" LEYEX="-0.01061" LEYEY="-0.01401" LEYEZ="0.72968" LPUPILD="0.00543" LPUPILV="1" REYEX="0.05589" REYEY="-0.01552" REYEZ="0.72364" RPUPILD="0.00501" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
