2025-05-28 12:16:00.140599
="-0.07123" LEYEY="-0.02015" LEYEZ="0.62050" LPUPILD="0.00351" LPUPILV="1" REYEX="-0.00619" REYEY="-0.02076" REYEZ="0.64519" RPUPILD="0.00362" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.46668" FPOGY="-0.12034" FPOGS="1546.35498" FPOGD="0.16650" FPOGID="2875" FPOGV="1" LPOGX="0.57122" LPOGY="-0.07452" LPOGV="1" RPOGX="0.34264" RPOGY="-0.13062" RPOGV="1" BPOGX="0.45693" BPOGY="-0.10257" BPOGV="1" LPCX="0.19988" LPCY="0.59627" LPD="18.71264" LPS="0.94177" LPV="1" RPCX="0.47396" RPCY="0.59494" RPD="17.64765" RPS="0.94177" RPV="1" LEYEX="-0.07123" LEYEY="-0.02015" LEYEZ="0.62050" LPUPILD="0.00348" LPUPILV="1" REYEX="-0.00619" REYEY="-0.02076" REYEZ="0.64519" RPUPILD="0.00360" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.76116" FPOGY="-0.03163" FPOGS="1547.37939" FPOGD="0.05347" FPOGID="2880" FPOGV="1" LPOGX="0.87318" LPOGY="0.03845" LPOGV="1" RPOGX="0.65273" RPOGY="-0.09555" RPOGV="1" BPOGX="0.76295" BPOGY="-0.02855" BPOGV="1" LPCX="0.20936" LPCY="0.59672" LPD="19.51896" LPS="0.95405" LPV="1" RPCX="0.48339" RPCY="0.59626" RPD="18.05248" RPS="0.96048" RPV="1" LEYEX="-0.07231" LEYEY="-0.02093" LEYEZ="0.64290" LPUPILD="0.00372" LPUPILV="1" REYEX="-0.00474" REYEY="-0.02095" REYEZ="0.64522" RPUPILD="0.00345" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.76154" FPOGY="-0.03251" FPOGS="1547.37939" FPOGD="0.06018" FPOGID="2880" FPOGV="1" LPOGX="0.87438" LPOGY="0.03112" LPOGV="1" RPOGX="0.65554" RPOGY="-0.11204" RPOGV="1" BPOGX="0.76496" BPOGY="-0.04046" BPOGV="1" LPCX="0.20925" LPCY="0.59678" LPD="19.38233" LPS="0.96048" LPV="1" RPCX="0.48331" RPCY="0.59602" RPD="17.61539" RPS="0.97410" RPV="1" LEYEX="-0.07173" LEYEY="-0.02081" LEYEZ="0.63777" LPUPILD="0.00375" LPUPILV="1" REYEX="-0.00486" REYEY="-0.02128" REYEZ="0.65532" RPUPILD="0.00343" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.76160" FPOGY="-0.03351" FPOGS="1547.37939" FPOGD="0.06714" FPOGID="2880" FPOGV="1" LPOGX="0.87195" LPOGY="0.02627" LPOGV="1" RPOGX="0.65251" RPOGY="-0.11329" RPOGV="1" BPOGX="0.76223" BPOGY="-0.04351" BPOGV="1" LPCX="0.20919" LPCY="0.59683" LPD="19.11700" LPS="0.97410" LPV="1" RPCX="0.48321" RPCY="0.59649" RPD="17.43431" RPS="0.98129" RPV="1" LEYEX="-0.07173" LEYEY="-0.02081" LEYEZ="0.63777" LPUPILD="0.00373" LPUPILV="1" REYEX="-0.00486" REYEY="-0.02128" REYEZ="0.65532" RPUPILD="0.00360" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.76142" FPOGY="-0.03537" FPOGS="1547.37939" FPOGD="0.07361" FPOGID="2880" FPOGV="1" LPOGX="0.86617" LPOGY="0.00711" LPOGV="1" RPOGX="0.65264" RPOGY="-0.11877" RPOGV="1" BPOGX="0.75941" BPOGY="-0.05583" BPOGV="1" LPCX="0.20919" LPCY="0.59683" LPD="19.11700" LPS="0.98129" LPV="1" RPCX="0.48318" RPCY="0.59636" RPD="17.51658" RPS="0.98848" RPV="1" LEYEX="-0.07173" LEYEY="-0.02081" LEYEZ="0.63777" LPUPILD="0.00373" LPUPILV="1" REYEX="-0.00486" REYEY="-0.02128" REYEZ="0.65532" RPUPILD="0.00356" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.76142" FPOGY="-0.03789" FPOGS="1547.37939" FPOGD="0.08032" FPOGID="2880" FPOGV="1" LPOGX="0.86866" LPOGY="-0.00911" LPOGV="1" RPOGX="0.65405" RPOGY="-0.12719" RPOGV="1" BPOGX="0.76135" BPOGY="-0.06815" BPOGV="1" LPCX="0.20920" LPCY="0.59680" LPD="19.14257" LPS="0.99551" LPV="1" RPCX="0.48318" RPCY="0.59636" RPD="17.51658" RPS="0.99551" RPV="1" LEYEX="-0.07383" LEYEY="-0.02140" LEYEZ="0.65598" LPUPILD="0.00372" LPUPILV="1" REYEX="-0.00485" REYEY="-0.02099" REYEZ="0.64629" RPUPILD="0.00356" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.76214" FPOGY="-0.04046" FPOGS="1547.37939" FPOGD="0.08679" FPOGID="2880" FPOGV="1" LPOGX="0.86434" LPOGY="0.00894" LPOGV="1" RPOGX="0.67870" RPOGY="-0.15661" RPOGV="1" BPOGX="0.77152" BPOGY="-0.07383" BPOGV="1" LPCX="0.20915" LPCY="0.59689" LPD="19.16124" LPS="1.00253" LPV="1" RPCX="0.48296" RPCY="0.59629" RPD="17.86551" RPS="0.99534" RPV="1" LEYEX="-0.07383" LEYEY="-0.02140" LEYEZ="0.65598" LPUPILD="0.00380" LPUPILV="1" REYEX="-0.00485" REYEY="-0.02099" REYEZ="0.64629" RPUPILD="0.00358" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.76305" FPOGY="-0.04177" FPOGS="1547.37939" FPOGD="0.09326" FPOGID="2880" FPOGV="1" LPOGX="0.88649" LPOGY="0.01622" LPOGV="1" RPOGX="0.66504" RPOGY="-0.13636" RPOGV="1" BPOGX="0.77577" BPOGY="-0.06007" BPOGV="1" LPCX="0.20907" LPCY="0.59687" LPD="18.97330" LPS="1.00237" LPV="1" RPCX="0.48295" RPCY="0.59621" RPD="17.95011" RPS="0.99518" RPV="1" LEYEX="-0.07383" LEYEY="-0.02140" LEYEZ="0.65598" LPUPILD="0.00377" LPUPILV="1" REYEX="-0.00485" REYEY="-0.02099" REYEZ="0.64629" RPUPILD="0.00354" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.76367" FPOGY="-0.04194" FPOGS="1547.37939" FPOGD="0.10022" FPOGID="2880" FPOGV="1" LPOGX="0.88393" LPOGY="0.03119" LPOGV="1" RPOGX="0.66221" RPOGY="-0.12009" RPOGV="1" BPOGX="0.77307" BPOGY="-0.04445" BPOGV="1" LPCX="0.20910" LPCY="0.59692" LPD="19.23976" LPS="0.98889" LPV="1" RPCX="0.48289" RPCY="0.59627" RPD="17.96366" RPS="0.98171" RPV="1" LEYEX="-0.07066" LEYEY="-0.02046" LEYEZ="0.62705" LPUPILD="0.00374" LPUPILV="1" REYEX="-0.00485" REYEY="-0.02099" REYEZ="0.64629" RPUPILD="0.00360" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
