2025-05-28 12:15:22.513523
" REYEZ="0.63968" RPUPILD="0.00329" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.87006" FPOGY="0.50753" FPOGS="1508.83655" FPOGD="0.05469" FPOGID="2729" FPOGV="1" LPOGX="0.95379" LPOGY="0.62295" LPOGV="1" RPOGX="0.76365" RPOGY="0.45055" RPOGV="1" BPOGX="0.85872" BPOGY="0.53675" BPOGV="1" LPCX="0.20857" LPCY="0.61009" LPD="19.27171" LPS="0.96691" LPV="1" RPCX="0.48068" RPCY="0.60816" RPD="18.00085" RPS="0.96691" RPV="1" LEYEX="-0.07219" LEYEY="-0.02245" LEYEZ="0.63676" LPUPILD="0.00366" LPUPILV="1" REYEX="-0.00576" REYEY="-0.02226" REYEZ="0.63968" RPUPILD="0.00328" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.77933" FPOGY="0.51025" FPOGS="1509.73425" FPOGD="0.06702" FPOGID="2733" FPOGV="1" LPOGX="0.88499" LPOGY="0.61759" LPOGV="1" RPOGX="0.64768" RPOGY="0.44718" RPOGV="1" BPOGX="0.76633" BPOGY="0.53238" BPOGV="1" LPCX="0.20734" LPCY="0.61016" LPD="18.83624" LPS="0.94176" LPV="1" RPCX="0.48012" RPCY="0.60906" RPD="17.21827" RPS="0.94176" RPV="1" LEYEX="-0.07076" LEYEY="-0.02202" LEYEZ="0.62462" LPUPILD="0.00362" LPUPILV="1" REYEX="-0.00567" REYEY="-0.02256" REYEZ="0.64140" RPUPILD="0.00337" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.77642" FPOGY="0.51141" FPOGS="1509.73425" FPOGD="0.07373" FPOGID="2733" FPOGV="1" LPOGX="0.85337" LPOGY="0.61240" LPOGV="1" RPOGX="0.63543" RPOGY="0.43610" RPOGV="1" BPOGX="0.74440" BPOGY="0.52425" BPOGV="1" LPCX="0.20738" LPCY="0.61011" LPD="18.65148" LPS="0.94176" LPV="1" RPCX="0.48002" RPCY="0.60885" RPD="17.27740" RPS="0.94176" RPV="1" LEYEX="-0.07076" LEYEY="-0.02202" LEYEZ="0.62462" LPUPILD="0.00363" LPUPILV="1" REYEX="-0.00567" REYEY="-0.02256" REYEZ="0.64140" RPUPILD="0.00327" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.77480" FPOGY="0.51281" FPOGS="1509.73425" FPOGD="0.08093" FPOGID="2733" FPOGV="1" LPOGX="0.85708" LPOGY="0.60914" LPOGV="1" RPOGX="0.65375" RPOGY="0.45010" RPOGV="1" BPOGX="0.75542" BPOGY="0.52962" BPOGV="1" LPCX="0.20748" LPCY="0.61012" LPD="18.65724" LPS="0.94176" LPV="1" RPCX="0.48002" RPCY="0.60885" RPD="17.27740" RPS="0.94176" RPV="1" LEYEX="-0.07076" LEYEY="-0.02202" LEYEZ="0.62462" LPUPILD="0.00359" LPUPILV="1" REYEX="-0.00567" REYEY="-0.02256" REYEZ="0.64140" RPUPILD="0.00327" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.77342" FPOGY="0.51401" FPOGS="1509.73425" FPOGD="0.08704" FPOGID="2733" FPOGV="1" LPOGX="0.85708" LPOGY="0.60914" LPOGV="1" RPOGX="0.65375" RPOGY="0.45010" RPOGV="1" BPOGX="0.75542" BPOGY="0.52962" BPOGV="1" LPCX="0.20749" LPCY="0.61015" LPD="18.73025" LPS="0.94176" LPV="1" RPCX="0.48007" RPCY="0.60873" RPD="17.27817" RPS="0.94176" RPV="1" LEYEX="-0.07076" LEYEY="-0.02202" LEYEZ="0.62462" LPUPILD="0.00357" LPUPILV="1" REYEX="-0.00567" REYEY="-0.02256" REYEZ="0.64140" RPUPILD="0.00330" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.77218" FPOGY="0.51480" FPOGS="1509.73425" FPOGD="0.09436" FPOGID="2733" FPOGV="1" LPOGX="0.85688" LPOGY="0.60292" LPOGV="1" RPOGX="0.65291" RPOGY="0.44862" RPOGV="1" BPOGX="0.75489" BPOGY="0.52577" BPOGV="1" LPCX="0.20754" LPCY="0.61009" LPD="18.63371" LPS="0.94176" LPV="1" RPCX="0.47995" RPCY="0.60859" RPD="17.49212" RPS="0.94176" RPV="1" LEYEX="-0.07076" LEYEY="-0.02202" LEYEZ="0.62462" LPUPILD="0.00358" LPUPILV="1" REYEX="-0.00567" REYEY="-0.02256" REYEZ="0.64140" RPUPILD="0.00335" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.77113" FPOGY="0.51572" FPOGS="1509.73425" FPOGD="0.10083" FPOGID="2733" FPOGV="1" LPOGX="0.85583" LPOGY="0.61036" LPOGV="1" RPOGX="0.65472" RPOGY="0.44881" RPOGV="1" BPOGX="0.75527" BPOGY="0.52958" BPOGV="1" LPCX="0.20752" LPCY="0.61011" LPD="18.55565" LPS="0.94176" LPV="1" RPCX="0.48013" RPCY="0.60896" RPD="17.32163" RPS="0.94176" RPV="1" LEYEX="-0.07076" LEYEY="-0.02202" LEYEZ="0.62462" LPUPILD="0.00358" LPUPILV="1" REYEX="-0.00567" REYEY="-0.02256" REYEZ="0.64140" RPUPILD="0.00338" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.77024" FPOGY="0.51640" FPOGS="1509.73425" FPOGD="0.10754" FPOGID="2733" FPOGV="1" LPOGX="0.85583" LPOGY="0.61036" LPOGV="1" RPOGX="0.65631" RPOGY="0.44400" RPOGV="1" BPOGX="0.75607" BPOGY="0.52718" BPOGV="1" LPCX="0.20753" LPCY="0.61009" LPD="18.58168" LPS="0.94176" LPV="1" RPCX="0.48010" RPCY="0.60883" RPD="17.53340" RPS="0.94895" RPV="1" LEYEX="-0.07076" LEYEY="-0.02202" LEYEZ="0.62462" LPUPILD="0.00358" LPUPILV="1" REYEX="-0.00576" REYEY="-0.02306" REYEZ="0.65709" RPUPILD="0.00331" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.76976" FPOGY="0.51612" FPOGS="1509.73425" FPOGD="0.11401" FPOGID="2733" FPOGV="1" LPOGX="0.85863" LPOGY="0.59881" LPOGV="1" RPOGX="0.66467" RPOGY="0.42419" RPOGV="1" BPOGX="0.76165" BPOGY="0.51150" BPOGV="1" LPCX="0.20759" LPCY="0.60998" LPD="18.92690" LPS="0.94895" LPV="1" RPCX="0.48009" RPCY="0.60881" RPD="17.74359" RPS="0.95614" RPV="1" LEYEX="-0.07076" LEYEY="-0.02202" LEYEZ="0.62462" LPUPILD="0.00358" LPUPILV="1" REYEX="-0.00576" REYEY="-0.02306" REYEZ="0.65709" RPUPILD="0.00330" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
