2025-05-28 12:19:20.081546
1" REYEZ="0.65795" RPUPILD="0.00485" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="18" />
<REC FPOGX="0.76637" FPOGY="0.28391" FPOGS="1746.05457" FPOGD="0.39490" FPOGID="3546" FPOGV="0" LPOGX="0.85649" LPOGY="0.36057" LPOGV="1" RPOGX="0.66820" RPOGY="0.18158" RPOGV="1" BPOGX="0.76235" BPOGY="0.27108" BPOGV="1" LPCX="0.16710" LPCY="0.64752" LPD="27.42805" LPS="0.98953" LPV="1" RPCX="0.43029" RPCY="0.67620" RPD="23.77600" RPS="0.98953" RPV="1" LEYEX="-0.08133" LEYEY="-0.02990" LEYEZ="0.63286" LPUPILD="0.00552" LPUPILV="1" REYEX="-0.01820" REYEY="-0.03711" REYEZ="0.65795" RPUPILD="0.00480" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="18" />
<REC FPOGX="0.76458" FPOGY="0.27651" FPOGS="1746.05457" FPOGD="0.39490" FPOGID="3546" FPOGV="0" LPOGX="0.85755" LPOGY="0.35582" LPOGV="1" RPOGX="0.66801" RPOGY="0.18240" RPOGV="1" BPOGX="0.76278" BPOGY="0.26911" BPOGV="1" LPCX="0.16690" LPCY="0.64754" LPD="27.27512" LPS="0.99582" LPV="1" RPCX="0.43014" RPCY="0.67608" RPD="23.61828" RPS="0.98863" RPV="1" LEYEX="-0.08114" LEYEY="-0.02981" LEYEZ="0.62993" LPUPILD="0.00551" LPUPILV="1" REYEX="-0.01806" REYEY="-0.03628" REYEZ="0.64421" RPUPILD="0.00483" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="18" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.97351" FPOGY="0.34894" FPOGS="1747.05933" FPOGD="0.32153" FPOGID="3549" FPOGV="1" LPOGX="1.06228" LPOGY="0.41201" LPOGV="1" RPOGX="0.85664" RPOGY="0.28505" RPOGV="1" BPOGX="0.95946" BPOGY="0.34853" BPOGV="1" LPCX="0.19748" LPCY="0.65130" LPD="26.00077" LPS="0.94820" LPV="1" RPCX="0.46170" RPCY="0.67312" RPD="23.40661" RPS="0.94820" RPV="1" LEYEX="-0.07307" LEYEY="-0.02989" LEYEZ="0.61797" LPUPILD="0.00529" LPUPILV="1" REYEX="-0.01090" REYEY="-0.03551" REYEZ="0.64329" RPUPILD="0.00471" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="18" />
<REC FPOGX="0.97306" FPOGY="0.34904" FPOGS="1747.05933" FPOGD="0.32825" FPOGID="3549" FPOGV="1" LPOGX="1.05987" LPOGY="0.41684" LPOGV="1" RPOGX="0.85401" RPOGY="0.29019" RPOGV="1" BPOGX="0.95694" BPOGY="0.35351" BPOGV="1" LPCX="0.19763" LPCY="0.65125" LPD="25.76792" LPS="0.94192" LPV="1" RPCX="0.46194" RPCY="0.67308" RPD="23.28824" RPS="0.94192" RPV="1" LEYEX="-0.07293" LEYEY="-0.02991" LEYEZ="0.61837" LPUPILD="0.00526" LPUPILV="1" REYEX="-0.01062" REYEY="-0.03521" REYEZ="0.63790" RPUPILD="0.00472" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="18" />
<REC FPOGX="0.97310" FPOGY="0.34920" FPOGS="1747.05933" FPOGD="0.33484" FPOGID="3549" FPOGV="1" LPOGX="1.06523" LPOGY="0.42291" LPOGV="1" RPOGX="0.87604" RPOGY="0.29553" RPOGV="1" BPOGX="0.97064" BPOGY="0.35922" BPOGV="1" LPCX="0.19827" LPCY="0.65129" LPD="26.01892" LPS="0.94192" LPV="1" RPCX="0.46257" RPCY="0.67313" RPD="23.51633" RPS="0.94192" RPV="1" LEYEX="-0.07293" LEYEY="-0.02991" LEYEZ="0.61837" LPUPILD="0.00528" LPUPILV="1" REYEX="-0.01062" REYEY="-0.03521" REYEZ="0.63790" RPUPILD="0.00470" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="18" />
<REC FPOGX="0.97391" FPOGY="0.34932" FPOGS="1747.05933" FPOGD="0.34155" FPOGID="3549" FPOGV="1" LPOGX="1.09492" LPOGY="0.44899" LPOGV="1" RPOGX="0.92299" RPOGY="0.32264" RPOGV="1" BPOGX="1.00895" BPOGY="0.38582" BPOGV="1" LPCX="0.19922" LPCY="0.65144" LPD="25.84703" LPS="0.94192" LPV="1" RPCX="0.46336" RPCY="0.67329" RPD="23.61443" RPS="0.94192" RPV="1" LEYEX="-0.07293" LEYEY="-0.02991" LEYEZ="0.61837" LPUPILD="0.00526" LPUPILV="1" REYEX="-0.01062" REYEY="-0.03521" REYEZ="0.63790" RPUPILD="0.00474" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="18" />
<REC FPOGX="0.97474" FPOGY="0.34939" FPOGS="1747.05933" FPOGD="0.34827" FPOGID="3549" FPOGV="1" LPOGX="1.09492" LPOGY="0.44899" LPOGV="1" RPOGX="0.92299" RPOGY="0.32264" RPOGV="1" BPOGX="1.00895" BPOGY="0.38582" BPOGV="1" LPCX="0.19970" LPCY="0.65138" LPD="25.79378" LPS="0.94192" LPV="1" RPCX="0.46397" RPCY="0.67330" RPD="23.59469" RPS="0.94192" RPV="1" LEYEX="-0.07271" LEYEY="-0.03001" LEYEZ="0.62043" LPUPILD="0.00530" LPUPILV="1" REYEX="-0.01031" REYEY="-0.03551" REYEZ="0.64240" RPUPILD="0.00472" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="18" />
<REC FPOGX="0.97673" FPOGY="0.34921" FPOGS="1747.05933" FPOGD="0.35559" FPOGID="3549" FPOGV="1" LPOGX="1.15830" LPOGY="0.42173" LPOGV="1" RPOGX="0.96666" RPOGY="0.29746" RPOGV="1" BPOGX="1.06248" BPOGY="0.35959" BPOGV="1" LPCX="0.20125" LPCY="0.65134" LPD="25.74778" LPS="0.94192" LPV="1" RPCX="0.46524" RPCY="0.67334" RPD="23.79037" RPS="0.94192" RPV="1" LEYEX="-0.07271" LEYEY="-0.03001" LEYEZ="0.62043" LPUPILD="0.00527" LPUPILV="1" REYEX="-0.01031" REYEY="-0.03551" REYEZ="0.64240" RPUPILD="0.00476" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="18" />
<REC FPOGX="0.97878" FPOGY="0.34934" FPOGS="1747.05933" FPOGD="0.36169" FPOGID="3549" FPOGV="1" LPOGX="1.14787" LPOGY="0.43340" LPOGV="1" RPOGX="0.98002" RPOGY="0.31558" RPOGV="1" BPOGX="1.06395" BPOGY="0.37449" BPOGV="1" LPCX="0.20183" LPCY="0.65136" LPD="25.55841" LPS="0.94192" LPV="1" RPCX="0.46560" RPCY="0.67340" RPD="23.83430" RPS="0.94192" RPV="1" LEYEX="-0.07271" LEYEY="-0.03001" LEYEZ="0.62043" LPUPILD="0.00525" LPUPILV="1" REYEX="-0.01031" REYEY="-0.03551" REYEZ="0.64240" RPUPILD="0.00474" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="18" />
